UrbanArea,State,Year, TTI , TotalDelay_hrs , Delay_per_Auto_Commuter 
Akron OH,OH,1982,1.02,"1,751",5
Akron OH,OH,1983,1.02,"2,037",6
Akron OH,OH,1984,1.03,"2,604",7
Akron OH,OH,1985,1.03,"2,689",7
Akron OH,OH,1986,1.04,"2,980",8
Akron OH,OH,1987,1.04,"3,121",9
Akron OH,OH,1988,1.05,"3,938",11
Akron OH,OH,1989,1.06,"4,929",13
Akron OH,OH,1990,1.07,"5,797",16
Akron OH,OH,1991,1.08,"6,697",18
Akron OH,OH,1992,1.09,"8,131",21
Akron OH,OH,1993,1.1,"9,267",24
Akron OH,OH,1994,1.11,"9,940",25
Akron OH,OH,1995,1.11,"10,256",26
Akron OH,OH,1996,1.11,"10,714",27
Akron OH,OH,1997,1.11,"10,749",26
Akron OH,OH,1998,1.11,"10,778",26
Akron OH,OH,1999,1.11,"10,935",26
Akron OH,OH,2000,1.11,"11,265",26
Akron OH,OH,2001,1.11,"11,288",26
Akron OH,OH,2002,1.11,"11,566",26
Akron OH,OH,2003,1.11,"11,844",27
Akron OH,OH,2004,1.12,"12,188",27
Akron OH,OH,2005,1.12,"12,431",28
Akron OH,OH,2006,1.12,"12,714",28
Akron OH,OH,2007,1.12,"12,984",28
Akron OH,OH,2008,1.12,"12,612",27
Akron OH,OH,2009,1.11,"12,059",26
Akron OH,OH,2010,1.11,"12,467",27
Akron OH,OH,2011,1.11,"12,906",28
Akron OH,OH,2012,1.11,"13,358",30
Akron OH,OH,2013,1.11,"13,825",32
Akron OH,OH,2014,1.11,"14,470",33
Akron OH,OH,2015,1.1,"14,783",35
Akron OH,OH,2016,1.1,"15,128",35
Akron OH,OH,2017,1.1,"15,352",37
Albany-Schenectady NY,NY,1982,1.03,"1,604",7
Albany-Schenectady NY,NY,1983,1.03,"1,672",7
Albany-Schenectady NY,NY,1984,1.03,"1,777",8
Albany-Schenectady NY,NY,1985,1.04,"2,160",10
Albany-Schenectady NY,NY,1986,1.04,"2,307",10
Albany-Schenectady NY,NY,1987,1.04,"2,546",11
Albany-Schenectady NY,NY,1988,1.05,"2,990",13
