CBSA,MNAME,UrbanArea,State
10420,"Akron, OH Metro Area",Akron OH,OH
10500,"Albany, GA Metro Area",Albany GA,GA
10580,"Albany-Schenectady-Troy, NY Metro Area",Albany-Schenectady NY,NY
10740,"Albuquerque, NM Metro Area",Albuquerque NM,NM
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Allentown PA-NJ,PA
11020,"Altoona, PA Metro Area",Altoona PA,PA
11180,"Ames, IA Metro Area",Ames IA,IA
11260,"Anchorage, AK Metro Area",Anchorage AK,AK
11460,"Ann Arbor, MI Metro Area",Ann Arbor MI,MI
11540,"Appleton, WI Metro Area",Appleton WI,WI
11700,"Asheville, NC Metro Area",Asheville NC,NC
12020,"Athens-Clarke County, GA Metro Area",Athens-Clarke County GA,GA
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Atlanta GA,GA
12260,"Augusta-Richmond County, GA-SC Metro Area",Augusta-Richmond County GA-SC,GA
12420,"Austin-Round Rock-San Marcos, TX Metro Area",Austin TX,TX
12540,"Bakersfield-Delano, CA Metro Area",Bakersfield CA,CA
12580,"Baltimore-Towson, MD Metro Area",Baltimore MD,MD
12940,"Baton Rouge, LA Metro Area",Baton Rouge LA,LA
13020,"Bay City, MI Metro Area",Bay City MI,MI
13140,"Beaumont-Port Arthur, TX Metro Area",Beaumont TX,TX
13380,"Bellingham, WA Metro Area",Bellingham WA,WA
13740,"Billings, MT Metro Area",Billings MT,MT
13780,"Binghamton, NY Metro Area",Binghamton NY-PA,NY
13820,"Birmingham-Hoover, AL Metro Area",Birmingham AL,AL
13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",Blacksburg VA,VA
14020,"Bloomington, IN Metro Area",Bloomington IN,IN
14060,"Bloomington-Normal, IL Metro Area",Bloomington-Normal IL,IL
14260,"Boise City-Nampa, ID Metro Area",Boise ID,ID
14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",Boston MA-NH-RI,MA
14740,"Bremerton-Silverdale, WA Metro Area",Bremerton WA,WA
14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",Bridgeport-Stamford CT-NY,CT
15180,"Brownsville-Harlingen, TX Metro Area",Brownsville TX,TX
15380,"Buffalo-Niagara Falls, NY Metro Area",Buffalo NY,NY
15540,"Burlington-South Burlington, VT Metro Area",Burlington VT,VT
15940,"Canton-Massillon, OH Metro Area",Canton OH,OH
15980,"Cape Coral-Fort Myers, FL Metro Area",Cape Coral FL,FL
16300,"Cedar Rapids, IA Metro Area",Cedar Rapids IA,IA
16580,"Champaign-Urbana, IL Metro Area",Champaign IL,IL
16620,"Charleston, WV Metro Area",Charleston WV,WV
16700,"Charleston-North Charleston-Summerville, SC Metro Area",Charleston-North Charleston SC,SC
16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",Charlotte NC-SC,NC
16860,"Chattanooga, TN-GA Metro Area",Chattanooga TN-GA,TN
16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",Chicago IL-IN,IL
17020,"Chico, CA Metro Area",Chico CA,CA
17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",Cincinnati OH-KY-IN,OH
17460,"Cleveland-Elyria-Mentor, OH Metro Area",Cleveland OH,OH
17780,"College Station-Bryan, TX Metro Area",College Station-Bryan TX,TX
17820,"Colorado Springs, CO Metro Area",Colorado Springs CO,CO
17860,"Columbia, MO Metro Area",Columbia MO,MO
17900,"Columbia, SC Metro Area",Columbia SC,SC
18140,"Columbus, OH Metro Area",Columbus OH,OH
18580,"Corpus Christi, TX Metro Area",Corpus Christi TX,TX
18700,"Corvallis, OR Metro Area",Corvallis OR,OR
18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",Fort Walton Beach-Navarre-Wright FL,FL
19100,"Dallas-Fort Worth-Arlington, TX Metro Area",Dallas-Fort Worth-Arlington TX,TX
19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",Davenport IA-IL,IA
19380,"Dayton, OH Metro Area",Dayton OH,OH
19500,"Decatur, IL Metro Area",Decatur IL,IL
19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",Deltona FL,FL
19740,"Denver-Aurora-Broomfield, CO Metro Area",Denver-Aurora CO,CO
19780,"Des Moines-West Des Moines, IA Metro Area",Des Moines IA,IA
19820,"Detroit-Warren-Livonia, MI Metro Area",Detroit MI,MI
20260,"Duluth, MN-WI Metro Area",Duluth MN-WI,MN
20500,"Durham-Chapel Hill, NC Metro Area",Durham NC,NC
20740,"Eau Claire, WI Metro Area",Eau Claire WI,WI
20940,"El Centro, CA Metro Area",El Centro-Calexico CA,CA
21060,"Elizabethtown, KY Metro Area",Elizabethtown-Radcliff KY,KY
21140,"Elkhart-Goshen, IN Metro Area",Elkhart IN-MI,IN
21340,"El Paso, TX Metro Area",El Paso TX-NM,TX
21500,"Erie, PA Metro Area",Erie PA,PA
21660,"Eugene-Springfield, OR Metro Area",Eugene OR,OR
21780,"Evansville, IN-KY Metro Area",Evansville IN-KY,IN
22020,"Fargo, ND-MN Metro Area",Fargo ND-MN,ND
22180,"Fayetteville, NC Metro Area",Fayetteville NC,NC
22380,"Flagstaff, AZ Metro Area",Flagstaff AZ,AZ
22420,"Flint, MI Metro Area",Flint MI,MI
22660,"Fort Collins-Loveland, CO Metro Area",Fort Collins CO,CO
23060,"Fort Wayne, IN Metro Area",Fort Wayne IN,IN
23420,"Fresno, CA Metro Area",Fresno CA,CA
23540,"Gainesville, FL Metro Area",Gainesville FL,FL
24340,"Grand Rapids-Wyoming, MI Metro Area",Grand Rapids MI,MI
24500,"Great Falls, MT Metro Area",Great Falls MT,MT
24580,"Green Bay, WI Metro Area",Green Bay WI,WI
24660,"Greensboro-High Point, NC Metro Area",Greensboro NC,NC
25060,"Gulfport-Biloxi, MS Metro Area",Gulfport MS,MS
25260,"Hanford-Corcoran, CA Metro Area",Hanford CA,CA
25420,"Harrisburg-Carlisle, PA Metro Area",Harrisburg PA,PA
25500,"Harrisonburg, VA Metro Area",Harrisonburg VA,VA
25540,"Hartford-West Hartford-East Hartford, CT Metro Area",Hartford CT,CT
25860,"Hickory-Lenoir-Morganton, NC Metro Area",Hickory NC,NC
26100,"Holland-Grand Haven, MI Metro Area",Holland MI,MI
26420,"Houston-Sugar Land-Baytown, TX Metro Area",Houston TX,TX
26620,"Huntsville, AL Metro Area",Huntsville AL,AL
26900,"Indianapolis-Carmel, IN Metro Area",Indianapolis IN,IN
26980,"Iowa City, IA Metro Area",Iowa City IA,IA
27060,"Ithaca, NY Metro Area",Ithaca NY,NY
27100,"Jackson, MI Metro Area",Jackson MI,MI
27140,"Jackson, MS Metro Area",Jackson MS,MS
27180,"Jackson, TN Metro Area",Jackson TN,TN
27260,"Jacksonville, FL Metro Area",Jacksonville FL,FL
27780,"Johnstown, PA Metro Area",Johnstown PA,PA
28020,"Kalamazoo-Portage, MI Metro Area",Kalamazoo MI,MI
28100,"Kankakee-Bradley, IL Metro Area",Kankakee IL,IL
28140,"Kansas City, MO-KS Metro Area",Kansas City MO-KS,MO
28420,"Kennewick-Pasco-Richland, WA Metro Area",Kennewick-Pasco WA,WA
28660,"Killeen-Temple-Fort Hood, TX Metro Area",Killeen TX,TX
28940,"Knoxville, TN Metro Area",Knoxville TN,TN
29020,"Kokomo, IN Metro Area",Kokomo IN,IN
29100,"La Crosse, WI-MN Metro Area",La Crosse WI-MN,WI
29140,"Lafayette, IN Metro Area",Lafayette IN,IN
29180,"Lafayette, LA Metro Area",Lafayette LA,LA
29460,"Lakeland-Winter Haven, FL Metro Area",Lakeland FL,FL
29620,"Lansing-East Lansing, MI Metro Area",Lansing MI,MI
29700,"Laredo, TX Metro Area",Laredo TX,TX
29820,"Las Vegas-Paradise, NV Metro Area",Las Vegas-Henderson NV,NV
30140,"Lebanon, PA Metro Area",Lebanon PA,PA
30460,"Lexington-Fayette, KY Metro Area",Lexington-Fayette KY,KY
30700,"Lincoln, NE Metro Area",Lincoln NE,NE
30780,"Little Rock-North Little Rock-Conway, AR Metro Area",Little Rock AR,AR
30860,"Logan, UT-ID Metro Area",Logan UT,UT
31020,"Longview, WA Metro Area",Longview WA-OR,WA
31100,"Los Angeles-Long Beach-Santa Ana, CA Metro Area",Los Angeles-Long Beach-Anaheim CA,CA
31140,"Louisville/Jefferson County, KY-IN Metro Area",Louisville-Jefferson County KY-IN,KY
31180,"Lubbock, TX Metro Area",Lubbock TX,TX
31340,"Lynchburg, VA Metro Area",Lynchburg VA,VA
31540,"Madison, WI Metro Area",Madison WI,WI
32780,"Medford, OR Metro Area",Medford OR,OR
32820,"Memphis, TN-MS-AR Metro Area",Memphis TN-MS-AR,TN
32900,"Merced, CA Metro Area",Merced CA,CA
33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",Miami FL,FL
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",Minneapolis-St. Paul MN-WI,MN
33540,"Missoula, MT Metro Area",Missoula MT,MT
33660,"Mobile, AL Metro Area",Mobile AL,AL
33700,"Modesto, CA Metro Area",Modesto CA,CA
33860,"Montgomery, AL Metro Area",Montgomery AL,AL
34580,"Mount Vernon-Anacortes, WA Metro Area",Mount Vernon WA,WA
34620,"Muncie, IN Metro Area",Muncie IN,IN
34900,"Napa, CA Metro Area",Napa CA,CA
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",Nashville-Davidson TN,TN
35300,"New Haven-Milford, CT Metro Area",New Haven CT,CT
35380,"New Orleans-Metairie-Kenner, LA Metro Area",New Orleans LA,LA
35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",New York-Newark NY-NJ-CT,NY
35660,"Niles-Benton Harbor, MI Metro Area",Benton Harbor-St. Joseph-Fair Plain MI,MI
35980,"Norwich-New London, CT Metro Area",Norwich-New London CT-RI,CT
36100,"Ocala, FL Metro Area",Ocala FL,FL
36420,"Oklahoma City, OK Metro Area",Oklahoma City OK,OK
36500,"Olympia, WA Metro Area",Olympia-Lacey WA,WA
36540,"Omaha-Council Bluffs, NE-IA Metro Area",Omaha NE-IA,NE
36740,"Orlando-Kissimmee-Sanford, FL Metro Area",Orlando FL,FL
36780,"Oshkosh-Neenah, WI Metro Area",Oshkosh WI,WI
37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",Oxnard CA,CA
37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",Palm Bay-Melbourne FL,FL
37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",Pensacola FL-AL,FL
37900,"Peoria, IL Metro Area",Peoria IL,IL
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",Philadelphia PA-NJ-DE-MD,PA
38060,"Phoenix-Mesa-Glendale, AZ Metro Area",Phoenix-Mesa AZ,AZ
38300,"Pittsburgh, PA Metro Area",Pittsburgh PA,PA
38340,"Pittsfield, MA Metro Area",Pittsfield MA,MA
38860,"Portland-South Portland-Biddeford, ME Metro Area",Portland ME,ME
38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Portland OR-WA,OR
38940,"Port St. Lucie, FL Metro Area",Port St. Lucie FL,FL
39300,"Providence-New Bedford-Fall River, RI-MA Metro Area",Providence RI-MA,RI
39380,"Pueblo, CO Metro Area",Pueblo CO,CO
39540,"Racine, WI Metro Area",Racine WI,WI
39580,"Raleigh-Cary, NC Metro Area",Raleigh NC,NC
39820,"Redding, CA Metro Area",Redding CA,CA
39900,"Reno-Sparks, NV Metro Area",Reno NV-CA,NV
40060,"Richmond, VA Metro Area",Richmond VA,VA
40140,"Riverside-San Bernardino-Ontario, CA Metro Area",Riverside-San Bernardino CA,CA
40220,"Roanoke, VA Metro Area",Roanoke VA,VA
40340,"Rochester, MN Metro Area",Rochester MN,MN
40380,"Rochester, NY Metro Area",Rochester NY,NY
40420,"Rockford, IL Metro Area",Rockford IL,IL
40660,"Rome, GA Metro Area",Rome GA,GA
40900,"Sacramento--Arden-Arcade--Roseville, CA Metro Area",Sacramento CA,CA
40980,"Saginaw-Saginaw Township North, MI Metro Area",Saginaw MI,MI
41060,"St. Cloud, MN Metro Area",St. Cloud MN,MN
41180,"St. Louis, MO-IL Metro Area",St. Louis MO-IL,MO
41420,"Salem, OR Metro Area",Salem OR,OR
41500,"Salinas, CA Metro Area",Salinas CA,CA
41540,"Salisbury, MD Metro Area",Salisbury MD-DE,MD
41620,"Salt Lake City, UT Metro Area",Salt Lake City-West Valley City UT,UT
41660,"San Angelo, TX Metro Area",San Angelo TX,TX
41700,"San Antonio-New Braunfels, TX Metro Area",San Antonio TX,TX
41740,"San Diego-Carlsbad-San Marcos, CA Metro Area",San Diego CA,CA
41860,"San Francisco-Oakland-Fremont, CA Metro Area",San Francisco-Oakland CA,CA
41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",San Jose CA,CA
42060,"Santa Barbara-Santa Maria-Goleta, CA Metro Area",Santa Barbara CA,CA
42100,"Santa Cruz-Watsonville, CA Metro Area",Santa Cruz CA,CA
42140,"Santa Fe, NM Metro Area",Santa Fe NM,NM
42220,"Santa Rosa-Petaluma, CA Metro Area",Santa Rosa CA,CA
42340,"Savannah, GA Metro Area",Savannah GA,GA
42540,"Scranton--Wilkes-Barre, PA Metro Area",Scranton PA,PA
42660,"Seattle-Tacoma-Bellevue, WA Metro Area",Seattle WA,WA
42680,"Sebastian-Vero Beach, FL Metro Area",Sebastian-Vero Bch S-Florida Ridge FL,FL
43340,"Shreveport-Bossier City, LA Metro Area",Shreveport LA,LA
43580,"Sioux City, IA-NE-SD Metro Area",Sioux City IA-NE-SD,IA
43620,"Sioux Falls, SD Metro Area",Sioux Falls SD,SD
44060,"Spokane, WA Metro Area",Spokane WA,WA
44100,"Springfield, IL Metro Area",Springfield IL,IL
44180,"Springfield, MO Metro Area",Springfield MO,MO
44300,"State College, PA Metro Area",State College PA,PA
44700,"Stockton, CA Metro Area",Stockton CA,CA
44940,"Sumter, SC Metro Area",Sumter SC,SC
45060,"Syracuse, NY Metro Area",Syracuse NY,NY
45220,"Tallahassee, FL Metro Area",Tallahassee FL,FL
45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Tampa-St. Petersburg FL,FL
45460,"Terre Haute, IN Metro Area",Terre Haute IN,IN
45780,"Toledo, OH Metro Area",Toledo OH-MI,OH
45820,"Topeka, KS Metro Area",Topeka KS,KS
46060,"Tucson, AZ Metro Area",Tucson AZ,AZ
46140,"Tulsa, OK Metro Area",Tulsa OK,OK
46700,"Vallejo-Fairfield, CA Metro Area",Vallejo CA,CA
47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",Virginia Beach VA,VA
47300,"Visalia-Porterville, CA Metro Area",Visalia CA,CA
47380,"Waco, TX Metro Area",Waco TX,TX
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Washington DC-VA-MD,DC
48300,"Wenatchee-East Wenatchee, WA Metro Area",Wenatchee WA,WA
