SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017
040,25,000,00000,00000,00000,0,A,Massachusetts,Massachusetts,6547629,6547808,6564943,6612178,6659627,6711138,6757925,6794002,6823721,6859819
162,25,000,00840,00000,00000,0,A,Agawam Town city,Massachusetts,28438,28438,28446,28580,28623,28700,28720,28784,28750,28849
162,25,000,01260,00000,00000,0,A,Amesbury Town city,Massachusetts,16283,16283,16318,16425,16527,16734,17217,17296,17341,17457
162,25,000,02690,00000,00000,0,A,Attleboro city,Massachusetts,43593,43598,43616,43698,43849,43981,44182,44358,44459,44590
162,25,000,03690,00000,00000,0,A,Barnstable Town city,Massachusetts,45193,45189,45146,44857,44741,44592,44469,44261,44156,44163
162,25,000,05595,00000,00000,0,A,Beverly city,Massachusetts,39502,39502,39720,40086,40377,40845,41210,41529,41656,41816
162,25,000,07000,00000,00000,0,A,Boston city,Massachusetts,617594,617725,620702,630072,641955,652039,661103,669255,678430,685094
162,25,000,07740,00000,00000,0,A,Braintree Town city,Massachusetts,35744,35726,35801,36017,36336,36783,37153,37160,37152,37156
162,25,000,09000,00000,00000,0,A,Brockton city,Massachusetts,93810,93763,93796,94110,94030,94377,94839,95434,95373,95672
162,25,000,11000,00000,00000,0,A,Cambridge city,Massachusetts,105162,105201,105028,105906,106298,108026,110056,110516,112183,113630
162,25,000,13205,00000,00000,0,A,Chelsea city,Massachusetts,35177,35177,35322,36183,36852,37588,38579,39715,40256,40227
162,25,000,13660,00000,00000,0,A,Chicopee city,Massachusetts,55298,55298,55287,55566,55762,55864,56236,55853,55434,55515
162,25,000,19370,00000,00000,0,A,Easthampton Town city,Massachusetts,16053,16053,16050,16069,16099,16070,16048,16014,16068,16050
162,25,000,21990,00000,00000,0,A,Everett city,Massachusetts,41667,41664,41753,42243,42762,43328,44506,45729,46133,46324
162,25,000,23000,00000,00000,0,A,Fall River city,Massachusetts,88857,88857,88873,88823,88857,89023,89180,89367,89355,89420
162,25,000,23875,00000,00000,0,A,Fitchburg city,Massachusetts,40318,40318,40431,40415,40497,40564,40644,40678,40675,40793
162,25,000,25172,00000,00000,0,A,Franklin Town city,Massachusetts,31635,31633,31843,32165,32326,32611,32796,32873,32942,32996
162,25,000,25485,00000,00000,0,A,Gardner city,Massachusetts,20228,20227,20166,20216,20358,20401,20331,20516,20536,20640
162,25,000,26150,00000,00000,0,A,Gloucester city,Massachusetts,28789,28789,28867,29053,29265,29521,29727,29913,30006,30172
162,25,000,27100,00000,00000,0,A,Greenfield Town city,Massachusetts,17456,17456,17435,17604,17627,17482,17587,17424,17429,17442
162,25,000,29405,00000,00000,0,A,Haverhill city,Massachusetts,60879,60879,60989,61499,61843,62270,62587,62896,63252,63639
162,25,000,30840,00000,00000,0,A,Holyoke city,Massachusetts,39880,39880,39908,40116,40172,40096,40679,40389,40335,40341
162,25,000,34550,00000,00000,0,A,Lawrence city,Massachusetts,76377,76381,76575,77291,77926,78416,79201,79784,79922,80162
162,25,000,35075,00000,00000,0,A,Leominster city,Massachusetts,40759,40759,40775,40903,40936,41123,41488,41566,41419,41615
