,CBSAFP,Year,PBS_Start,PBS_End,PBS_Flag,Link
0,11260,2002,0,0,0,nan
1,11260,2003,0,0,0,nan
2,11260,2004,0,0,0,nan
3,11260,2005,0,0,0,nan
4,11260,2006,0,0,0,nan
5,11260,2007,0,0,0,nan
6,11260,2008,0,0,0,nan
7,11260,2009,0,0,0,nan
8,11260,2010,0,0,0,nan
9,11260,2011,0,0,0,nan
10,11260,2012,0,0,0,nan
11,11260,2013,0,0,0,nan
12,11260,2014,0,0,0,nan
13,11260,2015,0,0,0,nan
14,11260,2016,0,0,0,nan
15,11260,2017,0,0,0,nan
16,11260,2018,0,0,0,nan
17,13820,2002,2015,0,0,"zypbikeshare.com
https://electricbikereport.com/first-u-s-electric-bike-sharing-launches-in-birmingham-alabama/"
18,13820,2003,2015,0,0,"zypbikeshare.com
https://electricbikereport.com/first-u-s-electric-bike-sharing-launches-in-birmingham-alabama/"
19,13820,2004,2015,0,0,"zypbikeshare.com
https://electricbikereport.com/first-u-s-electric-bike-sharing-launches-in-birmingham-alabama/"
20,13820,2005,2015,0,0,"zypbikeshare.com
https://electricbikereport.com/first-u-s-electric-bike-sharing-launches-in-birmingham-alabama/"
21,13820,2006,2015,0,0,"zypbikeshare.com
https://electricbikereport.com/first-u-s-electric-bike-sharing-launches-in-birmingham-alabama/"
22,13820,2007,2015,0,0,"zypbikeshare.com
https://electricbikereport.com/first-u-s-electric-bike-sharing-launches-in-birmingham-alabama/"
23,13820,2008,2015,0,0,"zypbikeshare.com
https://electricbikereport.com/first-u-s-electric-bike-sharing-launches-in-birmingham-alabama/"
24,13820,2009,2015,0,0,"zypbikeshare.com
https://electricbikereport.com/first-u-s-electric-bike-sharing-launches-in-birmingham-alabama/"
25,13820,2010,2015,0,0,"zypbikeshare.com
https://electricbikereport.com/first-u-s-electric-bike-sharing-launches-in-birmingham-alabama/"
26,13820,2011,2015,0,0,"zypbikeshare.com
https://electricbikereport.com/first-u-s-electric-bike-sharing-launches-in-birmingham-alabama/"
27,13820,2012,2015,0,0,"zypbikeshare.com
https://electricbikereport.com/first-u-s-electric-bike-sharing-launches-in-birmingham-alabama/"
28,13820,2013,2015,0,0,"zypbikeshare.com
https://electricbikereport.com/first-u-s-electric-bike-sharing-launches-in-birmingham-alabama/"
29,13820,2014,2015,0,0,"zypbikeshare.com
https://electricbikereport.com/first-u-s-electric-bike-sharing-launches-in-birmingham-alabama/"
30,13820,2015,2015,0,1,"zypbikeshare.com
https://electricbikereport.com/first-u-s-electric-bike-sharing-launches-in-birmingham-alabama/"
31,13820,2016,2015,0,1,"zypbikeshare.com
https://electricbikereport.com/first-u-s-electric-bike-sharing-launches-in-birmingham-alabama/"
32,13820,2017,2015,0,1,"zypbikeshare.com
https://electricbikereport.com/first-u-s-electric-bike-sharing-launches-in-birmingham-alabama/"
33,13820,2018,2015,0,1,"zypbikeshare.com
https://electricbikereport.com/first-u-s-electric-bike-sharing-launches-in-birmingham-alabama/"
34,26620,2002,2017,0,0,http://bike.zagster.com/downtownhuntsville/
35,26620,2003,2017,0,0,http://bike.zagster.com/downtownhuntsville/
36,26620,2004,2017,0,0,http://bike.zagster.com/downtownhuntsville/
37,26620,2005,2017,0,0,http://bike.zagster.com/downtownhuntsville/
38,26620,2006,2017,0,0,http://bike.zagster.com/downtownhuntsville/
39,26620,2007,2017,0,0,http://bike.zagster.com/downtownhuntsville/
40,26620,2008,2017,0,0,http://bike.zagster.com/downtownhuntsville/
41,26620,2009,2017,0,0,http://bike.zagster.com/downtownhuntsville/
42,26620,2010,2017,0,0,http://bike.zagster.com/downtownhuntsville/
43,26620,2011,2017,0,0,http://bike.zagster.com/downtownhuntsville/
44,26620,2012,2017,0,0,http://bike.zagster.com/downtownhuntsville/
45,26620,2013,2017,0,0,http://bike.zagster.com/downtownhuntsville/
46,26620,2014,2017,0,0,http://bike.zagster.com/downtownhuntsville/
47,26620,2015,2017,0,0,http://bike.zagster.com/downtownhuntsville/
48,26620,2016,2017,0,0,http://bike.zagster.com/downtownhuntsville/
49,26620,2017,2017,0,1,http://bike.zagster.com/downtownhuntsville/
50,26620,2018,2017,0,1,http://bike.zagster.com/downtownhuntsville/
51,33660,2002,2018,0,0,"But I think its closed now
http://utv44.com/news/local/lime-bike-backpedaling-out-of-mobile-after-6-months"
52,33660,2003,2018,0,0,"But I think its closed now
http://utv44.com/news/local/lime-bike-backpedaling-out-of-mobile-after-6-months"
53,33660,2004,2018,0,0,"But I think its closed now
http://utv44.com/news/local/lime-bike-backpedaling-out-of-mobile-after-6-months"
54,33660,2005,2018,0,0,"But I think its closed now
http://utv44.com/news/local/lime-bike-backpedaling-out-of-mobile-after-6-months"
55,33660,2006,2018,0,0,"But I think its closed now
http://utv44.com/news/local/lime-bike-backpedaling-out-of-mobile-after-6-months"
56,33660,2007,2018,0,0,"But I think its closed now
http://utv44.com/news/local/lime-bike-backpedaling-out-of-mobile-after-6-months"
57,33660,2008,2018,0,0,"But I think its closed now
http://utv44.com/news/local/lime-bike-backpedaling-out-of-mobile-after-6-months"
58,33660,2009,2018,0,0,"But I think its closed now
http://utv44.com/news/local/lime-bike-backpedaling-out-of-mobile-after-6-months"
59,33660,2010,2018,0,0,"But I think its closed now
http://utv44.com/news/local/lime-bike-backpedaling-out-of-mobile-after-6-months"
60,33660,2011,2018,0,0,"But I think its closed now
http://utv44.com/news/local/lime-bike-backpedaling-out-of-mobile-after-6-months"
61,33660,2012,2018,0,0,"But I think its closed now
http://utv44.com/news/local/lime-bike-backpedaling-out-of-mobile-after-6-months"
62,33660,2013,2018,0,0,"But I think its closed now
http://utv44.com/news/local/lime-bike-backpedaling-out-of-mobile-after-6-months"
63,33660,2014,2018,0,0,"But I think its closed now
http://utv44.com/news/local/lime-bike-backpedaling-out-of-mobile-after-6-months"
64,33660,2015,2018,0,0,"But I think its closed now
http://utv44.com/news/local/lime-bike-backpedaling-out-of-mobile-after-6-months"
65,33660,2016,2018,0,0,"But I think its closed now
http://utv44.com/news/local/lime-bike-backpedaling-out-of-mobile-after-6-months"
66,33660,2017,2018,0,0,"But I think its closed now
http://utv44.com/news/local/lime-bike-backpedaling-out-of-mobile-after-6-months"
67,33660,2018,2018,0,1,"But I think its closed now
http://utv44.com/news/local/lime-bike-backpedaling-out-of-mobile-after-6-months"
68,33860,2002,2019,0,0,https://www.wsfa.com/2019/05/17/city-montgomery-roll-out-bike-sharing-initiative-this-summer/
69,33860,2003,2019,0,0,https://www.wsfa.com/2019/05/17/city-montgomery-roll-out-bike-sharing-initiative-this-summer/
70,33860,2004,2019,0,0,https://www.wsfa.com/2019/05/17/city-montgomery-roll-out-bike-sharing-initiative-this-summer/
71,33860,2005,2019,0,0,https://www.wsfa.com/2019/05/17/city-montgomery-roll-out-bike-sharing-initiative-this-summer/
72,33860,2006,2019,0,0,https://www.wsfa.com/2019/05/17/city-montgomery-roll-out-bike-sharing-initiative-this-summer/
73,33860,2007,2019,0,0,https://www.wsfa.com/2019/05/17/city-montgomery-roll-out-bike-sharing-initiative-this-summer/
74,33860,2008,2019,0,0,https://www.wsfa.com/2019/05/17/city-montgomery-roll-out-bike-sharing-initiative-this-summer/
75,33860,2009,2019,0,0,https://www.wsfa.com/2019/05/17/city-montgomery-roll-out-bike-sharing-initiative-this-summer/
76,33860,2010,2019,0,0,https://www.wsfa.com/2019/05/17/city-montgomery-roll-out-bike-sharing-initiative-this-summer/
77,33860,2011,2019,0,0,https://www.wsfa.com/2019/05/17/city-montgomery-roll-out-bike-sharing-initiative-this-summer/
78,33860,2012,2019,0,0,https://www.wsfa.com/2019/05/17/city-montgomery-roll-out-bike-sharing-initiative-this-summer/
79,33860,2013,2019,0,0,https://www.wsfa.com/2019/05/17/city-montgomery-roll-out-bike-sharing-initiative-this-summer/
80,33860,2014,2019,0,0,https://www.wsfa.com/2019/05/17/city-montgomery-roll-out-bike-sharing-initiative-this-summer/
81,33860,2015,2019,0,0,https://www.wsfa.com/2019/05/17/city-montgomery-roll-out-bike-sharing-initiative-this-summer/
