NTD_ID,Company_Nm,MODE,Service_Cd,Small_Systems_Waiver_Fl,2012
1,King County Department of Transportation - Metro Transit Division,CB,PT,N,13895391.00
1,King County Department of Transportation - Metro Transit Division,DR,PT,N,1005687.00
1,King County Department of Transportation - Metro Transit Division,DT,PT,N,328203.00
1,King County Department of Transportation - Metro Transit Division,LR,PT,N,13989008.00
1,King County Department of Transportation - Metro Transit Division,MB,DO,N,117457509.00
1,King County Department of Transportation - Metro Transit Division,MB,PT,N,266612.00
1,King County Department of Transportation - Metro Transit Division,SR,DO,N,505039.00
1,King County Department of Transportation - Metro Transit Division,TB,DO,N,23547904.00
1,King County Department of Transportation - Metro Transit Division,VP,DO,N,10320050.00
2,Spokane Transit Authority,DR,DO,N,494167.00
2,Spokane Transit Authority,DR,PT,N,170674.00
2,Spokane Transit Authority,MB,DO,N,8922422.00
2,Spokane Transit Authority,VP,DO,N,727380.00
3,Pierce County Transportation Benefit Area Authority,CB,PT,N,8770765.00
3,Pierce County Transportation Benefit Area Authority,DR,DO,N,67844.00
3,Pierce County Transportation Benefit Area Authority,DR,PT,N,183144.00
3,Pierce County Transportation Benefit Area Authority,MB,DO,N,9324727.00
3,Pierce County Transportation Benefit Area Authority,VP,DO,N,2643525.00
5,Everett Transit,DR,DO,N,106105.00
5,Everett Transit,MB,DO,N,1210870.00
6,Yakima Transit,DR,PT,N,122115.00
6,Yakima Transit,MB,DO,N,502570.00
6,Yakima Transit,VP,DO,N,233280.00
7,Lane Transit District,DR,PT,N,270481.00
7,Lane Transit District,DT,PT,N,0.00
7,Lane Transit District,MB,DO,N,5177964.00
7,Lane Transit District,MB,PT,N,36047.00
7,Lane Transit District,RB,DO,N,1560433.00
7,Lane Transit District,VP,PT,N,80671.00
8,Tri-County Metropolitan Transportation District of Oregon,DR,PT,N,4192994.00
8,Tri-County Metropolitan Transportation District of Oregon,DT,PT,N,517941.00
8,Tri-County Metropolitan Transportation District of Oregon,LR,DO,N,43069976.00
8,Tri-County Metropolitan Transportation District of Oregon,MB,DO,N,56332405.00
8,Tri-County Metropolitan Transportation District of Oregon,YR,PT,N,447356.00
11,Valley Regional Transit,DR,DO,N,84318.00
11,Valley Regional Transit,MB,DO,N,862227.00
12,Municipality of Anchorage - Public Transportation Department,DR,PT,N,1676912.00
12,Municipality of Anchorage - Public Transportation Department,MB,DO,N,4353774.00
12,Municipality of Anchorage - Public Transportation Department,VP,PT,N,833383.00
16,RiverCities Transit ,DR,PT,N,14996.00
16,RiverCities Transit ,MB,DO,N,131217.00
18,Ben Franklin Transit,DR,DO,N,303952.00
18,Ben Franklin Transit,DR,PT,N,1400.00
18,Ben Franklin Transit,DT,PT,N,107822.00
18,Ben Franklin Transit,MB,DO,N,1376351.00
18,Ben Franklin Transit,VP,DO,N,2317843.00
19,Intercity Transit,CB,DO,N,346848.00
19,Intercity Transit,DR,DO,N,197789.00
19,Intercity Transit,MB,DO,N,2194800.00
19,Intercity Transit,VP,DO,N,1641547.00
20,Kitsap Transit,DR,DO,N,294996.00
20,Kitsap Transit,DT,PT,N,822.00
20,Kitsap Transit,FB,PT,N,827536.00
20,Kitsap Transit,MB,DO,N,5314319.00
20,Kitsap Transit,VP,DO,N,740109.00
21,Whatcom Transportation Authority,DR,DO,N,75953.00
21,Whatcom Transportation Authority,DT,PT,N,174.00
21,Whatcom Transportation Authority,MB,DO,N,1858288.00
21,Whatcom Transportation Authority,VP,DO,N,174801.00
22,City of Pocatello - Pocatello Regional Transit,DR,DO,Y,51792.00
22,City of Pocatello - Pocatello Regional Transit,MB,DO,Y,79575.00
23,City of Seattle - Seattle Center Monorail Transit,MG,PT,N,4074219.00
24,Clark County Public Transportation Benefit Area Authority,DR,DO,N,340685.00
24,Clark County Public Transportation Benefit Area Authority,MB,DO,N,7204993.00
24,Clark County Public Transportation Benefit Area Authority,VP,DO,N,158695.00
25,Salem Area Mass Transit District,DR,PT,N,248961.00
25,Salem Area Mass Transit District,MB,DO,N,2487342.00
25,Salem Area Mass Transit District,VP,PT,N,140800.00
28,Pierce County Ferry Operations,FB,PT,N,1939609.00
29,Snohomish County Public Transportation Benefit Area Corporation,CB,PT,N,12988125.00
29,Snohomish County Public Transportation Benefit Area Corporation,DR,PT,N,279449.00
29,Snohomish County Public Transportation Benefit Area Corporation,MB,DO,N,9677372.00
29,Snohomish County Public Transportation Benefit Area Corporation,VP,DO,N,2621213.00
34,Rogue Valley Transportation District,DR,PT,N,174488.00
34,Rogue Valley Transportation District,MB,DO,N,1049229.00
35,Washington State Ferries,FB,DO,N,36280648.00
40,Central Puget Sound Regional Transit Authority,CB,DO,N,22719140.00
40,Central Puget Sound Regional Transit Authority,CB,PT,N,7932455.00
40,Central Puget Sound Regional Transit Authority,CR,PT,N,9480587.00
40,Central Puget Sound Regional Transit Authority,LR,DO,N,14013302.00
40,Central Puget Sound Regional Transit Authority,SR,DO,N,0.00
41,Alaska Railroad Corporation,AR,DO,N,14500525.00
42,Targhee Regional Public Transit Authority,DR,DO,Y,52040.00
42,Targhee Regional Public Transit Authority,MB,DO,Y,18249.00
43,Link Transit,DR,DO,N,53643.00
43,Link Transit,DR,PT,N,8343.00
43,Link Transit,MB,DO,N,731077.00
44,Skagit Transit,CB,DO,N,67130.00
44,Skagit Transit,DR,DO,N,8118.00
44,Skagit Transit,MB,DO,N,399051.00
44,Skagit Transit,VP,DO,N,425780.00
45,Fairbanks North Star Borough Transit,DR,DO,Y,36227.00
