NTD_ID,Agency,SSW,Mode,TOS,2013
1,King County Department of Transportation - Metro Transit Division,N,CB,PT,14583312.00
1,King County Department of Transportation - Metro Transit Division,N,DR,PT,750659.00
1,King County Department of Transportation - Metro Transit Division,N,DT,PT,509850.00
1,King County Department of Transportation - Metro Transit Division,N,LR,PT,14845952.00
1,King County Department of Transportation - Metro Transit Division,N,MB,DO,122535567.00
1,King County Department of Transportation - Metro Transit Division,N,MB,PT,277338.00
1,King County Department of Transportation - Metro Transit Division,N,SR,DO,761610.00
1,King County Department of Transportation - Metro Transit Division,N,TB,DO,23166653.00
1,King County Department of Transportation - Metro Transit Division,N,VP,DO,11487561.00
2,Spokane Transit Authority,N,DR,DO,444397.00
2,Spokane Transit Authority,N,DR,PT,190595.00
2,Spokane Transit Authority,N,MB,DO,9019785.00
2,Spokane Transit Authority,N,VP,DO,709604.00
3,Pierce County Transportation Benefit Area Authority,N,CB,PT,9514733.00
3,Pierce County Transportation Benefit Area Authority,N,DR,DO,95710.00
3,Pierce County Transportation Benefit Area Authority,N,DR,PT,169952.00
3,Pierce County Transportation Benefit Area Authority,N,MB,DO,8952627.00
3,Pierce County Transportation Benefit Area Authority,N,VP,DO,3047890.00
5,Everett Transit,N,DR,DO,106263.00
5,Everett Transit,N,MB,DO,1507463.00
6,Yakima Transit,N,DR,PT,118499.00
6,Yakima Transit,N,MB,DO,873269.00
6,Yakima Transit,N,VP,DO,255610.00
7,Lane Transit District,N,DR,PT,288504.00
7,Lane Transit District,N,DT,PT,0.00
7,Lane Transit District,N,MB,DO,5254293.00
7,Lane Transit District,N,MB,PT,38594.00
7,Lane Transit District,N,RB,DO,1660015.00
7,Lane Transit District,N,VP,PT,127274.00
8,Tri-County Metropolitan Transportation District of Oregon,N,DR,PT,3708623.00
8,Tri-County Metropolitan Transportation District of Oregon,N,DT,PT,431486.00
8,Tri-County Metropolitan Transportation District of Oregon,N,LR,DO,46442818.00
8,Tri-County Metropolitan Transportation District of Oregon,N,MB,DO,63818606.00
8,Tri-County Metropolitan Transportation District of Oregon,N,SR,PT,363170.00
8,Tri-County Metropolitan Transportation District of Oregon,N,YR,PT,467838.00
11,Valley Regional Transit,N,DR,DO,86154.00
11,Valley Regional Transit,N,MB,DO,906723.00
12,Municipality of Anchorage - Public Transportation Department,N,DR,PT,1237847.00
12,Municipality of Anchorage - Public Transportation Department,N,MB,DO,4265961.00
12,Municipality of Anchorage - Public Transportation Department,N,VP,PT,643117.00
16,RiverCities Transit,N,DR,PT,20288.00
16,RiverCities Transit,N,MB,DO,123942.00
18,Ben Franklin Transit,N,DR,DO,261144.00
18,Ben Franklin Transit,N,DR,PT,31275.00
18,Ben Franklin Transit,N,DT,PT,99954.00
18,Ben Franklin Transit,N,MB,DO,1277604.00
18,Ben Franklin Transit,N,VP,DO,2156253.00
19,Intercity Transit,N,CB,DO,387089.00
19,Intercity Transit,N,CB,PT,13027.00
19,Intercity Transit,N,DR,DO,210126.00
19,Intercity Transit,N,MB,DO,2463042.00
19,Intercity Transit,N,VP,DO,1845933.00
20,Kitsap Transit,N,DR,DO,298168.00
20,Kitsap Transit,N,DT,PT,248.00
20,Kitsap Transit,N,FB,PT,779834.00
20,Kitsap Transit,N,MB,DO,5145340.00
20,Kitsap Transit,N,VP,DO,589039.00
21,Whatcom Transportation Authority,N,DR,DO,76441.00
21,Whatcom Transportation Authority,N,DT,PT,137.00
21,Whatcom Transportation Authority,N,MB,DO,1859314.00
21,Whatcom Transportation Authority,N,VP,DO,216962.00
22,City of Pocatello - Pocatello Regional Transit,Y,DR,DO,47470.00
22,City of Pocatello - Pocatello Regional Transit,Y,MB,DO,90075.00
23,City of Seattle - Seattle Center Monorail Transit,N,MG,PT,3991266.00
24,Clark County Public Transportation Benefit Area Authority,N,CB,DO,3473078.00
24,Clark County Public Transportation Benefit Area Authority,N,DR,DO,378198.00
24,Clark County Public Transportation Benefit Area Authority,N,MB,DO,3920025.00
24,Clark County Public Transportation Benefit Area Authority,N,VP,DO,199799.00
25,Salem Area Mass Transit District,N,DR,PT,198154.00
25,Salem Area Mass Transit District,N,MB,DO,2358925.00
25,Salem Area Mass Transit District,N,VP,PT,182063.00
28,Pierce County Ferry Operations,N,FB,PT,2000989.00
29,Snohomish County Public Transportation Benefit Area Corporation,N,CB,DO,3476786.00
29,Snohomish County Public Transportation Benefit Area Corporation,N,CB,PT,13818603.00
29,Snohomish County Public Transportation Benefit Area Corporation,N,DR,PT,318984.00
29,Snohomish County Public Transportation Benefit Area Corporation,N,MB,DO,7467102.00
29,Snohomish County Public Transportation Benefit Area Corporation,N,VP,DO,2752805.00
34,Rogue Valley Transportation District,N,DR,PT,123970.00
34,Rogue Valley Transportation District,N,MB,DO,1326362.00
35,Washington State Ferries,N,FB,DO,37615750.00
40,Central Puget Sound Regional Transit Authority,N,CB,DO,24111072.00
40,Central Puget Sound Regional Transit Authority,N,CB,PT,8503041.00
40,Central Puget Sound Regional Transit Authority,N,CR,PT,9484285.00
40,Central Puget Sound Regional Transit Authority,N,LR,DO,14845952.00
40,Central Puget Sound Regional Transit Authority,N,SR,DO,0.00
41,Alaska Railroad Corporation,N,AR,DO,15470981.00
42,Targhee Regional Public Transit Authority,Y,DR,DO,55962.00
42,Targhee Regional Public Transit Authority,Y,MB,DO,19332.00
43,Link Transit,N,DR,DO,42568.00
43,Link Transit,N,DR,PT,1712.00
43,Link Transit,N,MB,DO,668616.00
44,Skagit Transit,N,CB,DO,152964.00
44,Skagit Transit,N,DR,DO,7478.00
44,Skagit Transit,N,MB,DO,318008.00
44,Skagit Transit,N,VP,DO,492806.00
45,Fairbanks North Star Borough Transit,Y,DR,DO,36351.00
45,Fairbanks North Star Borough Transit,Y,MB,DO,253234.00
46,South Metro Area Regional Transit,Y,DR,DO,6459.00
46,South Metro Area Regional Transit,Y,MB,DO,217472.00
47,City of Corvallis,N,DR,PT,0.00
47,City of Corvallis,N,MB,PT,0.00
