NTD_ID,Legacy NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Expense Type,2017
1,1,King County Department of Transportation,Full Reporter,Urban,CB,PT,Funds Earned During Period,17054149
1,1,King County Department of Transportation,Full Reporter,Urban,DR,PT,Funds Earned During Period,863494
1,1,King County Department of Transportation,Full Reporter,Urban,DT,PT,Funds Earned During Period,412730
1,1,King County Department of Transportation,Full Reporter,Urban,FB,DO,Funds Earned During Period,2620614
1,1,King County Department of Transportation,Full Reporter,Urban,LR,PT,Funds Earned During Period,38019002
1,1,King County Department of Transportation,Full Reporter,Urban,MB,DO,Funds Earned During Period,139520130
1,1,King County Department of Transportation,Full Reporter,Urban,MB,PT,Funds Earned During Period,1109846
1,1,King County Department of Transportation,Full Reporter,Urban,SR,DO,Funds Earned During Period,1368135
1,1,King County Department of Transportation,Full Reporter,Urban,TB,DO,Funds Earned During Period,22808461
1,1,King County Department of Transportation,Full Reporter,Urban,VP,DO,Funds Earned During Period,7622086
2,2,Spokane Transit Authority,Full Reporter,Urban,DR,DO,Funds Earned During Period,510050
2,2,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Funds Earned During Period,200174
2,2,Spokane Transit Authority,Full Reporter,Urban,MB,DO,Funds Earned During Period,8314345
2,2,Spokane Transit Authority,Full Reporter,Urban,VP,DO,Funds Earned During Period,528460
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,CB,PT,Funds Earned During Period,11185464
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,Funds Earned During Period,125212
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,Funds Earned During Period,225521
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,Funds Earned During Period,8716219
3,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,Funds Earned During Period,3050834
4,0T04,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,FB,DO,Funds Expended on Capital,0
4,0T04,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,FB,DO,Funds Expended on Operations,0
4,0T04,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0
4,0T04,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,0
5,5,Everett Transit,Full Reporter,Urban,DR,DO,Funds Earned During Period,103668
5,5,Everett Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,1206043
6,6,Yakima Transit,Full Reporter,Urban,CB,PT,Funds Earned During Period,235439
6,6,Yakima Transit,Full Reporter,Urban,DR,PT,Funds Earned During Period,122189
6,6,Yakima Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,828281
6,6,Yakima Transit,Full Reporter,Urban,VP,DO,Funds Earned During Period,131634
7,7,Lane Transit District,Full Reporter,Urban,DR,PT,Funds Earned During Period,271429
7,7,Lane Transit District,Full Reporter,Urban,DT,PT,Funds Earned During Period,0
7,7,Lane Transit District,Full Reporter,Urban,MB,DO,Funds Earned During Period,5528894
7,7,Lane Transit District,Full Reporter,Urban,MB,PT,Funds Earned During Period,19585
7,7,Lane Transit District,Full Reporter,Urban,RB,DO,Funds Earned During Period,1945538
7,7,Lane Transit District,Full Reporter,Urban,VP,PT,Funds Earned During Period,289022
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,PT,Funds Earned During Period,7769411
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DT,PT,Funds Earned During Period,1118651
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,LR,DO,Funds Earned During Period,49384596
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,MB,DO,Funds Earned During Period,65512900
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,SR,PT,Funds Earned During Period,801809
8,8,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,YR,PT,Funds Earned During Period,473627
9,0T09,Kalispel Tribe of Indians,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,0
9,0T09,Kalispel Tribe of Indians,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,0
9,0T09,Kalispel Tribe of Indians,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0
9,0T09,Kalispel Tribe of Indians,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,0
10,0T10,Klamath Tribes,Reduced Reporter,Tribe,CB,DO,Funds Expended on Capital,0
10,0T10,Klamath Tribes,Reduced Reporter,Tribe,CB,DO,Funds Expended on Operations,0
10,0T10,Klamath Tribes,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,0
10,0T10,Klamath Tribes,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,0
11,11,Valley Regional Transit,Full Reporter,Urban,DR,DO,Funds Earned During Period,95852
11,11,Valley Regional Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,841606
12,12,Municipality of Anchorage - Public Transportation Department,Full Reporter,Urban,DR,PT,Funds Earned During Period,931437
12,12,Municipality of Anchorage - Public Transportation Department,Full Reporter,Urban,MB,DO,Funds Earned During Period,3207156
12,12,Municipality of Anchorage - Public Transportation Department,Full Reporter,Urban,MB,PT,Funds Earned During Period,28066
12,12,Municipality of Anchorage - Public Transportation Department,Full Reporter,Urban,VP,PT,Funds Earned During Period,755753
14,0T14,Sitka Tribe of Alaska,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0
14,0T14,Sitka Tribe of Alaska,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,49381
15,0T15,Snoqualmie Indian Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,0
15,0T15,Snoqualmie Indian Tribe,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,0
16,16,RiverCities Transit,Full Reporter,Urban,DR,PT,Funds Earned During Period,35145
16,16,RiverCities Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,153470
16,16,RiverCities Transit,Full Reporter,Urban,VP,DO,Funds Earned During Period,288
17,0T17,Stillaguamish Tribe of Indians,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,0
17,0T17,Stillaguamish Tribe of Indians,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,0
17,0T17,Stillaguamish Tribe of Indians,Reduced Reporter,Tribe,VP,DO,Funds Expended on Capital,0
17,0T17,Stillaguamish Tribe of Indians,Reduced Reporter,Tribe,VP,DO,Funds Expended on Operations,10011
18,18,Ben Franklin Transit,Full Reporter,Urban,DR,DO,Funds Earned During Period,317092
18,18,Ben Franklin Transit,Full Reporter,Urban,DR,PT,Funds Earned During Period,33505
18,18,Ben Franklin Transit,Full Reporter,Urban,DT,PT,Funds Earned During Period,129090
18,18,Ben Franklin Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,1483642
18,18,Ben Franklin Transit,Full Reporter,Urban,VP,DO,Funds Earned During Period,1877932
19,19,Intercity Transit,Full Reporter,Urban,CB,DO,Funds Earned During Period,219148
19,19,Intercity Transit,Full Reporter,Urban,CB,PT,Funds Earned During Period,31696
19,19,Intercity Transit,Full Reporter,Urban,DR,DO,Funds Earned During Period,273955
19,19,Intercity Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,2316371
19,19,Intercity Transit,Full Reporter,Urban,VP,DO,Funds Earned During Period,1434951
20,20,Kitsap Transit,Full Reporter,Urban,DR,DO,Funds Earned During Period,266329
20,20,Kitsap Transit,Full Reporter,Urban,DT,PT,Funds Earned During Period,422
20,20,Kitsap Transit,Full Reporter,Urban,FB,DO,Funds Earned During Period,398573
20,20,Kitsap Transit,Full Reporter,Urban,FB,PT,Funds Earned During Period,601182
20,20,Kitsap Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,4023907
20,20,Kitsap Transit,Full Reporter,Urban,VP,DO,Funds Earned During Period,505729
21,21,Whatcom Transportation Authority,Full Reporter,Urban,DR,DO,Funds Earned During Period,91098
21,21,Whatcom Transportation Authority,Full Reporter,Urban,DT,PT,Funds Earned During Period,98
21,21,Whatcom Transportation Authority,Full Reporter,Urban,MB,DO,Funds Earned During Period,2564870
21,21,Whatcom Transportation Authority,Full Reporter,Urban,VP,DO,Funds Earned During Period,177809
22,22,City of Pocatello,Reduced Reporter,Urban,DR,DO,Funds Expended on Capital,0
22,22,City of Pocatello,Reduced Reporter,Urban,DR,DO,Funds Expended on Operations,35700
22,22,City of Pocatello,Reduced Reporter,Urban,MB,DO,Funds Expended on Capital,0
22,22,City of Pocatello,Reduced Reporter,Urban,MB,DO,Funds Expended on Operations,96798
23,23,City of Seattle - Seattle Center Monorail Transit,Full Reporter,Urban,MG,PT,Funds Earned During Period,4050470
24,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,CB,DO,Funds Earned During Period,3325175
24,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,Funds Earned During Period,432468
24,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,Funds Earned During Period,2912059
24,24,Clark County Public Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,Funds Earned During Period,187394
25,25,Salem Area Mass Transit District,Full Reporter,Urban,DR,PT,Funds Earned During Period,376359
25,25,Salem Area Mass Transit District,Full Reporter,Urban,MB,DO,Funds Earned During Period,2551972
25,25,Salem Area Mass Transit District,Full Reporter,Urban,VP,PT,Funds Earned During Period,418369
28,28,Pierce County Ferry Operations,Full Reporter,Urban,FB,PT,Funds Earned During Period,2004543
29,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,DO,Funds Earned During Period,4340068
29,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,CB,PT,Funds Earned During Period,15204651
29,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,DR,PT,Funds Earned During Period,385633
29,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,MB,DO,Funds Earned During Period,8135402
29,29,Snohomish County Public Transportation Benefit Area Corporation,Full Reporter,Urban,VP,DO,Funds Earned During Period,2772180
30,0T30,Chickaloon Native Village,Reduced Reporter,Tribe,DR,DO,Funds Expended on Capital,0
30,0T30,Chickaloon Native Village,Reduced Reporter,Tribe,DR,DO,Funds Expended on Operations,52
31,0T31,Shoshone-Bannock Tribes ,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0
31,0T31,Shoshone-Bannock Tribes ,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,26623
34,34,Rogue Valley Transportation District,Full Reporter,Urban,DR,PT,Funds Earned During Period,156086
34,34,Rogue Valley Transportation District,Full Reporter,Urban,MB,DO,Funds Earned During Period,1101858
35,35,Washington State Ferries,Full Reporter,Urban,FB,DO,Funds Earned During Period,41670964
36,0T36,Makah Tribal Council,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,0
36,0T36,Makah Tribal Council,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,995
40,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,DO,Funds Earned During Period,28271310
40,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CB,PT,Funds Earned During Period,8993275
40,40,Central Puget Sound Regional Transit Authority,Full Reporter,Urban,CR,PT,Funds Earned During Period,15042598
