NTD ID,Legacy NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,Expense Type,Fares
1.00,0001,King County Department of Transportation,Full Reporter,Urban,CB,PT,Funds Earned During Period,"$17,054,149"
1.00,0001,King County Department of Transportation,Full Reporter,Urban,DR,PT,Funds Earned During Period,"$863,494"
1.00,0001,King County Department of Transportation,Full Reporter,Urban,DT,PT,Funds Earned During Period,"$412,730"
1.00,0001,King County Department of Transportation,Full Reporter,Urban,FB,DO,Funds Earned During Period,"$2,620,614"
1.00,0001,King County Department of Transportation,Full Reporter,Urban,LR,PT,Funds Earned During Period,"$38,019,002"
1.00,0001,King County Department of Transportation,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$139,520,130"
1.00,0001,King County Department of Transportation,Full Reporter,Urban,MB,PT,Funds Earned During Period,"$1,109,846"
1.00,0001,King County Department of Transportation,Full Reporter,Urban,SR,DO,Funds Earned During Period,"$1,368,135"
1.00,0001,King County Department of Transportation,Full Reporter,Urban,TB,DO,Funds Earned During Period,"$22,808,461"
1.00,0001,King County Department of Transportation,Full Reporter,Urban,VP,DO,Funds Earned During Period,"$7,622,086"
2.00,0002,Spokane Transit Authority,Full Reporter,Urban,DR,DO,Funds Earned During Period,"$510,050"
2.00,0002,Spokane Transit Authority,Full Reporter,Urban,DR,PT,Funds Earned During Period,"$200,174"
2.00,0002,Spokane Transit Authority,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$8,314,345"
2.00,0002,Spokane Transit Authority,Full Reporter,Urban,VP,DO,Funds Earned During Period,"$528,460"
3.00,0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,CB,PT,Funds Earned During Period,"$11,185,464"
3.00,0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO,Funds Earned During Period,"$125,212"
3.00,0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT,Funds Earned During Period,"$225,521"
3.00,0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$8,716,219"
3.00,0003,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO,Funds Earned During Period,"$3,050,834"
4.00,0T04,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,FB,DO,Funds Expended on Capital,
4.00,0T04,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,FB,DO,Funds Expended on Operations,$0
4.00,0T04,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Capital,
4.00,0T04,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,MB,DO,Funds Expended on Operations,$0
5.00,0005,Everett Transit,Full Reporter,Urban,DR,DO,Funds Earned During Period,"$103,668"
5.00,0005,Everett Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$1,206,043"
6.00,0006,Yakima Transit,Full Reporter,Urban,CB,PT,Funds Earned During Period,"$235,439"
6.00,0006,Yakima Transit,Full Reporter,Urban,DR,PT,Funds Earned During Period,"$122,189"
6.00,0006,Yakima Transit,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$828,281"
6.00,0006,Yakima Transit,Full Reporter,Urban,VP,DO,Funds Earned During Period,"$131,634"
7.00,0007,Lane Transit District,Full Reporter,Urban,DR,PT,Funds Earned During Period,"$271,429"
7.00,0007,Lane Transit District,Full Reporter,Urban,DT,PT,Funds Earned During Period,$0
7.00,0007,Lane Transit District,Full Reporter,Urban,MB,DO,Funds Earned During Period,"$5,528,894"
7.00,0007,Lane Transit District,Full Reporter,Urban,MB,PT,Funds Earned During Period,"$19,585"
7.00,0007,Lane Transit District,Full Reporter,Urban,RB,DO,Funds Earned During Period,"$1,945,538"
7.00,0007,Lane Transit District,Full Reporter,Urban,VP,PT,Funds Earned During Period,"$289,022"
8.00,0008,Tri-County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,PT,Funds Earned During Period,"$7,769,411"
