Last Report Year,5 Digit NTDID,4 Digit NTDID,Agency Name,Agency Status,Reporter Type,City,State,Census Year,Primary UZA Name,UZA,UZA Area SQ Miles,UZA Population,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
2016,00001,0001,King County Department of Transportation - Metro Transit Division(King County Metro),Active,Full Reporter,Seattle,WA,2010,"Seattle, WA",14,"1,010","3,059,393","$81,002,121","$75,485,244","$79,426,379","$89,455,581","$83,677,329","$96,930,681","$121,823,960","$136,270,876","$150,083,324","$164,218,106","$181,315,403","$188,918,502","$200,177,953","$202,551,056","$222,670,634"
2016,00002,0002,Spokane Transit Authority(STA),Active,Full Reporter,Spokane,WA,2010,"Spokane, WA",96,164,"387,847","$5,342,687","$5,588,122","$5,716,583","$5,847,503","$6,337,764","$6,666,523","$7,862,183","$7,867,601","$9,343,526","$10,151,749","$10,314,643","$10,364,381","$9,850,615","$9,222,045","$8,735,265"
2016,00003,0003,Pierce County Transportation Benefit Area Authority(Pierce Transit),Active,Full Reporter,Tacoma,WA,2010,"Seattle, WA",14,"1,010","3,059,393","$8,505,024","$8,937,798","$9,368,452","$12,209,418","$11,515,007","$15,294,888","$17,732,585","$19,813,445","$19,106,017","$20,400,543","$20,990,005","$21,780,912","$22,469,702","$23,070,526","$22,978,313"
2016,00005,0005,Everett Transit(ET),Active,Full Reporter,Everett,WA,2010,"Seattle, WA",14,"1,010","3,059,393","$810,051","$1,018,853","$1,090,503","$1,073,990","$837,548","$1,061,083","$1,132,685","$1,123,655","$1,310,825","$1,291,027","$1,316,975","$1,613,726","$1,554,008","$1,505,893","$1,391,585"
2016,00006,0006,Yakima Transit(YT),Active,Full Reporter,Yakima,WA,2010,"Yakima, WA",248,60,"129,534","$399,281","$434,234","$452,130","$451,948","$474,278","$538,185","$776,186","$798,079","$890,844","$981,876","$857,965","$1,247,378","$1,322,795","$1,349,072","$1,323,751"
2016,00007,0007,Lane Transit District(LTD),Active,Full Reporter,Eugene,OR,2010,"Eugene, OR",151,87,"247,421","$4,398,327","$4,727,872","$4,503,709","$4,614,359","$5,359,118","$5,442,772","$6,364,547","$6,935,139","$7,391,720","$7,729,470","$7,125,596","$7,368,680","$7,661,239","$7,953,238","$7,676,486"
2016,00008,0008,Tri-County Metropolitan Transportation District of Oregon(TriMet),Active,Full Reporter,Portland,OR,2010,"Portland, OR-WA",24,524,"1,849,898","$54,778,216","$54,444,840","$57,142,621","$60,936,514","$70,209,334","$77,597,071","$82,511,222","$93,181,389","$96,141,476","$99,628,864","$104,560,672","$115,232,541","$118,798,735","$123,219,141","$125,705,014"
2016,00011,0011,Valley Regional Transit(VRT),Active,Full Reporter,Meridian,ID,2010,"Boise City, ID",108,134,"349,684","$734,191","$713,842","$822,604","$753,682","$706,326","$776,445","$963,287","$969,520","$962,713","$972,196","$946,545","$992,877","$970,971","$1,020,472","$885,703"
2016,00012,0012,Municipality of Anchorage - Public Transportation Department(People Mover),Active,Full Reporter,Anchorage,AK,2010,"Anchorage, AK",149,85,"251,243","$3,060,957","$3,304,700","$3,653,174","$3,998,286","$4,593,133","$4,996,229","$5,072,992","$5,644,026","$5,658,021","$6,623,303","$6,864,069","$6,146,925","$7,084,984","$6,586,808","$6,004,865"
2016,00016,0016,RiverCities Transit(RCT),Active,Full Reporter,Longview,WA,2010,"Longview, WA-OR",431,33,"63,952","$98,997","$95,988","$101,290","$98,735","$101,551","$116,354","$131,521","$75,258","$141,335","$149,436","$146,213","$144,230","$121,006","$148,287","$194,570"
