5 digit NTD ID,4 digit NTD ID,Agency,Active,Reporter Type,UZA,UZA Name,Modes,TOS,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19
1,1,King County Department of Transportation - Metro Transit Division,Active,Full Reporter,14,"Seattle, WA",DR,PT,135144,127378,136030,142204,144697,131833,137547,136915,132111,150074,127835,114857,137888,126339,140920,144048,142725,135650,143660,136752,136291,152853,127150,131877,132563,136857,156728,151997,147491,150217,146303,145459,142994,147128,121962,127022,143393,139615,157100,152143,164149,159630,156130,167625,156514,160198,150451,147735,150003,141801,163541,152336,163392,162033,162413,176618,165721,168266,143859,136760,149158,147755,164726,163174,181919,172644,176029,185516,162255,179185,159051,150324,95701,94361,97490,102270,101764,96095,101836,96210,95551,108679,91534,94585,94608,88625,97448,98250,94046,94180,97728,95537,95663,103539,90144,92684,93494,91935,106040,103020,98987,99904,97480,99207,97192,104089,89891,95936,97988,91581,108150,101288,102906,100710,94743,101592,96300,99660,93937,88246,81322,93458,99497,95576,101273,92881,93252,97683,88042,100203,91161,85044,94010,88791,95012,97481,99526,89967,94243,93538,86747,98441,85117,80482,89760,80405,87426,91219,88900,83377,84799,82018,80946,90614,76389,76861,78761,75234,80757,79109,77368,76695,75763,73699,71205,76889,67696,69450,69003,72120,77530,75395,74815,73367,69480,76378,71898,74847,70426,65517,69528,63363,76764,71981,75959,72475,69215,74755,67205,75435,70504,66971,73712,67250,74959,74077,77958,72783,73821,77780,68824,79872,72742,69534,76658,53401,76292
1,1,King County Department of Transportation - Metro Transit Division,Active,Full Reporter,14,"Seattle, WA",DT,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6404,6316,6534,6692,6422,6321,7062,6855,7276,7671,6805,6369,6240,5782,6601,6987,6778,6805,6193,6662,6409,6116,6324,5733,5989,5674,5818,6234,6998,6144,6068,6220,5969,8232,6975,6415,6970,7567,7418,7447,7822,6807,7153,6575,7649,7276,7154,6545,7129,6345,6420,7786,7730,7482,8157,8120,9678,9912,8735,8750,8310,7794,8332,8833,9082,8388,9038,8034,9037,10347,10764,12059,10141,8371,10193,9277,9380,8991,9205,8492,7965,8858,9030,10762,7555,7293,8647,8110,9198,8843,8549,8569,8333,9894,9874,8996,10108,9756,11194,11112,12835,10209,10194,11422,12673,16334,15205,12705,14786,9670,15343
1,1,King County Department of Transportation,Active,Full Reporter,14,"Seattle, WA",FB,DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27674,29363,35062,53504,68182,65890,76560,83035,59502,44126,31648,27396,29690,29192,36883,42832,63252,69767,89020,65502,62049,52902,30879,27986,36150,31605,40987,48296,67867,73141,92078,92929,62839,55472,34159,28842,59293,41375,56148
1,1,King County Department of Transportation - Metro Transit Division,Active,Full Reporter,14,"Seattle, WA",LR,DO,12990,17240,21498,22687,31981,44346,64552,61922,32321,20384,13964,14050,16350,17793,21133,24064,32910,47554,70188,73932,40997,23825,18405,16439,16333,20096,23230,27988,33379,44854,62999,66065,41974,24849,19196,17146,16304,19660,23613,26523,33507,45838,64571,65722,40915,23291,14383,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,26877,26471,28368,28666,34360,39496,50467,44448,39113,35061,29354,31256,31286,30126,32198,34589,37271,42174,50954,45329,39679,36582,32736,38280,32333,32068,37579,37945,40646,45814,56703,53783,49409,45931,41713,47008,43829,41557,52376,54493,60001,69350,75852,79464,61848,59764,55182,60745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,King County Department of Transportation - Metro Transit Division,Active,Full Reporter,14,"Seattle, WA",MB,DO,6045861,5406135,5999230,6058398,6134503,5654916,5946469,5999146,5571149,6024277,5498884,5693491,5998896,5423887,6018871,6076454,6018871,5766180,5946970,5828996,5715720,6088824,5400923,5926597,6093909,5751219,6567769,6319709,6127029,6155486,6099154,6202824,5966222,6293987,5605563,6107568,5896330,5476222,6410896,6055762,6116028,5991094,5814124,6366292,6183790,6560273,6354789,5905728,6421670,5925927,6763587,6486482,7093231,6848317,6693758,6994407,6685764,7400289,6704747,6229763,6967115,6484827,7181006,7248546,7624266,7213238,7267431,7524861,6854654,8031056,7304973,6539383,7487026,7136195,7585852,7969203,8018889,7913943,8347451,7802411,8014541,8744520,7304647,6700932,7887269,7008525,7867102,7923102,7773626,7713617,7784848,7369565,7332260,7956736,7085528,6912882,7386466,6803766,7644319,7375979,7303003,7351755,7262000,7199827,7137221,7905101,7098141,7003188,7487139,6936238,7829315,7721856,7924215,7701206,7331312,7739253,7382058,8046589,7472910,7015202,7225999,7653303,8019442,7981372,8406940,7996541,7967390,8119968,7702374,8702116,7818766,7058209,8120141,7526483,8205177,8498612,8733153,7991423,8254012,8125544,7850652,8968389,7954362,7474570,8311232,7704450,8380648,8584665,8626523,8252640,8396060,8128400,8264380,9172604,7915847,7832612,8354419,7869270,8634873,8665166,8590349,8569476,8593597,8420304,8243763,9221945,8219363,7980357,8383033,8326396,8887128,8556763,8727968,8541069,8141290,8642726,8211555,8709581,8209262,7587360,8322531,7741480,8897619,8522858,8976802,8667512,8348447,8750954,8240729,8990050,8256206,7414381,8792433,7910296,8957167,8725844,9201162,8674899,8665944,8863329,8173423,9462604,8361757,7646317,8593857,7483833,8594498
1,1,King County Department of Transportation - Metro Transit Division,Active,Full Reporter,14,"Seattle, WA",MB,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63737,60239,63664,68238,80335,81931,93769,88152,82188,83653,72636,55110,64185,61223,62378,74507,75733,79006,82821,78017,75188,75180,59514,58926,60655,58012,64665,68847,69494,74669,78222,76062,72059,73859,59718,60768,61971,60182,67778,69464,73472,78179,74648,80637,73302,70585,59700,57070,54096,64681,73524,78018,89504,84800,87723,93142,82691,91232,74260,65993,74954,70610,75524,81974,88807,85464,93694,94731,82625,100247,81075,77309,85950,79869,86586,95504,98060,97827,106939,104447,98031,87720,64634,68952,70123,66698,75409,79611,79947,89936,91806,87402,83689,84469,65082,65927,66082,70105,77627,83469,89457,90045,88045,96354,85914,85660,75082,71043,69474,63466,75749,80645,75647,80061,79221,79823,70651,79019,66534,63288,64632,57248,65941,67524,73913,73450,82685,81021,68099,75867,61635,54402,70326,52632,70118
1,1,King County Department of Transportation - Metro Transit Division,Active,Full Reporter,14,"Seattle, WA",SR,DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52257,53828,59118,59778,64337,66623,73888,72004,64966,66392,60077,57620,63220,57580,61571,61648,62850,66520,79079,74806,61316,63656,52657,56030,55111,54429,56426,57633,59732,60883,73593,66926,60070,58892,50266,53753,50344,47246,54687,55332,50942,56904,66040,59671,48938,47616,41518,42987,33718,80028,102931,117855,123330,120618,137614,145933,130320,128521,123585,113844,125007,114284,76845,119668,127207,121470,119087,130995,124842,132530,117858,107714,121995,115775,135332,128142,149821,146824,154060,160889,140896,161091,139658,131185,143903,137224,153235
1,1,King County Department of Transportation - Metro Transit Division,Active,Full Reporter,14,"Seattle, WA",TB,DO,2044815,1839037,2043508,2043300,2075470,1924999,2012875,2028889,1894886,1995521,1848565,1906797,1851117,1831346,2033379,2033183,2033379,1992766,2071599,2039614,1993547,1956229,1762776,1912730,1913523,1816514,2091905,2011064,1931511,1989988,1964963,2008038,1929159,1955085,1739007,1925621,1778219,1624288,1903928,1789752,1806441,1795766,1770960,1902160,1827191,1842100,1851648,1833820,1797511,1628460,1845452,1777787,2005864,1954749,1921507,1991200,1866766,1986652,1861599,1787755,1916610,1784328,1958344,1977398,2026684,1941063,1986667,2032755,1852809,2116230,1917700,1759396,2035145,1922336,1975227,2119283,2073111,2030885,2143088,2015482,2012947,2205546,1927371,1699291,1614693,1551526,1689145,1657506,1605242,1712246,1646115,1551352,1579566,1829108,1565371,1717358,1588543,1616236,1939843,1851999,1767889,1785544,1703615,1757467,1763768,1784542,1529709,1631940,1584910,1562673,1783810,1674582,1730389,1825763,1742568,1790085,1801397,1759029,1707064,1619705,1481612,1651455,1670664,1630579,1768398,1614917,1513765,1583514,1370072,1767107,1573153,1345365,1604404,1447369,1566917,1630773,1712355,1483026,1641147,1594713,1542464,1823746,1511494,1449622,1637843,1484674,1580303,1667687,1732383,1580423,1760508,1621728,1637970,1810498,1442113,1508253,1630871,1528026,1635368,1672096,1562088,1593357,1651431,1472053,1481106,1615114,1467139,1460634,1519362,1503004,1720846,1545943,1584868,1612403,1557497,1652265,1594090,1573994,1598774,1536483,1594111,1467862,1745029,1514973,1751874,1692505,1550831,1676653,1562301,1675041,1560342,1547625,1536997,1364943,1520070,1463571,1653052,1470823,1499501,1562156,1403287,1653967,1534462,1287915,1613891,1392773,1533323
1,1,King County Department of Transportation - Metro Transit Division,Active,Full Reporter,14,"Seattle, WA",VP,DO,174040,150307,166129,156143,156143,141948,141871,141871,128973,159060,138313,145229,160581,131694,156722,155767,146333,152371,154859,141316,150181,163345,141471,155513,140428,122427,171767,145631,138996,134937,140044,143872,146253,146253,117538,126543,142930,135611,152566,152714,143269,151167,148769,156478,140764,163138,159939,143271,153962,142001,166320,139103,188112,169192,146448,203756,161836,192708,157591,138577,173670,157445,195325,199114,208075,191032,211901,207116,203667,199334,191989,172879,210084,214936,215792,211565,238341,234536,242679,263608,234753,238788,232667,231196,267832,251982,289851,281049,248293,295243,269432,256536,258767,275158,239896,238639,258629,238897,262765,247286,215535,233410,233329,245340,226343,221087,234396,232567,239955,217750,273619,250625,275361,255837,256346,266823,262680,276268,273397,274081,257615,297424,309623,295353,296346,272955,264872,316056,262347,310426,310574,248997,301097,266878,272883,312344,295920,295314,287815,333743,306298,304941,279364,267217,302932,267390,304690,281592,269318,308563,307246,265145,293799,298234,253949,261924,267823,270993,302357,292521,263327,313942,324946,292477,299367,357162,283609,292874,292087,261458,311664,289110,326320,305978,304016,323814,285098,330304,266661,244028,318300,248914,330696,268437,297470,340677,279177,339151,307764,338969,284999,271868,301017,275743,301009,292910,304677,290036,291334,309164,271808,316546,283944,258612,279017,219665,292361
2,2,Spokane Transit Authority,Active,Full Reporter,96,"Spokane, WA",DR,DO,23023,21065,22692,22991,23343,19853,21214,21814,19896,24175,20537,20883,24302,23172,24420,24999,23688,22063,24351,22971,23345,26423,20421,22079,22526,22805,26749,25084,22671,23297,22810,22813,23396,23588,23582,23947,23201,22423,26620,23854,24935,23365,19644,22411,21859,22189,21678,21402,22438,21547,25965,21699,25329,21718,19927,22295,20412,25536,23399,20732,24470,22523,25184,22743,24767,22050,21008,22742,19794,25311,23505,20733,21932,23221,24087,26133,25312,22653,23208,22340,23801,26874,20550,16579,20713,22526,25221,25272,23961,23552,23344,21565,22523,23970,21485,23068,23204,22004,24387,23544,22102,21119,20036,20270,21171,21942,20062,18799,19199,18492,24520,21849,24561,21428,18925,21217,21031,22055,21923,20129,20954,21944,24168,22606,23607,19878,19741,22012,18958,23344,21806,18873,23762,21582,22140,23238,23758,19423,19475,18433,18278,22184,19354,19617,23332,20662,22699,22790,22675,19970,20175,17809,19271,22015,17298,19245,20082,19041,22144,21195,19223,20032,19578,17399,19294,20613,16195,17712,18824,18864,20745,18237,19301,18599,16200,19434,18691,19423,19574,18996,20117,18834,22497,19144,20845,19769,17798,20523,19161,21571,20730,18897,22683,19393,21854,21108,23062,20107,20627,22711,19958,24139,21235,18215,21324,17347,19807
