MNAME,RailBus,Year,UA,CBSA,UPT,VRM,VRH,FARE_TOTAL,FARE_per_UPT,AREALANDPT,UAPOP,UAAREALAND,MAREALAND,UAPOPPCT,UPT_ADJ,VRM_ADJ,VRH_ADJ
"Abilene, TX Metro Area",Bus,2006,280.0,10180.0,493638.0,441300.0,30750.0,201795.0,0.40879146256973736,141756054.0,110421.0,141756054.0,7105575299.0,100.0,493638.0,441300.0,30750.0
"Abilene, TX Metro Area",Bus,2007,280.0,10180.0,490254.0,424839.0,30435.0,217336.0,0.4433130581290515,141756054.0,110421.0,141756054.0,7105575299.0,100.0,490254.0,424839.0,30435.0
"Abilene, TX Metro Area",Bus,2008,280.0,10180.0,473528.0,421757.0,31794.0,254879.0,0.5382553935564528,141756054.0,110421.0,141756054.0,7105575299.0,100.0,473528.0,421757.0,31794.0
"Abilene, TX Metro Area",Bus,2009,280.0,10180.0,478743.0,418714.0,30445.0,248600.0,0.5192765220588081,141756054.0,110421.0,141756054.0,7105575299.0,100.0,478743.0,418714.0,30445.0
"Abilene, TX Metro Area",Bus,2010,280.0,10180.0,456753.0,406871.0,39190.0,295374.0,0.6466821235985314,141756054.0,110421.0,141756054.0,7105575299.0,100.0,456753.0,406871.0,39190.0
"Abilene, TX Metro Area",Bus,2011,280.0,10180.0,472931.0,396021.0,29999.0,375006.0,0.7929401963499961,141756054.0,110421.0,141756054.0,7105575299.0,100.0,472931.0,396021.0,29999.0
"Abilene, TX Metro Area",Bus,2012,280.0,10180.0,0.0,0.0,0.0,368226.0,inf,141756054.0,110421.0,141756054.0,7105575299.0,100.0,0.0,0.0,0.0
"Abilene, TX Metro Area",Bus,2013,280.0,10180.0,0.0,0.0,0.0,390511.0,inf,141756054.0,110421.0,141756054.0,7105575299.0,100.0,0.0,0.0,0.0
"Abilene, TX Metro Area",Bus,2014,280.0,10180.0,0.0,0.0,0.0,408104.0,inf,141756054.0,110421.0,141756054.0,7105575299.0,100.0,0.0,0.0,0.0
"Abilene, TX Metro Area",Bus,2015,280.0,10180.0,0.0,0.0,0.0,294009.0,inf,141756054.0,110421.0,141756054.0,7105575299.0,100.0,0.0,0.0,0.0
"Abilene, TX Metro Area",Bus,2016,280.0,10180.0,0.0,0.0,0.0,166398.0,inf,141756054.0,110421.0,141756054.0,7105575299.0,100.0,0.0,0.0,0.0
"Abilene, TX Metro Area",Bus,2017,280.0,10180.0,0.0,0.0,0.0,191017.0,inf,141756054.0,110421.0,141756054.0,7105575299.0,100.0,0.0,0.0,0.0
"Abilene, TX Metro Area",Bus,2018,280.0,10180.0,0.0,0.0,0.0,0.0,0.0,141756054.0,110421.0,141756054.0,7105575299.0,100.0,0.0,0.0,0.0
"Abilene, TX Metro Area",DemandResponse,2006,280.0,10180.0,110152.0,624658.0,44144.0,93789.0,0.8514507226378095,141756054.0,110421.0,141756054.0,7105575299.0,100.0,110152.0,624658.0,44144.0
"Abilene, TX Metro Area",DemandResponse,2007,280.0,10180.0,109977.0,622056.0,45796.0,98383.0,0.8945779572092346,141756054.0,110421.0,141756054.0,7105575299.0,100.0,109977.0,622056.0,45796.0
"Abilene, TX Metro Area",DemandResponse,2008,280.0,10180.0,102963.0,612502.0,46768.0,109095.0,1.0595553742606567,141756054.0,110421.0,141756054.0,7105575299.0,100.0,102963.0,612502.0,46768.0
"Abilene, TX Metro Area",DemandResponse,2009,280.0,10180.0,105199.0,616961.0,48456.0,101458.0,0.9644388254641204,141756054.0,110421.0,141756054.0,7105575299.0,100.0,105199.0,616961.0,48456.0
"Abilene, TX Metro Area",DemandResponse,2010,280.0,10180.0,103985.0,607648.0,46344.0,50000.0,0.4808385824878588,141756054.0,110421.0,141756054.0,7105575299.0,100.0,103985.0,607648.0,46344.0
"Abilene, TX Metro Area",DemandResponse,2011,280.0,10180.0,103130.0,619030.0,46557.0,426089.0,4.131571802579269,141756054.0,110421.0,141756054.0,7105575299.0,100.0,103130.0,619030.0,46557.0
"Abilene, TX Metro Area",DemandResponse,2012,280.0,10180.0,0.0,0.0,0.0,296153.0,inf,141756054.0,110421.0,141756054.0,7105575299.0,100.0,0.0,0.0,0.0
"Abilene, TX Metro Area",DemandResponse,2013,280.0,10180.0,0.0,0.0,0.0,323930.0,inf,141756054.0,110421.0,141756054.0,7105575299.0,100.0,0.0,0.0,0.0
"Abilene, TX Metro Area",DemandResponse,2014,280.0,10180.0,0.0,0.0,0.0,363579.0,inf,141756054.0,110421.0,141756054.0,7105575299.0,100.0,0.0,0.0,0.0
"Abilene, TX Metro Area",DemandResponse,2015,280.0,10180.0,0.0,0.0,0.0,108234.0,inf,141756054.0,110421.0,141756054.0,7105575299.0,100.0,0.0,0.0,0.0
"Abilene, TX Metro Area",DemandResponse,2016,280.0,10180.0,0.0,0.0,0.0,234140.0,inf,141756054.0,110421.0,141756054.0,7105575299.0,100.0,0.0,0.0,0.0
"Abilene, TX Metro Area",DemandResponse,2017,280.0,10180.0,0.0,0.0,0.0,233051.0,inf,141756054.0,110421.0,141756054.0,7105575299.0,100.0,0.0,0.0,0.0
"Abilene, TX Metro Area",DemandResponse,2018,280.0,10180.0,0.0,0.0,0.0,0.0,0.0,141756054.0,110421.0,141756054.0,7105575299.0,100.0,0.0,0.0,0.0
"Akron, OH Metro Area",Bus,2006,1532.0,20840.0,13450310.0,8850750.0,623766.0,3163036.0,0.4703290853519361,1489268694.0,1138998.0,1685445836.0,4662647494.0,180.54,12141594.837000001,7989572.025,563073.5682
"Akron, OH Metro Area",Bus,2007,1532.0,20840.0,13002650.0,10128344.0,631894.0,3445013.0,0.5298939831495888,1489268694.0,1138998.0,1685445836.0,4662647494.0,180.54,11737492.155,9142856.1288,570410.7137999999
"Akron, OH Metro Area",Bus,2008,1532.0,20840.0,13604584.0,8581686.0,576520.0,3602006.0,0.5295282825259486,1489268694.0,1138998.0,1685445836.0,4662647494.0,180.54,12280857.976799998,7746687.952199999,520424.604
"Akron, OH Metro Area",Bus,2009,1532.0,20840.0,12320492.0,7602602.0,612742.0,3387490.0,0.5498952476897838,1489268694.0,1138998.0,1685445836.0,4662647494.0,180.54,11121708.1284,6862868.8253999995,553122.2034
"Akron, OH Metro Area",Bus,2010,1532.0,20840.0,12443930.0,7691254.0,664510.0,3597828.0,0.5782462614302716,1489268694.0,1138998.0,1685445836.0,4662647494.0,180.54,11233135.611,6942894.985799999,599853.1769999999
"Akron, OH Metro Area",Bus,2011,1532.0,20840.0,12980952.0,8680656.0,675926.0,3802014.0,0.5857835388344399,1489268694.0,1138998.0,1685445836.0,4662647494.0,180.54,11717905.3704,7836028.1712,610158.4001999999
"Akron, OH Metro Area",Bus,2012,1532.0,20840.0,13285088.0,8558744.0,677364.0,6462990.0,0.9729690913601776,1489268694.0,1138998.0,1685445836.0,4662647494.0,180.54,11992448.9376,7725978.2088,611456.4827999999
"Akron, OH Metro Area",Bus,2013,1532.0,20840.0,13240452.0,9231696.0,737890.0,6704933.0,1.0127951825209593,1489268694.0,1138998.0,1685445836.0,4662647494.0,180.54,11952156.020399999,8333451.9792,666093.303
"Akron, OH Metro Area",Bus,2014,1532.0,20840.0,13250962.0,9594046.0,749558.0,6894955.0,1.040672367787335,1489268694.0,1138998.0,1685445836.0,4662647494.0,180.54,11961643.3974,8660545.324199999,676626.0066
"Akron, OH Metro Area",Bus,2015,1532.0,20840.0,12970588.0,10106768.0,761752.0,6280588.0,0.9684353554364691,1489268694.0,1138998.0,1685445836.0,4662647494.0,180.54,11708549.7876,9123379.4736,687633.5303999999
