,UZA,RailBus,Year,VRM,UPT,UZA Name,FARE
0,0,Bus,2002,547964.0,717467.0,Texas Non-UZA,220618.0
1,0,Bus,2003,260333.0,199047.0,Non-UZA,189556.0
2,0,Bus,2004,704171.0,863935.0,Texas Non-UZA,395136.0
3,0,Bus,2005,172018.0,141932.0,Texas Non-UZA,386139.0
4,0,Bus,2006,855706.0,1195333.0,Texas Non-UZA,436515.0
5,0,Bus,2007,818163.0,1347411.0,Texas Non-UZA,433202.0
6,0,Bus,2008,701615.0,1182842.0,Texas Non-UZA,174009.0
7,0,Bus,2009,608470.0,690852.0,Texas Non-UZA,375625.0
8,0,Bus,2010,812224.0,840241.0,Texas Non-UZA,433536.0
9,0,Bus,2011,807864.0,877911.0,Texas Non-UZA,457730.0
10,0,Bus,2012,278039.0,259495.0,Non-UZA,215279.0
11,0,Bus,2013,138977.0,126631.0,Non-UZA,224824.0
24,0,Rail,2002,23709.0,50865.0,Texas Non-UZA,36962.0
25,0,Rail,2004,22666.0,42205.0,Texas Non-UZA,22752.0
26,0,Rail,2005,1215.0,1671.0,Texas Non-UZA,20899.0
27,0,Rail,2006,23930.0,38830.0,Texas Non-UZA,9225.0
28,0,Rail,2007,27451.0,31257.0,Texas Non-UZA,15342.0
29,0,Rail,2008,21145.0,15739.0,Texas Non-UZA,0.0
30,1,Bus,2002,230468045.0,1184686266.0,"New York-Newark, NY-NJ-CT",907953411.0
31,1,Bus,2003,211497446.0,1139943411.0,"New York-Newark, NY-NJ-CT",1021681813.0
32,1,Bus,2004,232499089.0,1151769555.0,"New York-Newark, NY-NJ-CT",1126282944.0
33,1,Bus,2005,238327711.0,1219799551.0,"New York-Newark, NY-NJ-CT",1135690978.0
34,1,Bus,2006,233233183.0,1178675816.0,"New York-Newark, NY-NJ-CT",2683905681.0
35,1,Bus,2007,260427642.0,1230581188.0,"New York-Newark, NY-NJ-CT",1326286315.0
36,1,Bus,2008,264891877.0,1255141728.0,"New York-Newark, NY-NJ-CT",1405026635.0
37,1,Bus,2009,267058123.0,1220895780.0,"New York-Newark, NY-NJ-CT",1426239600.0
38,1,Bus,2010,240262739.0,1199757562.0,"New York-Newark, NY-NJ-CT",1462880411.0
39,1,Bus,2011,232939453.0,1167616109.0,"New York-Newark, NY-NJ-CT",1533236297.0
40,1,Bus,2012,240385468.0,1181297473.0,"New York-Newark, NY-NJ-CT",1574990814.0
41,1,Bus,2013,277024677.0,1203386042.0,"New York-Newark, NY-NJ-CT",1856456965.0
42,1,Bus,2014,283448037.0,1196116478.0,"New York-Newark, NY-NJ-CT",1916705767.0
43,1,Bus,2015,281017568.0,1163848898.0,"New York-Newark, NY-NJ-CT",1889873273.0
44,1,Bus,2016,279898059.0,1165464456.0,"New York-Newark, NY-NJ-CT",1935245076.0
45,1,Bus,2017,275620515.0,1103506741.0,"New York-Newark, NY-NJ-CT",1917536885.0
46,1,Bus,2018,274833319.0,1110685462.0,"New York-Newark, NY-NJ-CT",1932957390.0
81,1,Rail,2002,475950849.0,2034358087.0,"New York-Newark, NY-NJ-CT",2558935423.0
82,1,Rail,2003,505017347.0,2005667165.0,"New York-Newark, NY-NJ-CT",2824353146.0
83,1,Rail,2004,523378281.0,2121305237.0,"New York-Newark, NY-NJ-CT",3033613046.0
84,1,Rail,2005,529534587.0,2514504586.0,"New York-Newark, NY-NJ-CT",3135722874.0
85,1,Rail,2006,541533056.0,2611220314.0,"New York-Newark, NY-NJ-CT",3316556416.0
86,1,Rail,2007,544686965.0,2759027239.0,"New York-Newark, NY-NJ-CT",3474859124.0
87,1,Rail,2008,560032441.0,2826857125.0,"New York-Newark, NY-NJ-CT",3742403374.0
88,1,Rail,2009,563811605.0,2725172400.0,"New York-Newark, NY-NJ-CT",3802414536.0
89,1,Rail,2010,554060309.0,2820962850.0,"New York-Newark, NY-NJ-CT",4008107710.0
90,1,Rail,2011,544362883.0,2883841588.0,"New York-Newark, NY-NJ-CT",4475930083.0
91,1,Rail,2012,542706162.0,2935194264.0,"New York-Newark, NY-NJ-CT",4570343524.0
92,1,Rail,2013,554779829.0,3034642987.0,"New York-Newark, NY-NJ-CT",4941275457.0
93,1,Rail,2014,561679337.0,3143611971.0,"New York-Newark, NY-NJ-CT",5188093563.0
94,1,Rail,2015,562879249.0,3056061653.0,"New York-Newark, NY-NJ-CT",5434481737.0
95,1,Rail,2016,562367961.0,3078576569.0,"New York-Newark, NY-NJ-CT",5555433763.0
96,1,Rail,2017,565634266.0,3099677394.0,"New York-Newark, NY-NJ-CT",5769970983.0
97,1,Rail,2018,561020987.0,3034699758.0,"New York-Newark, NY-NJ-CT",5937715606.0
98,2,Bus,2002,147217101.0,536783910.0,"Los Angeles-Long Beach-Anaheim, CA",298508020.0
99,2,Bus,2003,145819401.0,496122414.0,"Los Angeles-Long Beach-Anaheim, CA",302521802.0
100,2,Bus,2004,159260996.0,562590384.0,"Los Angeles-Long Beach-Anaheim, CA",285474255.0
101,2,Bus,2005,163102580.0,577165763.0,"Los Angeles-Long Beach-Anaheim, CA",334142581.0
102,2,Bus,2006,163035186.0,604412689.0,"Los Angeles-Long Beach-Anaheim, CA",345021109.0
