,UZA Name,UZA,RailBus,Year,FARE_TOTAL
0,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2002,114842.0
869,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2003,130156.0
1738,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2004,138171.0
2607,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2005,150133.0
3476,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2006,184686.0
4345,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2007,191340.0
5214,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2008,196460.0
6083,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2009,197662.0
6952,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2010,186192.0
7821,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2011,199971.0
8690,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2012,225977.0
9559,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2013,243076.0
10428,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2014,217294.0
11297,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2015,244500.0
12166,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2016,234177.0
13035,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2017,221995.0
13904,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2018,210277.75
1,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2002,40948.0
870,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2003,44036.0
1739,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2004,45456.0
2608,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2005,43964.0
3477,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2006,49186.0
4346,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2007,58143.0
5215,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2008,52809.0
6084,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2009,50503.0
6953,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2010,40897.0
7822,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2011,55929.0
8691,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2012,67304.0
9560,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2013,65182.0
10429,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2014,75007.0
11298,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2015,62384.0
12167,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2016,69744.0
13036,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2017,76400.0
13905,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2018,83232.0
2,"Abilene, TX",282,Bus,2002,162609.0
871,"Abilene, TX",282,Bus,2003,173563.0
1740,"Abilene, TX",282,Bus,2004,185046.0
2609,"Abilene, TX",282,Bus,2005,213965.0
3478,"Abilene, TX",282,Bus,2006,201795.0
4347,"Abilene, TX",282,Bus,2007,217336.0
5216,"Abilene, TX",282,Bus,2008,254879.0
6085,"Abilene, TX",282,Bus,2009,248600.0
6954,"Abilene, TX",282,Bus,2010,295374.0
7823,"Abilene, TX",282,Bus,2011,375006.0
8692,"Abilene, TX",282,Bus,2012,368226.0
9561,"Abilene, TX",282,Bus,2013,390511.0
10430,"Abilene, TX",282,Bus,2014,408104.0
11299,"Abilene, TX",282,Bus,2015,294009.0
12168,"Abilene, TX",282,Bus,2016,166398.0
13037,"Abilene, TX",282,Bus,2017,191017.0
13906,"Abilene, TX",282,Bus,2018,177578.5
3,"Abilene, TX",282,DemandResponse,2002,350322.0
872,"Abilene, TX",282,DemandResponse,2003,319947.0
1741,"Abilene, TX",282,DemandResponse,2004,398825.0
2610,"Abilene, TX",282,DemandResponse,2005,201802.0
3479,"Abilene, TX",282,DemandResponse,2006,93789.0
4348,"Abilene, TX",282,DemandResponse,2007,98383.0
5217,"Abilene, TX",282,DemandResponse,2008,109095.0
6086,"Abilene, TX",282,DemandResponse,2009,101458.0
6955,"Abilene, TX",282,DemandResponse,2010,50000.0
7824,"Abilene, TX",282,DemandResponse,2011,426089.0
8693,"Abilene, TX",282,DemandResponse,2012,296153.0
9562,"Abilene, TX",282,DemandResponse,2013,323930.0
10431,"Abilene, TX",282,DemandResponse,2014,363579.0
11300,"Abilene, TX",282,DemandResponse,2015,108234.0
12169,"Abilene, TX",282,DemandResponse,2016,234140.0
13038,"Abilene, TX",282,DemandResponse,2017,233051.0
13907,"Abilene, TX",282,DemandResponse,2018,263710.75
4,"Akron, OH",71,Bus,2002,660887.0
873,"Akron, OH",71,Bus,2003,2568502.0
1742,"Akron, OH",71,Bus,2004,2524882.0
2611,"Akron, OH",71,Bus,2005,3022880.0
3480,"Akron, OH",71,Bus,2006,3163036.0
4349,"Akron, OH",71,Bus,2007,3445013.0
5218,"Akron, OH",71,Bus,2008,3602006.0
6087,"Akron, OH",71,Bus,2009,3387490.0
6956,"Akron, OH",71,Bus,2010,3597828.0
7825,"Akron, OH",71,Bus,2011,3802014.0
8694,"Akron, OH",71,Bus,2012,6462990.0
9563,"Akron, OH",71,Bus,2013,6704933.0
10432,"Akron, OH",71,Bus,2014,6894955.0
11301,"Akron, OH",71,Bus,2015,6280588.0
12170,"Akron, OH",71,Bus,2016,5877868.0
13039,"Akron, OH",71,Bus,2017,5939656.0
13908,"Akron, OH",71,Bus,2018,5885317.0
5,"Akron, OH",71,DemandResponse,2002,2903563.0
874,"Akron, OH",71,DemandResponse,2003,936899.0
1743,"Akron, OH",71,DemandResponse,2004,735790.0
2612,"Akron, OH",71,DemandResponse,2005,715048.0
3481,"Akron, OH",71,DemandResponse,2006,538410.0
4350,"Akron, OH",71,DemandResponse,2007,496131.0
5219,"Akron, OH",71,DemandResponse,2008,564614.0
6088,"Akron, OH",71,DemandResponse,2009,675282.0
6957,"Akron, OH",71,DemandResponse,2010,726251.0
7826,"Akron, OH",71,DemandResponse,2011,731863.0
8695,"Akron, OH",71,DemandResponse,2012,830578.0
9564,"Akron, OH",71,DemandResponse,2013,1308485.0
10433,"Akron, OH",71,DemandResponse,2014,976095.0
11302,"Akron, OH",71,DemandResponse,2015,1003679.0
12171,"Akron, OH",71,DemandResponse,2016,1015560.0
13040,"Akron, OH",71,DemandResponse,2017,887477.0
