Year,2018_Dollar_Multiplier,Annual Average,
1913,25.364,9.9,
1914,25.110,10,
1915,24.861,10.1,
1916,23.037,10.9,
1917,19.617,12.8,
1918,16.740,15,
1919,14.514,17.3,
1920,12.555,20,
1921,14.028,17.9,
1922,14.946,16.8,
1923,14.684,17.1,
1924,14.684,17.1,
1925,14.349,17.5,
1926,14.186,17.7,
1927,14.431,17.4,
1928,14.599,17.2,
1929,14.599,17.2,
1930,15.036,16.7,
1931,16.520,15.2,
1932,18.463,13.6,
1933,19.465,12.9,
1934,18.739,13.4,
1935,18.328,13.7,
1936,18.065,13.9,
1937,17.438,14.4,
1938,17.809,14.1,
1939,18.065,13.9,
1940,17.936,14,
1941,17.082,14.7,
1942,15.405,16.3,
1943,14.514,17.3,
1944,14.267,17.6,
1945,13.950,18,
1946,12.877,19.5,
1947,11.260,22.3,
1948,10.463,24,
1949,10.550,23.8,
1950,10.419,24.1,
1951,9.658,26,
1952,9.440,26.6,
1953,9.369,26.8,
1954,9.335,26.9,
1955,9.369,26.8,
1956,9.232,27.2,
1957,8.936,28.1,
1958,8.689,28.9,
1959,8.599,29.2,
1960,8.483,29.6,
1961,8.398,29.9,
1962,8.287,30.3,
1963,8.206,30.6,
1964,8.100,31,
1965,7.971,31.5,
1966,7.726,32.5,
1967,7.518,33.4,
1968,7.216,34.8,
1969,6.842,36.7,
1970,6.472,38.8,
1971,6.200,40.5,
1972,6.007,41.8,
1973,5.655,44.4,
1974,5.093,49.3,
1975,4.667,53.8,
1976,4.413,56.9,
1977,4.144,60.6,
1978,3.851,65.2,
1979,3.459,72.6,
1980,3.047,82.4,
1981,2.762,90.9,
1982,2.602,96.5,
1983,2.521,99.6,
1984,2.417,103.9,
1985,2.334,107.6,
1986,2.291,109.6,
1987,2.210,113.6,
1988,2.123,118.3,
1989,2.025,124,
1990,1.921,130.7,
1991,1.844,136.2,
1992,1.790,140.3,
1993,1.738,144.5,
1994,1.694,148.2,
1995,1.648,152.4,
1996,1.600,156.9,
1997,1.564,160.5,
1998,1.540,163,
1999,1.507,166.6,
2000,1.458,172.2,
2001,1.418,177.1,
2002,1.396,179.9,
2003,1.365,184,
2004,1.329,188.9,
2005,1.286,195.3,
2006,1.246,201.6,
2007,1.211,207.3,
2008,1.166,215.3,
2009,1.171,214.5,
2010,1.151,218.1,
2011,1.116,224.9,
2012,1.094,229.6,
2013,1.078,233,
2014,1.061,236.7,
2015,1.059,237,
2016,1.046,240,
2017,1.024,245.1,
2018,1.000,251.1,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
