,CBSA,MNAME,MODE,Year,UPT_ADJUSTED,VRM_ADJUSTED,FARE_ADJUSTED,min_year,max_year,FARE_per_UPT,PROBLEM_FLAG,NOTE,Tot_Pop,Tot_Instate_Pop,Tot_Outstate_Pop,Tot_NonUSA_POP,Total_Median_Income_Individual,Native_Instate_Med_Inc_Indiv,Native_Outstate_Med_Inc_Indiv,Native_Outcountry_Med_Inc_Indiv,Total_Pop_Poverty,Pop_Below100_Poverty,Pop_Below150_Poverty,Pop_Above150_Poverty,Age_under18,Age_18to64,Age_over64,Total_HH,HH_0Veh,HH_1Veh,HH_2Veh,HH_3Veh,HH_4+Veh,PCT_HH_NO_VEH,HH_MED_INC,HH_MEAN_INC,INC_U35,INC_35_100,INC_100P,TOT_UNEMP_MSA,TOT_EMP_MSA,TOT_LABOR_MSA,UNEMP_RATE_PCT,EMP_RATE_PCT,GasPrice,Area_acre,POP_CENSUSTRACT,AVG_SPEED,2018_Dollar_Multiplier,TNC_ARRIVAL,Link_x,TNC_FLAG,YEARS_SINCE_TNC,FARE_ADJ_2018,TOTAL_MED_INC_INDIV_2018,NATIVE_INSTATE_MED_INC_2018,NATIVE_OUTSTATE_MED_INC_2018,HH_MED_INC_2018,HH_MEAN_INC_2018,GAS_PRICE_2018,dockCt,docklessCt,scooterCt,PBS_Start,PBS_End,PBS_Flag,Link,walkscore,transit,bike,CLUSTER_GT_NEW_11,CLUSTER_GT_ORIGINAL,CLUSTER_GT_8_GROUPS,CLUSTER_APTA,CLUSTER_NOTE,TOTAL_EMPLOYMENT,JTW_DA_PCT,JTW_CARPOOLED_PCT,JTW_TRANSIT_PCT,JTW_WALK_PCT,JTW_BICYCLE_PCT,JTW_OTHER_PCT,JTW_HOME_PCT,NOTE_JTW,AVG_FARE_2018,WEIGHTED_POP_DENSITY,_merge
0,10420.0,"Akron, OH Metro Area",Bus,2002,5226385.6602,4026372.3882,596582.6949,2002,2018,0.11414823430331592,,,646583.7344,496141.0469,137193.6719,-389.53125,25405.20313,26028.32813,26651.07813,7117.03125,682354.11,7.55,8.94,83.85,24.64,62.9,12.46,265452.2,22830.14,58254.52,117083.25,46891.53,20392.77,8.6,43046.82813,55300.5625,39.49,46.56,13.95,21948.42,346147.17,368095.58,5.96,94.04,1.36,,119786.0,14.88,1.4,2014,http://www.crainscleveland.com/article/20140828/FREE/140829750/uber-launches-service-in-akron,0,0,4004892.28,35567.284380000005,36439.65938000001,37311.50938,60265.55938,77420.7875,1.904,0,0,0,,,0.0,,0,0,0,1,1,H,24,,309488.2031,87.4,6.2,0.8,1.7,0.1,0.7,3.1,Goes to negative when extrapolating. Possible solution is using a different extrapolation.,0.15980752802464226,2417.2396523907937,both
1,10420.0,"Akron, OH Metro Area",Bus,2003,5395901.8878,3976568.6238,2318586.7554,2002,2018,0.42969401660958056,,,659397.0625,504631.8125,137582.3125,753.125,25120.1875,25632.6875,25995.6875,10350.875,682850.56,8.81,8.66,82.79,24.33,63.0,12.68,269144.19,22073.44,67400.94,115443.0,44874.88,19351.94,8.2,43566.6875,56379.75,39.24,46.66,14.1,23342.5,348574.17,371916.67,6.28,93.72,1.55,,119199.0,14.71,1.37,2014,http://www.crainscleveland.com/article/20140828/FREE/140829750/uber-launches-service-in-akron,0,0,15690640.83,34414.65688,35116.78188,35614.09188,59686.36188,77240.2575,2.1235,0,0,0,,,0.0,,0,0,0,1,1,H,24,,316497.1875,87.2,6.4,0.8,1.7,0.1,0.7,3.1,Goes to negative when extrapolating. Possible solution is using a different extrapolation.,0.5886808027551255,2417.3050611237163,both
2,10420.0,"Akron, OH Metro Area",Bus,2004,5907162.2814,4315392.5553,2279210.9814,2002,2018,0.3858385588248688,,,672492.75,513183.75,138058.75,1942.5,24804.25,25208.25,25305.25,13527.5,683397.75,10.08,8.38,81.73,24.0,63.1,12.9,272892.25,21266.25,76795.25,113694.0,42855.5,18281.25,7.79,44030.25,57390.0,39.03,46.78,14.2,23471.75,351723.75,375195.5,6.26,93.74,1.83,,118612.0,7.23,1.33,2014,http://www.crainscleveland.com/article/20140828/FREE/140829750/uber-launches-service-in-akron,0,0,14652259.89,32989.6525,33526.9725,33655.9825,58560.2325,76328.7,2.4339,0,0,0,,,0.0,,0,0,0,1,1,H,24,,323744.25,86.9,6.7,0.8,1.7,0.1,0.7,3.1,Goes to negative when extrapolating. Possible solution is using a different extrapolation.,0.5131652832370756,2417.2600038423707,both
3,10420.0,"Akron, OH Metro Area",Bus,2005,6013680.8814,4053011.0651999996,2728753.7759999996,2002,2018,0.45375766187392685,,,684459.0,521491.0,138184.0,2945.0,24612.0,24899.0,24755.0,16933,683742.0,11.3,8.1,80.7,23.7,63.2,13.1,276416.0,20661.0,85198.0,112380.0,40847.0,17330.0,7.47,44719.0,58676.0,38.7,46.8,14.5,22420.75,358105.92,380526.67,5.9,94.1,2.25,13644.8,118025.0,14.4,1.29,2014,http://www.crainscleveland.com/article/20140828/FREE/140829750/uber-launches-service-in-akron,0,0,17316881.13,31749.48,32119.71,31933.95,57687.51,75692.04,2.9025,0,0,0,,,0.0,,0,0,0,1,1,H,24,,330039,86.8,6.8,0.8,1.7,0.1,0.7,3.1,,0.5853473838173656,2417.138679623336,both
4,10420.0,"Akron, OH Metro Area",Bus,2006,6070797.418500001,3994786.0125,2855272.5971999997,2002,2018,0.470329085351936,,,700943.0,530777.0,139714.0,4695.0,23925.0,24129.0,23644.0,19423,684898.0,12.7,7.8,79.5,23.3,63.3,13.4,280837.0,19248.0,97567.0,109326.0,38795.0,15901.0,6.85,44507.0,58859.0,38.8,47.2,14.0,20348.08,365133.33,385481.42,5.28,94.72,2.54,13644.8,117438.0,14.19,1.25,2014,http://www.crainscleveland.com/article/20140828/FREE/140829750/uber-launches-service-in-akron,0,0,17511368.98,29906.25,30161.25,29555.0,55633.75,73573.75,3.175,0,0,0,,,0.0,,0,0,0,1,1,H,24,,340143,85.8,7.3,1.3,2.2,0,0.9,2.5,,0.58791135668992,2417.7034841121067,both
5,10420.0,"Akron, OH Metro Area",Bus,2007,5868746.0775,4571428.0644,3109813.2350999997,2002,2018,0.5298939831495887,,,699356.0,536148.0,135625.0,3455.0,25217.0,25202.0,24776.0,25575,682807.0,13.4,7.6,79.0,23.3,63.4,13.3,281669.0,21066.0,94071.0,113232.0,36917.0,16383.0,7.48,47898.0,63454.0,37.2,46.1,16.7,20953.42,368688.42,389641.83,5.38,94.62,2.82,13644.8,116851.0,16.03,1.21,2014,http://www.crainscleveland.com/article/20140828/FREE/140829750/uber-launches-service-in-akron,0,0,18481486.41,30512.57,30494.42,29978.96,57956.58,76779.34,3.4122,0,0,0,,,0.0,,0,0,0,1,1,H,24,,335010,85.7,7,1.3,2,0.2,0.8,2.9,,0.6411717196110023,2416.526602414694,both
6,10420.0,"Akron, OH Metro Area",Bus,2008,6140428.988399999,3873343.9760999996,3251530.8162000002,2002,2018,0.5295282825259487,,,698553.0,529519.0,137011.0,4452.0,25357.0,25559.0,25281.0,15247,681880.0,12.1,8.2,79.7,22.9,63.5,13.6,281731.0,19035.0,100229.0,108332.0,38548.0,15587.0,6.76,50036.0,65801.0,36.4,45.1,18.5,24154.58,367016.58,391171.17,6.17,93.83,3.23,13644.8,116264.0,14.89,1.17,2014,http://www.crainscleveland.com/article/20140828/FREE/140829750/uber-launches-service-in-akron,0,0,18601942.58,29667.69,29904.03,29578.77,58542.12,76987.17,3.7791,0,0,0,,,0.0,,0,0,0,1,1,H,24,,346231,84.4,7.5,1.6,2.7,0.2,0.6,3,,0.61954809055536,2417.8760385741007,both
7,10420.0,"Akron, OH Metro Area",Bus,2009,5560854.0642,3431434.4126999998,3057887.223,2002,2018,0.5498952476897838,,,699935.0,537803.0,134499.0,2466.0,24856.0,24810.0,24817.0,29301,685405.0,14.7,7.2,78.1,22.4,63.6,14.0,281769.0,23447.0,97811.0,108215.0,36339.0,15957.0,8.32,47482.0,60668.0,36.8,48.1,15.1,38703.17,346409.33,385112.5,10.05,89.95,2.33,13644.8,115677.0,12.41,1.17,2014,http://www.crainscleveland.com/article/20140828/FREE/140829750/uber-launches-service-in-akron,0,0,17469678.88,29081.52,29027.7,29035.89,55553.94,70981.56,2.7261,0,0,0,,,0.0,,0,0,0,1,1,H,24,,326349,86.6,5.9,1.4,2.2,0.2,0.5,3.2,,0.643377439797047,2419.5992734406555,both
8,10420.0,"Akron, OH Metro Area",Bus,2010,5616567.8055,3471447.4928999995,3247759.3356,2002,2018,0.5782462614302716,,,702951.0,539313.0,132784.0,3944.0,24592.0,24348.0,25441.0,18974,687098.0,,,,22.3,63.4,14.3,281523.0,22621.0,92537.0,114311.0,35021.0,17033.0,8.04,46521.0,60782.0,38.0,45.6,16.4,39167.33,333040.75,372208.08,10.52,89.48,2.78,13644.8,115090.0,11.57,1.15,2014,http://www.crainscleveland.com/article/20140828/FREE/140829750/uber-launches-service-in-akron,0,0,18235616.11,28280.8,28000.2,29257.15,53499.15,69899.3,3.197,0,0,0,,,0.0,,0,0,0,1,1,H,24,,319431,87.7,5.7,1.5,1.6,0.1,0.6,2.9,,0.6649832006448123,2414.8536406202493,both
9,10420.0,"Akron, OH Metro Area",Bus,2011,5858952.6852,3918014.0856,3432078.0377999996,2002,2018,0.5857835388344398,,,701456.0,541743.0,127206.0,5605.0,24744.0,24630.0,24718.0,19914,684916.0,,,,21.9,63.7,14.4,274696.0,22332.0,98938.0,101762.0,35249.0,16415.0,8.13,47032.0,62438.0,38.4,45.1,16.5,33038.33,332935.08,365973.42,9.03,90.97,3.53,13644.8,114503.0,12.84,1.12,2014,http://www.crainscleveland.com/article/20140828/FREE/140829750/uber-launches-service-in-akron,0,0,18786450.64,27713.28,27585.6,27684.16,52675.84,69930.56,3.9536,0,0,0,,,0.0,,0,0,0,1,1,H,24,,322871,85.6,7.2,1.3,1.7,0.3,0.6,3.3,,0.6560775634945726,2435.0235053632377,both
