CLUSTER_APTA_EXTENDED,Mode,Year,CBSA,UPT_ADJ
11,Bus,2002,201120,929125444.5
11,Bus,2003,201120,918702404.32
11,Bus,2004,201120,1123014705.92
11,Bus,2005,201120,1114481066.82
11,Bus,2006,201120,1099141063.28
11,Bus,2007,201120,1095157906.8999999
11,Bus,2008,201120,1135652072.31
11,Bus,2009,201120,1105430899.66
11,Bus,2010,201120,1066285803.98
11,Bus,2011,201120,1090148381.5500002
11,Bus,2012,201120,1119736718.58
11,Bus,2013,201120,1114333509.8899999
11,Bus,2014,201120,1087800415.72
11,Bus,2015,201120,1075917871.5900002
11,Bus,2016,201120,1033071545.94
11,Bus,2017,201120,999379851.18
11,Bus,2018,201120,970994725.3000001
11,Rail,2002,201120,1027942589.347
11,Rail,2003,201120,1024412928.4760001
11,Rail,2004,201120,1074054210.795
11,Rail,2005,201120,1098967009.453
11,Rail,2006,201120,1141042337.324
11,Rail,2007,201120,1145647532.82
11,Rail,2008,201120,1197525678.01
11,Rail,2009,201120,1180252592.06
11,Rail,2010,201120,1170907217.2319999
11,Rail,2011,201120,1219716363.91
11,Rail,2012,201120,1239334437.1200001
11,Rail,2013,201120,1235960341.73
11,Rail,2014,201120,1264949433.8600001
11,Rail,2015,201120,1241534808.41
11,Rail,2016,201120,1204178282.525
11,Rail,2017,201120,1169756785.682
11,Rail,2018,201120,1149743555.118
12,Bus,2002,105940,662985339.3
12,Bus,2003,105940,630119536.9
12,Bus,2004,105940,694481510.9
12,Bus,2005,105940,712050661.4
12,Bus,2006,105940,747071654.9
12,Bus,2007,105940,740363152.5
12,Bus,2008,105940,749358578.1
12,Bus,2009,105940,692551239.5
12,Bus,2010,105940,669456584.0
12,Bus,2011,105940,679172320.6
12,Bus,2012,105940,684777430.8
12,Bus,2013,105940,683573706.4
12,Bus,2014,105940,669165894.9
12,Bus,2015,105940,633054788.1
12,Bus,2016,105940,576880233.7
12,Bus,2017,105940,536801588.40000004
12,Bus,2018,105940,516861005.89
12,Rail,2002,64200,94286118.91999999
12,Rail,2003,64200,89492696.28999999
12,Rail,2004,64200,103488723.64
12,Rail,2005,105940,144796358.0
12,Rail,2006,105940,154739602.3
12,Rail,2007,105940,158600945.76
12,Rail,2008,105940,169078601.51999998
12,Rail,2009,105940,162695280.03
12,Rail,2010,105940,164658749.85
12,Rail,2011,105940,172144434.01999998
12,Rail,2012,105940,184782370.03
12,Rail,2013,105940,195047876.68
12,Rail,2014,105940,200226461.60000002
12,Rail,2015,105940,196135460.58
12,Rail,2016,105940,196818864.97
12,Rail,2017,105940,195033904.59
12,Rail,2018,105940,188048669.15
13,Bus,2002,38900,69127310.58
13,Bus,2003,38900,69176455.66
13,Bus,2004,38900,71124158.87
13,Bus,2005,81560,194951605.25
13,Bus,2006,81560,203460248.19
13,Bus,2007,81560,212904425.49
13,Bus,2008,81560,231502507.13
13,Bus,2009,81560,219359866.33
13,Bus,2010,81560,211715428.94
13,Bus,2011,81560,214030868.99
13,Bus,2012,81560,218180455.52
13,Bus,2013,81560,219533935.58999997
13,Bus,2014,81560,226851814.58
13,Bus,2015,81560,226579768.63
13,Bus,2016,81560,222897365.31
13,Bus,2017,81560,222497993.29
13,Bus,2018,81560,222961753.4
13,Rail,2002,81560,28740094.988
13,Rail,2003,81560,29946569.445
13,Rail,2004,81560,33104743.155
13,Rail,2005,81560,36160063.656
13,Rail,2006,81560,35882774.122
13,Rail,2007,81560,39358394.649
13,Rail,2008,81560,41338391.631
13,Rail,2009,81560,44292241.363
13,Rail,2010,81560,57102049.63
13,Rail,2011,81560,60208307.36
13,Rail,2012,81560,60422789.09
13,Rail,2013,81560,59658519.17
13,Rail,2014,81560,61377930.620000005
13,Rail,2015,81560,62391952.53
13,Rail,2016,81560,73444650.07
13,Rail,2017,81560,76250760.55000001
13,Rail,2018,81560,77817063.36
14,Bus,2002,199720,556704028.01
14,Bus,2003,199720,532864568.62
14,Bus,2004,199720,522349633.65999997
14,Bus,2005,199720,547270170.89
14,Bus,2006,199720,549435850.05
14,Bus,2007,199720,560438655.65
14,Bus,2008,199720,575795191.26
14,Bus,2009,199720,546769216.02
14,Bus,2010,199720,529911672.03
14,Bus,2011,199720,524559932.93
14,Bus,2012,199720,518362426.56
14,Bus,2013,199720,521126397.86
14,Bus,2014,199720,527105361.09000003
14,Bus,2015,199720,510135688.59
14,Bus,2016,199720,490657736.40999997
14,Bus,2017,199720,472122665.55
14,Bus,2018,199720,465569117.97
14,Rail,2002,101780,140914418.8
14,Rail,2003,101780,136196228.32999998
14,Rail,2004,128200,142927355.39
14,Rail,2005,161660,153129772.49
14,Rail,2006,161660,161563769.57
14,Rail,2007,161660,179322651.46
14,Rail,2008,161660,190452051.68
14,Rail,2009,199720,192488522.32999998
14,Rail,2010,199720,191595515.25
14,Rail,2011,199720,197897309.94
14,Rail,2012,199720,199770872.68
14,Rail,2013,199720,202256690.45
14,Rail,2014,199720,214502727.13
14,Rail,2015,199720,222908841.19
14,Rail,2016,199720,223637152.69
14,Rail,2017,199720,225591644.95
14,Rail,2018,199720,220575346.17
21,Bus,2002,271860,167651012.62
21,Bus,2003,271860,174725065.675
21,Bus,2004,326620,195015961.14699998
21,Bus,2005,326620,205375463.64000002
21,Bus,2006,326620,217564950.67999998
21,Bus,2007,362000,223021340.24100003
21,Bus,2008,362000,232877954.85899997
21,Bus,2009,362000,209109736.085
21,Bus,2010,362000,207726453.835
21,Bus,2011,362000,217487314.83200002
21,Bus,2012,362000,227978373.57799998
21,Bus,2013,362000,223788785.055
21,Bus,2014,362000,228208450.56899998
21,Bus,2015,362000,228411124.856
21,Bus,2016,362000,216223590.39000002
21,Bus,2017,362000,207718655.68999997
21,Bus,2018,362000,201982479.15100002
21,Rail,2002,74460,22920458.548
21,Rail,2003,74460,22478287.235
21,Rail,2004,74460,24243903.193
21,Rail,2005,74460,28176705.185000002
21,Rail,2006,74460,30975228.67
21,Rail,2007,109840,30176042.229000002
21,Rail,2008,109840,38200348.702
21,Rail,2009,109840,33196894.834
21,Rail,2010,109840,34074323.261999995
21,Rail,2011,109840,38418281.415
21,Rail,2012,109840,41635673.811000004
21,Rail,2013,109840,45239507.99
21,Rail,2014,109840,44481667.802999996
21,Rail,2015,109840,45323397.083
21,Rail,2016,109840,45063119.84
21,Rail,2017,109840,43845067.876
21,Rail,2018,109840,42629836.622999996
22,Bus,2002,340020,159449999.163
22,Bus,2003,340020,167706553.937
22,Bus,2004,377120,175200265.239
22,Bus,2005,377120,171236134.838
22,Bus,2006,377120,185839761.945
22,Bus,2007,377120,188296670.046
22,Bus,2008,377120,206497744.062
22,Bus,2009,377120,193700948.02899998
22,Bus,2010,377120,188903364.231
22,Bus,2011,377120,192289599.831
22,Bus,2012,377120,190570284.43
22,Bus,2013,377120,184031852.235
22,Bus,2014,377120,179240583.95499998
22,Bus,2015,377120,172944799.257
22,Bus,2016,377120,164498584.14
22,Bus,2017,377120,155039824.282
22,Bus,2018,377120,153461526.59600002
22,Rail,2002,60720,9180760.63
22,Rail,2003,60720,9826902.7575
22,Rail,2004,60720,13203670.3825
22,Rail,2005,60720,15269304.69
22,Rail,2006,105420,16804686.098
22,Rail,2007,105420,17920903.928
22,Rail,2008,105420,19787381.715
22,Rail,2009,116160,20959738.41
22,Rail,2010,116160,18066379.0
22,Rail,2011,116160,17094847.605
22,Rail,2012,163420,19511203.898000002
22,Rail,2013,163420,19324894.667999998
22,Rail,2014,163420,18875217.2
22,Rail,2015,163420,17998447.265
22,Rail,2016,163420,17502539.623
22,Rail,2017,163420,17785609.023000002
22,Rail,2018,184760,16677668.7898
23,Bus,2002,451860,163232006.714
23,Bus,2003,464280,197275201.31100002
23,Bus,2004,464280,200422413.613
23,Bus,2005,464280,217093253.959
23,Bus,2006,464280,229119141.51400003
23,Bus,2007,464280,233526921.501
23,Bus,2008,464280,258782589.425
23,Bus,2009,464280,240509806.022
23,Bus,2010,464280,234186538.24199998
23,Bus,2011,464280,244936782.155
23,Bus,2012,464280,254656839.66
23,Bus,2013,464280,251815696.47
23,Bus,2014,464280,248397455.62
23,Bus,2015,464280,238440986.133
23,Bus,2016,464280,229394163.694
23,Bus,2017,464280,224947516.028
23,Bus,2018,464280,221456072.324
23,Rail,2002,66720,15276557.4784
23,Rail,2003,66720,14989856.0776
23,Rail,2004,66720,15357761.9824
23,Rail,2005,66720,16517568.048
23,Rail,2006,66720,19155112.048
23,Rail,2007,105580,24421889.2144
23,Rail,2008,105580,23542934.4392
23,Rail,2009,105580,18969553.36
23,Rail,2010,105580,16839786.3984
23,Rail,2011,118000,18093873.6776
23,Rail,2012,118000,18896293.4544
23,Rail,2013,118000,19647959.1784
23,Rail,2014,118000,19370975.7328
23,Rail,2015,164060,19164523.5886
23,Rail,2016,164060,18361400.047000002
23,Rail,2017,164060,17139963.8262
23,Rail,2018,164060,16045019.0384
24,Bus,2002,519040,183927926.863
24,Bus,2003,519040,185723325.107
24,Bus,2004,609800,197063675.426
24,Bus,2005,637940,216774479.41
24,Bus,2006,669080,237509371.572
24,Bus,2007,669080,240414450.51799998
24,Bus,2008,669080,251149214.73000002
24,Bus,2009,669080,230578541.467
24,Bus,2010,669080,232766386.814
24,Bus,2011,669080,245616316.122
24,Bus,2012,669080,251793253.676
24,Bus,2013,669080,250244081.146
24,Bus,2014,669080,250901897.854
24,Bus,2015,669080,242643202.28300002
24,Bus,2016,669080,228303434.507
24,Bus,2017,669080,216268054.68800002
24,Bus,2018,669080,209253882.563
24,Rail,2002,72560,171977.0
24,Rail,2003,72560,549247.0
24,Rail,2004,72560,505923.0
24,Rail,2005,72560,620798.0
24,Rail,2006,72560,666322.0
24,Rail,2007,107540,798012.0
24,Rail,2008,124280,5646206.593
24,Rail,2009,124280,5348269.403
24,Rail,2010,124280,5514564.238
24,Rail,2011,124280,5475694.9010000015
24,Rail,2012,124280,5985287.068
24,Rail,2013,124280,6135246.1839999985
24,Rail,2014,124280,6374741.345
24,Rail,2015,161020,7442169.25
24,Rail,2016,161020,7446945.529
24,Rail,2017,189160,9214010.36
24,Rail,2018,189160,11444004.017
31,Bus,2002,345020,29161209.405
31,Bus,2003,470100,47524455.889
31,Bus,2004,619040,62623978.88000001
31,Bus,2005,776020,69098175.94819999
31,Bus,2006,932760,84832544.9436
31,Bus,2007,1010660,93625579.25000001
31,Bus,2008,1010660,100695550.477
31,Bus,2009,1010660,99343336.68399999
31,Bus,2010,1029360,103928064.471
31,Bus,2011,1050300,108830709.283
31,Bus,2012,1050300,110829531.7259
31,Bus,2013,1050300,112329958.8848
