CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,TSD_POP_EMP_PCT,JTW_HOME_PCT,PER_CAPITA_TNC_TRIPS_HI_OPEX_BUS,PER_CAPITA_TNC_TRIPS_MID_OPEX_BUS,PER_CAPITA_TNC_TRIPS_LOW_OPEX_BUS,PER_CAPITA_TNC_TRIPS_NEW_YORK_BUS,BIKE_SHARE,scooter_flag,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_EMP_PCT_FAC,JTW_HOME_PCT_FAC,PER_CAPITA_TNC_TRIPS_HI_OPEX_BUS_FAC,PER_CAPITA_TNC_TRIPS_MID_OPEX_BUS_FAC,PER_CAPITA_TNC_TRIPS_LOW_OPEX_BUS_FAC,PER_CAPITA_TNC_TRIPS_NEW_YORK_BUS_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
1.0,0,2002,180,2067895160.7899988,0.0,2067895160.7899988,0.0,1828804165.3250093,0.0,72621594.58936529,0.9257852427478948,9853400.513620235,1.9978760312339712,39168.6524228141,9.891235780095023,0.6031742875623738,3.9553254151744777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2067895160.7899988,2067895160.7899988
1.0,0,2003,180,2067895160.7899988,2067895160.7899988,2107511663.5000002,-71367838.58999853,2011418911.2266617,69300260.04006913,72761018.99291119,0.9202342005331232,9993603.669420617,2.306545748185467,38278.9936186953,9.78976636648368,0.6008177949846305,3.9553254151744777,0.0,0.0,0.0,0.0,0.0,0.0,4718997.285321007,7070308.963271733,8863736.131381072,45791537.363526195,14880076.97621724,-1314456.6786267902,-2876111.8480403214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77134088.19305012,78834607.746138,-150202446.33613652,0.0,-71367838.58999853
1.0,0,2004,180,2067895160.7899988,2107511663.5000002,2410970009.3499994,249169221.8499993,2308613621.862346,250668226.74571487,75185690.31458898,0.8988627424262527,10176473.573655365,2.6186899441822,37076.97899793944,9.690848213470082,0.5982636239085546,3.9553254151744777,0.0,0.0,0.0,0.0,0.0,0.0,75366050.6795719,15573966.17249222,11363453.777226554,43546118.298465684,21772384.38316969,-1087270.1800190294,-2733065.4811565494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163801637.64975044,167741960.63196403,81427261.21803528,0.0,249169221.8499993
1.0,0,2005,190,2193562244.1899986,2410970009.3499994,2568753504.359998,32116411.60999866,2523041814.382807,47453875.42129657,74442134.24016514,0.9234788283321796,10047591.368048906,3.0711520208882934,36205.34764991274,9.481229100935948,0.5903465601142085,3.986529301300082,0.0,0.0,0.0,0.0,0.0,0.0,-36202903.44568844,-12174631.448493116,13796638.936633496,64752973.40936036,21084598.08565022,-1797720.675247411,-2894432.488348006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46564522.373867095,45549225.14123018,-13432813.531231523,125667083.39999999,157783495.00999865
1.0,0,2006,190,2193562244.1899986,2568753504.359998,2599108816.4200006,30355312.06000215,2617087342.865464,94045528.48265745,74268722.59987088,0.8950782304808966,10294146.94417497,3.3643053307840884,34682.936523503304,9.370401930051875,0.5890836929148567,4.342135710957284,0.0,0.0,0.0,0.0,0.0,0.0,-8357413.162683098,18366916.965608627,18692164.938575264,40657074.06789161,34172752.006423086,-2007061.8768601434,-2265506.462654857,-261684.64210040233,0.0,0.0,0.0,0.0,0.0,0.0,98997241.8342001,99958868.58240908,-69603556.52240694,0.0,30355312.06000215
1.0,0,2007,190,2193562244.1899986,2599108816.4200006,2608864140.5399995,9755324.119999122,2624111985.5206366,7024642.65517205,74926024.88055754,0.9294079584406322,10340276.478127552,3.544732843906518,35198.67162775615,9.171382163185443,0.5839674031115747,4.430405507426404,0.0,0.0,0.0,0.0,0.0,0.0,39545594.85364957,-30095898.733643487,5151047.1138673285,23201947.029940248,-11769005.66200469,-2666847.6637886437,-7930733.029778526,-112706.0133833137,0.0,0.0,0.0,0.0,0.0,0.0,15323397.89485849,14570318.70998435,-4814994.589985231,0.0,9755324.119999122
1.0,0,2008,190,2193562244.1899986,2608864140.5399995,2692308348.7999997,83444208.26,2725846592.509322,101734606.9886855,75105587.1062302,0.9144656587943939,10355784.210147355,3.963848698850466,35229.84130507602,9.386512994240867,0.5879480003701787,4.512245327326427,0.0,0.0,0.0,0.0,8.77754896219498e-05,0.0,18959052.736144733,16436713.966741133,3406135.9397365917,53260802.1736556,1120614.525252869,2632385.918229979,5126077.209715664,-68437.54652793275,0.0,0.0,0.0,0.0,-424105.7842842923,0.0,100449239.13866434,102208627.43447925,-18764419.174479235,0.0,83444208.26
1.0,0,2009,190,2193562244.1899986,2692308348.7999997,2564111221.5099993,-128197127.29000038,2526731964.6375513,-199114627.87177068,74157529.42655672,1.0099300810385816,10260279.09816204,2.9230575678923776,33443.89836376854,9.462162537158799,0.5896342897239206,4.744659037700648,0.0,0.0,0.0,0.0,8.77754896219498e-05,0.0,-24620291.92955376,-80829906.5599843,-3220015.2434790586,-140246534.99293956,43896900.32856974,1870349.522772573,3550367.4611693616,-183876.42531988188,0.0,0.0,0.0,0.0,0.0,0.0,-199783007.8387648,-197687690.259176,69490562.9691756,0.0,-128197127.29000038
1.0,0,2010,190,2193562244.1899986,2564111221.5099993,2477369488.950001,-86741732.55999818,2526433285.896367,-298678.74118412286,69775840.93253073,1.0267474090301953,10228948.181007974,3.374099005375026,32563.699246829754,9.659570798555047,0.5881301524110273,4.95533970583854,0.0,0.0,0.0,0.0,0.06522359627995478,0.0,-107693277.36889045,-14237369.147438755,370374.76931487455,64155210.8216213,20863138.848957174,3488129.2665903345,56549501.29625342,-190128.82917957572,0.0,0.0,0.0,0.0,-361658.49558805674,0.0,22943921.16164025,22381608.817840673,-109123341.37783885,0.0,-86741732.55999818
1.0,0,2011,190,2193562244.1899986,2477369488.950001,2507911504.070001,30542015.120000165,2543843129.309658,17409843.41329033,66814678.36430586,1.0425301600003827,10320640.95190944,4.100715665788653,31885.135038494594,9.931657286290795,0.5846689925011354,4.909063390818137,0.0,0.0,0.0,0.0,0.06522359627995478,0.0,-72302726.93961002,-15814482.590000164,6806199.7110824855,88263271.89699213,16248288.104342727,4537560.583935002,-5471050.0632267315,44834.15607539413,0.0,0.0,0.0,0.0,-250398.5610869952,0.0,22061496.29850384,19344399.763787434,11197615.356212731,0.0,30542015.120000165
