CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,TSD_POP_PCT_LEHD,JTW_HOME_PCT,PER_CAPITA_TNC_TRIPS_HIMIDNY_BUS,PER_CAPITA_TNC_TRIPS_LOW_OPEX_BUS,PER_CAPITA_TNC_TRIPS_RAIL,BIKE_SHARE,scooter_flag,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_LEHD_FAC,JTW_HOME_PCT_FAC,PER_CAPITA_TNC_TRIPS_HIMIDNY_BUS_FAC,PER_CAPITA_TNC_TRIPS_LOW_OPEX_BUS_FAC,PER_CAPITA_TNC_TRIPS_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
1.0,0,2002,180,2067895160.7899988,0.0,2067895160.7899988,0.0,1825582665.556589,0.0,72621594.58936529,0.9257852427478948,9853400.513620235,1.9978760312339712,39168.6524228141,9.891235780095023,55.93659520622346,3.9553254151744777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2067895160.7899988,2067895160.7899988
1.0,0,2003,180,2067895160.7899988,2067895160.7899988,2107511663.5000002,-71367838.58999853,2012891223.190436,73467558.28575456,72761018.99291119,0.9202342005331232,9993603.669420617,2.306545748185467,38278.9936186953,9.78976636648368,55.475497422042494,3.9553254151744777,0.0,0.0,0.0,0.0,0.0,4089841.7119873688,7759121.104340002,6849541.708262038,49585487.99296288,17763909.809442617,-1591923.9522298658,-3581970.0066069798,0.0,0.0,0.0,0.0,0.0,0.0,80874008.36815807,82515865.86491406,-153883704.4549126,0.0,-71367838.58999853
1.0,0,2004,180,2067895160.7899988,2107511663.5000002,2410970009.3499994,249169221.8499993,2312121732.0555797,251731342.31974614,75185690.31458898,0.8988627424262527,10176473.573655365,2.6186899441822,37076.97899793944,9.690848213470082,55.18871007845545,3.9553254151744777,0.0,0.0,0.0,0.0,0.0,55835206.25181673,17007134.874068655,8780937.08629385,47149570.601294324,25998684.842338897,-1316667.1740134326,-2061605.5629762018,0.0,0.0,0.0,0.0,0.0,0.0,151393260.91882282,155396648.8633232,93772572.98667607,0.0,249169221.8499993
1.0,0,2005,190,2193562244.1899986,2410970009.3499994,2568753504.359998,32116411.60999866,2539778109.424148,57889682.55607733,74442134.24016514,0.9234788283321796,10047591.368048906,3.0711520208882934,36205.34764991274,9.481229100935948,54.00687267062773,3.986529301300082,0.0,0.0,0.0,0.0,0.0,-32465554.275066525,-13096732.74639234,10660759.794139791,70129358.80476059,25174368.53719469,-2177251.2606709544,-966832.2901160264,0.0,0.0,0.0,0.0,0.0,0.0,57258116.563849226,56498631.259544194,-24382219.64954553,125667083.39999999,157783495.00999865
1.0,0,2006,190,2193562244.1899986,2568753504.359998,2599108816.4200006,30355312.06000215,2643086725.6303577,103308616.2062097,74268722.59987088,0.8950782304808966,10294146.94417497,3.3643053307840884,34682.936523503304,9.370401930051875,54.1205917224073,4.342135710957284,0.0,0.0,0.0,0.0,0.0,-7562284.778844056,19983275.099267628,14441173.23051449,44012560.01085787,40821602.473275416,-2430133.4105712865,622310.1453750611,-2675228.1696090833,0.0,0.0,0.0,0.0,0.0,107213274.60026607,108438913.89325134,-78083601.83324921,0.0,30355312.06000215
1.0,0,2007,190,2193562244.1899986,2599108816.4200006,2608864140.5399995,9755324.119999122,2637519888.9712715,-5566836.6590867825,74926024.88055754,0.9294079584406322,10340276.478127552,3.544732843906518,35198.67162775615,9.171382163185443,52.98094382853533,4.430405507426404,0.0,0.0,0.0,0.0,0.0,35092925.99304589,-32401921.739545517,3981245.825644105,25110252.39392979,-14028942.439542986,-3228719.5849930733,-10401835.019759327,-1152490.8688140514,0.0,0.0,0.0,0.0,0.0,2970514.5599648245,2163424.466851443,7591899.653147681,0.0,9755324.119999122
1.0,0,2008,190,2193562244.1899986,2608864140.5399995,2692308348.7999997,83444208.26,2740631222.807712,103111333.83644076,75105587.1062302,0.9144656587943939,10355784.210147355,3.963848698850466,35229.84130507602,9.386512994240867,53.637556832571846,4.512245327326427,0.0,0.0,0.0,8.77754896219498e-05,0.0,16782343.392526306,17791796.757787976,2632670.5128912698,57667554.916244775,1346165.551089257,3190617.0232277974,5325766.716661493,-699565.66850622,0.0,0.0,0.0,-3765070.745488277,0.0,100272278.45643438,101716564.32497686,-18272356.06497688,0.0,83444208.26
1.0,0,2009,190,2193562244.1899986,2692308348.7999997,2564111221.5099993,-128197127.29000038,2528644553.2961583,-211986669.51155388,74157529.42655672,1.0099300810385816,10260279.09816204,2.9230575678923776,33443.89836376854,9.462162537158799,53.45738516161606,4.744659037700648,0.0,0.0,0.0,8.77754896219498e-05,0.0,-22051675.747839484,-87097592.21835013,-2491640.842471026,-151393042.05897558,52452931.08325437,2267393.5300706727,-1263664.9946747147,-1880757.9756520037,0.0,0.0,0.0,0.0,0.0,-211458049.2246379,-209428359.74193934,81231232.45193897,0.0,-128197127.29000038
1.0,0,2010,190,2193562244.1899986,2564111221.5099993,2477369488.950001,-86741732.55999818,2529001399.123211,356845.8270525411,69775840.93253073,1.0267474090301953,10228948.181007974,3.374099005375026,32563.699246829754,9.659570798555047,52.98095255004647,4.95533970583854,0.0,0.0,0.0,0.06522359627995478,0.0,-96403703.96762282,-15303011.30952969,284271.3759092594,69476062.5243529,24910751.10732453,4228198.279826059,37120716.10730455,-1944825.606414049,0.0,0.0,0.0,-3210684.3906734376,0.0,19157774.120477308,17931206.990905777,-104672939.55090395,0.0,-86741732.55999818
1.0,0,2011,190,2193562244.1899986,2477369488.950001,2507911504.070001,30542015.120000165,2564305354.3586874,35303955.23547582,66814678.36430586,1.0425301600003827,10320640.95190944,4.100715665788653,31885.135038494594,9.931657286290795,52.67416677087843,4.909063390818137,0.0,0.0,0.0,0.06522359627995478,0.0,-64617894.294356674,-17041147.18509953,5261159.23386501,95624498.04128811,19400059.314283744,5499295.7080450915,-2738304.5004065237,459569.32421428524,0.0,0.0,0.0,-2222955.526654727,0.0,39624280.11517879,36975066.287986316,-6433051.16798614,0.0,30542015.120000165
