,CBSA,MNAME,Mode,Year,UPT_ADJUSTED,VRM_ADJUSTED,FARE_ADJUSTED,min_year,max_year,FARE_per_UPT,PROBLEM_FLAG,NOTE,PROBLEM_FLAG2,Tot_Pop,Tot_Instate_Pop,Tot_Outstate_Pop,Tot_NonUSA_POP,Total_Median_Income_Individual,Native_Instate_Med_Inc_Indiv,Native_Outstate_Med_Inc_Indiv,Native_Outcountry_Med_Inc_Indiv,Total_Pop_Poverty,Pop_Below100_Poverty,Pop_Below150_Poverty,Pop_Above150_Poverty,Age_under18,Age_18to64,Age_over64,Total_HH,HH_0Veh,HH_1Veh,HH_2Veh,HH_3Veh,HH_4+Veh,PCT_HH_NO_VEH,HH_MED_INC,HH_MEAN_INC,INC_U35,INC_35_100,INC_100P,TOT_UNEMP_MSA,TOT_EMP_MSA,TOT_LABOR_MSA,UNEMP_RATE_PCT,EMP_RATE_PCT,GasPrice,Area_acre,POP_CENSUSTRACT,AVG_SPEED,2018_Dollar_Multiplier,TNC_ARRIVAL,Link_x,TNC_FLAG,YEARS_SINCE_TNC,FARE_ADJ_2018,TOTAL_MED_INC_INDIV_2018,NATIVE_INSTATE_MED_INC_2018,NATIVE_OUTSTATE_MED_INC_2018,HH_MED_INC_2018,HH_MEAN_INC_2018,GAS_PRICE_2018,dockCt,docklessCt,scooterCt,PBS_Start,PBS_End,PBS_Flag,Link,walkscore,transit,bike,CLUSTER_GT_NEW_11,CLUSTER_GT_ORIGINAL,CLUSTER_GT_8_GROUPS,CLUSTER_APTA,CLUSTER_NOTE,TOTAL_EMPLOYMENT,JTW_DA_PCT,JTW_CARPOOLED_PCT,JTW_TRANSIT_PCT,JTW_WALK_PCT,JTW_BICYCLE_PCT,JTW_OTHER_PCT,JTW_HOME_PCT,NOTE_JTW,AVG_FARE_2018,WEIGHTED_POP_DENSITY,_merge,CLUSTER_APTA_EXTENDED
0,10420,"Akron, OH Metro Area",Bus,2002,5226385.66,4026372.388,596582.6949,2002,2018,0.114148234,,,,646583.7344,496141.0469,137193.6719,-389.53125,25405.20313,26028.32813,26651.07813,7117.03125,682354.11,7.55,8.94,83.85,24.64,62.9,12.46,265452.2,22830.14,58254.52,117083.25,46891.53,20392.77,8.6,43046.82813,55300.5625,39.49,46.56,13.95,21948.42,346147.17,368095.58,5.96,94.04,1.36,,119786,14.88,1.4,2014,http://www.crainscleveland.com/article/20140828/FREE/140829750/uber-launches-service-in-akron,0,0,4004892.28,35567.28438,36439.65938,37311.50938,60265.55938,77420.7875,1.904,0,0,0,,,0,,0,0,0,1,1,H,24,,309488.2031,87.4,6.2,0.8,1.7,0.1,0.7,3.1,Goes to negative when extrapolating. Possible solution is using a different extrapolation.,0.159807528,2417.239652,both,24
1,10420,"Akron, OH Metro Area",Bus,2003,5395901.888,3976568.624,2318586.755,2002,2018,0.429694017,,,,659397.0625,504631.8125,137582.3125,753.125,25120.1875,25632.6875,25995.6875,10350.875,682850.56,8.81,8.66,82.79,24.33,63,12.68,269144.19,22073.44,67400.94,115443,44874.88,19351.94,8.2,43566.6875,56379.75,39.24,46.66,14.1,23342.5,348574.17,371916.67,6.28,93.72,1.55,,119199,14.71,1.37,2014,http://www.crainscleveland.com/article/20140828/FREE/140829750/uber-launches-service-in-akron,0,0,15690640.83,34414.65688,35116.78188,35614.09188,59686.36188,77240.2575,2.1235,0,0,0,,,0,,0,0,0,1,1,H,24,,316497.1875,87.2,6.4,0.8,1.7,0.1,0.7,3.1,Goes to negative when extrapolating. Possible solution is using a different extrapolation.,0.588680803,2417.305061,both,24
2,10420,"Akron, OH Metro Area",Bus,2004,5907162.281,4315392.555,2279210.981,2002,2018,0.385838559,,,,672492.75,513183.75,138058.75,1942.5,24804.25,25208.25,25305.25,13527.5,683397.75,10.08,8.38,81.73,24,63.1,12.9,272892.25,21266.25,76795.25,113694,42855.5,18281.25,7.79,44030.25,57390,39.03,46.78,14.2,23471.75,351723.75,375195.5,6.26,93.74,1.83,,118612,7.23,1.33,2014,http://www.crainscleveland.com/article/20140828/FREE/140829750/uber-launches-service-in-akron,0,0,14652259.89,32989.6525,33526.9725,33655.9825,58560.2325,76328.7,2.4339,0,0,0,,,0,,0,0,0,1,1,H,24,,323744.25,86.9,6.7,0.8,1.7,0.1,0.7,3.1,Goes to negative when extrapolating. Possible solution is using a different extrapolation.,0.513165283,2417.260004,both,24
3,10420,"Akron, OH Metro Area",Bus,2005,6013680.881,4053011.065,2728753.776,2002,2018,0.453757662,,,,684459,521491,138184,2945,24612,24899,24755,16933,683742,11.3,8.1,80.7,23.7,63.2,13.1,276416,20661,85198,112380,40847,17330,7.47,44719,58676,38.7,46.8,14.5,22420.75,358105.92,380526.67,5.9,94.1,2.25,13644.8,118025,14.4,1.29,2014,http://www.crainscleveland.com/article/20140828/FREE/140829750/uber-launches-service-in-akron,0,0,17316881.13,31749.48,32119.71,31933.95,57687.51,75692.04,2.9025,0,0,0,,,0,,0,0,0,1,1,H,24,,330039,86.8,6.8,0.8,1.7,0.1,0.7,3.1,,0.585347384,2417.13868,both,24
4,10420,"Akron, OH Metro Area",Bus,2006,6070797.419,3994786.013,2855272.597,2002,2018,0.470329085,,,,700943,530777,139714,4695,23925,24129,23644,19423,684898,12.7,7.8,79.5,23.3,63.3,13.4,280837,19248,97567,109326,38795,15901,6.85,44507,58859,38.8,47.2,14,20348.08,365133.33,385481.42,5.28,94.72,2.54,13644.8,117438,14.19,1.25,2014,http://www.crainscleveland.com/article/20140828/FREE/140829750/uber-launches-service-in-akron,0,0,17511368.98,29906.25,30161.25,29555,55633.75,73573.75,3.175,0,0,0,,,0,,0,0,0,1,1,H,24,,340143,85.8,7.3,1.3,2.2,0,0.9,2.5,,0.587911357,2417.703484,both,24
5,10420,"Akron, OH Metro Area",Bus,2007,5868746.078,4571428.064,3109813.235,2002,2018,0.529893983,,,,699356,536148,135625,3455,25217,25202,24776,25575,682807,13.4,7.6,79,23.3,63.4,13.3,281669,21066,94071,113232,36917,16383,7.48,47898,63454,37.2,46.1,16.7,20953.42,368688.42,389641.83,5.38,94.62,2.82,13644.8,116851,16.03,1.21,2014,http://www.crainscleveland.com/article/20140828/FREE/140829750/uber-launches-service-in-akron,0,0,18481486.41,30512.57,30494.42,29978.96,57956.58,76779.34,3.4122,0,0,0,,,0,,0,0,0,1,1,H,24,,335010,85.7,7,1.3,2,0.2,0.8,2.9,,0.64117172,2416.526602,both,24
6,10420,"Akron, OH Metro Area",Bus,2008,6140428.988,3873343.976,3251530.816,2002,2018,0.529528283,,,,698553,529519,137011,4452,25357,25559,25281,15247,681880,12.1,8.2,79.7,22.9,63.5,13.6,281731,19035,100229,108332,38548,15587,6.76,50036,65801,36.4,45.1,18.5,24154.58,367016.58,391171.17,6.17,93.83,3.23,13644.8,116264,14.89,1.17,2014,http://www.crainscleveland.com/article/20140828/FREE/140829750/uber-launches-service-in-akron,0,0,18601942.58,29667.69,29904.03,29578.77,58542.12,76987.17,3.7791,0,0,0,,,0,,0,0,0,1,1,H,24,,346231,84.4,7.5,1.6,2.7,0.2,0.6,3,,0.619548091,2417.876039,both,24
7,10420,"Akron, OH Metro Area",Bus,2009,5560854.064,3431434.413,3057887.223,2002,2018,0.549895248,,,,699935,537803,134499,2466,24856,24810,24817,29301,685405,14.7,7.2,78.1,22.4,63.6,14,281769,23447,97811,108215,36339,15957,8.32,47482,60668,36.8,48.1,15.1,38703.17,346409.33,385112.5,10.05,89.95,2.33,13644.8,115677,12.41,1.17,2014,http://www.crainscleveland.com/article/20140828/FREE/140829750/uber-launches-service-in-akron,0,0,17469678.88,29081.52,29027.7,29035.89,55553.94,70981.56,2.7261,0,0,0,,,0,,0,0,0,1,1,H,24,,326349,86.6,5.9,1.4,2.2,0.2,0.5,3.2,,0.64337744,2419.599273,both,24
8,10420,"Akron, OH Metro Area",Bus,2010,5616567.806,3471447.493,3247759.336,2002,2018,0.578246261,,,,702951,539313,132784,3944,24592,24348,25441,18974,687098,,,,22.3,63.4,14.3,281523,22621,92537,114311,35021,17033,8.04,46521,60782,38,45.6,16.4,39167.33,333040.75,372208.08,10.52,89.48,2.78,13644.8,115090,11.57,1.15,2014,http://www.crainscleveland.com/article/20140828/FREE/140829750/uber-launches-service-in-akron,0,0,18235616.11,28280.8,28000.2,29257.15,53499.15,69899.3,3.197,0,0,0,,,0,,0,0,0,1,1,H,24,,319431,87.7,5.7,1.5,1.6,0.1,0.6,2.9,,0.664983201,2414.853641,both,24
9,10420,"Akron, OH Metro Area",Bus,2011,5858952.685,3918014.086,3432078.038,2002,2018,0.585783539,,,,701456,541743,127206,5605,24744,24630,24718,19914,684916,,,,21.9,63.7,14.4,274696,22332,98938,101762,35249,16415,8.13,47032,62438,38.4,45.1,16.5,33038.33,332935.08,365973.42,9.03,90.97,3.53,13644.8,114503,12.84,1.12,2014,http://www.crainscleveland.com/article/20140828/FREE/140829750/uber-launches-service-in-akron,0,0,18786450.64,27713.28,27585.6,27684.16,52675.84,69930.56,3.9536,0,0,0,,,0,,0,0,0,1,1,H,24,,322871,85.6,7.2,1.3,1.7,0.3,0.6,3.3,,0.656077563,2435.023505,both,24
