CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_2012,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_cleaned_2018,POP_EMP,TSD_WA_EMP_PCT_LEHD,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS_POW,YEARS_SINCE_TNC_RAIL_POW,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,POP_EMP_log_FAC,TSD_WA_EMP_PCT_LEHD_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_POW_FAC,YEARS_SINCE_TNC_RAIL_POW_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
1.0,0,2002,170,2217749582.0,2203565452.0,0.0,2217749582.0,0.0,1894782735.3448057,0.0,69431799.63651021,0.9102786428414076,9573567.143826585,60.16252644051002,1.9989229721545723,39381.469965213546,9.917688029711911,3.943894077307056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2217749582.0,2217749582.0
1.0,0,2003,170,2217749582.0,2203565452.0,2217749582.0,2150502598.9999995,-67246983.00000018,2061885528.7108538,52735988.70032004,69475683.83844686,0.9168707344014717,9715711.202587085,60.465174129230775,2.3077092528229817,38481.401179128,9.826644160485746,3.943894077307056,0.0,0.0,-2196619.592151682,-3237160.020693624,14007899.871599745,-65008.49165931635,41062436.44527958,9579110.908335108,-1982583.8097532259,0.0,0.0,0.0,57145597.966666564,58006266.22590268,-129541930.22590262,0.0,-71535663.99999993
1.0,0,2004,180,2396974805.0,2389867700.0,2150502598.9999995,2410970010.0,81242188.0000003,2401583251.7417517,114087883.39514947,71765534.23904203,0.8811162918022641,9734314.782684496,60.88094295597845,2.6074594940736557,38183.58992380748,9.786967609269468,3.9555663396720595,0.0,0.0,35014763.035863504,22196386.839422725,16631986.966268295,-525218.2050924846,37074628.618656464,13066979.461753847,-1890950.023013976,0.0,0.0,0.0,111539240.14260742,114325791.5826769,-44021425.58267671,179225222.99999985,249529589.0000001
1.0,0,2005,190,2522641888.0,2541057031.0,2410970010.0,2568753503.9999986,32116410.999998577,2613130260.287942,43212913.112841144,70767074.60414761,0.908709006019361,9670224.811546005,60.67713397054524,3.0629169958820954,37264.37843132749,9.582088124551113,3.982687664464881,0.0,0.0,-27464850.92257305,-10235606.008247156,19193111.419653747,-969362.0577694715,54104313.7253501,12618850.544251174,-2819316.3388448283,0.0,0.0,0.0,44427140.36182051,43889241.87335512,-11772830.873356542,125667082.9999998,157783493.9999984
1.0,0,2006,190,2522641888.0,2541057031.0,2568753503.9999986,2599108817.0000005,30355313.00000269,2680875988.3310623,67745728.04312037,70624705.90615213,0.8978368338450172,9915449.723039184,60.34114963146723,3.355692065332699,35771.54082711947,9.461948548410053,4.30155178767887,0.0,0.0,-6471850.2047861,7458919.900966965,26010901.85143745,-1171836.418537001,34002014.645511046,20430780.84017055,-3145337.2615224365,-7431947.4266483905,0.0,0.0,69681645.92659208,69994876.46797875,-39639563.46797606,0.0,30355313.00000269
1.0,0,2007,190,2522641888.0,2541057031.0,2599108817.0000005,2608864140.999998,9755323.999997467,2702652771.871173,21776783.54011087,71582714.3552377,0.9208602306105821,9964969.76569808,60.32386373342976,3.5310062793786834,36276.70610874326,9.294565235999123,4.4274885399032895,0.0,0.0,29281721.250824552,-18146329.370455433,7162767.846719574,-48228.5730006572,19414182.9266455,-7067473.476365883,-4178346.0577792516,-3203243.044170929,0.0,0.0,23215051.50241747,23109781.083902873,-13354457.083905406,0.0,9755323.999997469
1.0,0,2008,190,2522641888.0,2541057031.0,2608864140.999998,2692308348.999999,83444208.00000104,2787699779.8446045,85047007.97343157,71889164.49129106,0.9010416255067859,9988399.397412283,60.45500293018635,3.9554554445044965,36238.91881751508,9.4554621860263,4.508747727850302,0.0,0.0,13956985.716891436,13641992.009562112,4736179.960737578,466418.92696884845,44525702.78794707,662122.7738317384,4136980.336037923,-1942991.4979191346,0.0,0.0,80183391.01405758,81236526.85406178,2207681.145939246,0.0,83444208.00000104
1.0,0,2009,190,2522641888.0,2541057031.0,2692308348.999999,2564111221.0,-128197127.99999961,2602262760.6562333,-185437019.18837103,70967398.25016546,0.9931869137659665,9910892.792191492,60.960963369886066,2.9101362046971992,34545.635455789095,9.56712468936851,4.71934066604225,0.0,0.0,-18624989.59193317,-67723396.4048492,-4468660.864149615,1868409.6551561118,-117950644.25111015,26228787.2471923,2940824.9890345717,-5230184.427922202,0.0,0.0,-182959853.6485814,-180355223.59837428,52158095.598374724,0.0,-128197127.99999961
1.0,0,2010,190,2522641888.0,2541057031.0,2564111221.0,2477369489.000001,-86741731.99999885,2582564569.8993907,-19698190.75684323,67087317.041166835,1.011159790656542,9893600.100512411,63.98019728182189,3.3619635552803038,33716.16047501595,9.777768115309279,4.947970199525997,0.0,0.0,-81366786.41722405,-11990428.13759278,521167.6695798506,10409358.464538677,53613890.819551274,12485484.480987977,5483120.476301447,-5408982.017151378,0.0,0.0,-16253174.661008991,-17054617.81334678,-69687114.18665208,0.0,-86741731.99999885
1.0,0,2011,190,2522641888.0,2541057031.0,2477369489.000001,2507911502.000001,30542012.999999788,2610079598.4352865,27515028.535896033,64589050.37874564,1.0324809727559339,9986664.09812566,63.55084603357472,4.092877324958459,33057.754898560874,10.06543443647519,4.895036823554085,0.12496612797067758,0.0,-54422599.68036024,-13249320.69752451,9462338.331240643,-1415262.645477789,73698132.90651663,9724283.610759486,7129309.129604555,1283462.5865313918,-2986860.072599213,0.0,29223483.468690965,27513203.031281095,3028809.9687186927,0.0,30542012.999999788
