CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_2012,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_cleaned_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,JTW_HOME_PCT,MAINTENANCE_WMATA,YEARS_SINCE_TNC_BUS_HINY,YEARS_SINCE_TNC_BUS_MIDLOW,YEARS_SINCE_TNC_RAIL_HINY,YEARS_SINCE_TNC_RAIL_MID,BIKE_SHARE,scooter_flag,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,MAINTENANCE_WMATA_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
1.0,0,2002,170,2217749582.0,2203565452.0,0.0,2217749582.0,0.0,2104917430.745089,0.0,69431799.63651021,0.9102786428414076,9573567.143826585,1.9989229721545723,39381.469965213546,9.917688029711911,3.943894077307056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2217749582.0,2217749582.0
1.0,0,2003,170,2217749582.0,2203565452.0,2217749582.0,2150502598.9999995,-67246983.00000018,2134591115.9306338,29673685.185544726,69475683.83844686,0.9168707344014717,9715711.202587085,2.3077092528229817,38481.401179128,9.826644160485746,3.943894077307056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2063012.1315272427,-2256673.437306121,11886702.399096893,23805632.511313178,5446563.1068042945,-5274625.69629097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31544586.752090037,32025308.526894588,-99272291.52689475,0.0,-67246983.00000018
1.0,0,2004,180,2396974805.0,2389867700.0,2150502598.9999995,2410970010.0,81242188.0000003,2404537763.790446,86887874.10711424,71765534.23904203,0.8811162918022641,9734314.782684496,2.6074594940736557,38183.58992380748,9.786967609269468,3.9555663396720595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31496521.56270115,14288151.843438726,14113114.916822866,21502427.38564217,7427402.156322021,-5029998.636293129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83797619.2286338,85245713.82359456,-4003525.8235942908,179225222.99999985,260467411.00000015
1.0,0,2005,190,2522641888.0,2541057031.0,2410970010.0,2568753503.9999986,32116410.999998577,2583783933.013937,14662837.04440971,70767074.60414761,0.908709006019361,9670224.811546005,3.0629169958820954,37264.37843132749,9.582088124551113,3.982687664464881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24919638.32443164,-6798543.004722113,16286432.331723446,31344600.601490498,7173803.994612022,-7509016.404189786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15577639.194482429,15287737.237618053,16828673.762380525,125667082.9999998,157783493.9999984
1.0,0,2006,190,2522641888.0,2541057031.0,2568753503.9999986,2599108817.0000005,30355313.00000269,2619547294.787036,35763361.77309832,70624705.90615213,0.8978368338450172,9915449.723039184,3.355692065332699,35771.54082711947,9.461948548410053,4.30155178767887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5905621.380577457,4787353.397956998,22068324.995119598,19737258.207330864,11607138.06265593,-8349290.169508606,-5056130.7139930455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38889032.39898429,38887673.9503676,-8532360.95036491,0.0,30355313.00000269
1.0,0,2007,190,2522641888.0,2541057031.0,2599108817.0000005,2608864140.999998,9755323.999997467,2633016632.1117887,13469337.324753009,71582714.3552377,0.9208602306105821,9964969.76569808,3.5310062793786834,36276.70610874326,9.294565235999123,4.4274885399032895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26385771.448712904,-11984168.148306234,6079417.945720069,11282037.297270928,-4026635.8216371443,-11079624.805067642,-2178716.302900519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14478081.613792375,14398421.790849062,-4643097.790851598,0.0,9755323.999997467
1.0,0,2008,190,2522641888.0,2541057031.0,2608864140.999998,2692308348.999999,83444208.00000104,2694892383.679273,61875751.567484304,71889164.49129106,0.9010416255067859,9988399.397412283,3.9554554445044965,36238.91881751508,9.4554621860263,4.508747727850302,0.0,0.0,0.0,0.0,0.0,0.07104663719910444,0.0,12555650.88245786,8861520.31412112,4019940.6682935692,25824830.648951463,373266.750042249,11125688.049789809,-1322016.3511928483,0.0,0.0,0.0,0.0,0.0,-1620165.153611917,0.0,59818715.80885132,60341620.669274494,23102587.330726575,0.0,83444208.00000104
1.0,0,2009,190,2522641888.0,2541057031.0,2692308348.999999,2564111221.0,-128197127.99999961,2581313651.594653,-113578732.08461967,70967398.25016546,0.9931869137659665,9910892.792191492,2.9101362046971992,34545.635455789095,9.56712468936851,4.71934066604225,0.0,0.0,0.0,0.0,0.0,0.07104663719910444,0.0,-16885296.63022999,-44721470.981281005,-3796860.7791750943,-69301337.52820875,14895345.65942025,7926497.556671964,-3556409.07339838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-115439531.776201,-114237849.30576357,-13959278.694236055,0.0,-128197127.99999961
1.0,0,2010,190,2522641888.0,2541057031.0,2564111221.0,2477369489.000001,-86741731.99999885,2546725097.872,-34588553.72265284,67087317.041166835,1.011159790656542,9893600.100512411,3.3619635552803038,33716.16047501595,9.777768115309279,4.947970199525997,0.0,0.0,0.0,0.0,0.0,0.12768546400986416,0.0,-73742325.6767045,-7987863.482020637,439536.18298866553,31071720.176058445,7097684.634413393,14761647.026369406,-3677772.8324325806,0.0,0.0,0.0,0.0,0.0,-1381604.5757970144,0.0,-33418978.547124803,-34060493.49873119,-52681238.50126764,0.0,-86741731.99999885
1.0,0,2011,190,2522641888.0,2541057031.0,2477369489.000001,2507911502.000001,30542012.999999788,2558382551.763905,11657453.89190479,64589050.37874564,1.0324809727559339,9986664.09812566,4.092877324958459,33057.754898560874,10.06543443647519,4.895036823554085,0.0,0.12496612797067758,0.0,0.0,0.0,0.16867203705134062,0.0,-49270303.58526508,-8747776.583354928,8032096.16081354,42633652.930496916,5528209.6136872135,19151124.978871264,870871.4030602274,0.0,-3792173.706981526,0.0,0.0,0.0,-956570.3558659795,0.0,13449130.855461657,12409967.083603084,18132045.916396704,0.0,30542012.999999788
1.0,0,2012,190,2522641888.0,2541057031.0,2507911502.000001,2541057030.9999995,33145528.99999903,2530713935.835998,-27668615.927907366,63654979.010832,1.0331937282706827,10106162.130560195,4.140214257275543,32885.7085785359,9.958940532822863,4.987356848646763,0.0,0.5049977494070688,0.0,0.0,0.0,0.20578687227443668,0.0,-19036585.668469377,265172.64927992143,10146901.026990417,2454960.322721767,1663937.3156593274,-7201853.855598551,-1622714.1389824473,0.0,-13219463.93981107,0.0,0.0,0.0,-598329.8690154583,0.0,-27147976.15722547,-27148598.08906696,60294127.089066,0.0,33145528.99999903
1.0,0,2013,190,2522641888.0,2541057031.0,2541057030.9999995,2538567550.000001,-2489480.9999990985,2496409314.9251842,-34304620.9108136,64440490.50185641,1.0525608051525281,10218543.93976726,3.9654549378235004,33089.926406244245,9.695200702110121,4.990027977129983,0.0,1.3142978187952767,0.0,0.0,0.0,0.20578687227443668,0.0,21010514.984687027,-7614684.67098727,9494801.981055174,-9540497.711745236,-1658769.6163200801,-16899762.03125782,-24402.06718044469,0.0,-28897919.168649096,0.0,0.0,0.0,0.0,0.0,-34130718.30039775,-34175455.86475487,31685974.864755776,0.0,-2489480.9999991003
1.0,0,2014,190,2522641888.0,2541057031.0,2538567550.000001,2510923485.999999,-27644064.000002045,2452666606.658333,-43742708.26685148,64472290.6259952,1.0552857020000461,10358402.722098505,3.757632076906906,33372.44649362026,9.64365408837213,5.143028107483799,0.0,2.1833497858733715,0.0,0.0,0.0,0.4721236239140731,0.0,3858992.4699548585,-2221763.797262836,11270043.463402977,-11895029.352907522,-2414703.3871527314,-4102880.1061589206,-2579052.633202842,0.0,-30932114.53191774,0.0,0.0,0.0,-6468497.94099061,0.0,-45485005.816235356,-45175686.06761532,17531622.06761328,0.0,-27644064.000002045
1.0,0,2015,190,2522641888.0,2541057031.0,2510923485.999999,2445688117.000001,-65235368.99999772,2357488935.6300597,-95177671.02827321,65239258.51204985,1.0818127292498356,10472818.645738743,2.8576666928336514,34516.89053111851,9.510527451972603,5.284222653366168,0.0,3.1833497858733715,0.0,0.0,0.0,0.7236305595667644,0.0,22171869.71171959,-12339864.44246174,9726700.65704518,-57942465.37273156,-9333576.603112202,-8297879.088340444,-2118454.1757140798,0.0,-34954710.797534145,0.0,0.0,0.0,-5532658.26123074,0.0,-98621038.37236014,-97811377.5091924,32576008.509194687,0.0,-65235368.99999772
1.0,0,2016,190,2522641888.0,2541057031.0,2445688117.000001,2323506883.0000005,-122181234.00000072,2294024598.405789,-63464337.22427054,66113243.24680118,1.104717302622811,10554924.899873944,2.5185717610537024,35303.22951100643,9.381259123522486,5.715785148652855,0.0,4.183349785873372,0.0,0.0,0.0,0.9827746569155519,0.0,21243235.688968252,-9806317.406317635,7332926.07814079,-24272320.50533892,-6002207.991086269,-8396013.631167304,-6657961.249917191,0.0,-34046565.45982099,0.0,0.0,0.0,-5367050.182616627,0.0,-65972274.659155905,-65318817.17393117,-56862416.82606956,0.0,-122181234.00000072
1.0,0,2017,190,2522641888.0,2541057031.0,2323506883.0000005,2230802096.9999995,-92704786.00000066,2294346397.596495,321799.19070666656,66222639.767624594,1.0654314734435388,10662889.412182815,2.7392459466138064,36103.068578746366,9.23344619094028,5.884423667787759,0.0,5.183349785873371,0.0,0.0,0.0,0.9827746569155519,0.0,10807453.290931256,14861239.34332318,8513974.087446384,15637866.943493027,-5939150.930196416,-8724218.568972819,-2456751.086691698,0.0,-32345673.448109634,0.0,0.0,0.0,0.0,0.0,354739.6312232907,23971.351783109363,-92728757.35178381,0.0,-92704786.00000066
