CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_2012,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_cleaned_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS_NY,YEARS_SINCE_TNC_BUS_HI,YEARS_SINCE_TNC_BUS_MID,YEARS_SINCE_TNC_BUS_LOW,YEARS_SINCE_TNC_RAIL_NY,YEARS_SINCE_TNC_RAIL_HI,YEARS_SINCE_TNC_RAIL_MID,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_NY_FAC,YEARS_SINCE_TNC_BUS_HI_FAC,YEARS_SINCE_TNC_BUS_MID_FAC,YEARS_SINCE_TNC_BUS_LOW_FAC,YEARS_SINCE_TNC_RAIL_NY_FAC,YEARS_SINCE_TNC_RAIL_HI_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
1.0,0,2012,190,2541057030.9999995,2541057031.0,0.0,2541057030.9999995,0.0,2608383933.877054,0.0,63618134.26564376,1.0387448724151473,10061845.840327524,4.140749762988535,32856.493470736394,10.00248724354979,5.001295556754468,0.0,0.48874482424003485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2541057030.9999995,2541057030.9999995
1.0,0,2013,190,2541057030.9999995,2541057031.0,2541057030.9999995,2538567550.000001,-2489480.9999990985,2552720559.1655045,-55663374.711550474,64395739.409672245,1.057153321699732,10172282.288731206,3.9668071450237368,33049.93093233715,9.747885558193126,5.002956381855407,0.0,1.3056655700853492,0.0,0.0,0.0,0.0,0.0,18191600.04836075,-10509540.790936805,3587553.8009003415,-12061656.908488182,-536876.8632671394,-623514.0715221438,-30270.937448525714,0.0,-51029476.28965573,0.0,0.0,0.0,0.0,0.0,-53012182.012057446,-52979418.18651054,50489937.18651145,0.0,-2489480.9999990975
1.0,0,2014,190,2541057030.9999995,2541057031.0,2538567550.000001,2510923485.999999,-27644064.000002045,2483588271.643491,-69132287.52201349,64426676.89047877,1.0629843569137871,10309599.310833545,3.759181726245325,33333.93419349299,9.685346171889996,5.16565980706633,0.0,2.18070953205615,0.0,0.0,0.0,0.0,0.0,3332728.0896279574,-3001175.4546727045,4257774.396725035,-15036656.010826372,-781755.512368903,-154491.38324464104,-3273329.7541257604,0.0,-54621566.20632556,0.0,0.0,0.0,0.0,0.0,-69278471.83521095,-68866601.69344334,41222537.69344131,0.0,-27644064.000002045
1.0,0,2015,190,2541057030.9999995,2541057031.0,2510923485.999999,2445688117.000001,-65235368.99999772,2351751945.105027,-131836326.53846292,65145541.08412218,1.0909988532800272,10421963.362910083,2.8572777759141137,34459.17242292133,9.559033368303021,5.301056891627082,0.0,3.1807095320561505,0.0,0.0,0.0,0.0,0.0,19195753.348301545,-17192330.27246843,3675363.9278323734,-73054830.46627218,-3022536.698462353,-308027.92363705026,-2688801.3627928398,0.0,-61724879.754998855,0.0,0.0,0.0,0.0,0.0,-135120289.20249775,-133327259.33465445,68091890.33465675,0.0,-65235368.99999772
1.0,0,2016,190,2541057030.9999995,2541057031.0,2445688117.000001,2323506883.0000005,-122181234.00000072,2262260580.669457,-89491364.4355708,66006397.97387683,1.1148821617991274,10503495.499568462,2.5187851727866235,35238.075523473526,9.431485769144077,5.732455709727831,0.0,4.1807095320561505,0.0,0.0,0.0,0.0,0.0,18389578.318519156,-13660666.405277241,2770981.4350861865,-30660609.072193127,-1943196.9928729336,-310586.6303474866,-8450660.615295708,0.0,-60121228.61638432,0.0,0.0,0.0,0.0,0.0,-93986388.57876547,-93170789.26770225,-29010444.73229849,0.0,-122181234.00000072
1.0,0,2017,190,2541057030.9999995,2541057031.0,2323506883.0000005,2230802096.9999995,-92704786.00000066,2252512743.3357925,-9747837.333664123,66137888.50110646,1.0757559796703584,10610789.207510192,2.7391673738759943,36055.17114264873,9.285530062898463,5.899207322356238,0.0,5.180709532056151,0.0,0.0,0.0,0.0,0.0,9330310.49168192,20829226.301896784,3217004.687720532,19798243.994407993,-1923141.7334485494,-324705.41800681315,-3118834.335357611,0.0,-57117703.41180649,0.0,0.0,0.0,0.0,0.0,-9309599.422912236,-10106860.749928676,-82597925.25007197,0.0,-92704786.00000066
1.0,0,2018,190,2541057030.9999995,2541057031.0,2230802096.9999995,2176386603.0000005,-54415493.99999925,2241332296.9250937,-11180446.410699043,66244691.01316935,1.0435593576922155,10688771.040640496,3.0455620474580365,36952.16298369279,9.150275733386326,6.13212073635273,0.0,6.180709532056152,0.0,0.0,0.0,0.0,0.0,7201104.194203638,17110312.818158727,2490766.729366153,24299308.07885847,-1953247.8756039748,-295869.5055802758,-4191433.462799467,0.0,-54838784.201218106,0.0,0.0,0.0,0.0,0.0,-10177843.224614844,-11086013.072705016,-43329480.92729425,0.0,-54415493.99999925
1.0,1,2012,190,1684310471.0000002,1684310471.0,0.0,1684310471.0000002,0.0,1694715902.5760596,0.0,58920327.169088066,1.8577047886964337,9372134.822108556,4.093203967537764,35063.91638644797,11.177099978190421,4.899196717990361,0.0,0.0,0.0,0.0,0.0,0.6055149140018615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1684310471.0000002,1684310471.0000002
1.0,1,2013,190,1684310471.0000002,1684310471.0,1684310471.0000002,1692923428.0000007,8612957.000000417,1682080042.6322813,-12635859.943778232,60231269.012443654,1.988256103687046,9468002.87760793,3.9324671012025063,35349.688067534145,10.843268035759897,4.90221563973166,0.0,0.0,0.0,0.0,0.0,1.5160186390600427,0.0,24797625.998696487,-36131629.77959857,2199504.494663884,-7456330.63554293,-523069.1411398783,-541920.4202509124,-39046.81147769581,0.0,0.0,0.0,0.0,0.0,6010985.981605417,0.0,-11683880.313044198,-12136849.295867868,20749806.295868285,0.0,8612957.000000417
1.0,1,2014,190,1684310471.0000002,1684310471.0,1692923428.0000007,1741056553.0,48133124.999999456,1717959936.578774,35879893.94649245,62010979.53230207,1.9586101512673875,9582631.793908142,3.7221227696227976,35507.65484313573,10.805355042211808,5.145021424378474,0.0,0.0,0.0,0.0,0.0,2.4578582810460956,0.0,33894606.340901405,6908777.521539727,2595401.32727703,-10231358.752691476,-317167.40868680755,-61614.33987474115,-3277167.0405577365,0.0,0.0,0.0,0.0,0.0,6249250.276337363,0.0,35760727.92424477,36080905.04743379,12052219.952565666,0.0,48133124.999999456
