CLUSTER_GT_8_GROUPS,RAIL_FLAG,Year,CLUSTER_GT_NEW_11,CLUSTER_GT_ORIGINAL,CLUSTER_APTA,CLUSTER_APTA_GROUPED,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT,POP_EMP,GasPrice,PCT_HH_NO_VEH,TSD_POP_PCT,VRM_ADJ_log_FAC,FARE_per_UPT_log_FAC,POP_EMP_log_FAC,GasPrice_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_FAC,Total_FAC,VRM_ADJ_log_FAC_scaled,FARE_per_UPT_log_FAC_scaled,POP_EMP_log_FAC_scaled,GasPrice_log_FAC_scaled,PCT_HH_NO_VEH_FAC_scaled,TSD_POP_PCT_FAC_scaled,Total_FAC_scaled
100,0,2002,100,100,100,1,0,1323822038,0,1187317429,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,2003,100,100,100,1,1323822038,1281862733,-41959305,1158936553,-28380875.69,270698672.7,1.104170008,26042245.27,1.64,31.36,0.778803991,-28082922.29,-46146692.1,14124304,54215725.47,-7667983.387,-16068715.92,-29626284.23,-26902392.49,-44206810.46,13530556.61,51936643.58,-7345642.186,-15393230.74,-43127016.8
100,0,2004,100,100,100,1,1281862733,1289530122,7667389,1209144863,50208310.15,285674876.3,1.160469932,26563773.75,1.93,31,0.7576963,23448791.19,-24811238.08,20403669.55,60199747.08,-7636450.289,-15140382.98,56464136.47,20850831.24,-22062328.66,18143087.5,53530041.56,-6790385.694,-13462935.8,38236972.26
100,0,2005,100,100,100,1,1289530122,1349312532,59782410,1312702254,103557390.2,292395695.3,1.11417281,27081157.5,2.35,30.68,0.738640231,10134208.72,20844082.15,19963910.07,78352948.81,-6830822.576,-13758456.74,108705870.4,9654236.727,19856873.79,19018388.04,74642030.5,-6507304.125,-13106834.69,91071315.75
100,0,2006,100,100,100,1,1349312532,1305932855,-43379677,919512569.7,-393189683.8,271397714.5,2.474937868,27655014.75,2.68,30.18,0.715800049,-33429604.68,-415268798,22722998.2,56992628.75,-11151315.13,-17236749.88,-397370840.8,-33077856.62,-410899317.8,22483905.61,56392949.3,-11033980.4,-17055383.88,-410065610
100,0,2007,100,100,100,1,1305932855,1255878227,-50054628,1372355124,452842553.9,302119347.7,1.193874806,27714120,2.86,30.4,0.711403409,48005815.55,529632174.7,2222413.569,27751882.09,4777283.532,-3228023.118,609161546.3,35686881.83,393721481.7,1652112.551,20630378.32,3551368.744,-2399669.253,451058671.9
100,0,2008,100,100,100,1,1255878227,1279870177,23991950,1434579221,62224096.92,307251216,1.23788475,27956797.67,3.35,30.42,0.699813141,7141347.543,-18329109.26,8750575.764,67859071.04,416959.5767,-8166898.823,57671945.85,7705027.031,-19775859.03,9441274.548,73215310.35,449870.9508,-8811526.93,52717060.22
100,0,2009,100,100,100,1,1279870177,1245049720,-34820457,1271907797,-162671423.2,311985807.7,1.280213615,27734538,2.43,30.61,0.693067508,6605638.696,-17629690.99,-8110317.466,-127145920.1,4042488.789,-4850610.43,-147088411.5,7305460.961,-19497436.24,-8969550.161,-140616161.2,4470762.843,-5364499.447,-168604254.7
100,0,2010,100,100,100,1,1245049720,1222463995,-22585725,1277960561,6052763.659,284108756.3,1.331363881,27553600.75,2.86,30.93,0.694086512,-38619573.46,-20278483.33,-6473349.714,66464209.53,6630325.393,714362.8967,8437491.315,-27704342.68,-14547080.69,-4643756.59,47679118.96,4756365.499,512459.1682,6420384.095
100,0,2011,100,100,100,1,1222463995,1189791728,-32672267,1325199798,47239236.56,276891484.3,1.462544006,27682634.67,3.63,31.3,0.686139178,-10543551.44,-48545290.81,4557232.709,101937935.2,7530370.561,-5456555.097,49480141.16,-10066044.86,-46346724.62,4350840.336,97321271.2,7189327.839,-5209433.34,42265733.09
100,0,2012,100,100,100,1,1189791728,1198669782,8878054,1351530138,26330340.28,275254101.5,1.467582656,27909105.42,3.77,31.51,0.686302481,-2373186.301,-1798838.849,7745711.317,15709721.84,4154240.792,109374.3429,23547023.15,-2653702.868,-2011466.108,8661273.803,17566650.33,4645282.462,122302.6643,26467099.43
100,0,2013,100,100,100,1,1198669782,1202744795,4075013,1293005928,-58524210.05,279698963.9,1.553561697,28818049.08,3.65,29.93,0.664293725,6481550.859,-30007636.98,30989413.36,-13373133.05,-31025509.95,-14758415.51,-51693731.27,7337981.505,-33972654.06,35084156.09,-15140173.26,-35125022.25,-16708498.08,-77440462.12
100,0,2014,100,100,100,1,1202744795,1192647740,-10097055,1282916499,-10089429.02,282626037.7,1.603124581,29110612.08,3.54,30.2,0.665905037,4222614.367,-16993389.86,9714655.354,-12612409.12,5402006.056,1091395.522,-9175127.688,4643397.821,-18686780.89,10682720.61,-13869235.49,5940315.874,1200153.068,-8769680.714
100,0,2015,100,100,100,1,1192647740,1160473736,-32174004,1147281912,-135634587,280202617.1,1.63328305,29378317.83,2.55,30.17,0.66804748,-3452507.16,-10125959.54,8726892.215,-122429758.1,-593703.5794,1439181.222,-126435854.9,-3703691.356,-10862665.04,9361809.771,-131337030.1,-636897.9739,1543887.618,-133978375.2
100,0,2016,100,100,100,1,1160473736,1162084609,1610873,1098237811,-49044100.76,279086354.6,1.669841802,29437697.5,2.31,29.88,0.671404373,-1558370.396,-11783679.49,1867682.979,-35223903.41,-5572279.365,2194902.715,-50075646.97,-1526268.343,-11540938.54,1829209.161,-34498299.53,-5457491.759,2149688.251,-46938695.56
100,0,2017,100,100,100,1,1162084609,1100306571,-61778038,1125332203,27094392.53,274821215.5,1.747762813,29668394.67,2.64,30,0.672815188,-6009155.131,-24484579.93,7247312.247,49662214.95,2316839.255,923235.0245,29655866.41,-5490124.808,-22369766.92,6621338.256,45372727.5,2116726.293,843492.2049,27865029.56
100,0,2018,100,100,100,1,1100306571,1107464474,7157903,1171382806,46050602.25,274036302.4,1.734851894,29807700.84,2.92,30.01,0.674687691,-1058920.562,3842684.736,4112719.248,36497883.77,182639.2395,1160372.038,44737378.47,-1090004.182,3955483.142,4233444.263,37569244.91,188000.443,1194433.67,47280097.4
100,1,2002,100,100,100,1,0,2028458449,0,2340374912,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
