,ID,Year,BUS_FLAG,RAIL_FLAG,CBSA, UPT ,VRM,UPT_ADJ,VRM_ADJ,VRH_ADJ,FARE_TOTAL,FARE_per_UPT,AREALANDPT,Tot_Pop,Tot_Instate_Pop,Tot_Outstate_Pop,Tot_NonUSA_POP,Total_Median_Income_Individual,Native_Instate_Med_Inc_Indiv,Native_Outstate_Med_Inc_Indiv,Total_Pop_Poverty,Pop_Below100_Poverty,Pop_Below150_Poverty,Pop_Above150_Poverty,Age_under18,Age_18to64,Age_over64,Total_HH,HH_0Veh,HH_1Veh,HH_2Veh,HH_3Veh,HH_4+Veh,PCT_HH_NO_VEH,HH_MED_INC,HH_MEAN_INC,INC_U35,INC_35_100,INC_100P,TOT_UNEMP_MSA,TOT_EMP_MSA,TOT_LABOR_MSA,UNEMP_RATE_PCT,EMP_RATE_PCT,GasPrice,Area_acre,POP_CENSUSTRACT,AVG_SPEED,2018_Dollar_Multiplier,TNC_ARRIVAL,TNC_FLAG,YEARS_SINCE_TNC,FARE_TOTAL_2018,TOTAL_MED_INC_INDIV_2018,NATIVE_INSTATE_MED_INC_2018,NATIVE_OUTSTATE_MED_INC_2018,HH_MED_INC_2018,HH_MEAN_INC_2018,GAS_PRICE_2018,FARE_per_UPT_2018,dockCt,docklessCt,scooterCt,PBS_Start,PBS_End,PBS_Flag,walkscore,transit,bike,Bus_UPT_ADJ,Bus_VRM_ADJ,Bus_VRH_ADJ,Bus_FARE_TOTAL,Bus_FARE_per_UPT_2018,Bus_AVG_SPEED,Rail_UPT_ADJ,Rail_VRM_ADJ,Rail_VRH_ADJ,Rail_FARE_TOTAL,Rail_FARE_per_UPT_2018,Rail_AVG_SPEED,CLUSTER_APTA,CLUSTER_GT,CLUSTER_APTA_HML
264,"Lancaster, PA Metro Area-Bus",2018,1,0,0," 2,653,076 ",1672005.302,2653075.942,1672005.302,136124.126,-4250463.5,-1.667205575,0,13354.25,1307,3336,3872.25,3803.5,3856.75,3679,16959.25,-1.12,-1.52,2.7,-0.35,-0.97,1.33,9418.5,865,-1060.5,2588.25,6041.5,984.25,-0.04,8076.25,6366,-4.35,-1.7,6.05,-2983.97,11095.83,8111.86,-1.19,1.19,-0.62,,563.5,-0.65,-0.06,0,1,3,-4395422,2106.94,2155.93,1883.44,4632.07,1926.42,-0.8324,-1.743114285,0,0,0,0,,1,98,0,66,2653075.942,1672005.302,136124.126,-4250463.5,-1.743114285,-0.65,0,0,0,0,0,0,24,1,2
270,"Las Vegas-Paradise, NV Metro Area-Bus",2018,1,0,0," 1,808,730 ",3197445,1808730,3197445,227690,-4415304.5,-0.098557224,0,180925,38990.75,71339.25,1719.75,4859,3749.25,3515.75,175379.25,-1.92,-2.85,4.73,-0.65,-0.8,1.45,73950.5,-5051.25,-12597.5,46745.5,28374.75,16479,-1.46,8786.75,17066,-6.97,-0.22,7.2,-28330.9,112764.6,84433.71,-3.17,3.17,-0.31,,52548.5,0.38,-0.06,0,1,3,-8551059.5,3242.36,2417.25,1784.75,5713.91,13069.82,-0.5326,-0.164148886,21,0,0,0,,1,93,68,65,1808730,3197445,227690,-4415304.5,-0.164148886,0.38,0,0,0,0,0,0,21,4,2
470,"Seattle-Tacoma-Bellevue, WA Metro Area-Bus",2018,1,0,0," 1,755,629 ",5772692.28,1755629.2,5772692.28,708409.766,19234881.5,0.102665835,0,263006.5,69170.25,53964,11410.5,7063.5,6665.25,6471.75,265562.25,-2.9,-2.02,5.1,-0.67,-0.4,1.08,110054.75,-3849,37462,28282.5,12387.25,35772,-0.86,14321,21084.25,-5.5,-4.1,9.6,-20293.1,192774.17,172481.07,-1.39,1.39,-0.31,,86657,-0.62,-0.06,0,0,4,4195238.6,4950.12,4744.11,4045.83,10044.62,15480.91,-0.5326,0.007818228,0,2,1,0,,0,98,100,63,1755629.2,5772692.28,708409.766,19234881.5,0.007818228,-0.62,0,0,0,0,0,0,10,5,1
179,"Fort Collins-Loveland, CO Metro Area-Bus",2018,1,0,0," 1,676,500 ",386301.26,1676500.454,386301.26,30517.7035,892909,-0.029766702,0,24445.25,3141.5,9295.25,2315,7295.25,5158,7759.5,22142.5,-2.12,-0.65,2.73,-0.75,-0.85,1.6,12569.75,2383.75,-544.5,2756.5,2519.5,5454.5,1.34,14889.25,16530.75,-5,-6.97,11.98,-2238.14,27323.88,25085.74,-1.65,1.65,-0.51,,732.75,-0.07,-0.06,0,0,4,797856.58,5709.15,3818.2,5957.64,11494.75,11920.29,-0.714,-0.066281986,0,0,0,0,,1,89,49,100,1676500.454,386301.26,30517.7035,892909,-0.066281986,-0.07,0,0,0,0,0,0,31,2,3
116,"Columbia, SC Metro Area-Bus",2018,1,0,0," 1,022,177 ",1438286,1022177,1438286,81048,380696.75,-0.210229046,0,32136.5,18842.5,8953.75,-1369.25,2108,2382.75,2127,30458.25,-0.7,-0.7,1.4,-0.27,-1.62,1.9,13313.5,-2562.75,11734.75,-3768.5,3552.25,4357.75,-1.09,6283.25,9196.5,-2.22,-2.25,4.48,-8518.64,18311.67,9793.03,-2.27,2.27,-0.7,,-1830.25,2.62,-0.06,0,0,4,282471.53,577.76,971.01,378.78,3277.79,5238.54,-0.9046,-0.266666148,0,0,0,0,,1,83,0,53,1022177,1438286,81048,380696.75,-0.266666148,2.62,0,0,0,0,0,0,34,3,3
195,"Greenville-Mauldin-Easley, SC Metro Area-Bus",2018,1,0,0," 860,511 ",616115.0544,860510.573,616115.0544,51673.0244,-230709,-0.655453611,0,44197.5,5023.25,35422.25,-1437.25,4517.5,3798.25,4029.25,44197,-2.07,-2.42,4.68,-0.22,-1,1.23,25326.75,-1929.5,1929,4830.75,13597.25,6899.25,-1.08,7369.5,13723.5,-7.15,-0.7,7.85,-7273.4,21600.78,14327.4,-2.41,2.41,-0.7,,642.25,-2.04,-0.06,0,0,4,-288673.98,3158.08,2534.53,2431.93,4682.52,10023.96,-0.9046,-0.719839147,9,0,0,,,,0,0,0,860510.573,616115.0544,51673.0244,-230709,-0.719839147,-2.04,0,0,0,0,0,0,34,3,3
406,"Raleigh-Cary, NC Metro Area-Bus",2018,1,0,0," 840,410 ",654955.182,840410.35,654955.182,69138.2198,1584717.75,0.088783501,0,123549.25,42688.75,36896.75,8438.75,6511.25,5222.75,6170.75,128145.25,-1.72,-3.07,4.93,-1.05,-0.6,1.65,50149.5,-3995.75,-1467.5,29621.75,13221.75,12769.25,-1.23,12408,13026.75,-7.85,0,7.85,-8295.22,83548.81,75253.59,-1.7,1.7,-0.7,,7272.75,-0.65,-0.06,0,0,4,1131572.13,4646.21,3592.49,3982.73,8669.22,7935.45,-0.9046,0.029085537,0,0,1,,,0,96,78,95,840410.35,654955.182,69138.2198,1584717.75,0.029085537,-0.65,0,0,0,0,0,0,24,2,2
33,"Bakersfield-Delano, CA Metro Area-Bus",2018,1,0,0," 735,689 ",430043,735689,430043,41017,-380492,-0.156955995,0,25431.25,27506.5,-5236.75,483.75,2087.5,2138.75,-536,25504.75,-4.17,0.28,3.7,-0.65,-0.62,1.28,8874.5,147.75,257.25,-2512.5,4617.75,6364.25,-0.16,1813.5,1657,-2.2,1.68,0.53,-10083.35,1049.45,-9033.9,-2.38,2.38,-0.31,,1736.5,-0.32,-0.06,0,0,4,-660586.1,795.82,799.73,-2192.18,-1045.14,-2289.32,-0.5326,-0.206994664,0,0,0,,,0,77,51,54,735689,430043,41017,-380492,-0.206994664,-0.32,0,0,0,0,0,0,22,2,2
53,"Blacksburg-Christiansburg-Radford, VA Metro Area-Bus",2018,1,0,0," 701,486 ",183131,701486,183131,13074,-2517610.25,-0.733352318,0,545,2683.75,357.25,1039.25,6834.5,3754.75,11516.5,915.75,-0.4,-0.1,0.6,-1.17,-1.02,2.2,-2597.25,-201.25,-2485,-1559,-745.5,2393.5,-0.02,9210.5,8763.5,-5.25,-3.02,8.28,-1948.43,1410.3,-538.14,-2.33,2.33,-0.7,,-834.5,0.62,-0.06,0,0,4,-2723631.05,5622.8,2516.29,10345.12,6587.96,5313.56,-0.9046,-0.790028045,12,0,0,0,,1,90,0,93,701486,183131,13074,-2517610.25,-0.790028045,0.62,0,0,0,0,0,0,33,3,3
175,"Flagstaff, AZ Metro Area-Bus",2018,1,0,0," 652,489 ",152641,652489,152641,14512,5042.25,-0.180620349,0,3447.75,1845.5,1941,380.75,2156.75,-132.75,5432.25,2313.75,-2.8,-1.77,4.68,-0.6,-0.05,0.65,1859,-1289.25,1534.75,2881.5,-866,-402,-2.85,5472.25,9014.25,-3.32,6.55,-3.22,-1021.24,5791.91,4770.67,-1.78,1.78,-0.31,,3429.5,-0.42,-0.06,0,0,4,-74769.09,794.33,-1259.79,3873.15,2486.83,4905.27,-0.5326,-0.2231153,0,0,1,0,,1,91,0,100,652489,152641,14512,5042.25,-0.2231153,-0.42,0,0,0,0,0,0,33,3,3
