,CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,Tot_NonUSA_POP_pct,PCT_HH_NO_VEH,TSD_POP_PCT,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS,YEARS_SINCE_TNC_RAIL,BIKE_SHARE_BUS,scooter_flag_BUS,BIKE_SHARE_RAIL,scooter_flag_RAIL,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,Tot_NonUSA_POP_pct_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_BUS_FAC,scooter_flag_BUS_FAC,BIKE_SHARE_RAIL_FAC,scooter_flag_RAIL_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change,YEARS_SINCE_TNC,BIKE_SHARE,scooter_flag,YEARS_SINCE_TNC_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,Tot_NonUSA_POP_pct_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_BUS_FAC_cumsum,scooter_flag_BUS_FAC_cumsum,BIKE_SHARE_RAIL_FAC_cumsum,scooter_flag_RAIL_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_Tot_NonUSA_POP_pct_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_BUS_FAC_cumsum,UPT_ADJ_scooter_flag_BUS_FAC_cumsum,UPT_ADJ_BIKE_SHARE_RAIL_FAC_cumsum,UPT_ADJ_scooter_flag_RAIL_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
0,1.0,0,2002,190,0.0,2013178760.8600004,0.0,1848163410.5760624,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013178760.8600004,2013178760.8600004,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013178760.8600004,2013178760.8600004,2013178760.8600004,2013178760.8600004,2013178760.8600004,2013178760.8600004,2013178760.8600004,2013178760.8600004,2013178760.8600004,2013178760.8600004,2013178760.8600004,2013178760.8600004,2013178760.8600004,2013178760.8600004,2013178760.8600004,2013178760.8600004
1,1.0,0,2003,190,2013178760.8600004,2013821311.8699996,642551.0099996328,1971339666.4224343,123176255.84637234,52483905.45495293,5.35066785186388,7061254.271372743,2.255925627644666,40665.69953605673,1.3333803362494374,10.087487836964096,0.5002240753933533,3.9540579445063835,0.0,0.0,0.0,0.0,0.0,0.0,53540723.19920197,38890837.18663944,19440107.354504883,31631389.81306791,12986476.283554245,496928.55429331656,-1701128.0740521292,-14866487.699569935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140418846.61763972,149338468.46643466,-148695917.456435,0.0,642551.0099996328,0.0,0.0,0.0,0.0,0.0,0.0,53540723.19920197,38890837.18663944,19440107.354504883,31631389.81306791,12986476.283554245,496928.55429331656,-1701128.0740521292,-14866487.699569935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-148695917.456435,1960280588.6707976,1974930474.68336,1994381204.5154948,1982189922.0569317,2000834835.5864453,2013324383.3157063,2015522439.9440517,2028687799.5695696,2013821311.8699996,2013821311.8699996,2013821311.8699996,2013821311.8699996,2013821311.8699996,2013821311.8699996,2013821311.8699996,2162517229.3264346
2,1.0,0,2004,190,2013821311.8699996,2041332579.5800004,27511267.710000124,2032563494.8949864,61223828.47255132,53263464.80297187,5.466337623637629,7213576.9439885765,2.5732992772594603,39654.80033522248,1.3604128624850012,10.029921523471042,0.4800867957055177,3.9597465862948265,0.0,0.0,0.0,0.0,0.0,0.0,16867549.785721906,-12854942.725700453,23282544.97359933,32483155.01641771,18950210.80219401,636963.7494560889,-1712057.6897500958,-14005045.462290347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63648378.44964815,64212569.30574913,-36701301.59574901,0.0,27511267.710000124,0.0,0.0,0.0,0.0,0.0,0.0,70408272.98492387,26035894.46093899,42722652.32810421,64114544.82948562,31936687.085748255,1133892.3037494053,-3413185.763802225,-28871533.16186028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-185397219.05218402,1970924306.5950766,2015296685.1190615,1998609927.2518961,1977218034.7505147,2009395892.4942522,2040198687.276251,2044745765.3438027,2070204112.7418606,2041332579.5800004,2041332579.5800004,2041332579.5800004,2041332579.5800004,2041332579.5800004,2041332579.5800004,2041332579.5800004,2226729798.6321845
3,1.0,0,2005,190,2041332579.5800004,2063004732.4300013,21672152.85000092,2074231680.9710734,41668186.07608772,51970829.05469548,5.528897332563587,7409766.048200094,3.030197473706255,38477.03398177026,1.3977015393189882,9.948034005809658,0.4612784057156522,3.948098130079421,0.0,0.0,0.0,0.0,0.0,0.0,-25624240.469308134,-1584757.1872500759,23993802.570907265,42412984.817607984,17405303.933211423,733451.3219025241,-1940521.3822857237,-12651428.806981634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42744594.79780361,42108857.58348545,-20436704.733484536,0.0,21672152.85000092,0.0,0.0,0.0,0.0,0.0,0.0,44784032.51561573,24451137.273688912,66716454.89901148,106527529.6470936,49341991.01895968,1867343.6256519295,-5353707.146087948,-41522961.96884191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-205833923.78566855,2018220699.9143856,2038553595.1563125,1996288277.53099,1956477202.7829077,2013662741.4110415,2061137388.8043494,2068358439.5760891,2104527694.3988433,2063004732.4300013,2063004732.4300013,2063004732.4300013,2063004732.4300013,2063004732.4300013,2063004732.4300013,2063004732.4300013,2268838656.2156696
4,1.0,0,2006,190,2063004732.4300013,2071799487.97,8794755.539999403,2137661871.6187785,63430190.64770539,52066320.03320584,5.4850577180417535,7653103.317713079,3.3198099765951516,36885.56924720984,1.3904347473348977,9.794891938327652,0.44109492696674,4.317015141053337,0.0,0.0,0.0,0.0,0.0,0.0,4076443.2521872413,907349.5062707721,30455998.55586541,24666397.057972386,28368594.12378621,169003.38364732568,-1589407.6451905274,-14150566.866867796,-6606465.372408883,0.0,0.0,0.0,0.0,0.0,0.0,66297345.99526212,66491871.2577185,-57697115.71771912,0.0,8794755.539999403,0.0,0.0,0.0,0.0,0.0,0.0,48860475.767802976,25358486.779959686,97172453.45487688,131193926.70506598,77710585.14274588,2036347.0092992552,-6943114.791278476,-55673528.835709706,-6606465.372408883,0.0,0.0,0.0,0.0,0.0,0.0,-263531039.5033877,2022939012.202197,2046441001.1900403,1974627034.5151231,1940605561.264934,1994088902.827254,2069763140.9607008,2078742602.7612784,2127473016.8057098,2078405953.342409,2071799487.97,2071799487.97,2071799487.97,2071799487.97,2071799487.97,2071799487.97,2335330527.4733877
5,1.0,0,2007,190,2071799487.97,2090532280.4199991,18732792.449998964,2164930655.897321,27268784.27854287,53406452.62830065,5.5779750778845525,7706491.438351353,3.4904130201135803,37448.31570790235,1.439593451641762,9.546150534692952,0.4372718262289623,4.4445735367298935,0.0,0.0,0.0,0.0,0.0,0.0,28444215.31297405,-7478886.333391718,10149995.817470433,13733838.161419084,-10102898.154728375,2644308.9302513427,-2604506.934537273,-5084788.043302991,-2093991.0226206211,0.0,0.0,0.0,0.0,0.0,0.0,27607287.73353394,27472008.21466497,-8739215.764666,0.0,18732792.449998964,0.0,0.0,0.0,0.0,0.0,0.0,77304691.08077702,17879600.446567968,107322449.27234732,144927764.86648506,67607686.9880175,4680655.939550598,-9547621.725815749,-60758316.8790127,-8700456.395029504,0.0,0.0,0.0,0.0,0.0,0.0,-272270255.2680537,2013227589.3392222,2072652679.973431,1983209831.147652,1945604515.553514,2022924593.4319816,2085851624.4804485,2100079902.145815,2151290597.2990117,2099232736.8150287,2090532280.4199991,2090532280.4199991,2090532280.4199991,2090532280.4199991,2090532280.4199991,2090532280.4199991,2362802535.6880527
6,1.0,0,2008,190,2090532280.4199991,2172421239.82,81888959.40000081,2242646107.0163093,77715451.11898807,54111882.80165494,5.4459401447961255,7762978.81906725,3.917174355359285,37456.14493782707,1.4734511425993606,9.668662112144645,0.4292863913707484,4.5207968965488865,0.0,0.0,0.08864437341420488,0.0,0.0,0.0,18944520.385441527,16213608.0216328,7380610.07789314,32657085.08817141,-575255.2444520643,2229929.603951069,2479924.801830637,-6173197.916562086,-1412173.8089341074,0.0,0.0,1475769.4413017773,0.0,0.0,0.0,73220820.4502741,74256773.52101648,7632185.878984323,0.0,81888959.40000081,0.0,0.08864437341420488,0.0,0.0,1475769.4413017773,0.0,96249211.46621855,34093208.468200766,114703059.35024045,177584849.95465648,67032431.74356543,6910585.543501668,-7067696.923985112,-66931514.795574784,-10112630.203963611,0.0,0.0,1475769.4413017773,0.0,0.0,0.0,-264638069.38906938,2076172028.3537817,2138328031.3517995,2057718180.4697597,1994836389.8653436,2105388808.0764349,2165510654.2764983,2179488936.743985,2239352754.615575,2182533870.023964,2172421239.82,2172421239.82,2170945470.3786983,2172421239.82,2172421239.82,2172421239.82,2437059309.2090697
7,1.0,0,2009,190,2172421239.82,2087736682.3600008,-84684557.45999914,2128047714.3903446,-114598392.625965,54108013.70613381,6.0447202906767,7728320.6195171075,2.863573123989129,35764.969006346306,1.4823620734469511,9.815546830351742,0.418830699145324,4.72232417975163,0.0,0.0,0.08862957725268496,0.0,0.0,0.0,-1545821.9278519768,-49080716.19548968,-1882362.6635144397,-87767083.92221469,36057896.37395478,696561.7582720764,2392489.3901166683,-7867673.555881877,-3517297.9639409543,0.0,0.0,0.0,0.0,0.0,0.0,-112514008.70655008,-112310853.90522829,27626296.44522915,0.0,-84684557.45999914,0.0,0.08862957725268496,0.0,0.0,0.0,0.0,94703389.53836657,-14987507.727288917,112820696.68672602,89817766.0324418,103090328.11752021,7607147.301773744,-4675207.533868444,-74799188.35145666,-13629928.167904565,0.0,0.0,1475769.4413017773,0.0,0.0,0.0,-237011772.94384024,1993033292.8216343,2102724190.0872898,1974915985.6732748,1997918916.327559,1984646354.2424808,2080129535.058227,2092411889.8938694,2162535870.7114577,2101366610.5279055,2087736682.3600008,2087736682.3600008,2086260912.918699,2087736682.3600008,2087736682.3600008,2087736682.3600008,2324748455.303841
8,1.0,0,2010,190,2087736682.3600008,2019401363.6500008,-68335318.71000014,2120916029.9556453,-7131684.43469926,51447519.4528445,6.225549055125213,7710907.631749483,3.3201609749666927,34928.74012378555,1.5464631006927505,10.077648872858546,0.4142766523298002,4.964759719937558,0.0,0.0,0.16351082739232914,0.0,0.0,0.0,-51776790.56683818,-15671469.259849273,2390287.7036231016,40035075.96692286,19161922.928192325,4078507.2984820087,3067186.4942477862,-3822943.0748705594,-4270809.537017212,0.0,0.0,1229646.203317697,0.0,0.0,0.0,-5579385.843789432,-6172906.216444507,-62162412.49355564,0.0,-68335318.71000014,0.0,0.16351082739232914,0.0,0.0,1229646.203317697,0.0,42926598.97152839,-30658976.98713819,115210984.39034912,129852841.99936464,122252251.04571253,11685654.600255752,-1608021.039620658,-78622131.42632721,-17900737.70492178,0.0,0.0,2705415.644619474,0.0,0.0,0.0,-299174185.4373959,1976474764.6784725,2050060340.637139,1904190379.2596517,1889548521.6506362,1897149112.6042883,2007715709.049745,2021009384.6896214,2098023495.076328,2037302101.3549225,2019401363.6500008,2019401363.6500008,2016695948.0053813,2019401363.6500008,2019401363.6500008,2019401363.6500008,2318575549.0873966
9,1.0,0,2011,190,2019401363.6500008,2050937950.3099985,31536586.65999791,2153136326.2454534,32220296.28980822,50249004.96891801,6.43474122534871,7791753.40321123,4.056463003190801,34360.29596059512,1.5540574486852388,10.38042540872323,0.4037364984510957,4.87335348476702,0.13581241466742647,0.0,0.2229977604283966,0.0,0.0,0.0,-28986724.83631379,-9112396.172824606,10876578.899320768,55183960.13619799,10623300.003884358,183747.8523512343,4046637.8445448913,-5839183.013927304,1224651.578308192,-6620453.473395253,0.0,925271.565897606,0.0,0.0,0.0,32505390.384044103,31563862.044871867,-27275.384873949923,0.0,31536586.65999791,0.13581241466742647,0.2229977604283966,0.0,-6620453.473395253,925271.565897606,0.0,13939874.135214597,-39771373.159962796,126087563.28966989,185036802.13556263,132875551.04959689,11869402.452606987,2438616.8049242334,-84461314.44025452,-16676086.126613587,-6620453.473395253,0.0,3630687.21051708,0.0,0.0,0.0,-299201460.8222698,2036998076.174784,2090709323.4699614,1924850387.0203285,1865901148.1744359,1918062399.2604017,2039068547.8573916,2048499333.5050743,2135399264.750253,2067614036.4366121,2057558403.7833939,2050937950.3099985,2047307263.0994813,2050937950.3099985,2050937950.3099985,2050937950.3099985,2350139411.1322684
