,CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,TSD_POP_PCT,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS,YEARS_SINCE_TNC_RAIL,BIKE_SHARE_BUS,scooter_flag_BUS,BIKE_SHARE_RAIL,scooter_flag_RAIL,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_BUS_FAC,scooter_flag_BUS_FAC,BIKE_SHARE_RAIL_FAC,scooter_flag_RAIL_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change,YEARS_SINCE_TNC,BIKE_SHARE,scooter_flag,YEARS_SINCE_TNC_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_BUS_FAC_cumsum,BIKE_SHARE_RAIL_FAC_cumsum,scooter_flag_BUS_FAC_cumsum,scooter_flag_RAIL_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_BUS_FAC_cumsum,UPT_ADJ_BIKE_SHARE_RAIL_FAC_cumsum,UPT_ADJ_scooter_flag_BUS_FAC_cumsum,UPT_ADJ_scooter_flag_RAIL_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
10,1.0,0,2012,190,2013178760.8600004,2050937950.3099985,2080704081.96,29766131.65000101,2122608247.7854605,-30212255.997564614,48770632.93288171,6.404065700399019,7906486.563130583,4.089934197561287,34148.65795838907,10.268109797144005,0.4097813912103087,4.9636689481937735,0.6268656962488993,0.0,0.2504889763065945,0.0,0.0,0.0,-23121490.386011634,-1442659.5319323353,14197496.41564748,2213301.574201163,3675085.042545388,-1508434.453780495,-240026.36828631608,-1662348.4769540387,-21775657.29720567,0.0,509061.5023864768,0.0,0.0,0.0,-29155671.97938998,-29049494.184281547,58815625.83428256,0.0,29766131.65000101,0.6268656962488993,0.2504889763065945,0.0,-21775657.29720567,509061.5023864768,0.0,-23121490.386011634,-1442659.5319323353,14197496.41564748,-240026.36828631608,2213301.574201163,3675085.042545388,-1508434.453780495,-1662348.4769540387,-21775657.29720567,0.0,509061.5023864768,0.0,0.0,0.0,58815625.83428256,2103825572.3460116,2082146741.4919324,2066506585.5443525,2080944108.3282864,2078490780.385799,2077028996.9174547,2082212516.4137805,2082366430.436954,2102479739.2572057,2080704081.96,2080195020.4576135,2080704081.96,2080704081.96,2080704081.96,2021888456.1257174
11,1.0,0,2013,190,2013178760.8600004,2080704081.96,2076740891.85,-3963190.109999605,2080298559.4033442,-42309688.38211636,49477217.46629152,6.562821333721859,7994607.988092657,3.924332568037197,34441.356718014045,10.001071462458789,0.4095146788107845,4.966618862811622,1.3869600907756523,0.0,0.2504889763065945,0.0,0.0,0.0,17167578.039281912,-12917033.470695555,12926611.012920862,-11748056.313513534,-6011923.5394515125,-3826664.540517256,-205050.17156781763,-38600.84167963796,-36528513.18667322,0.0,0.0,0.0,0.0,0.0,-41181653.01189575,-41044233.62282217,37081043.51282256,0.0,-3963190.109999605,1.3869600907756523,0.2504889763065945,0.0,-36528513.18667322,0.0,0.0,-5953912.346729722,-14359693.00262789,27124107.42856834,-445076.53985413373,-9534754.739312371,-2336838.4969061245,-5335098.994297751,-1700949.3186336767,-58304170.48387889,0.0,509061.5023864768,0.0,0.0,0.0,95896669.34710512,2082694804.1967297,2091100584.8526278,2049616784.4214315,2077185968.389854,2086275646.5893123,2079077730.346906,2082075990.8442976,2078441841.1686337,2135045062.3338788,2076740891.85,2076231830.3476133,2076740891.85,2076740891.85,2076740891.85,1980844222.5028949
12,1.0,0,2014,190,2013178760.8600004,2076740891.85,2061718570.8300004,-15022321.019999355,2039956654.924128,-40341904.47921668,49458518.13962729,6.472115311344462,8103771.535130708,3.7153922734186255,34750.031401472195,9.974253178182217,0.4095124630578335,5.161546133659321,2.2228729629942694,0.0,0.5796847464412305,0.0,0.0,0.0,2658494.9740097844,1645210.2075310228,15105519.790802728,-15527899.018010367,-6199944.614448913,-679116.5421881857,130381.3916247742,-3267274.5514174295,-39832022.95595837,0.0,5522742.030089963,0.0,0.0,0.0,-40443909.28796501,-40563439.79775638,25541118.77775702,0.0,-15022321.019999355,2.2228729629942694,0.5796847464412305,0.0,-39832022.95595837,5522742.030089963,0.0,-3295417.3727199375,-12714482.795096867,42229627.219371065,-314695.14822935953,-25062653.757322736,-8536783.111355038,-6014215.5364859365,-4968223.870051106,-98136193.43983725,0.0,6031803.53247644,0.0,0.0,0.0,121437788.12486213,2065013988.2027204,2074433053.6250973,2019488943.6106293,2062033265.9782298,2086781224.5873232,2070255353.9413555,2067732786.3664863,2066686794.7000515,2159854764.269838,2061718570.8300004,2055686767.297524,2061718570.8300004,2061718570.8300004,2061718570.8300004,1940280782.7051382
13,1.0,0,2015,190,2013178760.8600004,2061718570.8300004,2028750453.35,-32968117.48000024,1926062483.4703066,-113894171.45382148,50242962.92594618,6.5602909180003,8199520.41514397,2.7715750600816995,35912.660472175936,9.890442096469322,0.4098311864841794,5.261411174574574,3.2228729629942694,0.0,0.9028514691181956,0.0,0.0,0.0,22644519.12350583,-6560344.004337828,13617792.282451045,-79149036.54188938,-22615419.256672624,-1130588.0470211164,289244.5524482689,-1516904.7764818303,-46789066.08949782,0.0,4737491.893974423,0.0,0.0,0.0,-116472310.86352104,-115439315.17759688,82471197.69759661,0.0,-32968117.48000024,3.2228729629942694,0.9028514691181956,0.0,-46789066.08949782,4737491.893974423,0.0,19349101.750785895,-19274826.799434695,55847419.501822114,-25450.59578109061,-104211690.29921213,-31152202.368027665,-7144803.583507053,-6485128.646532937,-144925259.52933508,0.0,10769295.426450863,0.0,0.0,0.0,203908985.82245874,2009401351.599214,2048025280.1494346,1972903033.848178,2028775903.945781,2132962143.6492121,2059902655.7180276,2035895256.933507,2035235581.996533,2173675712.879335,2028750453.35,2017981157.923549,2028750453.35,2028750453.35,2028750453.35,1824841467.5275412
14,1.0,0,2016,190,2013178760.8600004,2028750453.35,1944704725.5400004,-84045727.81000009,1850888575.321097,-75173908.14920941,50984288.70073396,6.674526193983216,8274566.404891103,2.454205872634988,36720.05021490125,9.766253508320453,0.4108293499260672,5.774906414689464,4.222872962994269,0.0,0.9784155423528124,0.0,0.0,0.0,15653935.59016822,-7657987.674634133,10843782.653179737,-30280335.32793242,-14919682.980994904,-1803340.6093524168,684450.8151551246,-8043724.043372536,-46040880.83791082,0.0,1129580.830868932,0.0,0.0,0.0,-80434201.5848252,-79703199.16806327,-4342528.6419368265,0.0,-84045727.81000009,4.222872962994269,0.9784155423528124,0.0,-46040880.83791082,1129580.830868932,0.0,35003037.34095412,-26932814.474068828,66691202.15500185,659000.2193740341,-134492025.62714455,-46071885.34902257,-8948144.192859469,-14528852.689905472,-190966140.3672459,0.0,11898876.257319795,0.0,0.0,0.0,199566457.1805219,1909701688.1990464,1971637540.0140693,1878013523.3849986,1944045725.3206265,2079196751.167145,1990776610.889023,1953652869.7328598,1959233578.2299058,2135670865.9072464,1944704725.5400004,1932805849.2826807,1944704725.5400004,1944704725.5400004,1944704725.5400004,1745138268.3594785
15,1.0,0,2017,190,2013178760.8600004,1944704725.5400004,1875434228.55,-69270496.99000001,1851578498.465364,689923.1442676187,51597740.10636012,6.5084536789818825,8368256.508188258,2.6737152943151687,37322.80902562757,9.61135448688572,0.4111968764068905,5.9328863299043135,5.222872962994269,0.0,0.9784155423528124,0.0,0.0,0.0,13700270.796587285,13112793.16775528,12354176.447745567,20895784.854489494,-11323784.9167169,-2272946.157597817,248944.97498578316,-2460580.3571935715,-44133529.77230978,0.0,0.0,0.0,0.0,0.0,121129.03774534025,-498721.1747966767,-68771775.81520334,0.0,-69270496.99000001,5.222872962994269,0.9784155423528124,0.0,-44133529.77230978,0.0,0.0,48703308.1375414,-13820021.306313548,79045378.60274741,907945.1943598173,-113596240.77265505,-57395670.26573947,-11221090.350457286,-16989433.047099043,-235099670.1395557,0.0,11898876.257319795,0.0,0.0,0.0,130794681.36531857,1826730920.4124587,1889254249.8563135,1796388849.9472525,1874526283.3556402,1989030469.322655,1932829898.8157394,1886655318.9004571,1892423661.597099,2110533898.6895556,1875434228.55,1863535352.2926803,1875434228.55,1875434228.55,1875434228.55,1744639547.1846814
16,1.0,0,2018,190,2013178760.8600004,1875434228.55,1832287979.4399989,-43146249.11000061,1816093385.1304004,-35485113.33496378,51844708.9789075,6.3609887290633615,8450026.555313362,2.960367169473158,38078.52588135349,9.469671158887486,0.4117154655138881,6.179745076344172,6.222872962994269,0.0,1.0,0.6681905491022347,0.0,0.0,8791623.35288625,10921198.677393852,10257400.50070101,24405406.768796746,-13080750.710790228,-2013390.96674384,333806.84886383486,-3639601.591520105,-42561490.839560255,0.0,218652.70411101653,-29317543.73178588,0.0,0.0,-35684688.98764759,-36367211.415195465,-6779037.694805145,0.0,-43146249.11000061,6.222872962994269,1.0,0.6681905491022347,-42561490.839560255,218652.70411101653,-29317543.73178588,57494931.49042765,-2898822.6289196964,89302779.10344842,1241752.043223652,-89190834.00385831,-70476420.9765297,-13234481.317201126,-20629034.638619147,-277661160.97911596,0.0,12117528.961430812,0.0,-29317543.73178588,0.0,124015643.67051342,1774793047.9495711,1835186802.0689185,1742985200.3365505,1831046227.3967752,1921478813.4438572,1902764400.4165285,1845522460.7572,1852917014.078618,2109949140.4191148,1832287979.4399989,1820170450.478568,1832287979.4399989,1861605523.1717846,1832287979.4399989,1708272335.7694855
27,1.0,1,2012,160,1017271327.6269996,1242931036.1000009,1251588185.69,8657149.589999434,1270859715.2614045,23953032.94936839,66891540.13917159,8.250009921461427,9297712.608643958,4.052743369700874,35778.01768218583,11.038191520678573,0.4450929736134058,4.991074080074603,0.0,0.8152825528157419,0.0,0.0,0.2636665679801286,0.0,20509580.17721209,-3337378.072634605,8079407.387223605,927015.0842743728,3811115.4040968977,-678355.2487257781,15955.47474345166,-1237893.8445319277,0.0,-3336235.6316708745,0.0,0.0,197576.62580653068,0.0,24950787.35579377,25122000.0167358,-16464850.426736362,0.0,8657149.589999434,0.8152825528157419,0.2636665679801286,0.0,-3336235.6316708745,197576.62580653068,0.0,20509580.17721209,-3337378.072634605,8079407.387223605,15955.47474345166,927015.0842743728,3811115.4040968977,-678355.2487257781,-1237893.8445319277,0.0,-3336235.6316708745,0.0,197576.62580653068,0.0,0.0,-16464850.426736362,1231078605.512788,1254925563.7626348,1243508778.3027763,1251572230.2152567,1250661170.6057258,1247777070.2859032,1252266540.938726,1252826079.534532,1251588185.69,1254924421.321671,1251588185.69,1251390609.0641935,1251588185.69,1251588185.69,1268053036.1167364
28,1.0,1,2013,160,1017271327.6269996,1251588185.69,1254206265.9300008,2618080.240000781,1268325939.379514,-2533775.8818901367,68515710.06831095,8.694781310783151,9392447.140193187,3.8959732478462232,35970.39503652246,10.667274896335652,0.4449338264671626,4.973430231958519,0.0,1.742308301419934,0.0,0.0,0.2636665679801286,0.0,23773577.34960875,-15505625.964970753,7266538.958180107,-6839938.969013722,-2762958.25876343,-3400144.8027900886,-79368.06677870365,152979.63253326173,0.0,-4818513.408276454,0.0,0.0,0.0,0.0,-2213453.530271032,-2685155.3422330813,5303235.582233862,0.0,2618080.240000781,1.742308301419934,0.2636665679801286,0.0,-4818513.408276454,0.0,0.0,44283157.52682084,-18843004.037605356,15345946.345403712,-63412.59203525199,-5912923.884739349,1048157.1453334675,-4078500.0515158665,-1084914.211998666,0.0,-8154749.039947328,0.0,197576.62580653068,0.0,0.0,-11161614.844502501,1209923108.40318,1273049269.967606,1238860319.584597,1254269678.522036,1260119189.8147402,1253158108.7846673,1258284765.9815166,1255291180.1419995,1254206265.9300008,1262361014.969948,1254206265.9300008,1254008689.3041942,1254206265.9300008,1254206265.9300008,1265367880.7745032
29,1.0,1,2014,160,1017271327.6269996,1254206265.9300008,1298539921.4600008,44333655.52999975,1309932671.9334686,41606732.5539538,70921346.17758696,8.562974327011034,9497141.495643416,3.687069538783837,36021.491850153776,10.597581574272787,0.4453302456007411,5.17877559380626,0.0,2.6795803952979225,0.0,0.0,0.5646882999248639,0.0,36887929.2731871,6880929.109767966,8000809.500682184,-9459124.884410903,-1371341.90491679,-700144.0530097851,143259.22525193376,-1932326.70271232,0.0,-4914945.210238761,0.0,0.0,7095730.962560887,0.0,40630775.31616151,40748039.0711139,3585616.458885852,0.0,44333655.52999975,2.6795803952979225,0.5646882999248639,0.0,-4914945.210238761,7095730.962560887,0.0,81171086.80000794,-11962074.92783739,23346755.846085895,79846.63321668177,-15372048.769150252,-323184.75958332256,-4778644.104525652,-3017240.914710986,0.0,-13069694.25018609,0.0,7293307.588367418,0.0,0.0,-7575998.385616649,1217368834.6599927,1310501996.3878381,1275193165.613915,1298460074.8267841,1313911970.229151,1298863106.219584,1303318565.5645263,1301557162.3747118,1298539921.4600008,1311609615.710187,1298539921.4600008,1291246613.8716333,1298539921.4600008,1298539921.4600008,1306115919.8456173
