CLUSTER_APTA_EXTENDED,Mode,Year,CBSA,UPT_ADJ,BASE_YEAR_UPT,PCT_CHANGE
11,Bus,2002,201120,1095114756,1095114756,0.00%
11,Bus,2003,201120,1114675006,1095114756,1.79%
11,Bus,2004,201120,1127877069,1095114756,2.99%
11,Bus,2005,201120,1119936055,1095114756,2.27%
11,Bus,2006,201120,1109019459,1095114756,1.27%
11,Bus,2007,201120,1106559182,1095114756,1.05%
11,Bus,2008,201120,1149645140,1095114756,4.98%
11,Bus,2009,201120,1121638679,1095114756,2.42%
11,Bus,2010,201120,1083057632,1095114756,-1.10%
11,Bus,2011,201120,1107364177,1095114756,1.12%
11,Bus,2012,201120,1137417569,1095114756,3.86%
11,Bus,2013,201120,1131575681,1095114756,3.33%
11,Bus,2014,201120,1106509894,1095114756,1.04%
11,Bus,2015,201120,1098712650,1095114756,0.33%
11,Bus,2016,201120,1055055238,1095114756,-3.66%
11,Bus,2017,201120,1018738891,1095114756,-6.97%
11,Bus,2018,201120,990001416.4,1095114756,-9.60%
11,Rail,2002,201120,1027942589,1027942589,0.00%
11,Rail,2003,201120,1024412928,1027942589,-0.34%
11,Rail,2004,201120,1074054211,1027942589,4.49%
11,Rail,2005,201120,1098967009,1027942589,6.91%
11,Rail,2006,201120,1141042337,1027942589,11.00%
11,Rail,2007,201120,1145647533,1027942589,11.45%
11,Rail,2008,201120,1197525678,1027942589,16.50%
11,Rail,2009,201120,1180252592,1027942589,14.82%
11,Rail,2010,201120,1170907217,1027942589,13.91%
11,Rail,2011,201120,1219716364,1027942589,18.66%
11,Rail,2012,201120,1239334437,1027942589,20.56%
11,Rail,2013,201120,1235960342,1027942589,20.24%
11,Rail,2014,201120,1264949434,1027942589,23.06%
11,Rail,2015,201120,1241534808,1027942589,20.78%
11,Rail,2016,201120,1204178283,1027942589,17.14%
11,Rail,2017,201120,1169467280,1027942589,13.77%
11,Rail,2018,201120,1147712768,1027942589,11.65%
12,Bus,2002,105940,661634330.3,661634330.3,0.00%
12,Bus,2003,105940,626884859.5,661634330.3,-5.25%
12,Bus,2004,105940,701693188,661634330.3,6.05%
12,Bus,2005,105940,716555030.9,661634330.3,8.30%
12,Bus,2006,105940,750862298.8,661634330.3,13.49%
12,Bus,2007,105940,748175750.5,661634330.3,13.08%
12,Bus,2008,105940,778241789.7,661634330.3,17.62%
12,Bus,2009,105940,722378552,661634330.3,9.18%
12,Bus,2010,105940,702666865.5,661634330.3,6.20%
12,Bus,2011,105940,714460918.6,661634330.3,7.98%
12,Bus,2012,105940,720760092.7,661634330.3,8.94%
12,Bus,2013,105940,719529582,661634330.3,8.75%
12,Bus,2014,105940,705922800.7,661634330.3,6.69%
12,Bus,2015,105940,664167480.9,661634330.3,0.38%
12,Bus,2016,105940,601318946.4,661634330.3,-9.12%
12,Bus,2017,105940,559200525.9,661634330.3,-15.48%
12,Bus,2018,105940,539486704.7,661634330.3,-18.46%
12,Rail,2002,105940,120409488.9,120409488.9,0.00%
12,Rail,2003,105940,116237775.3,120409488.9,-3.46%
12,Rail,2004,105940,104963083.6,120409488.9,-12.83%
12,Rail,2005,105940,144796358,120409488.9,20.25%
12,Rail,2006,105940,154739602.3,120409488.9,28.51%
12,Rail,2007,105940,158600945.8,120409488.9,31.72%
12,Rail,2008,105940,169078601.5,120409488.9,40.42%
12,Rail,2009,105940,162695280,120409488.9,35.12%
12,Rail,2010,105940,164658749.9,120409488.9,36.75%
12,Rail,2011,105940,172144434,120409488.9,42.97%
12,Rail,2012,105940,182328296,120409488.9,51.42%
