,ID,Year,RAIL_FLAG,CLUSTER_APTA,UPT_ADJ_log,VRM_ADJ_log,FARE_per_UPT_2018_log,POP_EMP_log,GAS_PRICE_2018_log,TOTAL_MED_INC_INDIV_2018_log,PCT_HH_NO_VEH,WEIGHTED_POP_DENSITY_log,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS,YEARS_SINCE_TNC_RAIL,BIKE_SHARE,scooter_flag,estimated_effects,residual,fitted,check_fitted,UPT_ADJ,fitted_exp,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,WEIGHTED_POP_DENSITY,VRM_ADJ_ratio,FARE_per_UPT_2018_ratio,POP_EMP_ratio,GAS_PRICE_2018_ratio,TOTAL_MED_INC_INDIV_2018_ratio,PCT_HH_NO_VEH_diff,WEIGHTED_POP_DENSITY_ratio,JTW_HOME_PCT_diff,YEARS_SINCE_TNC_BUS_diff,YEARS_SINCE_TNC_RAIL_diff,BIKE_SHARE_diff,scooter_flag_diff,VRM_ADJ_log_FAC_ratio,FARE_per_UPT_2018_log_FAC_ratio,POP_EMP_log_FAC_ratio,GAS_PRICE_2018_log_FAC_ratio,TOTAL_MED_INC_INDIV_2018_log_FAC_ratio,PCT_HH_NO_VEH_FAC_ratio,WEIGHTED_POP_DENSITY_log_FAC_ratio,JTW_HOME_PCT_FAC_ratio,YEARS_SINCE_TNC_BUS_FAC_ratio,YEARS_SINCE_TNC_RAIL_FAC_ratio,BIKE_SHARE_FAC_ratio,scooter_flag_FAC_ratio,UPT_ADJ_base,UPT_ADJ_ratio,fitted_exp_ratio,UPT_ADJ_diff,fitted_exp_diff,UPT_ADJ_first_year,UPT_ADJ_new_reporter,effects_FAC_ratio,residual_FAC_ratio,FAC_Sum,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,WEIGHTED_POP_DENSITY_log_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change,CLUSTER_APTA4
0,"Akron, OH Metro Area-Bus",2002,0,24,15.46923071,15.20837663,0.148254067,13.80821592,1.066089097,10.47920963,8.6,7.790795138,3.1,0,0,0,0,-2.917790446,-0.23346674,15.70269745,-3.55E-15,5226385.66,6600772.852,4026372.388,0.159807528,992730.9044,1.904,35567.28438,2417.239652,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,5226385.66,5226385.66,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5226385.66,5226385.66,2
1,"Akron, OH Metro Area-Bus",2003,0,24,15.5011505,15.1959301,0.462903988,13.82345118,1.138954168,10.44626688,8.2,7.790822186,3.1,0,0,0,0,-2.917790446,-0.014019172,15.51516967,1.78E-15,5395901.888,5472080.713,3976568.624,0.588680803,1007971.232,2.1235,34414.65688,2417.305061,0.999181601,3.122369571,1.001103347,1.068348013,0.996856371,-0.4,1.000003472,0,0,0,0,0,0.99002133,0.81403003,1.001978607,1.0174702,1.011952908,0.997057087,1.000028246,1,1,1,1,1,5226385.66,1.032434696,0.829006063,169516.228,-1128692.139,5226385.66,0,1,1.245388549,-875218.8603,-52152.37987,-971950.7837,10340.96551,91306.00264,62470.5084,-15380.79813,147.6248684,0,0,0,0,0,-893680.2619,1063196.49,0,169516.228,2
2,"Akron, OH Metro Area-Bus",2004,0,24,15.59167629,15.27769908,0.414203671,13.83943946,1.233696641,10.40397954,7.79,7.790803554,3.1,0,0,0,0,-2.917790446,-0.058031098,15.64970739,-3.55E-15,5907162.281,6260103.185,4315392.555,0.513165283,1024216.5,2.4339,32989.6525,2417.260004,1.005380979,0.894793913,1.001156606,1.083183745,0.995951919,-0.41,0.999997608,0,0,0,0,0,1.068104296,1.032358968,1.002076505,1.022774882,1.015369426,0.996983625,0.999980543,1,1,1,1,1,5395901.888,1.094749757,1.144007831,511260.393,788022.4723,5226385.66,0,1,0.956942545,742736.4229,367484.1015,174605.8157,11204.61456,122891.0271,82931.91299,-16276.06205,-104.9867981,0,0,0,0,0,777052.1249,-265791.7319,0,511260.393,2
3,"Akron, OH Metro Area-Bus",2005,0,24,15.60954774,15.21497088,0.460803553,13.85719546,1.361617373,10.36566312,7.47,7.790753383,3.1,0,0,0,0,-2.917790446,-0.003262779,15.61281052,-3.55E-15,6013680.881,6033334.24,4053011.065,0.585347384,1042564.92,2.9025,31749.48,2417.13868,0.995894133,1.112504754,1.001283,1.103688968,0.996317138,-0.32,0.99999356,0,0,0,0,0,0.950712786,0.969986706,1.002306354,1.03087254,1.013916193,0.997644976,0.999947608,1,1,1,1,1,5907162.281,1.01803211,0.963775526,106518.6,-226768.9457,5226385.66,0,1,1.056295863,-204463.6474,-291147.5729,-177293.3983,13624.00666,182369.1018,82205.21117,-13911.50924,-309.4865539,0,0,0,0,0,-213983.8471,320502.4471,0,106518.6,2
4,"Akron, OH Metro Area-Bus",2006,0,24,15.61900069,15.20050082,0.462419541,13.87949642,1.429114358,10.3058562,6.85,7.790986925,2.5,0,0,0,0,-2.917790446,-0.0174895,15.63649019,0,6070797.419,6177906.561,3994786.013,0.587911357,1066076.33,3.175,29906.25,2417.703484,0.999048959,1.003506891,1.001609342,1.049571184,0.994230285,-0.62,1.000029977,-0.6,0,0,0,0,0.988408449,0.99894382,1.00289756,1.016172793,1.021805954,0.995442178,1.000243915,1.000211657,1,1,1,1,6013680.881,1.009497767,1.02396226,57116.538,144572.3215,5226385.66,0,1,0.985874,145088.0267,-69707.88944,-6351.526756,17425.00352,97258.01408,131134.0467,-27409.286,1466.826754,1272.837884,0,0,0,0,144101.3826,-86984.84462,0,57116.538,2
5,"Akron, OH Metro Area-Bus",2007,0,24,15.58515172,15.33533642,0.49541045,13.88134083,1.484373431,10.32592678,7.48,7.790500231,2.9,0,0,0,0,-2.917790446,-0.148535907,15.73368763,0,5868746.078,6808534.687,4571428.064,0.64117172,1068044.42,3.4122,30512.57,2416.526602,1.008870471,1.071344107,1.000132887,1.038666656,1.001947492,0.63,0.999937531,0.4,0,0,0,0,1.114765243,0.978657406,1.000239325,1.013221206,0.992786935,1.004652712,0.999491881,0.99985892,1,1,1,1,6070797.419,0.966717496,1.102077964,-202051.341,630628.1262,5226385.66,0,1,0.877177066,629381.5927,696716.5405,-129566.5641,1452.893833,80263.26082,-43789.05779,28245.67244,-3084.686193,-856.4669385,0,0,0,0,619694.643,-821745.984,0,-202051.341,2
6,"Akron, OH Metro Area-Bus",2008,0,24,15.63040533,15.16962903,0.482147154,13.87902097,1.564252244,10.29784756,6.76,7.791058265,3,0,0,0,0,-2.917790446,-0.00249244,15.63289777,3.55E-15,6140428.988,6155752.73,3873343.976,0.619548091,1065569.58,3.7791,29667.69,2417.876039,0.989194408,0.973227662,0.99983288,1.053813152,0.997280707,-0.72,1.00007163,0.1,0,0,0,0,0.875011018,1.008710946,0.999699063,1.019167841,1.010179283,0.994708994,1.000582917,0.999964728,1,1,1,1,5868746.078,1.046293179,0.904122989,271682.91,-652781.9571,5226385.66,0,1,1.157246489,-539779.1602,-733528.5972,51122.33212,-1766.12533,112491.1891,59739.62636,-31051.57298,3420.988994,-207.0013452,0,0,0,0,-562677.834,834360.744,0,271682.91,2
7,"Akron, OH Metro Area-Bus",2009,0,24,15.53126244,15.04848922,0.496753539,13.86081401,1.31536211,10.27789259,8.32,7.791770422,3.2,0,0,0,0,-2.917790446,0.047680768,15.48358168,1.78E-15,5560854.064,5301930.125,3431434.413,0.64337744,1046344.33,2.7261,29081.52,2419.599273,0.99201432,1.030294454,0.998688167,0.840888747,0.998062219,1.56,1.000091407,0.2,0,0,0,0,0.907003972,0.990493964,0.997640581,0.942557011,1.007223473,1.011560595,1.000743973,0.999929458,1,1,1,1,6140428.988,0.905613284,0.861296799,-579574.924,-853822.6057,5226385.66,0,1,1.0514532,-877141.6935,-571035.5078,-58371.1382,-14487.84304,-352724.5957,44355.22436,70987.01456,4568.312909,-433.1605515,0,0,0,0,-851697.1536,272122.2296,0,-579574.924,2
8,"Akron, OH Metro Area-Bus",2010,0,24,15.5412315,15.0600825,0.509815034,13.8508707,1.434369984,10.24997377,8.04,7.789807978,2.9,0,0,0,0,-2.917790446,0.023789444,15.51744206,-1.78E-15,5616567.806,5484529.543,3471447.493,0.664983201,1035991.75,3.197,28280.8,2414.853641,1.000770395,1.026293713,0.999282632,1.09047537,0.997283605,-0.28,0.999748139,-0.3,0,0,0,0,1.009385055,0.991495111,0.998710767,1.028690944,1.01012084,0.99793905,0.997952745,1.000105823,1,1,1,1,5560854.064,1.010018918,1.034440178,55713.742,182599.4187,5226385.66,0,1,0.976391815,191295.2484,52188.92156,-47294.44649,-7169.23506,159546.154,56280.5147,-11460.64005,-11384.48606,588.4658141,0,0,0,0,191516.8053,-135803.0633,0,55713.742,2
9,"Akron, OH Metro Area-Bus",2011,0,24,15.58348159,15.18109573,0.504451892,13.84932445,1.600114585,10.22970308,8.13,7.798122278,3.3,0,0,0,0,-2.917790446,-0.090685299,15.67416689,1.78E-15,5858952.685,6415110.214,3918014.086,0.656077563,1034391.08,3.9536,27713.28,2435.023505,1.008035363,0.989480221,0.999888364,1.115552195,0.998022367,0.09,1.00106733,0.4,0,0,0,0,1.102418563,1.003513259,0.999799406,1.040182264,1.007338175,1.000663352,1.008720313,0.99985892,1,1,1,1,5616567.806,1.043155337,1.169673746,242384.879,930580.6711,5226385.66,0,1,0.891834463,912659.9845,575240.806,19732.45802,-1126.649305,225686.4107,41215.35678,3725.759167,48978.22746,-792.3843116,0,0,0,0,952984.0978,-710599.2188,0,242384.879,2
