,ID,Year,RAIL_FLAG,CLUSTER_APTA,UPT_ADJ_log,VRM_ADJ_log,FARE_per_UPT_2018_log,POP_EMP_log,GAS_PRICE_2018_log,TOTAL_MED_INC_INDIV_2018_log,PCT_HH_NO_VEH,WEIGHTED_POP_DENSITY_log,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS,YEARS_SINCE_TNC_RAIL,YEARS_SINCE_TNC_BUS_SQRD,BIKE_SHARE,scooter_flag,estimated_effects,residual,fitted,check_fitted,UPT_ADJ,fitted_exp,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,WEIGHTED_POP_DENSITY,VRM_ADJ_ratio,FARE_per_UPT_2018_ratio,POP_EMP_ratio,GAS_PRICE_2018_ratio,TOTAL_MED_INC_INDIV_2018_ratio,PCT_HH_NO_VEH_diff,WEIGHTED_POP_DENSITY_ratio,JTW_HOME_PCT_diff,YEARS_SINCE_TNC_BUS_diff,YEARS_SINCE_TNC_RAIL_diff,YEARS_SINCE_TNC_BUS_SQRD_diff,BIKE_SHARE_diff,scooter_flag_diff,VRM_ADJ_log_FAC_ratio,FARE_per_UPT_2018_log_FAC_ratio,POP_EMP_log_FAC_ratio,GAS_PRICE_2018_log_FAC_ratio,TOTAL_MED_INC_INDIV_2018_log_FAC_ratio,PCT_HH_NO_VEH_FAC_ratio,WEIGHTED_POP_DENSITY_log_FAC_ratio,JTW_HOME_PCT_FAC_ratio,YEARS_SINCE_TNC_BUS_FAC_ratio,YEARS_SINCE_TNC_RAIL_FAC_ratio,YEARS_SINCE_TNC_BUS_SQRD_FAC_ratio,BIKE_SHARE_FAC_ratio,scooter_flag_FAC_ratio,UPT_ADJ_base,UPT_ADJ_ratio,fitted_exp_ratio,UPT_ADJ_diff,fitted_exp_diff,UPT_ADJ_first_year,UPT_ADJ_new_reporter,effects_FAC_ratio,residual_FAC_ratio,FAC_Sum,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,WEIGHTED_POP_DENSITY_log_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,YEARS_SINCE_TNC_BUS_SQRD_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change,CLUSTER_APTA4
0,"Akron, OH Metro Area-Bus",2002,0,24,15.46923071,15.20837663,0.148254067,13.80821592,1.066089097,10.47920963,8.6,7.790795138,3.1,0,0,0,0,0,-2.934414653,-0.231766246,15.70099696,0,5226385.66,6589557.814,4026372.388,0.159807528,992730.9044,1.904,35567.28438,2417.239652,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,5226385.66,5226385.66,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5226385.66,5226385.66,2
1,"Akron, OH Metro Area-Bus",2003,0,24,15.5011505,15.1959301,0.462903988,13.82345118,1.138954168,10.44626688,8.2,7.790822186,3.1,0,0,0,0,0,-2.934414653,-0.012400618,15.51355112,3.55E-15,5395901.888,5463231.018,3976568.624,0.588680803,1007971.232,2.1235,34414.65688,2417.305061,0.999181601,3.122369571,1.001103347,1.068348013,0.996856371,-0.4,1.000003472,0,0,0,0,0,0,0.990025473,0.813930612,1.001825303,1.017933134,1.011837164,0.997069053,1.000028653,1,1,1,1,1,1,5226385.66,1.032434696,0.829073994,169516.228,-1126326.796,5226385.66,0,1,1.245286505,-874638.8159,-52130.72252,-972470.382,9539.735947,93725.47585,61865.58565,-15318.26123,149.7524339,0,0,0,0,0,0,-893325.225,1062841.453,0,169516.228,2
2,"Akron, OH Metro Area-Bus",2004,0,24,15.59167629,15.27769908,0.414203671,13.83943946,1.233696641,10.40397954,7.79,7.790803554,3.1,0,0,0,0,0,-2.934414653,-0.056700023,15.64837631,1.78E-15,5907162.281,6251776.061,4315392.555,0.513165283,1024216.5,2.4339,32989.6525,2417.260004,1.005380979,0.894793913,1.001156606,1.083183745,0.995951919,-0.41,0.999997608,0,0,0,0,0,0,1.068074926,1.032378484,1.001915607,1.023379989,1.01522035,0.996995889,0.999980263,1,1,1,1,1,1,5395901.888,1.094749757,1.144336756,511260.393,788545.0431,5226385.66,0,1,0.956667483,744340.4335,367325.6229,174711.1222,10336.42939,126156.1291,82127.51728,-16209.88751,-106.4998283,0,0,0,0,0,0,778826.975,-267566.582,0,511260.393,2
3,"Akron, OH Metro Area-Bus",2005,0,24,15.60954774,15.21497088,0.460803553,13.85719546,1.361617373,10.36566312,7.47,7.790753383,3.1,0,0,0,0,0,-2.934414653,-0.002430767,15.61197851,3.55E-15,6013680.881,6028316.52,4053011.065,0.585347384,1042564.92,2.9025,31749.48,2417.13868,0.995894133,1.112504754,1.001283,1.103688968,0.996317138,-0.32,0.99999356,0,0,0,0,0,0,0.950732841,0.96996916,1.002127628,1.031696106,1.013781309,0.997654554,0.999946853,1,1,1,1,1,1,5907162.281,1.01803211,0.964256631,106518.6,-223459.5409,5226385.66,0,1,1.055768836,-201384.3071,-291029.1036,-177397.0438,12568.24419,187234.0444,81408.42801,-13854.92971,-313.9466829,0,0,0,0,0,0,-211141.8833,317660.4833,0,106518.6,2
4,"Akron, OH Metro Area-Bus",2006,0,24,15.61900069,15.20050082,0.462419541,13.87949642,1.429114358,10.3058562,6.85,7.790986925,2.5,0,0,0,0,0,-2.934414653,-0.016917004,15.63591769,-1.78E-15,6070797.419,6174370.746,3994786.013,0.587911357,1066076.33,3.175,29906.25,2417.703484,0.999048959,1.003506891,1.001609342,1.049571184,0.994230285,-0.62,1.000029977,-0.6,0,0,0,0,0,0.988413259,0.998943194,1.002672959,1.016601068,1.021593787,0.995460695,1.000247431,1.000455167,1,1,1,1,1,6013680.881,1.009497767,1.024228029,57116.538,146054.2266,5226385.66,0,1,0.985618183,146658.9968,-69678.96543,-6355.295045,16074.32397,99833.5245,129858.1418,-27297.93234,1487.968932,2737.230396,0,0,0,0,0,145699.634,-88583.09595,0,57116.538,2
5,"Akron, OH Metro Area-Bus",2007,0,24,15.58515172,15.33533642,0.49541045,13.88134083,1.484373431,10.32592678,7.48,7.790500231,2.9,0,0,0,0,0,-2.934414653,-0.148112886,15.73326461,1.78E-15,5868746.078,6805655.139,4571428.064,0.64117172,1068044.42,3.4122,30512.57,2416.526602,1.008870471,1.071344107,1.000132887,1.038666656,1.001947492,0.63,0.999937531,0.4,0,0,0,0,0,1.114714697,0.978644873,1.000220797,1.013570798,0.992856123,1.004633723,0.99948456,0.99969667,1,1,1,1,1,6070797.419,0.966717496,1.102242709,-202051.341,631284.3927,5226385.66,0,1,0.877045961,630283.7971,696409.6849,-129642.6479,1340.41216,82385.56687,-43369.02816,28130.39337,-3129.130508,-1841.453525,0,0,0,0,0,620694.7752,-822746.1162,0,-202051.341,2
6,"Akron, OH Metro Area-Bus",2008,0,24,15.63040533,15.16962903,0.482147154,13.87902097,1.564252244,10.29784756,6.76,7.791058265,3,0,0,0,0,0,-2.934414653,-0.002544191,15.63294952,-3.55E-15,6140428.988,6156071.305,3873343.976,0.619548091,1065569.58,3.7791,29667.69,2417.876039,0.989194408,0.973227662,0.99983288,1.053813152,0.997280707,-0.72,1.00007163,0.1,0,0,0,0,0,0.87505978,1.00871614,0.999722355,1.019676193,1.010080799,0.994730481,1.00059132,0.999924159,1,1,1,1,1,5868746.078,1.046293179,0.904552344,271682.91,-649583.8339,5226385.66,0,1,1.156697191,-536983.0687,-733242.4278,51152.81033,-1629.427643,115474.5817,59161.64901,-30925.4684,3470.306058,-445.0919668,0,0,0,0,0,-560158.0596,831840.9696,0,271682.91,2
7,"Akron, OH Metro Area-Bus",2009,0,24,15.53126244,15.04848922,0.496753539,13.86081401,1.31536211,10.27789259,8.32,7.791770422,3.2,0,0,0,0,0,-2.934414653,0.049151376,15.48211107,-3.55E-15,5560854.064,5294138.789,3431434.413,0.64337744,1046344.33,2.7261,29081.52,2419.599273,0.99201432,1.030294454,0.998688167,0.840888747,0.998062219,1.56,1.000091407,0.2,0,0,0,0,0,0.907040922,0.990488348,0.997823026,0.94109363,1.007153688,1.011513252,1.000754699,0.999848324,1,1,1,1,1,6140428.988,0.905613284,0.859986593,-579574.924,-861932.5165,5226385.66,0,1,1.053055109,-885966.3426,-570808.6185,-58405.62214,-13367.55335,-361710.3836,43926.71153,70696.3063,4634.1752,-931.3580584,0,0,0,0,0,-859742.3823,280167.4583,0,-579574.924,2
8,"Akron, OH Metro Area-Bus",2010,0,24,15.5412315,15.0600825,0.509815034,13.8508707,1.434369984,10.24997377,8.04,7.789807978,2.9,0,0,0,0,0,-2.934414653,0.024422573,15.51680893,0,5616567.806,5481058.224,3471447.493,0.664983201,1035991.75,3.197,28280.8,2414.853641,1.000770395,1.026293713,0.999282632,1.09047537,0.997283605,-0.28,0.999748139,-0.3,0,0,0,0,0,1.00938112,0.991490084,0.998810508,1.029455486,1.010022924,0.997947434,0.997923271,1.000227558,1,1,1,1,1,5560854.064,1.010018918,1.035306863,55713.742,186919.4352,5226385.66,0,1,0.975574449,196066.7349,52167.0382,-47322.40079,-6614.591098,163797.6614,55736.01962,-11414.02161,-11548.38612,1265.415259,0,0,0,0,0,196336.315,-140622.573,0,55713.742,2
9,"Akron, OH Metro Area-Bus",2011,0,24,15.58348159,15.18109573,0.504451892,13.84932445,1.600114585,10.22970308,8.13,7.798122278,3.3,0,0,0,0,0,-2.934414653,-0.090953557,15.67443515,0,5858952.685,6416831.349,3918014.086,0.656077563,1034391.08,3.9536,27713.28,2435.023505,1.008035363,0.989480221,0.999888364,1.115552195,0.998022367,0.09,1.00106733,0.4,0,0,0,0,0,1.102373701,1.003515348,0.999814933,1.041259109,1.007267277,1.00066065,1.008846542,0.99969667,1,1,1,1,1,5616567.806,1.043155337,1.17072855,242384.879,935773.1247,5226385.66,0,1,0.891030937,917939.4346,574988.8343,19744.19181,-1039.442874,231734.5814,40817.15557,3710.583309,49687.2033,-1703.672165,0,0,0,0,0,958908.4792,-716523.6002,0,242384.879,2
10,"Akron, OH Metro Area-Bus",2012,0,24,15.60664074,15.16695208,0.722966294,13.85068326,1.596332409,10.23515397,8.54,7.787495063,3,0,0,0,0,0,-2.934414653,0.097303058,15.50933768,-1.78E-15,5996224.469,5440260.475,3862989.104,1.06053631,1035797.58,3.9349,27864.76,2409.272433,0.999068338,1.433171933,1.000098114,0.997636309,1.000532849,0.41,0.998637208,-0.3,0,0,0,0,0,0.988673143,0.866773789,1.000162661,0.999077826,0.998054753,1.003013163,0.988805336,1.000227558,1,1,1,1,1,5858952.685,1.023429406,0.847811042,137271.784,-976570.8737,5226385.66,0,1,1.207143246,-909378.4226,-66363.51646,-780566.0652,953.023837,-5402.973458,-11397.11059,17653.97795,-65589.00857,1333.249901,0,0,0,0,0,-891667.9014,1028939.685,0,137271.784,2
11,"Akron, OH Metro Area-Bus",2013,0,24,15.60327523,15.24264139,0.738989574,13.85196061,1.568949196,10.23628877,8.07,7.783962201,3.5,0,0,0,0,0,-2.934414653,0.05796336,15.54531187,5.33E-15,5976078.01,5639532.274,4166725.99,1.093818797,1037121.5,3.8016,27896.4,2400.772297,1.00499041,1.022163247,1.000092223,0.982846171,1.000110873,-0.47,0.999546342,0.5,0,0,0,0,0,1.062857718,0.989570496,1.000152908,0.993342576,0.999594714,0.996557021,0.996264505,0.999620852,1,1,1,1,1,5996224.469,0.996640143,1.036629092,-20146.459,199271.7989,5226385.66,0,1,0.96142406,227621.4181,376908.9844,-62537.64929,916.8728502,-39919.40817,-2430.183166,-20644.87627,-22398.86677,-2273.455451,0,0,0,0,0,219636.2549,-239782.7139,0,-20146.459,2
12,"Akron, OH Metro Area-Bus",2014,0,24,15.60406869,15.2811413,0.74341849,13.85629791,1.517673439,10.22891473,8.14,7.77344548,3.2,0,0,0,0,0,-2.934414653,0.050400491,15.5536682,-1.78E-15,5980821.699,5686855.542,4330272.662,1.10311271,1041629.58,3.5616,27691.44,2375.645884,1.002525803,1.005993205,1.000313118,0.967318409,0.999279618,0.07,0.998648924,-0.3,0,0,0,0,0,1.031494137,0.997106289,1.000519303,0.987570023,1.002637593,1.000513801,0.988921083,1.000227558,1,1,1,1,1,5976078.01,1.00079378,1.008391346,4743.689,47323.26789,5226385.66,0,1,0.992465658,53723.66891,188211.4225,-17293.04352,3103.397339,-74282.51184,15762.46134,3070.514105,-66208.47367,1359.902673,0,0,0,0,0,50147.33969,-45403.65069,0,4743.689,2
13,"Akron, OH Metro Area-Bus",2015,0,24,15.58268287,15.33320389,0.706330634,13.85957497,1.265256033,10.25981984,8.38,7.77047607,3.1,1,0,1,0,0,-2.934414653,0.054435351,15.52824752,-5.33E-15,5854274.894,5544113.78,4561689.737,1.026541477,1045048.67,2.544,28560.64,2368.599115,1.003406983,0.950111739,1.000236504,0.833681344,1.003021348,0.24,0.999618006,-0.1,1,0,1,0,0,1.042823507,1.024563983,1.000392337,0.940284242,0.989020939,1.001762702,0.996859338,1.000075847,0.983953735,1,0.998087659,1,1,5980821.699,0.978841234,0.974899703,-126546.805,-142741.7621,5226385.66,0,1,1.004043011,-132628.9735,256119.7582,146912.8054,2346.497237,-357149.2997,-65663.80768,10542.40836,-18783.74088,453.626305,-95969.84956,0,-11437.37125,0,0,-150120.3999,23573.59489,0,-126546.805,2
