CBSA,MNAME,Year,Tot_Pop,TNC_CLUSTER,TOT_POP_CLUSTER,TOTAL_YEARLY_POPULATION,POP_SHARE,TOTAL_TRIPS_PER_CAPITA,TNC_TRIPS_SCALED,TOTAL_TNC_TRIPS_PER_CLUSTER,TRIPS_SCALED,Scale_2,TNC_TRIPS,TNC_TRIPS_PER_CAPITA_CLUSTER
10420,"Akron, OH Metro Area",2014,703825,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
10740,"Albuquerque, NM Metro Area",2014,905213,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2014,829835,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
11460,"Ann Arbor, MI Metro Area",2014,356874,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2014,1943299,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
12700,"Barnstable Town, MA Metro Area",2014,214914,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
13820,"Birmingham-Hoover, AL Metro Area",2014,1143772,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
14740,"Bremerton-Silverdale, WA Metro Area",2014,254183,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",2014,945438,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
16580,"Champaign-Urbana, IL Metro Area",2014,238680,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",2014,2380314,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
17140,"Cincinnati-Middletown, OH-KY-IN Metro Area",2014,2149971,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
17460,"Cleveland-Elyria-Mentor, OH Metro Area",2014,2063598,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
18140,"Columbus, OH Metro Area",2014,1994536,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
19380,"Dayton, OH Metro Area",2014,800836,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",2014,609939,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
19820,"Detroit-Warren-Livonia, MI Metro Area",2014,4296611,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
20500,"Durham-Chapel Hill, NC Metro Area",2014,542710,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
21340,"El Paso, TX Metro Area",2014,836444,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
23420,"Fresno, CA Metro Area",2014,965974,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
24340,"Grand Rapids-Wyoming, MI Metro Area",2014,1027703,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
