,Year,Cluster,TOTAL_CLUSTER_POPULATION,TOTAL_CBSAS_IN_CLUSTER_WITH_TNCS,TOTAL_CBSAS_WITH_TNCS_YEARLY,TRIPS,TRIPS_SHARE_2017,WEIGHTED_REV_SHARE,TOTAL_YEARLY_POPULATION,TOTAL_YEARLY_REVENUE,UBER_REV_PER_CAPITA,TNC_REV_CLUSTER,TNC_REV_PER_CAPITA_EACH_CLUSTER,TNC_REV_BY_TRIP_SHARE_2017
0,2012,cluster_1,19160024.0,1,14,NA,0.12363427257044278,1.0714285714285714,91051361.0,15,0.1647421832607203,3.156464185087799,0.09679080196124189,1.8545140885566418
4,2013,cluster_1,19949502.0,1,25,NA,0.12363427257044278,4.12,115048071.0,103,0.8952779399491192,17.860349053570832,0.6383282186570675,12.734330074755606
8,2014,cluster_1,20092883.0,1,128,NA,0.12363427257044278,3.4765625,211556417.0,445,2.1034578213715918,42.2645319002543,2.7381462030036725,55.01725129384704
12,2015,cluster_1,20182305.0,1,168,NA,0.12363427257044278,10.05952380952381,229844171.0,1690,7.3528077420766955,148.3966084569532,10.352728325334907,208.9419206440483
16,2016,cluster_1,20153634.0,1,214,NA,0.12363427257044278,13.850467289719626,244397129.0,2964,12.127802041406142,244.41928356695223,18.182923432011933,366.4519838987924
20,2017,cluster_1,20320876.0,1,244,215,0.12363427257044278,32.50819672131148,255112607.0,7932,31.09215218046829,631.8197690324257,48.25909326097714,980.6670500287521
24,2018,cluster_1,20439139.75,1,246,NA,0.12363427257044278,45.8130081300813,258184548.25,11270,43.65094687652362,892.1878034290922,68.1710810196349,1393.3582518688902
1,2012,cluster_2,47047019.0,7,14,NA,0.5802185163887291,7.5,91051361.0,15,0.1647421832607203,7.75062862596859,0.1849910564116918,8.703277745830936
5,2013,cluster_2,47464043.0,7,25,NA,0.5802185163887291,28.84,115048071.0,103,0.8952779399491192,42.49351063869641,1.2591111799734191,59.7625071880391
9,2014,cluster_2,53827462.0,8,128,NA,0.5802185163887291,27.8125,211556417.0,445,2.1034578213715918,113.22379594848213,4.796756714871388,258.1972397929845
13,2015,cluster_2,54234698.0,8,168,NA,0.5802185163887291,80.47619047619048,229844171.0,1690,7.3528077420766955,398.7773073435915,18.080109761041765,980.5692926969522
17,2016,cluster_2,54366369.0,8,214,NA,0.5802185163887291,110.80373831775701,244397129.0,2964,12.127802041406142,659.3445609420396,31.6329325318046,1719.767682576193
21,2017,cluster_2,54790390.0,8,244,1009,0.5802185163887291,260.0655737704918,255112607.0,7932,31.09215218046829,1703.551143907208,83.99818420703703,4602.2932719954
25,2018,cluster_2,55141323.5,8,246,NA,0.5802185163887291,366.5040650406504,258184548.25,11270,43.65094687652362,2406.9709827997035,118.5873364048104,6539.062679700977
2,2012,cluster_3,19402205.0,5,14,NA,0.09833237492811961,5.357142857142857,91051361.0,15,0.1647421832607203,3.1963616117720637,0.07602154620682516,1.4749856239217942
6,2013,cluster_3,29564371.0,8,25,NA,0.09833237492811961,32.96,115048071.0,103,0.8952779399491192,26.468329164771482,0.342582448907718,10.12823461759632
10,2014,cluster_3,38808179.0,10,128,NA,0.09833237492811961,34.765625,211556417.0,445,2.1034578213715918,81.63136765073877,1.127543419211018,43.757906843013224
14,2015,cluster_3,39430190.0,10,168,NA,0.09833237492811961,100.5952380952381,229844171.0,1690,7.3528077420766955,289.9226063035551,4.2145805949330235,166.18171362852215
18,2016,cluster_3,39893396.0,10,214,NA,0.09833237492811961,138.50467289719626,244397129.0,2964,12.127802041406142,483.8192094474236,7.305899936093346,291.45715928694653
22,2017,cluster_3,40450320.0,10,244,171,0.09833237492811961,325.08196721311475,255112607.0,7932,31.09215218046829,1257.6875051886402,19.282230596194164,779.9723979298448
26,2018,cluster_3,40983814.5,10,246,NA,0.09833237492811961,458.130081300813,258184548.25,11270,43.65094687652362,1788.9823095367985,27.04008592074581,1108.205865439908
3,2012,cluster_4,5442113.0,1,14,NA,0.19781483611270845,1.0714285714285714,91051361.0,15,0.1647421832607203,0.8965455771715483,0.5452335410327986,2.9672225416906266
7,2013,cluster_4,18070155.0,9,25,NA,0.19781483611270845,37.08,115048071.0,103,0.8952779399491192,16.177811142961275,1.127545841173414,20.37492811960897
11,2014,cluster_4,98827893.0,109,128,NA,0.19781483611270845,378.9453125,211556417.0,445,2.1034578213715918,207.8803045005248,0.890716167247998,88.02760207015525
15,2015,cluster_4,115996978.0,149,168,NA,0.19781483611270845,1498.8690476190477,229844171.0,1690,7.3528077420766955,852.9034778959001,2.8820326080432657,334.3070730304773
19,2016,cluster_4,129983730.0,195,214,NA,0.19781483611270845,2700.841121495327,244397129.0,2964,12.127802041406142,1576.4169460435849,4.510742800180206,586.3231742380678
23,2017,cluster_4,139551021.0,225,244,344,0.19781483611270845,7314.3442622950815,255112607.0,7932,31.09215218046829,4338.941581871726,11.243681836236822,1569.0672800460034
27,2018,cluster_4,141620270.5,227,246,NA,0.19781483611270845,10399.552845528455,258184548.25,11270,43.65094687652362,6181.858904234406,15.741907532864262,2229.3732029902244
