,CBSA,MNAME,Year,TOT_POP,UBER_ARRIVAL,TNC_ARRIVAL_YEAR,TNC_FIRST_FULL_YEAR_OPERATION,TNC_FLAG,APTA_CLUSTER
12,10180,"Abilene, TX Metro Area",2017,169747,10/1/15,2015,2016,1,Low Op-Ex
3317,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",2017,4580670,2/1/14,2014,2015,1,Mid Op-Ex
38,10500,"Albany, GA Metro Area",2017,151754,5/1/17,2017,2018,0,Low Op-Ex
43,10540,"Albany, OR Metro Area",2017,125047,6/1/18,2018,2019,0,
1096,19820,"Detroit-Warren-Dearborn, MI Metro Area",2017,4313002,3/1/13,2013,2014,1,Mid Op-Ex
3951,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2017,3091399,4/1/14,2014,2015,1,Mid Op-Ex
3473,41180,"St. Louis, MO-IL Metro Area",2017,2807216,11/1/14,2014,2015,1,Mid Op-Ex
95,11020,"Altoona, PA Metro Area",2017,123457,8/1/16,2016,2017,1,Low Op-Ex
108,11100,"Amarillo, TX Metro Area",2017,266575,5/1/15,2015,2016,1,Low Op-Ex
121,11180,"Ames, IA Metro Area",2017,97502,8/1/15,2015,2016,1,Low Op-Ex
740,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2017,2525305,9/1/13,2013,2014,1,Mid Op-Ex
2966,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2017,2509831,6/1/14,2014,2015,1,Mid Op-Ex
160,11540,"Appleton, WI Metro Area",2017,236126,9/1/15,2015,2016,1,
173,11700,"Asheville, NC Metro Area",2017,456145,8/1/14,2014,2015,1,Low Op-Ex
186,12020,"Athens-Clarke County, GA Metro Area",2017,206937,8/1/14,2014,2015,1,Low Op-Ex
199,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2017,5882450,8/1/12,2012,2013,1,High Op-Ex
3551,41700,"San Antonio-New Braunfels, TX Metro Area",2017,2473974,4/1/14,2014,2015,1,Mid Op-Ex
225,12220,"Auburn-Opelika, AL Metro Area",2017,161604,8/1/16,2016,2017,1,Low Op-Ex
238,12260,"Augusta-Richmond County, GA-SC Metro Area",2017,600600,4/1/15,2015,2016,1,Low Op-Ex
3408,40900,"Sacramento-Roseville-Arden-Arcade, CA Metro Area",2017,2324884,2/1/13,2013,2014,1,Mid Op-Ex
264,12540,"Bakersfield, CA Metro Area",2017,893119,6/1/14,2014,2015,1,
277,12580,"Baltimore-Columbia-Towson, MD Metro Area",2017,2808175,1/1/13,2013,2014,1,High Op-Ex
290,12620,"Bangor, ME Metro Area",2017,151957,10/1/15,2015,2016,1,Low Op-Ex
2254,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2017,2204079,9/1/15,2015,2016,1,Mid Op-Ex
316,12940,"Baton Rouge, LA Metro Area",2017,834159,7/1/14,2014,2015,1,Low Op-Ex
329,13020,"Bay City, MI Metro Area",2017,104239,5/1/18,2018,2019,0,Low Op-Ex
342,13140,"Beaumont-Port Arthur, TX Metro Area",2017,411339,2/1/16,2016,2017,1,Low Op-Ex
347,13220,"Beckley, WV Metro Area",2017,118543,12/1/18,2018,2019,0,
360,13380,"Bellingham, WA Metro Area",2017,221404,11/1/15,2015,2016,1,Low Op-Ex
373,13460,"Bend-Redmond, OR Metro Area",2017,186875,5/1/17,2017,2018,0,Low Op-Ex
386,13740,"Billings, MT Metro Area",2017,172081,8/1/16,2016,2017,1,Low Op-Ex
399,13780,"Binghamton, NY Metro Area",2017,242217,7/1/17,2017,2018,0,Low Op-Ex
818,17140,"Cincinnati, OH-KY-IN Metro Area",2017,2180746,3/1/14,2014,2015,1,Mid Op-Ex
425,13900,"Bismarck, ND Metro Area",2017,132767,3/1/17,2017,2018,0,Low Op-Ex
438,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",2017,181986,10/1/14,2014,2015,1,Low Op-Ex
451,14020,"Bloomington, IN Metro Area",2017,167825,8/1/14,2014,2015,1,Low Op-Ex
464,14060,"Bloomington, IL Metro Area",2017,186356,3/1/15,2015,2016,1,Low Op-Ex
469,14100,"Bloomsburg-Berwick, PA Metro Area",2017,84204,9/1/18,2018,2019,0,
482,14260,"Boise City, ID Metro Area",2017,710323,11/1/14,2014,2015,1,Low Op-Ex
495,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",2017,4836531,10/1/11,2011,2012,1,High Op-Ex
2048,28140,"Kansas City, MO-KS Metro Area",2017,2126945,5/1/14,2014,2015,1,Mid Op-Ex
521,14540,"Bowling Green, KY Metro Area",2017,178474,9/1/15,2015,2016,1,Low Op-Ex
251,12420,"Austin-Round Rock, TX Metro Area",2017,2115827,6/1/14,2014,2015,1,Mid Op-Ex
961,18140,"Columbus, OH Metro Area",2017,2078725,12/1/13,2013,2014,1,Mid Op-Ex
560,15180,"Brownsville-Harlingen, TX Metro Area",2017,423725,7/1/17,2017,2018,0,Low Op-Ex
573,15260,"Brunswick, GA Metro Area",2017,114473,3/1/16,2016,2017,1,
857,17460,"Cleveland-Elyria, OH Metro Area",2017,2058844,4/1/14,2014,2015,1,Mid Op-Ex
599,15500,"Burlington, NC Metro Area",2017,162391,8/1/15,2015,2016,1,Low Op-Ex
612,15540,"Burlington-South Burlington, VT Metro Area",2017,218341,11/1/14,2014,2015,1,Low Op-Ex
617,15680,"California-Lexington Park, MD Metro Area",2017,112667,6/1/16,2016,2017,1,
630,15940,"Canton-Massillon, OH Metro Area",2017,399927,5/1/15,2015,2016,1,Low Op-Ex
643,15980,"Cape Coral-Fort Myers, FL Metro Area",2017,739224,12/1/14,2014,2015,1,Low Op-Ex
648,16060,"Carbondale-Marion, IL Metro Area",2017,125612,4/1/17,2017,2018,0,
657,16180,"Carson City, NV Metro Area",2017,54745,8/1/16,2016,2017,1,Low Op-Ex
670,16220,"Casper, WY Metro Area",2017,79547,3/1/17,2017,2018,0,Low Op-Ex
683,16300,"Cedar Rapids, IA Metro Area",2017,270293,1/1/15,2015,2016,1,Low Op-Ex
688,16540,"Chambersburg-Waynesboro, PA Metro Area",2017,154234,10/1/17,2017,2018,0,
1835,26900,"Indianapolis-Carmel-Anderson, IN Metro Area",2017,2027059,6/1/13,2013,2014,1,Mid Op-Ex
714,16620,"Charleston, WV Metro Area",2017,215089,7/1/16,2016,2017,1,Low Op-Ex
727,16700,"Charleston-North Charleston, SC Metro Area",2017,775831,7/1/14,2014,2015,1,Low Op-Ex
2784,34980,"Nashville-Davidson-Murfreesboro-Franklin, TN Metro Area",2017,1904226,12/1/13,2013,2014,1,Mid Op-Ex
753,16820,"Charlottesville, VA Metro Area",2017,232182,9/1/14,2014,2015,1,Low Op-Ex
766,16860,"Chattanooga, TN-GA Metro Area",2017,554876,11/1/14,2014,2015,1,Low Op-Ex
779,16940,"Cheyenne, WY Metro Area",2017,98327,3/1/17,2017,2018,0,Low Op-Ex
792,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2017,9533895,9/1/11,2011,2012,1,High Op-Ex
805,17020,"Chico, CA Metro Area",2017,229294,10/1/15,2015,2016,1,Low Op-Ex
