APTA_CLUSTER,Year,TOT_POP,CBSA,POP_SHARE
High,2012,113066981,20,0.442202787
High,2013,115024931,20,0.43884342
High,2014,116420172,20,0.439674574
High,2015,117616342,20,0.439938429
High,2016,118244007,20,0.439399885
High,2017,119441987,20,0.439666201
High,2018,120908579,20,0.438935319
Low,2012,60002753,230,0.234669612
Low,2013,61715082,231,0.235455543
Low,2014,62164247,231,0.234770644
Low,2015,62649445,231,0.23433732
Low,2016,63066326,231,0.234357217
Low,2017,63518308,231,0.233811023
Low,2018,64397697,231,0.233783442
Mid,2012,82620606,75,0.3231276
Mid,2013,85369263,76,0.325701037
Mid,2014,86202719,76,0.325554782
Mid,2015,87081492,76,0.32572425
Mid,2016,87793076,76,0.326242898
Mid,2017,88704861,76,0.326522776
Mid,2018,90152485,76,0.327281239
