,CBSA,MNAME,Year,TOT_POP,UBER_ARRIVAL,TNC_ARRIVAL_YEAR,TNC_FIRST_FULL_YEAR_OPERATION,TNC_FLAG,APTA_CLUSTER,Proposed TNC Groups
0,10180,"Abilene, TX Metro Area",2017,169747,10/1/15,2015,2016,1,Low Op-Ex,22
1,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",2017,4580670,2/1/14,2014,2015,1,Mid Op-Ex,21
2,10500,"Albany, GA Metro Area",2017,151754,5/1/17,2017,2018,0,Low Op-Ex,22
3,10540,"Albany, OR Metro Area",2017,125047,6/1/18,2018,2019,0,,
4,19820,"Detroit-Warren-Dearborn, MI Metro Area",2017,4313002,3/1/13,2013,2014,1,Mid Op-Ex,21
5,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2017,3091399,4/1/14,2014,2015,1,Mid Op-Ex,21
6,41180,"St. Louis, MO-IL Metro Area",2017,2807216,11/1/14,2014,2015,1,Mid Op-Ex,21
7,11020,"Altoona, PA Metro Area",2017,123457,8/1/16,2016,2017,1,Low Op-Ex,22
8,11100,"Amarillo, TX Metro Area",2017,266575,5/1/15,2015,2016,1,Low Op-Ex,22
9,11180,"Ames, IA Metro Area",2017,97502,8/1/15,2015,2016,1,Low Op-Ex,22
10,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2017,2525305,9/1/13,2013,2014,1,Mid Op-Ex,21
11,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2017,2509831,6/1/14,2014,2015,1,Mid Op-Ex,21
12,11540,"Appleton, WI Metro Area",2017,236126,9/1/15,2015,2016,1,,
13,11700,"Asheville, NC Metro Area",2017,456145,8/1/14,2014,2015,1,Low Op-Ex,22
14,12020,"Athens-Clarke County, GA Metro Area",2017,206937,8/1/14,2014,2015,1,Low Op-Ex,22
15,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2017,5882450,8/1/12,2012,2013,1,High Op-Ex,14
16,41700,"San Antonio-New Braunfels, TX Metro Area",2017,2473974,4/1/14,2014,2015,1,Mid Op-Ex,21
17,12220,"Auburn-Opelika, AL Metro Area",2017,161604,8/1/16,2016,2017,1,Low Op-Ex,22
18,12260,"Augusta-Richmond County, GA-SC Metro Area",2017,600600,4/1/15,2015,2016,1,Low Op-Ex,22
19,40900,"Sacramento-Roseville-Arden-Arcade, CA Metro Area",2017,2324884,2/1/13,2013,2014,1,Mid Op-Ex,21
20,12540,"Bakersfield, CA Metro Area",2017,893119,6/1/14,2014,2015,1,,
21,12580,"Baltimore-Columbia-Towson, MD Metro Area",2017,2808175,1/1/13,2013,2014,1,High Op-Ex,15
22,12620,"Bangor, ME Metro Area",2017,151957,10/1/15,2015,2016,1,Low Op-Ex,22
23,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2017,2204079,9/1/15,2015,2016,1,Mid Op-Ex,21
24,12940,"Baton Rouge, LA Metro Area",2017,834159,7/1/14,2014,2015,1,Low Op-Ex,22
25,13020,"Bay City, MI Metro Area",2017,104239,5/1/18,2018,2019,0,Low Op-Ex,22
26,13140,"Beaumont-Port Arthur, TX Metro Area",2017,411339,2/1/16,2016,2017,1,Low Op-Ex,22
27,13220,"Beckley, WV Metro Area",2017,118543,12/1/18,2018,2019,0,,
28,13380,"Bellingham, WA Metro Area",2017,221404,11/1/15,2015,2016,1,Low Op-Ex,22
