,Year,Mode,CLUSTER_APTA4,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_cumsum
0,2002,0,1.0,2217.749582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2217.749582,2217.749582,2217.749582,2217.749582,2217.749582,2217.749582,2217.749582,2217.749582,2217.749582,2217.749582,2217.749582,2217.749582
1,2003,0,1.0,2150.5025989999995,-1654184.0378118833,0.0,-3424269.1844878867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2150.5025989999995,2150.5025989999995,2150.5025989999995,2150.5025989999995,2150.5025989999995,2150.5025989999995,2150.5025989999995,2150.5025989999995,2150.5025989999995,2150.5025989999995,2150.5025989999995,2150.5025989999995
2,2004,0,1.0,2410.97001,22800811.92962917,0.0,23883678.012509078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2410.97001,2410.97001,2410.97001,2410.97001,2410.97001,2410.97001,2410.97001,2410.97001,2410.97001,2410.97001,2410.97001,2410.97001
3,2005,0,1.0,2568.7535039999984,-18433580.460927118,0.0,-10941883.877299292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2568.7535039999984,2568.7535039999984,2568.7535039999984,2568.7535039999984,2568.7535039999984,2568.7535039999984,2568.7535039999984,2568.7535039999984,2568.7535039999984,2568.7535039999984,2568.7535039999984,2568.7535039999984
4,2006,0,1.0,2599.1088170000003,-4429955.7974834815,0.0,8030686.026790177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2599.1088170000003,2599.1088170000003,2599.1088170000003,2599.1088170000003,2599.1088170000003,2599.1088170000003,2599.1088170000003,2599.1088170000003,2599.1088170000003,2599.1088170000003,2599.1088170000003,2599.1088170000003
5,2007,0,1.0,2608.864140999998,19185059.693996456,0.0,-19422079.354122635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2608.864140999998,2608.864140999998,2608.864140999998,2608.864140999998,2608.864140999998,2608.864140999998,2608.864140999998,2608.864140999998,2608.864140999998,2608.864140999998,2608.864140999998,2608.864140999998
6,2008,0,1.0,2692.308348999999,9090785.474459982,0.0,14651506.219427284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2692.308348999999,2692.308348999999,2692.308348999999,2692.308348999999,2692.308348999999,2692.308348999999,2692.308348999999,2692.308348999999,2692.308348999999,2692.308348999999,2692.308348999999,2692.308348999999
7,2009,0,1.0,2564.111221,-12465021.93265703,0.0,-72486080.19073844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564.111221,2564.111221,2564.111221,2564.111221,2564.111221,2564.111221,2564.111221,2564.111221,2564.111221,2564.111221,2564.111221,2564.111221
8,2010,0,1.0,2477.369489000001,-54395881.46566524,0.0,-12809806.561034173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2477.369489000001,2477.369489000001,2477.369489000001,2477.369489000001,2477.369489000001,2477.369489000001,2477.369489000001,2477.369489000001,2477.369489000001,2477.369489000001,2477.369489000001,2477.369489000001
9,2011,0,1.0,2507.911502000001,-36247344.53279686,0.0,-14181457.185838789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5235238.176789045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2507.911502000001,2507.911502000001,2507.911502000001,2507.911502000001,2507.911502000001,2507.911502000001,2507.911502000001,2507.911502000001,2507.911502000001,2507.911502000001,2507.911502000001,2507.911502000001
