,Year,Mode,CLUSTER_APTA4,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_cumsum
85,2002,1,2.0,47.103514999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.103514999999994,47.103514999999994,47.103514999999994,47.103514999999994,47.103514999999994,47.103514999999994,47.103514999999994,47.103514999999994,47.103514999999994,47.103514999999994,47.103514999999994,47.103514999999994
86,2003,1,2.0,47.597707999999976,0.0,693473.4596701872,0.0,1929086.8654708464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.597707999999976,47.597707999999976,47.597707999999976,47.597707999999976,47.597707999999976,47.597707999999976,47.597707999999976,47.597707999999976,47.597707999999976,47.597707999999976,47.597707999999976,47.597707999999976
87,2004,1,2.0,52.27665900000001,0.0,946826.6130613036,0.0,584588.1961111065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.27665900000001,52.27665900000001,52.27665900000001,52.27665900000001,52.27665900000001,52.27665900000001,52.27665900000001,52.27665900000001,52.27665900000001,52.27665900000001,52.27665900000001,52.27665900000001
88,2005,1,2.0,58.69011300000001,0.0,2076157.1689295447,0.0,353762.2657422399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.69011300000001,58.69011300000001,58.69011300000001,58.69011300000001,58.69011300000001,58.69011300000001,58.69011300000001,58.69011300000001,58.69011300000001,58.69011300000001,58.69011300000001,58.69011300000001
89,2006,1,2.0,64.42494499999997,0.0,2622980.033388926,0.0,262317.6124244361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.42494499999997,64.42494499999997,64.42494499999997,64.42494499999997,64.42494499999997,64.42494499999997,64.42494499999997,64.42494499999997,64.42494499999997,64.42494499999997,64.42494499999997,64.42494499999997
90,2007,1,2.0,70.01492400000002,0.0,3666355.571144692,0.0,-857499.9481299041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.01492400000002,70.01492400000002,70.01492400000002,70.01492400000002,70.01492400000002,70.01492400000002,70.01492400000002,70.01492400000002,70.01492400000002,70.01492400000002,70.01492400000002,70.01492400000002
91,2008,1,2.0,83.55406099999996,0.0,7587347.51804469,0.0,-352870.39158880146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.55406099999996,83.55406099999996,83.55406099999996,83.55406099999996,83.55406099999996,83.55406099999996,83.55406099999996,83.55406099999996,83.55406099999996,83.55406099999996,83.55406099999996,83.55406099999996
92,2009,1,2.0,73.67287900000001,0.0,448247.013387153,0.0,-2575539.0539262667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.67287900000001,73.67287900000001,73.67287900000001,73.67287900000001,73.67287900000001,73.67287900000001,73.67287900000001,73.67287900000001,73.67287900000001,73.67287900000001,73.67287900000001,73.67287900000001
93,2010,1,2.0,70.89416699999998,0.0,-865955.935371372,0.0,-273583.08117056737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.89416699999998,70.89416699999998,70.89416699999998,70.89416699999998,70.89416699999998,70.89416699999998,70.89416699999998,70.89416699999998,70.89416699999998,70.89416699999998,70.89416699999998,70.89416699999998
94,2011,1,2.0,75.27340499999997,0.0,3381870.8603427103,0.0,-189316.1299187593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.27340499999997,75.27340499999997,75.27340499999997,75.27340499999997,75.27340499999997,75.27340499999997,75.27340499999997,75.27340499999997,75.27340499999997,75.27340499999997,75.27340499999997,75.27340499999997
95,2012,1,2.0,81.67368700000003,0.0,4073600.0161037897,0.0,229545.79699928768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.67368700000003,81.67368700000003,81.67368700000003,81.67368700000003,81.67368700000003,81.67368700000003,81.67368700000003,81.67368700000003,81.67368700000003,81.67368700000003,81.67368700000003,81.67368700000003
96,2013,1,2.0,85.76816599999997,0.0,7317815.733065844,0.0,-928315.9342274308,237456.96511281392,-49732.82749834808,-355006.6870922112,-122865.51126777456,-24916.727822163022,-5657.742991691064,0.0,0.0,0.0,0.0,-209192.4238880344,0.0,-1756120.0108343067,7317815.733065844,-928315.9342274308,0.0,0.23745696511281392,-0.04973282749834808,-0.3550066870922112,-0.12286551126777456,-0.02491672782216302,-0.005657742991691064,-0.20919242388803438,0.0,-1.7561200108343067,7.317815733065844,-0.9283159342274309,0.0,85.53070903488715,85.81789882749831,86.12317268709218,85.89103151126774,85.79308272782212,85.77382374299165,85.977358423888,85.76816599999997,87.52428601083427,78.45035026693412,86.69648193422739,85.76816599999997
