,Year,Mode,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,MAINTENANCE_WMATA_FAC,RESTRUCTURE_FAC,New_Reporter_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC,Total,Total_cumsum
0,2002,0,22.17749582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2217749582.0,0.0,0.0,0.0,2217749582.0,22.17749582
1,2003,0,21.505025989999996,-1654184.0378118833,0.0,-3424269.1844878867,0.0,8348263.61572668,-3663444.004736685,31104621.120777715,3473957.832933107,-404120.8182278342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-105749000.39695036,0.0,0.0,0.0,-1654184.0378118833,-3424269.1844878867,0.0,-77046629.09507692,21.40702952904923
2,2004,0,24.1097001,22800811.92962917,0.0,23883678.012509078,0.0,9911548.693943348,-2016237.129915912,28090424.162725378,4736681.203489677,-385473.0555160068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11157714.65043264,0.0,0.0,179225222.99999985,22800811.92962917,23883678.012509078,0.0,301773432.1085702,24.42476385013493
3,2005,0,25.687535039999986,-18433580.460927118,0.0,-10941883.877299292,0.0,11437935.362945804,-1482752.1288063792,40967248.35498464,4575296.104372379,-574376.6927408335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6964288.927490493,0.0,0.0,125667082.9999998,-18433580.460927118,-10941883.877299292,0.0,128803794.25179307,25.71280179265286
4,2006,0,25.991088170000005,-4429955.7974834815,0.0,8030686.026790177,0.0,15494579.843892124,-444448.8230032647,25775093.106889658,7400423.269836985,-641817.6978667146,-6156146.979918112,0.0,0.0,0.0,0.0,0.0,0.0,-14756650.164306177,0.0,0.0,0.0,-4429955.7974834815,8030686.026790177,0.0,33872493.01413789,26.051526722794236
5,2007,0,26.08864140999998,19185059.693996456,0.0,-19422079.354122635,0.0,4271216.142710514,-6802199.2308213245,14726342.336599726,-2570783.55091362,-853039.3265932472,-2653016.8310983223,0.0,0.0,0.0,0.0,0.0,0.0,4075648.235322624,0.0,0.0,0.0,19185059.693996456,-19422079.354122635,0.0,9720128.454953995,26.148728007343777
6,2008,0,26.92308348999999,9090785.474459982,0.0,14651506.219427284,0.0,2824400.804454597,3128471.5066715456,33736614.90092837,237098.7638656037,838944.68461139,-1609549.720407619,0.0,0.0,0.0,0.0,-1952077.4134721009,0.0,21830477.898121875,0.0,0.0,0.0,9090785.474459982,14651506.219427284,0.0,106518964.81254819,27.21391765546926
7,2009,0,25.64111221,-12465021.93265703,0.0,-72486080.19073844,0.0,-2672348.033062602,2808629.044567016,-90037621.65152359,9495150.84497154,595732.5977198838,-4331164.605054046,0.0,0.0,0.0,0.0,0.0,0.0,38113796.5637367,0.0,0.0,0.0,-12465021.93265703,-72486080.19073844,0.0,-215930029.48543605,25.054617360614902
8,2010,0,24.77369489000001,-54395881.46566524,0.0,-12809806.561034173,0.0,305505.9922263477,3565300.972786793,40604373.39857042,4526657.434304701,1111360.2319800556,-4479088.252007395,0.0,0.0,0.0,0.0,-1664644.5461133989,0.0,-63220529.629375145,0.0,0.0,0.0,-54395881.46566524,-12809806.561034173,0.0,-153662440.45102647,23.517992956104635
9,2011,0,25.07911502000001,-36247344.53279686,0.0,-14181457.185838789,0.0,5644179.148585757,-4339183.116154909,55756492.12113284,3525760.9735961994,1446561.5986824976,1061633.3881664702,-5235238.176789045,0.0,0.0,0.0,-1152536.4447692768,0.0,25334919.79248661,0.0,0.0,0.0,-36247344.53279686,-14181457.185838789,-5235238.176789045,-24050252.32912319,23.277490432813405
