,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
33,"Albany-Schenectady-Troy, NY Metro Area-Bus",2002,0,23,11630073.99999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11630073.99999999,11630073.99999999,11630073.99999999,11630073.99999999,11630073.99999999,11630073.99999999,11630073.99999999,11630073.99999999,11630073.99999999,11630073.99999999,11630073.99999999,11630073.99999999,11630073.99999999
34,"Albany-Schenectady-Troy, NY Metro Area-Bus",2003,0,23,11531176.00000001,-193356.748298287,0.0,258008.97310061532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11531176.00000001,11531176.00000001,11531176.00000001,11531176.00000001,11531176.00000001,11531176.00000001,11531176.00000001,11531176.00000001,11531176.00000001,11531176.00000001,11531176.00000001,11531176.00000001,11531176.00000001
35,"Albany-Schenectady-Troy, NY Metro Area-Bus",2004,0,23,11363590.99999999,485495.08851905,0.0,-113340.52235433571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11363590.99999999,11363590.99999999,11363590.99999999,11363590.99999999,11363590.99999999,11363590.99999999,11363590.99999999,11363590.99999999,11363590.99999999,11363590.99999999,11363590.99999999,11363590.99999999,11363590.99999999
36,"Albany-Schenectady-Troy, NY Metro Area-Bus",2005,0,23,12370522.000000004,646959.650557218,0.0,311616.0443189669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12370522.000000004,12370522.000000004,12370522.000000004,12370522.000000004,12370522.000000004,12370522.000000004,12370522.000000004,12370522.000000004,12370522.000000004,12370522.000000004,12370522.000000004,12370522.000000004,12370522.000000004
37,"Albany-Schenectady-Troy, NY Metro Area-Bus",2006,0,23,12736051.000000017,-540343.5209016486,0.0,241858.45939407533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12736051.000000017,12736051.000000017,12736051.000000017,12736051.000000017,12736051.000000017,12736051.000000017,12736051.000000017,12736051.000000017,12736051.000000017,12736051.000000017,12736051.000000017,12736051.000000017,12736051.000000017
38,"Albany-Schenectady-Troy, NY Metro Area-Bus",2007,0,23,13180679.99999999,196294.62357532955,0.0,-56593.833107583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13180679.99999999,13180679.99999999,13180679.99999999,13180679.99999999,13180679.99999999,13180679.99999999,13180679.99999999,13180679.99999999,13180679.99999999,13180679.99999999,13180679.99999999,13180679.99999999,13180679.99999999
39,"Albany-Schenectady-Troy, NY Metro Area-Bus",2008,0,23,15046646.000000024,409198.1294910356,0.0,352495.5621378264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15046646.000000024,15046646.000000024,15046646.000000024,15046646.000000024,15046646.000000024,15046646.000000024,15046646.000000024,15046646.000000024,15046646.000000024,15046646.000000024,15046646.000000024,15046646.000000024,15046646.000000024
40,"Albany-Schenectady-Troy, NY Metro Area-Bus",2009,0,23,13890238.000000022,-378759.8022874837,0.0,-954634.2635583295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13890238.000000022,13890238.000000022,13890238.000000022,13890238.000000022,13890238.000000022,13890238.000000022,13890238.000000022,13890238.000000022,13890238.000000022,13890238.000000022,13890238.000000022,13890238.000000022,13890238.000000022
41,"Albany-Schenectady-Troy, NY Metro Area-Bus",2010,0,23,13558882.999999978,25362.120916262356,0.0,-711142.555992403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13558882.999999978,13558882.999999978,13558882.999999978,13558882.999999978,13558882.999999978,13558882.999999978,13558882.999999978,13558882.999999978,13558882.999999978,13558882.999999978,13558882.999999978,13558882.999999978,13558882.999999978
42,"Albany-Schenectady-Troy, NY Metro Area-Bus",2011,0,23,14176005.999999983,361007.92762993777,0.0,529182.3012646489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14176005.999999983,14176005.999999983,14176005.999999983,14176005.999999983,14176005.999999983,14176005.999999983,14176005.999999983,14176005.999999983,14176005.999999983,14176005.999999983,14176005.999999983,14176005.999999983,14176005.999999983
43,"Albany-Schenectady-Troy, NY Metro Area-Bus",2012,0,23,15213239.999999998,-85292.07716057556,0.0,182578.39787373555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15213239.999999998,15213239.999999998,15213239.999999998,15213239.999999998,15213239.999999998,15213239.999999998,15213239.999999998,15213239.999999998,15213239.999999998,15213239.999999998,15213239.999999998,15213239.999999998,15213239.999999998
44,"Albany-Schenectady-Troy, NY Metro Area-Bus",2013,0,23,16052776.999999996,-12496.486349034283,0.0,50433.05926740039,0.0,21366.15098653009,31898.799979211413,-72432.22775060016,28587.376097508608,-2437.0126222281333,-58066.45376217063,0.0,0.0,0.0,0.0,0.0,0.0,853125.7514895692,-12496.486349034283,50433.05926740039,0.0,0.0,21366.15098653009,31898.799979211413,-72432.22775060016,28587.376097508608,-2437.0126222281333,-58066.45376217063,0.0,0.0,853125.7514895692,-12496.486349034283,50433.05926740039,0.0,0.0,16031410.849013466,16020878.200020785,16125209.227750596,16024189.623902488,16055214.012622224,16110843.453762166,16052776.999999996,16052776.999999996,15199651.248510428,16065273.486349031,16002343.940732596,16052776.999999996,16052776.999999996
45,"Albany-Schenectady-Troy, NY Metro Area-Bus",2014,0,23,16608585.000000002,263525.7471064312,0.0,337382.5535593296,0.0,-1566.0975992521485,-94024.35684346128,-89771.40068641938,-23709.24987295479,-23128.660429267988,49185.64531920408,0.0,0.0,0.0,0.0,0.0,0.0,138865.10711844033,263525.7471064312,337382.5535593296,0.0,0.0,19800.05338727794,-62125.55686424987,-162203.62843701954,4878.126224553816,-25565.67305149612,-8880.808442966554,0.0,0.0,991990.8586080095,251029.26075739693,387815.61282673,0.0,0.0,16588784.946612723,16670710.556864252,16770788.628437022,16603706.873775449,16634150.673051499,16617465.808442969,16608585.000000002,16608585.000000002,15616594.141391993,16357555.739242606,16220769.387173273,16608585.000000002,16608585.000000002
46,"Albany-Schenectady-Troy, NY Metro Area-Bus",2015,0,23,16592639.999999972,129073.96010584389,0.0,-184899.24096433225,0.0,20094.50844861857,28087.51938565658,-583543.2741732437,-6544.451627600445,7984.157664965995,-50733.19253422506,0.0,0.0,0.0,0.0,0.0,0.0,624029.5293009607,129073.96010584389,-184899.24096433225,0.0,0.0,39894.561835896515,-34038.037478593295,-745746.9026102632,-1666.3254030466287,-17581.515386530125,-59614.000977191616,0.0,0.0,1616020.3879089702,380103.22086324083,202916.37186239776,0.0,0.0,16552745.438164076,16626678.037478566,17338386.902610235,16594306.325403018,16610221.515386501,16652254.000977164,16592639.999999972,16592639.999999972,14976619.612091001,16212536.77913673,16389723.628137574,16592639.999999972,16592639.999999972
47,"Albany-Schenectady-Troy, NY Metro Area-Bus",2016,0,23,16515294.99999998,127717.14396885496,0.0,-487533.4849814872,0.0,6973.705571253405,31.904381085712377,-184250.8769681559,-10706.753961613334,15291.645763327671,-25361.625627104408,0.0,0.0,0.0,0.0,0.0,0.0,479782.2927132815,127717.14396885496,-487533.4849814872,0.0,0.0,46868.26740714992,-34006.13309750758,-929997.7795784192,-12373.079364659963,-2289.869623202454,-84975.62660429602,0.0,0.0,2095802.6806222517,507820.3648320958,-284617.11311908945,0.0,0.0,16468426.73259283,16549301.133097487,17445292.7795784,16527668.079364639,16517584.869623182,16600270.626604276,16515294.99999998,16515294.99999998,14419492.319377728,16007474.635167884,16799912.11311907,16515294.99999998,16515294.99999998
48,"Albany-Schenectady-Troy, NY Metro Area-Bus",2017,0,23,16356552.999999993,217016.0914470766,0.0,-41818.85156019092,0.0,12110.638495624917,-28845.9486516486,178848.99528754805,-58813.134069821055,20848.831948996776,0.0,0.0,0.0,0.0,0.0,-178048.42424392904,0.0,-276918.56055445434,217016.0914470766,-41818.85156019092,0.0,0.0,58978.90590277484,-62852.08174915618,-751148.7842908711,-71186.21343448102,18558.962325794324,-84975.62660429602,-178048.42424392904,0.0,1818884.1200677974,724836.4562791723,-326435.96467928035,0.0,0.0,16297574.094097218,16419405.081749149,17107701.784290865,16427739.213434473,16337994.037674198,16441528.626604289,16534601.424243921,16356552.999999993,14537668.879932195,15631716.54372082,16682988.964679273,16356552.999999993,16356552.999999993
49,"Albany-Schenectady-Troy, NY Metro Area-Bus",2018,0,23,15395052.99999998,155475.07436343047,0.0,-512335.35783792427,0.0,13483.250955342435,18976.620544271263,140597.24590207453,-46120.09582712051,18680.79646538572,-6253.778158915423,0.0,-544080.2135043575,0.0,0.0,0.0,0.0,-199371.5611791619,155475.07436343047,-512335.35783792427,-544080.2135043575,0.0,72462.15685811728,-43875.46120488492,-610551.5383887966,-117306.30926160153,37239.758791180044,-91229.40476321144,-178048.42424392904,0.0,1619512.5588886356,880311.5306426028,-838771.3225172046,-544080.2135043575,0.0,15322590.843141863,15438928.461204864,16005604.538388776,15512359.30926158,15357813.2412088,15486282.40476319,15573101.424243908,15395052.99999998,13775540.441111345,14514741.469357377,16233824.322517185,15939133.213504337,15395052.99999998
