,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,MAINTENANCE_WMATA_FAC,RESTRUCTURE_FAC,New_Reporter_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,Others_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,Others_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_Others_FAC_cumsum
75,"Allentown-Bethlehem-Easton, PA-NJ Metro Area-Bus",2002,0,22,4.073535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4073535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.073535,4.073535,4.073535,4.073535,4.073535,4.073535,4.073535,4.073535,4.073535,4.073535,4.073535,4.073535,4.073535
76,"Allentown-Bethlehem-Easton, PA-NJ Metro Area-Bus",2003,0,22,4.0419170000000015,96663.95972453603,0.0,-41095.89411745982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-168685.8388416111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0419170000000015,4.0419170000000015,4.0419170000000015,4.0419170000000015,4.0419170000000015,4.0419170000000015,4.0419170000000015,4.0419170000000015,4.0419170000000015,4.0419170000000015,4.0419170000000015,4.0419170000000015,4.0419170000000015
77,"Allentown-Bethlehem-Easton, PA-NJ Metro Area-Bus",2004,0,22,4.310328000000003,-59039.08206416889,0.0,64032.20245859584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172370.5543167835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.310328000000003,4.310328000000003,4.310328000000003,4.310328000000003,4.310328000000003,4.310328000000003,4.310328000000003,4.310328000000003,4.310328000000003,4.310328000000003,4.310328000000003,4.310328000000003,4.310328000000003
78,"Allentown-Bethlehem-Easton, PA-NJ Metro Area-Bus",2005,0,22,4.666808999999998,178993.73041122648,0.0,77800.17388784423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19869.64785748266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.666808999999998,4.666808999999998,4.666808999999998,4.666808999999998,4.666808999999998,4.666808999999998,4.666808999999998,4.666808999999998,4.666808999999998,4.666808999999998,4.666808999999998,4.666808999999998,4.666808999999998
79,"Allentown-Bethlehem-Easton, PA-NJ Metro Area-Bus",2006,0,22,4.997816000000004,-21151.422963395096,0.0,49159.87200891732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215574.78127120723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.997816000000004,4.997816000000004,4.997816000000004,4.997816000000004,4.997816000000004,4.997816000000004,4.997816000000004,4.997816000000004,4.997816000000004,4.997816000000004,4.997816000000004,4.997816000000004,4.997816000000004
80,"Allentown-Bethlehem-Easton, PA-NJ Metro Area-Bus",2007,0,22,4.704806000000004,-91115.96971655102,0.0,-131570.58044492122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78735.82328298315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.704806000000004,4.704806000000004,4.704806000000004,4.704806000000004,4.704806000000004,4.704806000000004,4.704806000000004,4.704806000000004,4.704806000000004,4.704806000000004,4.704806000000004,4.704806000000004,4.704806000000004
81,"Allentown-Bethlehem-Easton, PA-NJ Metro Area-Bus",2008,0,22,3.9547769999999978,-558320.1297843754,0.0,-686849.2328470225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360959.3947900003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9547769999999978,3.9547769999999978,3.9547769999999978,3.9547769999999978,3.9547769999999978,3.9547769999999978,3.9547769999999978,3.9547769999999978,3.9547769999999978,3.9547769999999978,3.9547769999999978,3.9547769999999978,3.9547769999999978
82,"Allentown-Bethlehem-Easton, PA-NJ Metro Area-Bus",2009,0,22,5.139657,563763.1334824784,0.0,668646.6724307388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58814.45490585966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.139657,5.139657,5.139657,5.139657,5.139657,5.139657,5.139657,5.139657,5.139657,5.139657,5.139657,5.139657,5.139657
83,"Allentown-Bethlehem-Easton, PA-NJ Metro Area-Bus",2010,0,22,4.792991,-19100.92367412723,0.0,-118343.52632591876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-293542.82249562955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.792991,4.792991,4.792991,4.792991,4.792991,4.792991,4.792991,4.792991,4.792991,4.792991,4.792991,4.792991,4.792991
84,"Allentown-Bethlehem-Easton, PA-NJ Metro Area-Bus",2011,0,22,5.267744000000003,-33559.052524204286,0.0,-26561.71561649889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406026.35949484777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.267744000000003,5.267744000000003,5.267744000000003,5.267744000000003,5.267744000000003,5.267744000000003,5.267744000000003,5.267744000000003,5.267744000000003,5.267744000000003,5.267744000000003,5.267744000000003,5.267744000000003
