,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,MAINTENANCE_WMATA_FAC,RESTRUCTURE_FAC,New_Reporter_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,Others_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,Others_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_Others_FAC_cumsum
133,"Ann Arbor, MI Metro Area-Bus",2002,0,23,7.5314200000000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7531420.000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5314200000000024,7.5314200000000024,7.5314200000000024,7.5314200000000024,7.5314200000000024,7.5314200000000024,7.5314200000000024,7.5314200000000024,7.5314200000000024,7.5314200000000024,7.5314200000000024,7.5314200000000024,7.5314200000000024
134,"Ann Arbor, MI Metro Area-Bus",2003,0,23,7.608958000000004,-125989.45481461137,0.0,-182761.4391415238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211235.61086609232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.608958000000004,7.608958000000004,7.608958000000004,7.608958000000004,7.608958000000004,7.608958000000004,7.608958000000004,7.608958000000004,7.608958000000004,7.608958000000004,7.608958000000004,7.608958000000004,7.608958000000004
135,"Ann Arbor, MI Metro Area-Bus",2004,0,23,8.369267000000004,20888.876717968957,0.0,186775.3785656444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368542.4992920151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.369267000000004,8.369267000000004,8.369267000000004,8.369267000000004,8.369267000000004,8.369267000000004,8.369267000000004,8.369267000000004,8.369267000000004,8.369267000000004,8.369267000000004,8.369267000000004,8.369267000000004
136,"Ann Arbor, MI Metro Area-Bus",2005,0,23,9.216742000000004,76377.67507059993,0.0,260921.5822744184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229862.5620332233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.216742000000004,9.216742000000004,9.216742000000004,9.216742000000004,9.216742000000004,9.216742000000004,9.216742000000004,9.216742000000004,9.216742000000004,9.216742000000004,9.216742000000004,9.216742000000004,9.216742000000004
137,"Ann Arbor, MI Metro Area-Bus",2006,0,23,9.85503699999999,-57444.84854441341,0.0,-24666.10648360625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545091.2714952145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.85503699999999,9.85503699999999,9.85503699999999,9.85503699999999,9.85503699999999,9.85503699999999,9.85503699999999,9.85503699999999,9.85503699999999,9.85503699999999,9.85503699999999,9.85503699999999,9.85503699999999
138,"Ann Arbor, MI Metro Area-Bus",2007,0,23,10.032620000000005,-46453.41300341055,0.0,-32487.841381769616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117910.08120060369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.032620000000005,10.032620000000005,10.032620000000005,10.032620000000005,10.032620000000005,10.032620000000005,10.032620000000005,10.032620000000005,10.032620000000005,10.032620000000005,10.032620000000005,10.032620000000005,10.032620000000005
139,"Ann Arbor, MI Metro Area-Bus",2008,0,23,10.570067999999992,115875.88739020888,0.0,221756.1208876637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215992.76137526575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.570067999999992,10.570067999999992,10.570067999999992,10.570067999999992,10.570067999999992,10.570067999999992,10.570067999999992,10.570067999999992,10.570067999999992,10.570067999999992,10.570067999999992,10.570067999999992,10.570067999999992
140,"Ann Arbor, MI Metro Area-Bus",2009,0,23,10.683338999999995,56377.57900618569,0.0,-73174.69714938042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386224.1810192677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.683338999999995,10.683338999999995,10.683338999999995,10.683338999999995,10.683338999999995,10.683338999999995,10.683338999999995,10.683338999999995,10.683338999999995,10.683338999999995,10.683338999999995,10.683338999999995,10.683338999999995
141,"Ann Arbor, MI Metro Area-Bus",2010,0,23,10.683729999999988,99301.98347597128,0.0,-264038.3127032509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-713925.9121275098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.683729999999988,10.683729999999988,10.683729999999988,10.683729999999988,10.683729999999988,10.683729999999988,10.683729999999988,10.683729999999988,10.683729999999988,10.683729999999988,10.683729999999988,10.683729999999988,10.683729999999988
142,"Ann Arbor, MI Metro Area-Bus",2011,0,23,11.480953999999992,-103260.83442617596,0.0,-81055.73501617064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,665351.0940473819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.480953999999992,11.480953999999992,11.480953999999992,11.480953999999992,11.480953999999992,11.480953999999992,11.480953999999992,11.480953999999992,11.480953999999992,11.480953999999992,11.480953999999992,11.480953999999992,11.480953999999992
