,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
227,"Augusta-Richmond County, GA-SC Metro Area-Bus",2006,0,34,938340.9999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,938340.9999999997,938340.9999999997,938340.9999999997,938340.9999999997,938340.9999999997,938340.9999999997,938340.9999999997,938340.9999999997,938340.9999999997,938340.9999999997,938340.9999999997,938340.9999999997,938340.9999999997
228,"Augusta-Richmond County, GA-SC Metro Area-Bus",2007,0,34,861963.9999999997,-68942.69961464014,0.0,2751.8515522851662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,861963.9999999997,861963.9999999997,861963.9999999997,861963.9999999997,861963.9999999997,861963.9999999997,861963.9999999997,861963.9999999997,861963.9999999997,861963.9999999997,861963.9999999997,861963.9999999997,861963.9999999997
229,"Augusta-Richmond County, GA-SC Metro Area-Bus",2008,0,34,893169.9999999997,18093.591034245652,0.0,-25928.822544644743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,893169.9999999997,893169.9999999997,893169.9999999997,893169.9999999997,893169.9999999997,893169.9999999997,893169.9999999997,893169.9999999997,893169.9999999997,893169.9999999997,893169.9999999997,893169.9999999997,893169.9999999997
230,"Augusta-Richmond County, GA-SC Metro Area-Bus",2009,0,34,643745.9999999994,16829.242625322444,0.0,-66015.87083455647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643745.9999999994,643745.9999999994,643745.9999999994,643745.9999999994,643745.9999999994,643745.9999999994,643745.9999999994,643745.9999999994,643745.9999999994,643745.9999999994,643745.9999999994,643745.9999999994,643745.9999999994
231,"Augusta-Richmond County, GA-SC Metro Area-Bus",2010,0,34,617262.0000000003,-11650.030839431362,0.0,-14217.845404707838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617262.0000000003,617262.0000000003,617262.0000000003,617262.0000000003,617262.0000000003,617262.0000000003,617262.0000000003,617262.0000000003,617262.0000000003,617262.0000000003,617262.0000000003,617262.0000000003,617262.0000000003
232,"Augusta-Richmond County, GA-SC Metro Area-Bus",2011,0,34,723485.9999999995,-33807.27742502133,0.0,78062.69663151087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,723485.9999999995,723485.9999999995,723485.9999999995,723485.9999999995,723485.9999999995,723485.9999999995,723485.9999999995,723485.9999999995,723485.9999999995,723485.9999999995,723485.9999999995,723485.9999999995,723485.9999999995
233,"Augusta-Richmond County, GA-SC Metro Area-Bus",2012,0,34,718405.9999999999,2748.794563847947,0.0,-32196.200760905893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718405.9999999999,718405.9999999999,718405.9999999999,718405.9999999999,718405.9999999999,718405.9999999999,718405.9999999999,718405.9999999999,718405.9999999999,718405.9999999999,718405.9999999999,718405.9999999999,718405.9999999999
234,"Augusta-Richmond County, GA-SC Metro Area-Bus",2013,0,34,745349.0,1065.2146320530526,0.0,10061.195281542272,0.0,2702.514370190389,2903.9975027916757,-2810.376436074081,2375.208763535093,719.678052102339,-7651.360362693743,0.0,0.0,0.0,0.0,0.0,0.0,17649.661335040113,1065.2146320530526,10061.195281542272,0.0,0.0,2702.514370190389,2903.9975027916757,-2810.376436074081,2375.208763535093,719.678052102339,-7651.360362693743,0.0,0.0,17649.661335040113,1065.2146320530526,10061.195281542272,0.0,0.0,742646.4856298096,742445.0024972083,748159.376436074,742973.7912364649,744629.3219478977,753000.3603626938,745349.0,745349.0,727699.3386649599,744283.785367947,735287.8047184577,745349.0,745349.0
235,"Augusta-Richmond County, GA-SC Metro Area-Bus",2014,0,34,792326.9999999998,9399.342934479391,0.0,-18355.585135299567,0.0,566.8933461849758,1276.8226041974283,-4470.978755359452,-1212.379344845232,1269.7819002372655,-569.8457620469369,0.0,0.0,0.0,0.0,0.0,0.0,59276.99133850518,9399.342934479391,-18355.585135299567,0.0,0.0,3269.4077163753645,4180.820106989104,-7281.355191433533,1162.829418689861,1989.4599523396046,-8221.20612474068,0.0,0.0,76926.6526735453,10464.557566532443,-8294.389853757295,0.0,0.0,789057.5922836245,788146.1798930106,799608.3551914333,791164.1705813099,790337.5400476601,800548.2061247404,792326.9999999998,792326.9999999998,715400.3473264545,781862.4424334674,800621.3898537571,792326.9999999998,792326.9999999998
236,"Augusta-Richmond County, GA-SC Metro Area-Bus",2015,0,34,787145.0000000002,29153.38067318384,0.0,28720.990862171173,0.0,2707.091807374902,1001.02104156937,-29095.08907247722,-3447.855015450983,-1806.735338921531,1820.0686353390931,0.0,0.0,0.0,0.0,-8541.934844997906,0.0,-24276.62391674816,29153.38067318384,28720.990862171173,0.0,0.0,5976.499523750266,5181.841148558474,-36376.44426391076,-2285.025596761122,182.72461341807366,-6401.137489401587,-8541.934844997906,0.0,52650.02875679713,39617.938239716284,20426.601008413876,0.0,0.0,781168.50047625,781963.1588514418,823521.444263911,789430.0255967614,786962.2753865821,793546.1374894019,795686.9348449982,787145.0000000002,734494.9712432032,747527.061760284,766718.3989915864,787145.0000000002,787145.0000000002
