,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,MAINTENANCE_WMATA_FAC,RESTRUCTURE_FAC,New_Reporter_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,Others_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,Others_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_Others_FAC_cumsum
346,"Bellingham, WA Metro Area-Bus",2002,0,33,3.019966000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3019966.000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.019966000000003,3.019966000000003,3.019966000000003,3.019966000000003,3.019966000000003,3.019966000000003,3.019966000000003,3.019966000000003,3.019966000000003,3.019966000000003,3.019966000000003,3.019966000000003,3.019966000000003
347,"Bellingham, WA Metro Area-Bus",2003,0,33,3.0407380000000024,99197.8859864214,0.0,-34562.18715575415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-117433.88323903104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0407380000000024,3.0407380000000024,3.0407380000000024,3.0407380000000024,3.0407380000000024,3.0407380000000024,3.0407380000000024,3.0407380000000024,3.0407380000000024,3.0407380000000024,3.0407380000000024,3.0407380000000024,3.0407380000000024
348,"Bellingham, WA Metro Area-Bus",2004,0,33,3.3923499999999973,28466.30080729053,0.0,65466.60929121968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171462.88833772455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3923499999999973,3.3923499999999973,3.3923499999999973,3.3923499999999973,3.3923499999999973,3.3923499999999973,3.3923499999999973,3.3923499999999973,3.3923499999999973,3.3923499999999973,3.3923499999999973,3.3923499999999973,3.3923499999999973
349,"Bellingham, WA Metro Area-Bus",2005,0,33,3.3998510000000004,27310.24095018986,0.0,22203.46195548584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-123894.67997532529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3998510000000004,3.3998510000000004,3.3998510000000004,3.3998510000000004,3.3998510000000004,3.3998510000000004,3.3998510000000004,3.3998510000000004,3.3998510000000004,3.3998510000000004,3.3998510000000004,3.3998510000000004,3.3998510000000004
350,"Bellingham, WA Metro Area-Bus",2006,0,33,3.5824820000000015,345099.3780788823,0.0,-15683.318163425176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-170283.84179494006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5824820000000015,3.5824820000000015,3.5824820000000015,3.5824820000000015,3.5824820000000015,3.5824820000000015,3.5824820000000015,3.5824820000000015,3.5824820000000015,3.5824820000000015,3.5824820000000015,3.5824820000000015,3.5824820000000015
351,"Bellingham, WA Metro Area-Bus",2007,0,33,3.9461350000000017,63527.45581400317,0.0,30507.960618739497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200032.3464685996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9461350000000017,3.9461350000000017,3.9461350000000017,3.9461350000000017,3.9461350000000017,3.9461350000000017,3.9461350000000017,3.9461350000000017,3.9461350000000017,3.9461350000000017,3.9461350000000017,3.9461350000000017,3.9461350000000017
352,"Bellingham, WA Metro Area-Bus",2008,0,33,5.032936000000004,134673.7613168282,0.0,66934.26126733271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786070.5557966232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.032936000000004,5.032936000000004,5.032936000000004,5.032936000000004,5.032936000000004,5.032936000000004,5.032936000000004,5.032936000000004,5.032936000000004,5.032936000000004,5.032936000000004,5.032936000000004,5.032936000000004
353,"Bellingham, WA Metro Area-Bus",2009,0,33,5.623156000000001,57332.06052120768,0.0,17826.602340760877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663456.2165983118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.623156000000001,5.623156000000001,5.623156000000001,5.623156000000001,5.623156000000001,5.623156000000001,5.623156000000001,5.623156000000001,5.623156000000001,5.623156000000001,5.623156000000001,5.623156000000001,5.623156000000001
354,"Bellingham, WA Metro Area-Bus",2010,0,33,4.886749000000001,-79766.3265607282,0.0,-168653.1613822675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-527847.2487810991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.886749000000001,4.886749000000001,4.886749000000001,4.886749000000001,4.886749000000001,4.886749000000001,4.886749000000001,4.886749000000001,4.886749000000001,4.886749000000001,4.886749000000001,4.886749000000001,4.886749000000001
355,"Bellingham, WA Metro Area-Bus",2011,0,33,5.1255489999999995,-143255.70049130722,0.0,-12485.237341666878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359701.1642626774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1255489999999995,5.1255489999999995,5.1255489999999995,5.1255489999999995,5.1255489999999995,5.1255489999999995,5.1255489999999995,5.1255489999999995,5.1255489999999995,5.1255489999999995,5.1255489999999995,5.1255489999999995,5.1255489999999995
