,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
363,"Billings, MT Metro Area-Bus",2002,0,32,633625.0000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633625.0000000005,633625.0000000005,633625.0000000005,633625.0000000005,633625.0000000005,633625.0000000005,633625.0000000005,633625.0000000005,633625.0000000005,633625.0000000005,633625.0000000005,633625.0000000005,633625.0000000005
364,"Billings, MT Metro Area-Bus",2003,0,32,661142.9999999998,-23.578205655440392,0.0,-809.2618429939726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661142.9999999998,661142.9999999998,661142.9999999998,661142.9999999998,661142.9999999998,661142.9999999998,661142.9999999998,661142.9999999998,661142.9999999998,661142.9999999998,661142.9999999998,661142.9999999998,661142.9999999998
365,"Billings, MT Metro Area-Bus",2004,0,32,655598.0000000005,-5300.61443942501,0.0,4210.526831993541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655598.0000000005,655598.0000000005,655598.0000000005,655598.0000000005,655598.0000000005,655598.0000000005,655598.0000000005,655598.0000000005,655598.0000000005,655598.0000000005,655598.0000000005,655598.0000000005,655598.0000000005
366,"Billings, MT Metro Area-Bus",2005,0,32,664388.9999999998,14455.287341388614,0.0,2287.22088170943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664388.9999999998,664388.9999999998,664388.9999999998,664388.9999999998,664388.9999999998,664388.9999999998,664388.9999999998,664388.9999999998,664388.9999999998,664388.9999999998,664388.9999999998,664388.9999999998,664388.9999999998
367,"Billings, MT Metro Area-Bus",2006,0,32,703896.0000000005,-10758.921338891558,0.0,-3012.006191264564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703896.0000000005,703896.0000000005,703896.0000000005,703896.0000000005,703896.0000000005,703896.0000000005,703896.0000000005,703896.0000000005,703896.0000000005,703896.0000000005,703896.0000000005,703896.0000000005,703896.0000000005
368,"Billings, MT Metro Area-Bus",2007,0,32,679097.0000000005,9682.182743851366,0.0,-5125.888580542155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679097.0000000005,679097.0000000005,679097.0000000005,679097.0000000005,679097.0000000005,679097.0000000005,679097.0000000005,679097.0000000005,679097.0000000005,679097.0000000005,679097.0000000005,679097.0000000005,679097.0000000005
369,"Billings, MT Metro Area-Bus",2008,0,32,685160.0000000006,-10083.839633284486,0.0,209.10554412169995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685160.0000000006,685160.0000000006,685160.0000000006,685160.0000000006,685160.0000000006,685160.0000000006,685160.0000000006,685160.0000000006,685160.0000000006,685160.0000000006,685160.0000000006,685160.0000000006,685160.0000000006
370,"Billings, MT Metro Area-Bus",2009,0,32,642972.0000000003,3235.504615704612,0.0,-36401.04471770027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642972.0000000003,642972.0000000003,642972.0000000003,642972.0000000003,642972.0000000003,642972.0000000003,642972.0000000003,642972.0000000003,642972.0000000003,642972.0000000003,642972.0000000003,642972.0000000003,642972.0000000003
371,"Billings, MT Metro Area-Bus",2010,0,32,612867.0,1111.6581241767406,0.0,-19452.291561289767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612867.0,612867.0,612867.0,612867.0,612867.0,612867.0,612867.0,612867.0,612867.0,612867.0,612867.0,612867.0,612867.0
372,"Billings, MT Metro Area-Bus",2011,0,32,622474.9999999999,1538.3702699803036,0.0,6011.753638462747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622474.9999999999,622474.9999999999,622474.9999999999,622474.9999999999,622474.9999999999,622474.9999999999,622474.9999999999,622474.9999999999,622474.9999999999,622474.9999999999,622474.9999999999,622474.9999999999,622474.9999999999
373,"Billings, MT Metro Area-Bus",2012,0,32,615546.0,-15362.94226450355,0.0,-7397.093268327022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615546.0,615546.0,615546.0,615546.0,615546.0,615546.0,615546.0,615546.0,615546.0,615546.0,615546.0,615546.0,615546.0
374,"Billings, MT Metro Area-Bus",2013,0,32,614929.0,-16532.596828372123,0.0,10290.891063091642,0.0,2795.926396884551,-77.65947583925423,-2229.7953377819745,-107.8798934455617,86.29186496379904,-8880.269171096435,0.0,0.0,0.0,0.0,0.0,0.0,14242.063831901967,-16532.596828372123,10290.891063091642,0.0,0.0,2795.926396884551,-77.65947583925423,-2229.7953377819745,-107.8798934455617,86.29186496379904,-8880.269171096435,0.0,0.0,14242.063831901967,-16532.596828372123,10290.891063091642,0.0,0.0,612133.0736031154,615006.6594758392,617158.795337782,615036.8798934455,614842.7081350362,623809.2691710964,614929.0,614929.0,600686.936168098,631461.5968283721,604638.1089369083,614929.0,614929.0
