,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_cumsum
412,"Blacksburg-Christiansburg-Radford, VA Metro Area-Bus",2006,0,33,2.5006059999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5006059999999994,2.5006059999999994,2.5006059999999994,2.5006059999999994,2.5006059999999994,2.5006059999999994,2.5006059999999994,2.5006059999999994,2.5006059999999994,2.5006059999999994,2.5006059999999994,2.5006059999999994
413,"Blacksburg-Christiansburg-Radford, VA Metro Area-Bus",2007,0,33,2.425241000000001,-13165.2801720448,0.0,-62143.70097753168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.425241000000001,2.425241000000001,2.425241000000001,2.425241000000001,2.425241000000001,2.425241000000001,2.425241000000001,2.425241000000001,2.425241000000001,2.425241000000001,2.425241000000001,2.425241000000001
414,"Blacksburg-Christiansburg-Radford, VA Metro Area-Bus",2008,0,33,2.8026210000000016,88558.9466774072,0.0,70544.5524185953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8026210000000016,2.8026210000000016,2.8026210000000016,2.8026210000000016,2.8026210000000016,2.8026210000000016,2.8026210000000016,2.8026210000000016,2.8026210000000016,2.8026210000000016,2.8026210000000016,2.8026210000000016
415,"Blacksburg-Christiansburg-Radford, VA Metro Area-Bus",2009,0,33,3.1757820000000003,34674.06160657377,0.0,91922.27647183769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1757820000000003,3.1757820000000003,3.1757820000000003,3.1757820000000003,3.1757820000000003,3.1757820000000003,3.1757820000000003,3.1757820000000003,3.1757820000000003,3.1757820000000003,3.1757820000000003,3.1757820000000003
416,"Blacksburg-Christiansburg-Radford, VA Metro Area-Bus",2010,0,33,3.3509109999999995,60149.797721527306,0.0,51484.42964706584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3509109999999995,3.3509109999999995,3.3509109999999995,3.3509109999999995,3.3509109999999995,3.3509109999999995,3.3509109999999995,3.3509109999999995,3.3509109999999995,3.3509109999999995,3.3509109999999995,3.3509109999999995
417,"Blacksburg-Christiansburg-Radford, VA Metro Area-Bus",2011,0,33,3.3495450000000004,71396.29624443583,0.0,-60598.41917633917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3495450000000004,3.3495450000000004,3.3495450000000004,3.3495450000000004,3.3495450000000004,3.3495450000000004,3.3495450000000004,3.3495450000000004,3.3495450000000004,3.3495450000000004,3.3495450000000004,3.3495450000000004
418,"Blacksburg-Christiansburg-Radford, VA Metro Area-Bus",2012,0,33,3.5205260000000025,24946.448179578107,0.0,-55379.93238830124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5205260000000025,3.5205260000000025,3.5205260000000025,3.5205260000000025,3.5205260000000025,3.5205260000000025,3.5205260000000025,3.5205260000000025,3.5205260000000025,3.5205260000000025,3.5205260000000025,3.5205260000000025
419,"Blacksburg-Christiansburg-Radford, VA Metro Area-Bus",2013,0,33,3.616848000000002,-1255.868096121679,0.0,-55749.07670472722,0.0,44965.44221340727,-5090.802277483903,-13772.16130292084,-22929.391567983188,-5072.334237646806,8087.063740722962,0.0,0.0,0.0,0.0,0.0,0.0,147611.5632523106,-1255.868096121679,-55749.07670472722,0.0,0.044965442213407265,-0.005090802277483903,-0.013772161302920841,-0.02292939156798319,-0.005072334237646806,0.008087063740722962,0.0,0.0,0.1476115632523106,-0.001255868096121679,-0.055749076704727216,0.0,3.5718825577865947,3.621938802277486,3.6306201613029225,3.639777391567985,3.6219203342376485,3.6087609362592787,3.616848000000002,3.616848000000002,3.4692364367476913,3.6181038680961235,3.672597076704729,3.616848000000002
420,"Blacksburg-Christiansburg-Radford, VA Metro Area-Bus",2014,0,33,3.6350800000000016,10588.169554418311,0.0,-58339.95468210023,0.0,5690.2045398419605,-9284.403861374,-21695.67621257201,20451.51998244932,10081.6239920313,22197.97119944701,0.0,0.0,0.0,0.0,0.0,0.0,39193.88585188503,10588.169554418311,-58339.95468210023,0.0,0.050655646753249226,-0.014375206138857902,-0.03546783751549285,-0.002477871585533867,0.005009289754384494,0.030285034940169972,0.0,0.0,0.18680544910419564,0.009332301458296631,-0.11408903138682744,0.0,3.5844243532467526,3.6494552061388594,3.6705478375154943,3.6375578715855355,3.6300707102456173,3.6047949650598317,3.6350800000000016,3.6350800000000016,3.448274550895806,3.625747698541705,3.749169031386829,3.6350800000000016
421,"Blacksburg-Christiansburg-Radford, VA Metro Area-Bus",2015,0,33,3.614075000000002,-45424.19527040165,0.0,34112.7765823406,0.0,-3290.9836286352947,-520.8067403599033,-133483.9988862939,-29200.79895256825,-14457.155627979038,-19409.47056756645,0.0,-120916.3753821127,0.0,0.0,0.0,0.0,301580.04547120933,-45424.19527040165,34112.7765823406,-120916.3753821127,0.04736466312461393,-0.014896012879217806,-0.16895183640178676,-0.03167867053810212,-0.009447865873594545,0.01087556437260352,0.0,0.0,0.488385494575405,-0.036091893812105015,-0.07997625480448685,-0.12091637538211271,3.566710336875388,3.62897101287922,3.7830268364017887,3.645753670538104,3.6235228658735963,3.603199435627398,3.614075000000002,3.614075000000002,3.125689505424597,3.650166893812107,3.6940512548044886,3.7349913753821147
