,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
548,"Buffalo-Niagara Falls, NY Metro Area-Bus",2002,0,21,18570417.00000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18570417.00000003,18570417.00000003,18570417.00000003,18570417.00000003,18570417.00000003,18570417.00000003,18570417.00000003,18570417.00000003,18570417.00000003,18570417.00000003,18570417.00000003,18570417.00000003,18570417.00000003
549,"Buffalo-Niagara Falls, NY Metro Area-Bus",2003,0,21,17562517.000000007,308325.4875288141,0.0,2265.8491260299697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17562517.000000007,17562517.000000007,17562517.000000007,17562517.000000007,17562517.000000007,17562517.000000007,17562517.000000007,17562517.000000007,17562517.000000007,17562517.000000007,17562517.000000007,17562517.000000007,17562517.000000007
550,"Buffalo-Niagara Falls, NY Metro Area-Bus",2004,0,21,17797006.999999978,46377.46106455046,0.0,-314595.1024671785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17797006.999999978,17797006.999999978,17797006.999999978,17797006.999999978,17797006.999999978,17797006.999999978,17797006.999999978,17797006.999999978,17797006.999999978,17797006.999999978,17797006.999999978,17797006.999999978,17797006.999999978
551,"Buffalo-Niagara Falls, NY Metro Area-Bus",2005,0,21,18135594.999999985,284792.8074107334,0.0,102059.7393120029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18135594.999999985,18135594.999999985,18135594.999999985,18135594.999999985,18135594.999999985,18135594.999999985,18135594.999999985,18135594.999999985,18135594.999999985,18135594.999999985,18135594.999999985,18135594.999999985,18135594.999999985
552,"Buffalo-Niagara Falls, NY Metro Area-Bus",2006,0,21,17690860.00000003,247856.1261002536,0.0,-169020.8774944889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17690860.00000003,17690860.00000003,17690860.00000003,17690860.00000003,17690860.00000003,17690860.00000003,17690860.00000003,17690860.00000003,17690860.00000003,17690860.00000003,17690860.00000003,17690860.00000003,17690860.00000003
553,"Buffalo-Niagara Falls, NY Metro Area-Bus",2007,0,21,20029633.000000007,433832.4330073759,0.0,558473.3390408991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20029633.000000007,20029633.000000007,20029633.000000007,20029633.000000007,20029633.000000007,20029633.000000007,20029633.000000007,20029633.000000007,20029633.000000007,20029633.000000007,20029633.000000007,20029633.000000007,20029633.000000007
554,"Buffalo-Niagara Falls, NY Metro Area-Bus",2008,0,21,21380908.99999999,990735.6638868462,0.0,202475.51406460773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21380908.99999999,21380908.99999999,21380908.99999999,21380908.99999999,21380908.99999999,21380908.99999999,21380908.99999999,21380908.99999999,21380908.99999999,21380908.99999999,21380908.99999999,21380908.99999999,21380908.99999999
555,"Buffalo-Niagara Falls, NY Metro Area-Bus",2009,0,21,19824300.999999985,-187110.1825641923,0.0,-1005372.8522832732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19824300.999999985,19824300.999999985,19824300.999999985,19824300.999999985,19824300.999999985,19824300.999999985,19824300.999999985,19824300.999999985,19824300.999999985,19824300.999999985,19824300.999999985,19824300.999999985,19824300.999999985
556,"Buffalo-Niagara Falls, NY Metro Area-Bus",2010,0,21,21276770.00000001,-93195.96857347705,0.0,119296.80247100446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21276770.00000001,21276770.00000001,21276770.00000001,21276770.00000001,21276770.00000001,21276770.00000001,21276770.00000001,21276770.00000001,21276770.00000001,21276770.00000001,21276770.00000001,21276770.00000001,21276770.00000001
557,"Buffalo-Niagara Falls, NY Metro Area-Bus",2011,0,21,23395544.99999997,-924491.8599454868,0.0,749086.0058500454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23395544.99999997,23395544.99999997,23395544.99999997,23395544.99999997,23395544.99999997,23395544.99999997,23395544.99999997,23395544.99999997,23395544.99999997,23395544.99999997,23395544.99999997,23395544.99999997,23395544.99999997
