,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,MAINTENANCE_WMATA_FAC,RESTRUCTURE_FAC,New_Reporter_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,Others_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,Others_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_Others_FAC_cumsum
596,"Canton-Massillon, OH Metro Area-Bus",2007,0,31,2.1066910000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2106691.0000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1066910000000005,2.1066910000000005,2.1066910000000005,2.1066910000000005,2.1066910000000005,2.1066910000000005,2.1066910000000005,2.1066910000000005,2.1066910000000005,2.1066910000000005,2.1066910000000005,2.1066910000000005,2.1066910000000005
597,"Canton-Massillon, OH Metro Area-Bus",2008,0,31,2.2963529999999985,-4934.900047607082,0.0,-28568.301305050973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194063.89072973968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2963529999999985,2.2963529999999985,2.2963529999999985,2.2963529999999985,2.2963529999999985,2.2963529999999985,2.2963529999999985,2.2963529999999985,2.2963529999999985,2.2963529999999985,2.2963529999999985,2.2963529999999985,2.2963529999999985
598,"Canton-Massillon, OH Metro Area-Bus",2009,0,31,2.018437,-78648.82430603883,0.0,-26852.98721139567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-65832.25632935026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.018437,2.018437,2.018437,2.018437,2.018437,2.018437,2.018437,2.018437,2.018437,2.018437,2.018437,2.018437,2.018437
599,"Canton-Massillon, OH Metro Area-Bus",2010,0,31,1.9730940000000017,-148929.87482378585,0.0,-16518.14836635432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78232.36814863732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9730940000000017,1.9730940000000017,1.9730940000000017,1.9730940000000017,1.9730940000000017,1.9730940000000017,1.9730940000000017,1.9730940000000017,1.9730940000000017,1.9730940000000017,1.9730940000000017,1.9730940000000017,1.9730940000000017
600,"Canton-Massillon, OH Metro Area-Bus",2011,0,31,2.3020350000000014,74372.85226428781,0.0,27271.118364186423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168686.58583620872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3020350000000014,2.3020350000000014,2.3020350000000014,2.3020350000000014,2.3020350000000014,2.3020350000000014,2.3020350000000014,2.3020350000000014,2.3020350000000014,2.3020350000000014,2.3020350000000014,2.3020350000000014,2.3020350000000014
601,"Canton-Massillon, OH Metro Area-Bus",2012,0,31,2.510845999999999,-8354.797477000524,0.0,103102.88803544149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124950.458547176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.510845999999999,2.510845999999999,2.510845999999999,2.510845999999999,2.510845999999999,2.510845999999999,2.510845999999999,2.510845999999999,2.510845999999999,2.510845999999999,2.510845999999999,2.510845999999999,2.510845999999999
602,"Canton-Massillon, OH Metro Area-Bus",2013,0,31,2.5446519999999997,44399.45166240122,0.0,-40406.91865965444,0.0,1016.378210059007,3004.3061993368824,-9836.817428431375,1313.058308099119,1710.1244319811508,17342.906596228757,0.0,0.0,0.0,0.0,0.0,0.0,15999.181898083203,0.0,0.0,0.0,44399.45166240122,-40406.91865965444,0.0,0.0,15999.181898083203,0.001016378210059007,0.0030043061993368825,-0.009836817428431375,0.001313058308099119,0.0017101244319811509,0.017342906596228756,0.0,0.0,0.04439945166240122,-0.040406918659654435,0.0,0.0,0.015999181898083203,2.5436356217899405,2.541647693800663,2.5544888174284313,2.543338941691901,2.5429418755680184,2.5273090934037707,2.5446519999999997,2.5446519999999997,2.5002525483375986,2.585058918659654,2.5446519999999997,2.5446519999999997,2.5286528181019166
603,"Canton-Massillon, OH Metro Area-Bus",2014,0,31,2.653251000000001,15182.942201804522,0.0,-36530.67007650828,0.0,2684.5195394375137,1317.725218920663,-18635.77928397841,-3004.694757313321,4181.958651991092,-9712.521310307293,0.0,0.0,0.0,0.0,0.0,0.0,153125.35946758417,0.0,0.0,0.0,15182.942201804522,-36530.67007650828,0.0,0.0,153125.35946758417,0.0037008977494965207,0.004322031418257545,-0.028472596712409783,-0.0016916364492142021,0.005892083083972242,0.0076303852859214635,0.0,0.0,0.05958239386420574,-0.07693758873616273,0.0,0.0,0.16912454136566737,2.6495501022505046,2.6489289685817434,2.681723596712411,2.6549426364492152,2.6473589169160285,2.6456206147140793,2.653251000000001,2.653251000000001,2.593668606135795,2.7301885887361634,2.653251000000001,2.653251000000001,2.4841264586343335
604,"Canton-Massillon, OH Metro Area-Bus",2015,0,31,2.5344620000000004,5572.571510837608,0.0,-27947.093583857448,0.0,-1655.8965388705371,-2157.331134896911,-94290.1270711594,-9764.146764427343,-6262.21810039791,-12147.7880457254,0.0,-88257.06556636053,0.0,0.0,-28604.22170319269,0.0,137109.91537692523,0.0,0.0,0.0,5572.571510837608,-27947.093583857448,-88257.06556636053,0.0,137109.91537692523,0.0020450012106259835,0.0021647002833606347,-0.12276272378356917,-0.011455783213641546,-0.00037013501642566823,-0.004517402759803935,-0.028604221703192687,0.0,0.06515496537504335,-0.10488468232002017,-0.08825706556636052,0.0,0.30623445674259264,2.5324169987893743,2.5322972997166397,2.6572247237835698,2.545917783213642,2.5348321350164262,2.5389794027598045,2.563066221703193,2.5344620000000004,2.4693070346249573,2.6393466823200207,2.622719065566361,2.5344620000000004,2.228227543257408
605,"Canton-Massillon, OH Metro Area-Bus",2016,0,31,2.3336499999999987,903.072971876822,0.0,22713.514929383644,0.0,-1740.2560194150606,1386.3658853553584,-30442.03259967261,-4649.397211881962,-1674.314718090689,-17385.938852515894,0.0,-84305.6985220958,0.0,0.0,0.0,0.0,-86490.4673103256,0.0,0.0,0.0,903.072971876822,22713.514929383644,-84305.6985220958,0.0,-86490.4673103256,0.00030474519121092295,0.0035510661687159933,-0.1532047563832418,-0.01610518042552351,-0.0020444497345163573,-0.02190334161231983,-0.028604221703192687,0.0,0.06605803834692017,-0.08217116739063653,-0.17256276408845633,0.0,0.21974398943226703,2.333345254808788,2.3300989338312825,2.4868547563832406,2.349755180425522,2.335694449734515,2.3555533416123184,2.3622542217031914,2.3336499999999987,2.2675919616530784,2.4158211673906353,2.506212764088455,2.3336499999999987,2.1139060105677316
