,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
657,"Charleston, WV Metro Area-Bus",2004,0,33,2199207.999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2199207.999999999,2199207.999999999,2199207.999999999,2199207.999999999,2199207.999999999,2199207.999999999,2199207.999999999,2199207.999999999,2199207.999999999,2199207.999999999,2199207.999999999,2199207.999999999,2199207.999999999
658,"Charleston, WV Metro Area-Bus",2005,0,33,2236754.9999999995,-35573.425583062686,0.0,-64486.46634800326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2236754.9999999995,2236754.9999999995,2236754.9999999995,2236754.9999999995,2236754.9999999995,2236754.9999999995,2236754.9999999995,2236754.9999999995,2236754.9999999995,2236754.9999999995,2236754.9999999995,2236754.9999999995,2236754.9999999995
659,"Charleston, WV Metro Area-Bus",2006,0,33,2260412.999999999,-41428.95831647672,0.0,20398.233974054707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2260412.999999999,2260412.999999999,2260412.999999999,2260412.999999999,2260412.999999999,2260412.999999999,2260412.999999999,2260412.999999999,2260412.999999999,2260412.999999999,2260412.999999999,2260412.999999999,2260412.999999999
660,"Charleston, WV Metro Area-Bus",2007,0,33,2427299.0000000005,-1056.9041489736292,0.0,-2628.459248831262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2427299.0000000005,2427299.0000000005,2427299.0000000005,2427299.0000000005,2427299.0000000005,2427299.0000000005,2427299.0000000005,2427299.0000000005,2427299.0000000005,2427299.0000000005,2427299.0000000005,2427299.0000000005,2427299.0000000005
661,"Charleston, WV Metro Area-Bus",2008,0,33,2640527.000000001,5861.669313131268,0.0,42864.91674169497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2640527.000000001,2640527.000000001,2640527.000000001,2640527.000000001,2640527.000000001,2640527.000000001,2640527.000000001,2640527.000000001,2640527.000000001,2640527.000000001,2640527.000000001,2640527.000000001,2640527.000000001
662,"Charleston, WV Metro Area-Bus",2009,0,33,2491629.0000000005,1905.5349101767456,0.0,-110141.26530518632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2491629.0000000005,2491629.0000000005,2491629.0000000005,2491629.0000000005,2491629.0000000005,2491629.0000000005,2491629.0000000005,2491629.0000000005,2491629.0000000005,2491629.0000000005,2491629.0000000005,2491629.0000000005,2491629.0000000005
663,"Charleston, WV Metro Area-Bus",2010,0,33,2580412.0,10382.88171561046,0.0,75286.53538875657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2580412.0,2580412.0,2580412.0,2580412.0,2580412.0,2580412.0,2580412.0,2580412.0,2580412.0,2580412.0,2580412.0,2580412.0,2580412.0
664,"Charleston, WV Metro Area-Bus",2011,0,33,2750694.0000000014,6029.962954205677,0.0,32315.698996551808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750694.0000000014,2750694.0000000014,2750694.0000000014,2750694.0000000014,2750694.0000000014,2750694.0000000014,2750694.0000000014,2750694.0000000014,2750694.0000000014,2750694.0000000014,2750694.0000000014,2750694.0000000014,2750694.0000000014
665,"Charleston, WV Metro Area-Bus",2012,0,33,2903578.0000000023,-6577.874054747398,0.0,15523.534870163428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2903578.0000000023,2903578.0000000023,2903578.0000000023,2903578.0000000023,2903578.0000000023,2903578.0000000023,2903578.0000000023,2903578.0000000023,2903578.0000000023,2903578.0000000023,2903578.0000000023,2903578.0000000023,2903578.0000000023
666,"Charleston, WV Metro Area-Bus",2013,0,33,2891830.999999999,4621.649040669314,0.0,2412.7898752405545,0.0,-129859.5510537887,5747.448374821645,-11358.684631675009,7854.660878797295,8734.90226801279,22292.51552009869,0.0,0.0,0.0,0.0,0.0,0.0,79478.49149074512,4621.649040669314,2412.7898752405545,0.0,0.0,-129859.5510537887,5747.448374821645,-11358.684631675009,7854.660878797295,8734.90226801279,22292.51552009869,0.0,0.0,79478.49149074512,4621.649040669314,2412.7898752405545,0.0,0.0,3021690.5510537876,2886083.5516251773,2903189.684631674,2883976.339121202,2883096.097731986,2869538.4844799004,2891830.999999999,2891830.999999999,2812352.508509254,2887209.35095933,2889418.2101247585,2891830.999999999,2891830.999999999
