,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
672,"Charleston-North Charleston-Summerville, SC Metro Area-Bus",2008,0,32,4015598.999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4015598.999999997,4015598.999999997,4015598.999999997,4015598.999999997,4015598.999999997,4015598.999999997,4015598.999999997,4015598.999999997,4015598.999999997,4015598.999999997,4015598.999999997,4015598.999999997,4015598.999999997
673,"Charleston-North Charleston-Summerville, SC Metro Area-Bus",2009,0,32,4004649.9999999977,44621.26646483511,0.0,-92836.79111638664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4004649.9999999977,4004649.9999999977,4004649.9999999977,4004649.9999999977,4004649.9999999977,4004649.9999999977,4004649.9999999977,4004649.9999999977,4004649.9999999977,4004649.9999999977,4004649.9999999977,4004649.9999999977,4004649.9999999977
674,"Charleston-North Charleston-Summerville, SC Metro Area-Bus",2010,0,32,4187251.999999999,34823.0385697612,0.0,93964.25051150518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4187251.999999999,4187251.999999999,4187251.999999999,4187251.999999999,4187251.999999999,4187251.999999999,4187251.999999999,4187251.999999999,4187251.999999999,4187251.999999999,4187251.999999999,4187251.999999999,4187251.999999999
675,"Charleston-North Charleston-Summerville, SC Metro Area-Bus",2011,0,32,4448173.000000003,-222330.3987951092,0.0,113292.62479674352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4448173.000000003,4448173.000000003,4448173.000000003,4448173.000000003,4448173.000000003,4448173.000000003,4448173.000000003,4448173.000000003,4448173.000000003,4448173.000000003,4448173.000000003,4448173.000000003,4448173.000000003
676,"Charleston-North Charleston-Summerville, SC Metro Area-Bus",2012,0,32,4859889.000000003,69270.61512716915,0.0,-179480.593208302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4859889.000000003,4859889.000000003,4859889.000000003,4859889.000000003,4859889.000000003,4859889.000000003,4859889.000000003,4859889.000000003,4859889.000000003,4859889.000000003,4859889.000000003,4859889.000000003,4859889.000000003
677,"Charleston-North Charleston-Summerville, SC Metro Area-Bus",2013,0,32,4793013.000000002,-20486.349381070344,0.0,-143456.6357818579,0.0,21806.010283967255,4928.022275176103,-19011.69746290488,-11846.014663207088,-10402.21409599736,7439.645946791833,0.0,0.0,0.0,0.0,0.0,0.0,103421.04117059926,-20486.349381070344,-143456.6357818579,0.0,0.0,21806.010283967255,4928.022275176103,-19011.69746290488,-11846.014663207088,-10402.21409599736,7439.645946791833,0.0,0.0,103421.04117059926,-20486.349381070344,-143456.6357818579,0.0,0.0,4771206.989716034,4788084.977724826,4812024.697462907,4804859.014663209,4803415.2140959995,4785573.3540532105,4793013.000000002,4793013.000000002,4689591.958829403,4813499.349381072,4936469.63578186,4793013.000000002,4793013.000000002
678,"Charleston-North Charleston-Summerville, SC Metro Area-Bus",2014,0,32,4950082.000000003,123088.91207468444,0.0,438736.303852529,0.0,26153.72729406515,-14448.978236288438,-28750.90635012817,3203.947847937337,863.9152000153716,-61915.72208598719,0.0,0.0,0.0,0.0,0.0,0.0,-332182.5075265702,123088.91207468444,438736.303852529,0.0,0.0,47959.73757803241,-9520.955961112335,-47762.60381303305,-8642.06681526975,-9538.298895981989,-54476.07613919536,0.0,0.0,-228761.46635597092,102602.5626936141,295279.66807067103,0.0,0.0,4902122.26242197,4959602.955961115,4997844.603813035,4958724.066815273,4959620.298895985,5004558.076139199,4950082.000000003,4950082.000000003,5178843.466355974,4847479.437306388,4654802.331929332,4950082.000000003,4950082.000000003
679,"Charleston-North Charleston-Summerville, SC Metro Area-Bus",2015,0,32,4761059.999999997,-56457.2189905841,0.0,-37617.19779039685,0.0,28664.743405903337,-513.8918013483011,-181772.26915915564,-33978.3054711661,6149.709160871891,18966.045271273782,0.0,-164658.26702142434,0.0,0.0,0.0,0.0,221131.6946007948,-56457.2189905841,-37617.19779039685,-164658.26702142434,0.0,76624.48098393575,-10034.847762460637,-229534.8729721887,-42620.37228643586,-3388.5897351100975,-35510.030867921574,0.0,0.0,-7629.771755176102,46145.343703030005,257662.47028027417,-164658.26702142434,0.0,4684435.519016062,4771094.847762458,4990594.872972186,4803680.372286433,4764448.5897351075,4796570.030867918,4761059.999999997,4761059.999999997,4768689.771755173,4714914.6562969675,4503397.529719723,4925718.267021421,4761059.999999997
680,"Charleston-North Charleston-Summerville, SC Metro Area-Bus",2016,0,32,3820742.0,-259086.0471445518,0.0,-836221.7992887949,0.0,25443.706947077007,-4920.324777068468,-46270.825588544496,-5966.747465339993,-11237.0808902288,-36275.01742784893,0.0,-158370.68735124424,0.0,0.0,0.0,0.0,292479.31160069024,-259086.0471445518,-836221.7992887949,-158370.68735124424,0.0,102068.18793101276,-14955.172539529105,-275805.6985607332,-48587.11975177585,-14625.670625338898,-71785.04829577051,0.0,0.0,284849.5398455141,-212940.7034415218,-578559.3290085207,-323028.9543726686,0.0,3718673.812068987,3835697.172539529,4096547.6985607333,3869329.1197517756,3835367.670625339,3892527.0482957703,3820742.0,3820742.0,3535892.460154486,4033682.7034415216,4399301.329008521,4143770.9543726686,3820742.0
681,"Charleston-North Charleston-Summerville, SC Metro Area-Bus",2017,0,32,3575324.0000000037,-45841.52931807307,0.0,78774.50043344677,0.0,16642.033534889615,-3335.3235030618102,30393.62156420836,7076.451220574298,-7490.806370848089,-29110.63558058803,0.0,-127092.18886797642,0.0,0.0,-41190.73213906253,0.0,-122516.46275620612,-45841.52931807307,78774.50043344677,-127092.18886797642,0.0,118710.22146590237,-18290.496042590916,-245412.07699652482,-41510.66853120155,-22116.476996186986,-100895.68387635854,-41190.73213906253,0.0,162333.077089308,-258782.23275959486,-499784.8285750739,-450121.143240645,0.0,3456613.7785341013,3593614.496042595,3820736.0769965285,3616834.6685312055,3597440.476996191,3676219.683876362,3616514.7321390663,3575324.0000000037,3412990.922910696,3834106.2327595986,4075108.8285750775,4025445.143240649,3575324.0000000037
