,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
711,"Chattanooga, TN-GA Metro Area-Bus",2002,0,33,2722493.000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2722493.000000002,2722493.000000002,2722493.000000002,2722493.000000002,2722493.000000002,2722493.000000002,2722493.000000002,2722493.000000002,2722493.000000002,2722493.000000002,2722493.000000002,2722493.000000002,2722493.000000002
712,"Chattanooga, TN-GA Metro Area-Bus",2003,0,33,2637165.000000001,2556.4899216480057,0.0,2861.8767683359874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2637165.000000001,2637165.000000001,2637165.000000001,2637165.000000001,2637165.000000001,2637165.000000001,2637165.000000001,2637165.000000001,2637165.000000001,2637165.000000001,2637165.000000001,2637165.000000001,2637165.000000001
713,"Chattanooga, TN-GA Metro Area-Bus",2004,0,33,2548193.9999999986,17082.695538396336,0.0,-308.12413186281464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2548193.9999999986,2548193.9999999986,2548193.9999999986,2548193.9999999986,2548193.9999999986,2548193.9999999986,2548193.9999999986,2548193.9999999986,2548193.9999999986,2548193.9999999986,2548193.9999999986,2548193.9999999986,2548193.9999999986
714,"Chattanooga, TN-GA Metro Area-Bus",2005,0,33,2758222.999999998,15035.320695024297,0.0,28240.691420327228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2758222.999999998,2758222.999999998,2758222.999999998,2758222.999999998,2758222.999999998,2758222.999999998,2758222.999999998,2758222.999999998,2758222.999999998,2758222.999999998,2758222.999999998,2758222.999999998,2758222.999999998
715,"Chattanooga, TN-GA Metro Area-Bus",2006,0,33,2581494.9999999986,-111376.18519784756,0.0,-97852.95804377188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2581494.9999999986,2581494.9999999986,2581494.9999999986,2581494.9999999986,2581494.9999999986,2581494.9999999986,2581494.9999999986,2581494.9999999986,2581494.9999999986,2581494.9999999986,2581494.9999999986,2581494.9999999986,2581494.9999999986
716,"Chattanooga, TN-GA Metro Area-Bus",2007,0,33,2713242.0000000014,153690.8921335975,0.0,2533.5279224053515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2713242.0000000014,2713242.0000000014,2713242.0000000014,2713242.0000000014,2713242.0000000014,2713242.0000000014,2713242.0000000014,2713242.0000000014,2713242.0000000014,2713242.0000000014,2713242.0000000014,2713242.0000000014,2713242.0000000014
717,"Chattanooga, TN-GA Metro Area-Bus",2008,0,33,2709821.000000002,-42811.88823736048,0.0,-11732.176831888884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2709821.000000002,2709821.000000002,2709821.000000002,2709821.000000002,2709821.000000002,2709821.000000002,2709821.000000002,2709821.000000002,2709821.000000002,2709821.000000002,2709821.000000002,2709821.000000002,2709821.000000002
718,"Chattanooga, TN-GA Metro Area-Bus",2009,0,33,2571528.0000000005,9669.4521384029,0.0,8016.749955666179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2571528.0000000005,2571528.0000000005,2571528.0000000005,2571528.0000000005,2571528.0000000005,2571528.0000000005,2571528.0000000005,2571528.0000000005,2571528.0000000005,2571528.0000000005,2571528.0000000005,2571528.0000000005,2571528.0000000005
719,"Chattanooga, TN-GA Metro Area-Bus",2010,0,33,2676616.0000000005,4673.317226151952,0.0,-3931.384994270644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2676616.0000000005,2676616.0000000005,2676616.0000000005,2676616.0000000005,2676616.0000000005,2676616.0000000005,2676616.0000000005,2676616.0000000005,2676616.0000000005,2676616.0000000005,2676616.0000000005,2676616.0000000005,2676616.0000000005
720,"Chattanooga, TN-GA Metro Area-Bus",2011,0,33,2734655.9999999995,-42213.343561321264,0.0,9892.36995906596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2734655.9999999995,2734655.9999999995,2734655.9999999995,2734655.9999999995,2734655.9999999995,2734655.9999999995,2734655.9999999995,2734655.9999999995,2734655.9999999995,2734655.9999999995,2734655.9999999995,2734655.9999999995,2734655.9999999995
