,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
930,"Dallas-Fort Worth-Arlington, TX Metro Area-Bus",2002,0,10,56956467.00000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56956467.00000008,56956467.00000008,56956467.00000008,56956467.00000008,56956467.00000008,56956467.00000008,56956467.00000008,56956467.00000008,56956467.00000008,56956467.00000008,56956467.00000008,56956467.00000008,56956467.00000008
931,"Dallas-Fort Worth-Arlington, TX Metro Area-Bus",2003,0,10,50082200.00000003,-2344846.070445645,0.0,-758251.0435539676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50082200.00000003,50082200.00000003,50082200.00000003,50082200.00000003,50082200.00000003,50082200.00000003,50082200.00000003,50082200.00000003,50082200.00000003,50082200.00000003,50082200.00000003,50082200.00000003,50082200.00000003
932,"Dallas-Fort Worth-Arlington, TX Metro Area-Bus",2004,0,10,42641928.99999995,-175249.46992129242,0.0,-2201297.2798001505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42641928.99999995,42641928.99999995,42641928.99999995,42641928.99999995,42641928.99999995,42641928.99999995,42641928.99999995,42641928.99999995,42641928.99999995,42641928.99999995,42641928.99999995,42641928.99999995,42641928.99999995
933,"Dallas-Fort Worth-Arlington, TX Metro Area-Bus",2005,0,10,45802640.00000002,-228961.19415279056,0.0,587930.556671622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45802640.00000002,45802640.00000002,45802640.00000002,45802640.00000002,45802640.00000002,45802640.00000002,45802640.00000002,45802640.00000002,45802640.00000002,45802640.00000002,45802640.00000002,45802640.00000002,45802640.00000002
934,"Dallas-Fort Worth-Arlington, TX Metro Area-Bus",2006,0,10,49722079.00000008,-308318.2644134734,0.0,989073.2283965374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49722079.00000008,49722079.00000008,49722079.00000008,49722079.00000008,49722079.00000008,49722079.00000008,49722079.00000008,49722079.00000008,49722079.00000008,49722079.00000008,49722079.00000008,49722079.00000008,49722079.00000008
935,"Dallas-Fort Worth-Arlington, TX Metro Area-Bus",2007,0,10,59855041.99999995,1035095.2437907826,0.0,1069851.8134788263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59855041.99999995,59855041.99999995,59855041.99999995,59855041.99999995,59855041.99999995,59855041.99999995,59855041.99999995,59855041.99999995,59855041.99999995,59855041.99999995,59855041.99999995,59855041.99999995,59855041.99999995
936,"Dallas-Fort Worth-Arlington, TX Metro Area-Bus",2008,0,10,53644731.00000004,-34746.85193377672,0.0,-2772826.276928597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53644731.00000004,53644731.00000004,53644731.00000004,53644731.00000004,53644731.00000004,53644731.00000004,53644731.00000004,53644731.00000004,53644731.00000004,53644731.00000004,53644731.00000004,53644731.00000004,53644731.00000004
937,"Dallas-Fort Worth-Arlington, TX Metro Area-Bus",2009,0,10,49054947.00000003,-56729.81737364226,0.0,-547476.0099290787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49054947.00000003,49054947.00000003,49054947.00000003,49054947.00000003,49054947.00000003,49054947.00000003,49054947.00000003,49054947.00000003,49054947.00000003,49054947.00000003,49054947.00000003,49054947.00000003,49054947.00000003
938,"Dallas-Fort Worth-Arlington, TX Metro Area-Bus",2010,0,10,46518695.000000045,-50717.54747935797,0.0,-217491.6094371653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46518695.000000045,46518695.000000045,46518695.000000045,46518695.000000045,46518695.000000045,46518695.000000045,46518695.000000045,46518695.000000045,46518695.000000045,46518695.000000045,46518695.000000045,46518695.000000045,46518695.000000045
939,"Dallas-Fort Worth-Arlington, TX Metro Area-Bus",2011,0,10,46142311.999999925,-1615145.873806507,0.0,-858469.8392542853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46142311.999999925,46142311.999999925,46142311.999999925,46142311.999999925,46142311.999999925,46142311.999999925,46142311.999999925,46142311.999999925,46142311.999999925,46142311.999999925,46142311.999999925,46142311.999999925,46142311.999999925
