,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
964,"Davenport-Moline-Rock Island, IA-IL Metro Area-Bus",2005,0,31,2377901.0000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2377901.0000000005,2377901.0000000005,2377901.0000000005,2377901.0000000005,2377901.0000000005,2377901.0000000005,2377901.0000000005,2377901.0000000005,2377901.0000000005,2377901.0000000005,2377901.0000000005,2377901.0000000005,2377901.0000000005
965,"Davenport-Moline-Rock Island, IA-IL Metro Area-Bus",2006,0,31,2350953.0000000005,-1290.260179861794,0.0,50001.15069865748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2350953.0000000005,2350953.0000000005,2350953.0000000005,2350953.0000000005,2350953.0000000005,2350953.0000000005,2350953.0000000005,2350953.0000000005,2350953.0000000005,2350953.0000000005,2350953.0000000005,2350953.0000000005,2350953.0000000005
966,"Davenport-Moline-Rock Island, IA-IL Metro Area-Bus",2007,0,31,2521103.0000000014,-112722.56959110685,0.0,152654.80348765734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2521103.0000000014,2521103.0000000014,2521103.0000000014,2521103.0000000014,2521103.0000000014,2521103.0000000014,2521103.0000000014,2521103.0000000014,2521103.0000000014,2521103.0000000014,2521103.0000000014,2521103.0000000014,2521103.0000000014
967,"Davenport-Moline-Rock Island, IA-IL Metro Area-Bus",2008,0,31,2704461.0,125691.53364839668,0.0,6905.981431676221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2704461.0,2704461.0,2704461.0,2704461.0,2704461.0,2704461.0,2704461.0,2704461.0,2704461.0,2704461.0,2704461.0,2704461.0,2704461.0
968,"Davenport-Moline-Rock Island, IA-IL Metro Area-Bus",2009,0,31,3032784.000000001,-35396.30939229589,0.0,7911.546687440045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3032784.000000001,3032784.000000001,3032784.000000001,3032784.000000001,3032784.000000001,3032784.000000001,3032784.000000001,3032784.000000001,3032784.000000001,3032784.000000001,3032784.000000001,3032784.000000001,3032784.000000001
969,"Davenport-Moline-Rock Island, IA-IL Metro Area-Bus",2010,0,31,3262356.000000002,-15697.041454612314,0.0,48191.67213164264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3262356.000000002,3262356.000000002,3262356.000000002,3262356.000000002,3262356.000000002,3262356.000000002,3262356.000000002,3262356.000000002,3262356.000000002,3262356.000000002,3262356.000000002,3262356.000000002,3262356.000000002
970,"Davenport-Moline-Rock Island, IA-IL Metro Area-Bus",2011,0,31,3429263.999999999,35869.048335526706,0.0,42358.97710068568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3429263.999999999,3429263.999999999,3429263.999999999,3429263.999999999,3429263.999999999,3429263.999999999,3429263.999999999,3429263.999999999,3429263.999999999,3429263.999999999,3429263.999999999,3429263.999999999,3429263.999999999
971,"Davenport-Moline-Rock Island, IA-IL Metro Area-Bus",2012,0,31,3441841.0,8117.496699431793,0.0,-30752.900587254026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3441841.0,3441841.0,3441841.0,3441841.0,3441841.0,3441841.0,3441841.0,3441841.0,3441841.0,3441841.0,3441841.0,3441841.0,3441841.0
972,"Davenport-Moline-Rock Island, IA-IL Metro Area-Bus",2013,0,31,3489590.000000003,-12461.43569863773,0.0,41245.81452670328,0.0,-865.8861324043243,-3233.9964929553034,-13484.204740031722,5957.430601541548,620.3736054828363,5268.860758990984,0.0,0.0,0.0,0.0,0.0,0.0,24931.87935324984,-12461.43569863773,41245.81452670328,0.0,0.0,-865.8861324043243,-3233.9964929553034,-13484.204740031722,5957.430601541548,620.3736054828363,5268.860758990984,0.0,0.0,24931.87935324984,-12461.43569863773,41245.81452670328,0.0,0.0,3490455.886132407,3492823.996492958,3503074.2047400344,3483632.5693984614,3488969.62639452,3484321.139241012,3489590.000000003,3489590.000000003,3464658.120646753,3502051.4356986405,3448344.1854732996,3489590.000000003,3489590.000000003
973,"Davenport-Moline-Rock Island, IA-IL Metro Area-Bus",2014,0,31,3411516.000000003,15864.587814584347,0.0,77713.01954142714,0.0,458.6741601038174,-5193.838464271701,-25556.04028825092,827.9481664392187,-978.1882111688348,-31880.705986851,0.0,0.0,0.0,0.0,0.0,0.0,-108326.50031450648,15864.587814584347,77713.01954142714,0.0,0.0,-407.21197230050683,-8427.834957227005,-39040.24502828264,6785.3787679807665,-357.81460568599846,-26611.845227860016,0.0,0.0,-83394.62096125665,3403.1521159466174,118958.83406813043,0.0,0.0,3411923.211972303,3419943.83495723,3450556.2450282853,3404730.621232022,3411873.8146056887,3438127.8452278627,3411516.000000003,3411516.000000003,3494910.6209612596,3408112.847884056,3292557.1659318726,3411516.000000003,3411516.000000003
