,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
1080,"Detroit-Warren-Livonia, MI Metro Area-Bus",2002,0,22,49252752.99999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49252752.99999994,49252752.99999994,49252752.99999994,49252752.99999994,49252752.99999994,49252752.99999994,49252752.99999994,49252752.99999994,49252752.99999994,49252752.99999994,49252752.99999994,49252752.99999994,49252752.99999994
1081,"Detroit-Warren-Livonia, MI Metro Area-Bus",2003,0,22,48766747.00000008,950493.6443757716,0.0,-150700.59456416962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48766747.00000008,48766747.00000008,48766747.00000008,48766747.00000008,48766747.00000008,48766747.00000008,48766747.00000008,48766747.00000008,48766747.00000008,48766747.00000008,48766747.00000008,48766747.00000008,48766747.00000008
1082,"Detroit-Warren-Livonia, MI Metro Area-Bus",2004,0,22,48327844.99999998,-1839986.2909879405,0.0,89465.53549870817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48327844.99999998,48327844.99999998,48327844.99999998,48327844.99999998,48327844.99999998,48327844.99999998,48327844.99999998,48327844.99999998,48327844.99999998,48327844.99999998,48327844.99999998,48327844.99999998,48327844.99999998
1083,"Detroit-Warren-Livonia, MI Metro Area-Bus",2005,0,22,45276672.000000045,-1627433.3184663262,0.0,268975.451639951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45276672.000000045,45276672.000000045,45276672.000000045,45276672.000000045,45276672.000000045,45276672.000000045,45276672.000000045,45276672.000000045,45276672.000000045,45276672.000000045,45276672.000000045,45276672.000000045,45276672.000000045
1084,"Detroit-Warren-Livonia, MI Metro Area-Bus",2006,0,22,47908913.00000001,-604410.261583499,0.0,-105019.55123740372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47908913.00000001,47908913.00000001,47908913.00000001,47908913.00000001,47908913.00000001,47908913.00000001,47908913.00000001,47908913.00000001,47908913.00000001,47908913.00000001,47908913.00000001,47908913.00000001,47908913.00000001
1085,"Detroit-Warren-Livonia, MI Metro Area-Bus",2007,0,22,47540707.0,-309045.2920376417,0.0,-166480.73826839987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47540707.0,47540707.0,47540707.0,47540707.0,47540707.0,47540707.0,47540707.0,47540707.0,47540707.0,47540707.0,47540707.0,47540707.0,47540707.0
1086,"Detroit-Warren-Livonia, MI Metro Area-Bus",2008,0,22,52198475.0,-23404.125241171463,0.0,302218.7781660391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52198475.0,52198475.0,52198475.0,52198475.0,52198475.0,52198475.0,52198475.0,52198475.0,52198475.0,52198475.0,52198475.0,52198475.0,52198475.0
1087,"Detroit-Warren-Livonia, MI Metro Area-Bus",2009,0,22,50776474.00000009,-758734.6104584729,0.0,-559113.4876385336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50776474.00000009,50776474.00000009,50776474.00000009,50776474.00000009,50776474.00000009,50776474.00000009,50776474.00000009,50776474.00000009,50776474.00000009,50776474.00000009,50776474.00000009,50776474.00000009,50776474.00000009
1088,"Detroit-Warren-Livonia, MI Metro Area-Bus",2010,0,22,46859023.99999994,-689983.0778475562,0.0,-401433.874351709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46859023.99999994,46859023.99999994,46859023.99999994,46859023.99999994,46859023.99999994,46859023.99999994,46859023.99999994,46859023.99999994,46859023.99999994,46859023.99999994,46859023.99999994,46859023.99999994,46859023.99999994
1089,"Detroit-Warren-Livonia, MI Metro Area-Bus",2011,0,22,45958092.99999992,-1127595.2031515983,0.0,-789465.2468843432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45958092.99999992,45958092.99999992,45958092.99999992,45958092.99999992,45958092.99999992,45958092.99999992,45958092.99999992,45958092.99999992,45958092.99999992,45958092.99999992,45958092.99999992,45958092.99999992,45958092.99999992
