,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
1097,"Duluth, MN-WI Metro Area-Bus",2005,0,33,2684804.000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2684804.000000001,2684804.000000001,2684804.000000001,2684804.000000001,2684804.000000001,2684804.000000001,2684804.000000001,2684804.000000001,2684804.000000001,2684804.000000001,2684804.000000001,2684804.000000001,2684804.000000001
1098,"Duluth, MN-WI Metro Area-Bus",2006,0,33,2692930.9999999986,-25384.817428782284,0.0,-68822.46097787535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2692930.9999999986,2692930.9999999986,2692930.9999999986,2692930.9999999986,2692930.9999999986,2692930.9999999986,2692930.9999999986,2692930.9999999986,2692930.9999999986,2692930.9999999986,2692930.9999999986,2692930.9999999986,2692930.9999999986
1099,"Duluth, MN-WI Metro Area-Bus",2007,0,33,2854466.9999999986,18564.110052047163,0.0,49216.41706267039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2854466.9999999986,2854466.9999999986,2854466.9999999986,2854466.9999999986,2854466.9999999986,2854466.9999999986,2854466.9999999986,2854466.9999999986,2854466.9999999986,2854466.9999999986,2854466.9999999986,2854466.9999999986,2854466.9999999986
1100,"Duluth, MN-WI Metro Area-Bus",2008,0,33,3219758.000000002,72479.28159695514,0.0,69168.89864996781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3219758.000000002,3219758.000000002,3219758.000000002,3219758.000000002,3219758.000000002,3219758.000000002,3219758.000000002,3219758.000000002,3219758.000000002,3219758.000000002,3219758.000000002,3219758.000000002,3219758.000000002
1101,"Duluth, MN-WI Metro Area-Bus",2009,0,33,3173483.9999999995,-7356.844376146344,0.0,4802.860180608871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3173483.9999999995,3173483.9999999995,3173483.9999999995,3173483.9999999995,3173483.9999999995,3173483.9999999995,3173483.9999999995,3173483.9999999995,3173483.9999999995,3173483.9999999995,3173483.9999999995,3173483.9999999995,3173483.9999999995
1102,"Duluth, MN-WI Metro Area-Bus",2010,0,33,3171087.0000000023,27930.781552114982,0.0,42351.54723949999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3171087.0000000023,3171087.0000000023,3171087.0000000023,3171087.0000000023,3171087.0000000023,3171087.0000000023,3171087.0000000023,3171087.0000000023,3171087.0000000023,3171087.0000000023,3171087.0000000023,3171087.0000000023,3171087.0000000023
1103,"Duluth, MN-WI Metro Area-Bus",2011,0,33,3264479.000000001,15214.24191412597,0.0,-103074.04732439465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3264479.000000001,3264479.000000001,3264479.000000001,3264479.000000001,3264479.000000001,3264479.000000001,3264479.000000001,3264479.000000001,3264479.000000001,3264479.000000001,3264479.000000001,3264479.000000001,3264479.000000001
1104,"Duluth, MN-WI Metro Area-Bus",2012,0,33,3261494.0000000005,-5521.38644915037,0.0,-11744.407616126906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3261494.0000000005,3261494.0000000005,3261494.0000000005,3261494.0000000005,3261494.0000000005,3261494.0000000005,3261494.0000000005,3261494.0000000005,3261494.0000000005,3261494.0000000005,3261494.0000000005,3261494.0000000005,3261494.0000000005
1105,"Duluth, MN-WI Metro Area-Bus",2013,0,33,3195020.0000000023,-41981.56171563044,0.0,-11197.365847387298,0.0,3229.4320322781105,1417.2986474840118,-12777.653835370382,4203.927023365872,7126.85646211055,45211.1634059822,0.0,0.0,0.0,0.0,0.0,0.0,-61070.79949847077,-41981.56171563044,-11197.365847387298,0.0,0.0,3229.4320322781105,1417.2986474840118,-12777.653835370382,4203.927023365872,7126.85646211055,45211.1634059822,0.0,0.0,-61070.79949847077,-41981.56171563044,-11197.365847387298,0.0,0.0,3191790.567967724,3193602.7013525185,3207797.6538353725,3190816.0729766362,3187893.1435378916,3149808.83659402,3195020.0000000023,3195020.0000000023,3256090.7994984733,3237001.5617156327,3206217.3658473897,3195020.0000000023,3195020.0000000023
1106,"Duluth, MN-WI Metro Area-Bus",2014,0,33,3100305.0000000023,-25615.554044456545,0.0,-62400.371957579424,0.0,2990.6852060520223,3807.66051868508,-23398.75453613961,-13358.456386466873,-3389.22081497782,-36445.149587985456,0.0,0.0,0.0,0.0,0.0,0.0,60259.239322104,-25615.554044456545,-62400.371957579424,0.0,0.0,6220.117238330133,5224.959166169092,-36176.40837150999,-9154.529363101,3737.63564713273,8766.013817996747,0.0,0.0,-811.5601763667728,-67597.11576008699,-73597.73780496672,0.0,0.0,3094084.882761672,3095080.040833833,3136481.4083715123,3109459.529363103,3096567.36435287,3091538.9861820056,3100305.0000000023,3100305.0000000023,3101116.5601763693,3167902.1157600894,3173902.737804969,3100305.0000000023,3100305.0000000023
1107,"Duluth, MN-WI Metro Area-Bus",2015,0,33,3051664.9999999995,38651.36973214731,0.0,-57625.1108024996,0.0,-1246.8289129207035,-3164.5826960671543,-110177.34560708769,-3499.1293096149084,-1551.731529529779,-7105.444461542421,0.0,0.0,0.0,0.0,0.0,0.0,96376.63980601724,38651.36973214731,-57625.1108024996,0.0,0.0,4973.2883254094295,2060.3764701019377,-146353.75397859767,-12653.658672715908,2185.904117602951,1660.5693564543262,0.0,0.0,95565.07962965046,-28945.746027939684,-131222.84860746632,0.0,0.0,3046691.71167459,3049604.6235298975,3198018.753978597,3064318.6586727155,3049479.0958823967,3050004.430643545,3051664.9999999995,3051664.9999999995,2956099.920370349,3080610.746027939,3182887.8486074656,3051664.9999999995,3051664.9999999995
1108,"Duluth, MN-WI Metro Area-Bus",2016,0,33,2804354.0000000005,35303.037984486065,0.0,25268.702020363315,0.0,342.27232308813007,5894.947682181716,-36654.28221582327,-7892.412234793015,-2504.513061996706,14036.172247554012,0.0,0.0,0.0,0.0,0.0,0.0,-280708.6362692102,35303.037984486065,25268.702020363315,0.0,0.0,5315.56064849756,7955.324152283654,-183008.03619442094,-20546.070907508925,-318.6089443937549,15696.741604008337,0.0,0.0,-185143.55663955974,6357.291956546382,-105954.14658710301,0.0,0.0,2799038.439351503,2796398.6758477166,2987362.0361944214,2824900.0709075094,2804672.608944394,2788657.258395992,2804354.0000000005,2804354.0000000005,2989497.55663956,2797996.708043454,2910308.1465871036,2804354.0000000005,2804354.0000000005
