,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_cumsum
1111,"Durham-Chapel Hill, NC Metro Area-Bus",2003,0,23,8.540523000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.540523000000006,8.540523000000006,8.540523000000006,8.540523000000006,8.540523000000006,8.540523000000006,8.540523000000006,8.540523000000006,8.540523000000006,8.540523000000006,8.540523000000006,8.540523000000006
1112,"Durham-Chapel Hill, NC Metro Area-Bus",2004,0,23,10.091299999999997,202562.8548953959,0.0,2062730.018359076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.091299999999997,10.091299999999997,10.091299999999997,10.091299999999997,10.091299999999997,10.091299999999997,10.091299999999997,10.091299999999997,10.091299999999997,10.091299999999997,10.091299999999997,10.091299999999997
1113,"Durham-Chapel Hill, NC Metro Area-Bus",2005,0,23,10.991589000000017,19227.0503978696,0.0,-1784688.0480105504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.991589000000017,10.991589000000017,10.991589000000017,10.991589000000017,10.991589000000017,10.991589000000017,10.991589000000017,10.991589000000017,10.991589000000017,10.991589000000017,10.991589000000017,10.991589000000017
1114,"Durham-Chapel Hill, NC Metro Area-Bus",2006,0,23,11.11352499999998,24080.689479867782,0.0,-222764.05342336756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11352499999998,11.11352499999998,11.11352499999998,11.11352499999998,11.11352499999998,11.11352499999998,11.11352499999998,11.11352499999998,11.11352499999998,11.11352499999998,11.11352499999998,11.11352499999998
1115,"Durham-Chapel Hill, NC Metro Area-Bus",2007,0,23,11.405767000000012,7713.000084078549,0.0,-178234.2308055345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.405767000000012,11.405767000000012,11.405767000000012,11.405767000000012,11.405767000000012,11.405767000000012,11.405767000000012,11.405767000000012,11.405767000000012,11.405767000000012,11.405767000000012,11.405767000000012
1116,"Durham-Chapel Hill, NC Metro Area-Bus",2008,0,23,12.988905000000022,202600.5093061474,0.0,330692.6931021936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.988905000000022,12.988905000000022,12.988905000000022,12.988905000000022,12.988905000000022,12.988905000000022,12.988905000000022,12.988905000000022,12.988905000000022,12.988905000000022,12.988905000000022,12.988905000000022
1117,"Durham-Chapel Hill, NC Metro Area-Bus",2009,0,23,12.730644999999983,226330.0398736699,0.0,-297966.8777591797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.730644999999983,12.730644999999983,12.730644999999983,12.730644999999983,12.730644999999983,12.730644999999983,12.730644999999983,12.730644999999983,12.730644999999983,12.730644999999983,12.730644999999983,12.730644999999983
1118,"Durham-Chapel Hill, NC Metro Area-Bus",2010,0,23,13.35802699999999,240216.3177790596,0.0,415679.13796390913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.35802699999999,13.35802699999999,13.35802699999999,13.35802699999999,13.35802699999999,13.35802699999999,13.35802699999999,13.35802699999999,13.35802699999999,13.35802699999999,13.35802699999999,13.35802699999999
1119,"Durham-Chapel Hill, NC Metro Area-Bus",2011,0,23,14.423468999999995,34658.69798379307,0.0,210937.0229712722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.423468999999995,14.423468999999995,14.423468999999995,14.423468999999995,14.423468999999995,14.423468999999995,14.423468999999995,14.423468999999995,14.423468999999995,14.423468999999995,14.423468999999995,14.423468999999995
1120,"Durham-Chapel Hill, NC Metro Area-Bus",2012,0,23,15.00457800000001,-186148.4793891308,0.0,99034.8153430452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.00457800000001,15.00457800000001,15.00457800000001,15.00457800000001,15.00457800000001,15.00457800000001,15.00457800000001,15.00457800000001,15.00457800000001,15.00457800000001,15.00457800000001,15.00457800000001
