,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
1422,"Gulfport-Biloxi, MS Metro Area-Bus",2003,0,34,421012.0000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421012.0000000002,421012.0000000002,421012.0000000002,421012.0000000002,421012.0000000002,421012.0000000002,421012.0000000002,421012.0000000002,421012.0000000002,421012.0000000002,421012.0000000002,421012.0000000002,421012.0000000002
1423,"Gulfport-Biloxi, MS Metro Area-Bus",2004,0,34,413240.9999999999,-11198.859669582747,0.0,5946.451874225933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413240.9999999999,413240.9999999999,413240.9999999999,413240.9999999999,413240.9999999999,413240.9999999999,413240.9999999999,413240.9999999999,413240.9999999999,413240.9999999999,413240.9999999999,413240.9999999999,413240.9999999999
1424,"Gulfport-Biloxi, MS Metro Area-Bus",2005,0,34,353786.0000000003,-13823.058021599789,0.0,3073.822646056224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353786.0000000003,353786.0000000003,353786.0000000003,353786.0000000003,353786.0000000003,353786.0000000003,353786.0000000003,353786.0000000003,353786.0000000003,353786.0000000003,353786.0000000003,353786.0000000003,353786.0000000003
1425,"Gulfport-Biloxi, MS Metro Area-Bus",2006,0,34,277519.9999999999,-27582.45923705471,0.0,51348.16589026991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277519.9999999999,277519.9999999999,277519.9999999999,277519.9999999999,277519.9999999999,277519.9999999999,277519.9999999999,277519.9999999999,277519.9999999999,277519.9999999999,277519.9999999999,277519.9999999999,277519.9999999999
1426,"Gulfport-Biloxi, MS Metro Area-Bus",2007,0,34,388183.00000000006,21174.10964676117,0.0,-27868.311665478544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388183.00000000006,388183.00000000006,388183.00000000006,388183.00000000006,388183.00000000006,388183.00000000006,388183.00000000006,388183.00000000006,388183.00000000006,388183.00000000006,388183.00000000006,388183.00000000006,388183.00000000006
1427,"Gulfport-Biloxi, MS Metro Area-Bus",2008,0,34,495483.9999999999,17503.714500093534,0.0,-2170.0729817323127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495483.9999999999,495483.9999999999,495483.9999999999,495483.9999999999,495483.9999999999,495483.9999999999,495483.9999999999,495483.9999999999,495483.9999999999,495483.9999999999,495483.9999999999,495483.9999999999,495483.9999999999
1428,"Gulfport-Biloxi, MS Metro Area-Bus",2009,0,34,547339.9999999995,64402.46332764782,0.0,-9188.859083608131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547339.9999999995,547339.9999999995,547339.9999999995,547339.9999999995,547339.9999999995,547339.9999999995,547339.9999999995,547339.9999999995,547339.9999999995,547339.9999999995,547339.9999999995,547339.9999999995,547339.9999999995
1429,"Gulfport-Biloxi, MS Metro Area-Bus",2010,0,34,580828.9999999998,34498.16657750504,0.0,-4520.147620571298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580828.9999999998,580828.9999999998,580828.9999999998,580828.9999999998,580828.9999999998,580828.9999999998,580828.9999999998,580828.9999999998,580828.9999999998,580828.9999999998,580828.9999999998,580828.9999999998,580828.9999999998
1430,"Gulfport-Biloxi, MS Metro Area-Bus",2011,0,34,618834.0000000005,-25983.43707744659,0.0,10995.370003662643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618834.0000000005,618834.0000000005,618834.0000000005,618834.0000000005,618834.0000000005,618834.0000000005,618834.0000000005,618834.0000000005,618834.0000000005,618834.0000000005,618834.0000000005,618834.0000000005,618834.0000000005
1431,"Gulfport-Biloxi, MS Metro Area-Bus",2012,0,34,671862.0,-9610.607819991046,0.0,10609.89565310628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671862.0,671862.0,671862.0,671862.0,671862.0,671862.0,671862.0,671862.0,671862.0,671862.0,671862.0,671862.0,671862.0
