,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,MAINTENANCE_WMATA_FAC,RESTRUCTURE_FAC,New_Reporter_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,Others_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,Others_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_Others_FAC_cumsum
1534,"Houston-Sugar Land-Baytown, TX Metro Area-Rail",2004,1,10,7.695887000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7695887.0000000065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.695887000000006,7.695887000000006,7.695887000000006,7.695887000000006,7.695887000000006,7.695887000000006,7.695887000000006,7.695887000000006,7.695887000000006,7.695887000000006,7.695887000000006,7.695887000000006,7.695887000000006
1535,"Houston-Sugar Land-Baytown, TX Metro Area-Rail",2005,1,10,10.618144999999991,0.0,816398.6877257404,0.0,39781.7391613828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1817114.6485384807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.618144999999991,10.618144999999991,10.618144999999991,10.618144999999991,10.618144999999991,10.618144999999991,10.618144999999991,10.618144999999991,10.618144999999991,10.618144999999991,10.618144999999991,10.618144999999991,10.618144999999991
1536,"Houston-Sugar Land-Baytown, TX Metro Area-Rail",2006,1,10,11.307687000000017,0.0,52582.551523703696,0.0,-413496.206217064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830164.1817009767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.307687000000017,11.307687000000017,11.307687000000017,11.307687000000017,11.307687000000017,11.307687000000017,11.307687000000017,11.307687000000017,11.307687000000017,11.307687000000017,11.307687000000017,11.307687000000017,11.307687000000017
1537,"Houston-Sugar Land-Baytown, TX Metro Area-Rail",2007,1,10,12.013705,0.0,-3349.893873475605,0.0,49429.36328418856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683954.1984267434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.013705,12.013705,12.013705,12.013705,12.013705,12.013705,12.013705,12.013705,12.013705,12.013705,12.013705,12.013705,12.013705
1538,"Houston-Sugar Land-Baytown, TX Metro Area-Rail",2008,1,10,11.640213000000017,0.0,954744.5725061438,0.0,-443406.0987183707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1017688.1800346682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.640213000000017,11.640213000000017,11.640213000000017,11.640213000000017,11.640213000000017,11.640213000000017,11.640213000000017,11.640213000000017,11.640213000000017,11.640213000000017,11.640213000000017,11.640213000000017,11.640213000000017
1539,"Houston-Sugar Land-Baytown, TX Metro Area-Rail",2009,1,10,11.364632999999996,0.0,205661.8730623776,0.0,-467597.4414604056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308327.5958399485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.364632999999996,11.364632999999996,11.364632999999996,11.364632999999996,11.364632999999996,11.364632999999996,11.364632999999996,11.364632999999996,11.364632999999996,11.364632999999996,11.364632999999996,11.364632999999996,11.364632999999996
1540,"Houston-Sugar Land-Baytown, TX Metro Area-Rail",2010,1,10,10.48415699999999,0.0,-169690.73620933588,0.0,204706.26905879824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1153285.118788918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.48415699999999,10.48415699999999,10.48415699999999,10.48415699999999,10.48415699999999,10.48415699999999,10.48415699999999,10.48415699999999,10.48415699999999,10.48415699999999,10.48415699999999,10.48415699999999,10.48415699999999
1541,"Houston-Sugar Land-Baytown, TX Metro Area-Rail",2011,1,10,10.787896000000016,0.0,149447.65466596582,0.0,116453.3303810557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-231113.4450494584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.787896000000016,10.787896000000016,10.787896000000016,10.787896000000016,10.787896000000016,10.787896000000016,10.787896000000016,10.787896000000016,10.787896000000016,10.787896000000016,10.787896000000016,10.787896000000016,10.787896000000016
1542,"Houston-Sugar Land-Baytown, TX Metro Area-Rail",2012,1,10,11.387090000000017,0.0,-16493.049711491643,0.0,523432.4398916572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215960.4710937432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.387090000000017,11.387090000000017,11.387090000000017,11.387090000000017,11.387090000000017,11.387090000000017,11.387090000000017,11.387090000000017,11.387090000000017,11.387090000000017,11.387090000000017,11.387090000000017,11.387090000000017
1543,"Houston-Sugar Land-Baytown, TX Metro Area-Rail",2013,1,10,11.279880999999992,0.0,1152837.4218319645,0.0,-134992.03654269516,52083.37856848888,-4512.113917911885,-56732.05649875965,-23022.67193079582,2280.536883867523,-17405.012919110235,0.0,0.0,0.0,0.0,0.0,0.0,-1059691.5213710456,0.0,0.0,0.0,1152837.4218319645,-134992.03654269516,0.0,0.0,-1059691.5213710456,0.05208337856848888,-0.004512113917911885,-0.056732056498759655,-0.02302267193079582,0.002280536883867523,-0.017405012919110237,0.0,0.0,1.1528374218319646,-0.13499203654269515,0.0,0.0,-1.0596915213710456,11.227797621431504,11.284393113917904,11.336613056498752,11.302903671930789,11.277600463116125,11.297286012919102,11.279880999999992,11.279880999999992,10.127043578168028,11.414873036542687,11.279880999999992,11.279880999999992,12.339572521371037
