,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
1597,"Ithaca, NY Metro Area-Bus",2007,0,31,3104940.0000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3104940.0000000005,3104940.0000000005,3104940.0000000005,3104940.0000000005,3104940.0000000005,3104940.0000000005,3104940.0000000005,3104940.0000000005,3104940.0000000005,3104940.0000000005,3104940.0000000005,3104940.0000000005,3104940.0000000005
1598,"Ithaca, NY Metro Area-Bus",2008,0,31,3314278.0000000005,77862.76717498535,0.0,81014.35531772744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3314278.0000000005,3314278.0000000005,3314278.0000000005,3314278.0000000005,3314278.0000000005,3314278.0000000005,3314278.0000000005,3314278.0000000005,3314278.0000000005,3314278.0000000005,3314278.0000000005,3314278.0000000005,3314278.0000000005
1599,"Ithaca, NY Metro Area-Bus",2009,0,31,3351818.000000001,96129.26109462947,0.0,-84713.74709434982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3351818.000000001,3351818.000000001,3351818.000000001,3351818.000000001,3351818.000000001,3351818.000000001,3351818.000000001,3351818.000000001,3351818.000000001,3351818.000000001,3351818.000000001,3351818.000000001,3351818.000000001
1600,"Ithaca, NY Metro Area-Bus",2010,0,31,3577578.999999999,-13857.613809850169,0.0,44920.24758871751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3577578.999999999,3577578.999999999,3577578.999999999,3577578.999999999,3577578.999999999,3577578.999999999,3577578.999999999,3577578.999999999,3577578.999999999,3577578.999999999,3577578.999999999,3577578.999999999,3577578.999999999
1601,"Ithaca, NY Metro Area-Bus",2011,0,31,3944624.999999998,-622.0923425766173,0.0,76546.95791841585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3944624.999999998,3944624.999999998,3944624.999999998,3944624.999999998,3944624.999999998,3944624.999999998,3944624.999999998,3944624.999999998,3944624.999999998,3944624.999999998,3944624.999999998,3944624.999999998,3944624.999999998
1602,"Ithaca, NY Metro Area-Bus",2012,0,31,4128241.999999999,-155303.3795171519,0.0,35481.56774903923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4128241.999999999,4128241.999999999,4128241.999999999,4128241.999999999,4128241.999999999,4128241.999999999,4128241.999999999,4128241.999999999,4128241.999999999,4128241.999999999,4128241.999999999,4128241.999999999,4128241.999999999
1603,"Ithaca, NY Metro Area-Bus",2013,0,31,4388699.000000001,22360.66153102668,0.0,69018.72074063109,0.0,13769.109284735125,11177.422743058256,-19655.10073814605,50172.842612162254,165.3425772004177,31694.997983771456,0.0,0.0,0.0,0.0,0.0,0.0,79018.28952007569,22360.66153102668,69018.72074063109,0.0,0.0,13769.109284735125,11177.422743058256,-19655.10073814605,50172.842612162254,165.3425772004177,31694.997983771456,0.0,0.0,79018.28952007569,22360.66153102668,69018.72074063109,0.0,0.0,4374929.890715266,4377521.577256943,4408354.100738147,4338526.157387839,4388533.657422801,4357004.00201623,4388699.000000001,4388699.000000001,4309680.710479925,4366338.338468974,4319680.27925937,4388699.000000001,4388699.000000001
1604,"Ithaca, NY Metro Area-Bus",2014,0,31,4296843.999999997,2414.663084596077,0.0,3015.367434634399,0.0,3965.179981139672,-10580.007527978838,-24542.772656786317,-44930.06136531792,17347.616455509848,50638.911257961416,0.0,0.0,0.0,0.0,0.0,0.0,-88544.31337633864,2414.663084596077,3015.367434634399,0.0,0.0,17734.289265874795,597.415215079418,-44197.873394932365,5242.781246844337,17512.959032710267,82333.90924173288,0.0,0.0,-9526.023856262953,24775.324615622754,72034.0881752655,0.0,0.0,4279109.710734122,4296246.5847849175,4341041.87339493,4291601.2187531525,4279331.040967287,4214510.090758264,4296843.999999997,4296843.999999997,4306370.02385626,4272068.675384374,4224809.911824732,4296843.999999997,4296843.999999997
1605,"Ithaca, NY Metro Area-Bus",2015,0,31,4185394.0,22835.88046684532,0.0,-64954.8613825106,0.0,-23243.230748629336,2745.730654830441,-150969.77956711274,14619.6572349391,-22570.597441865168,-123083.86843702536,0.0,0.0,0.0,0.0,0.0,0.0,224526.3282822045,22835.88046684532,-64954.8613825106,0.0,0.0,-5508.941482754541,3343.145869909859,-195167.6529620451,19862.438481783436,-5057.638409154901,-40749.95919529248,0.0,0.0,215000.30442594155,47611.20508246808,7079.226792754896,0.0,0.0,4190902.9414827544,4182050.85413009,4380561.652962045,4165531.5615182165,4190451.638409155,4226143.959195293,4185394.0,4185394.0,3970393.695574058,4137782.794917532,4178314.773207245,4185394.0,4185394.0
1606,"Ithaca, NY Metro Area-Bus",2016,0,31,4023365.000000002,-26147.277435724965,0.0,-62672.40207627577,0.0,292.66566874463183,-14922.388180829555,-46476.17949628626,3709.187184111763,12002.597007815108,61265.08127681635,0.0,0.0,0.0,0.0,0.0,0.0,-88429.5542675817,-26147.277435724965,-62672.40207627577,0.0,0.0,-5216.275814009909,-11579.242310919697,-241643.83245833137,23571.6256658952,6944.958598660207,20515.12208152387,0.0,0.0,126570.75015835985,21463.927646743112,-55593.175283520875,0.0,0.0,4028581.2758140117,4034944.2423109217,4265008.832458333,3999793.3743341067,4016420.0414013416,4002849.877918478,4023365.000000002,4023365.000000002,3896794.249841642,4001901.0723532587,4078958.175283523,4023365.000000002,4023365.000000002
