,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
1624,"Jackson, MS Metro Area-Bus",2007,0,34,748645.0000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748645.0000000003,748645.0000000003,748645.0000000003,748645.0000000003,748645.0000000003,748645.0000000003,748645.0000000003,748645.0000000003,748645.0000000003,748645.0000000003,748645.0000000003,748645.0000000003,748645.0000000003
1625,"Jackson, MS Metro Area-Bus",2008,0,34,567241.9999999997,-16658.80340516172,0.0,-20389.38303659321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567241.9999999997,567241.9999999997,567241.9999999997,567241.9999999997,567241.9999999997,567241.9999999997,567241.9999999997,567241.9999999997,567241.9999999997,567241.9999999997,567241.9999999997,567241.9999999997,567241.9999999997
1626,"Jackson, MS Metro Area-Bus",2009,0,34,516721.00000000047,-16641.907816064962,0.0,-10693.74602045106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516721.00000000047,516721.00000000047,516721.00000000047,516721.00000000047,516721.00000000047,516721.00000000047,516721.00000000047,516721.00000000047,516721.00000000047,516721.00000000047,516721.00000000047,516721.00000000047,516721.00000000047
1627,"Jackson, MS Metro Area-Bus",2010,0,34,496443.00000000006,38110.14956192823,0.0,-1571.1414155238072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496443.00000000006,496443.00000000006,496443.00000000006,496443.00000000006,496443.00000000006,496443.00000000006,496443.00000000006,496443.00000000006,496443.00000000006,496443.00000000006,496443.00000000006,496443.00000000006,496443.00000000006
1628,"Jackson, MS Metro Area-Bus",2011,0,34,568628.0000000002,-33225.16064193223,0.0,-14581.31987388614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568628.0000000002,568628.0000000002,568628.0000000002,568628.0000000002,568628.0000000002,568628.0000000002,568628.0000000002,568628.0000000002,568628.0000000002,568628.0000000002,568628.0000000002,568628.0000000002,568628.0000000002
1629,"Jackson, MS Metro Area-Bus",2012,0,34,675472.0000000001,-60703.41927682329,0.0,13806.769310179548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675472.0000000001,675472.0000000001,675472.0000000001,675472.0000000001,675472.0000000001,675472.0000000001,675472.0000000001,675472.0000000001,675472.0000000001,675472.0000000001,675472.0000000001,675472.0000000001,675472.0000000001
1630,"Jackson, MS Metro Area-Bus",2013,0,34,681974.0000000006,9891.347219780708,0.0,-19794.589528356464,0.0,4271.083334722171,-938.7397140750004,-3365.29487931773,-1185.066645524897,1896.379164832697,516.8174409703812,0.0,0.0,0.0,0.0,0.0,0.0,15542.989400287644,9891.347219780708,-19794.589528356464,0.0,0.0,4271.083334722171,-938.7397140750004,-3365.29487931773,-1185.066645524897,1896.379164832697,516.8174409703812,0.0,0.0,15542.989400287644,9891.347219780708,-19794.589528356464,0.0,0.0,677702.9166652784,682912.7397140756,685339.2948793183,683159.0666455255,680077.6208351679,681457.1825590302,681974.0000000006,681974.0000000006,666431.010599713,672082.6527802199,701768.589528357,681974.0000000006,681974.0000000006
1631,"Jackson, MS Metro Area-Bus",2014,0,34,617656.9999999998,2231.4953847919483,0.0,-18399.57395842799,0.0,-523.4164887523951,-148.13470887318587,-4873.351654997363,-1575.927262954152,-1391.5710476227755,-521.3933254437828,0.0,0.0,0.0,0.0,0.0,0.0,-39307.61900216388,2231.4953847919483,-18399.57395842799,0.0,0.0,3747.6668459697753,-1086.8744229481863,-8238.646534315092,-2760.993908479049,504.8081172099214,-4.575884473401629,0.0,0.0,-23764.629601876237,12122.842604572656,-38194.163486784455,0.0,0.0,613909.33315403,618743.874422948,625895.6465343148,620417.9939084788,617152.1918827898,617661.5758844732,617656.9999999998,617656.9999999998,641421.629601876,605534.1573954271,655851.1634867842,617656.9999999998,617656.9999999998
1632,"Jackson, MS Metro Area-Bus",2015,0,34,550545.0000000005,-1067.2674555922947,0.0,-8863.86075815729,0.0,1574.0522309215796,-1044.1597651166448,-23044.546290792136,-2008.7461948162847,296.92299921214834,945.5255863987016,0.0,-20545.58515064029,0.0,0.0,0.0,0.0,-14837.194237871,-1067.2674555922947,-8863.86075815729,-20545.58515064029,0.0,5321.719076891355,-2131.034188064831,-31283.192825107228,-4769.740103295334,801.7311164220698,940.9497019253,0.0,0.0,-38601.82383974724,11055.57514898036,-47058.02424494174,-20545.58515064029,0.0,545223.2809231092,552676.0341880653,581828.1928251077,555314.7401032958,549743.2688835784,549604.0502980752,550545.0000000005,550545.0000000005,589146.8238397477,539489.4248510201,597603.0242449422,571090.5851506408,550545.0000000005
1633,"Jackson, MS Metro Area-Bus",2016,0,34,447809.9999999996,-10158.58817436508,0.0,34308.841692682734,0.0,1046.5524782339398,-732.5273360598204,-6109.237399562487,-211.7981338981577,-1838.078969679851,842.7887710555758,0.0,-18313.18867390684,0.0,0.0,0.0,0.0,-100103.6823430963,-10158.58817436508,34308.841692682734,-18313.18867390684,0.0,6368.271555125295,-2863.5615241246514,-37392.43022466971,-4981.538237193492,-1036.3478532577813,1783.738472980876,0.0,0.0,-138705.50618284353,896.9869746152799,-12749.182552259008,-38858.77382454713,0.0,441441.7284448743,450673.56152412423,485202.4302246693,452791.5382371931,448846.3478532574,446026.26152701874,447809.9999999996,447809.9999999996,586515.5061828431,446913.01302538434,460559.1825522586,486668.7738245467,447809.9999999996
