,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
1678,"Kalamazoo-Portage, MI Metro Area-Bus",2002,0,33,2579214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2579214.0,2579214.0,2579214.0,2579214.0,2579214.0,2579214.0,2579214.0,2579214.0,2579214.0,2579214.0,2579214.0,2579214.0,2579214.0
1679,"Kalamazoo-Portage, MI Metro Area-Bus",2003,0,33,3061900.0,89038.38092630522,0.0,-15233.032035358068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3061900.0,3061900.0,3061900.0,3061900.0,3061900.0,3061900.0,3061900.0,3061900.0,3061900.0,3061900.0,3061900.0,3061900.0,3061900.0
1680,"Kalamazoo-Portage, MI Metro Area-Bus",2004,0,33,3026626.999999999,19599.423746670254,0.0,-12219.304672686025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3026626.999999999,3026626.999999999,3026626.999999999,3026626.999999999,3026626.999999999,3026626.999999999,3026626.999999999,3026626.999999999,3026626.999999999,3026626.999999999,3026626.999999999,3026626.999999999,3026626.999999999
1681,"Kalamazoo-Portage, MI Metro Area-Bus",2005,0,33,2092033.0,-404187.8956110195,0.0,-274809.7685848433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2092033.0,2092033.0,2092033.0,2092033.0,2092033.0,2092033.0,2092033.0,2092033.0,2092033.0,2092033.0,2092033.0,2092033.0,2092033.0
1682,"Kalamazoo-Portage, MI Metro Area-Bus",2006,0,33,2923727.9999999977,238745.00570457935,0.0,86218.4124243441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2923727.9999999977,2923727.9999999977,2923727.9999999977,2923727.9999999977,2923727.9999999977,2923727.9999999977,2923727.9999999977,2923727.9999999977,2923727.9999999977,2923727.9999999977,2923727.9999999977,2923727.9999999977,2923727.9999999977
1683,"Kalamazoo-Portage, MI Metro Area-Bus",2007,0,33,2882778.000000002,-26313.22593635791,0.0,-16636.03418384595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2882778.000000002,2882778.000000002,2882778.000000002,2882778.000000002,2882778.000000002,2882778.000000002,2882778.000000002,2882778.000000002,2882778.000000002,2882778.000000002,2882778.000000002,2882778.000000002,2882778.000000002
1684,"Kalamazoo-Portage, MI Metro Area-Bus",2008,0,33,2964530.000000002,-5751.014560063079,0.0,-21018.438829945422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2964530.000000002,2964530.000000002,2964530.000000002,2964530.000000002,2964530.000000002,2964530.000000002,2964530.000000002,2964530.000000002,2964530.000000002,2964530.000000002,2964530.000000002,2964530.000000002,2964530.000000002
1685,"Kalamazoo-Portage, MI Metro Area-Bus",2009,0,33,2837483.9999999995,-4466.841861505441,0.0,2257.310111215293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2837483.9999999995,2837483.9999999995,2837483.9999999995,2837483.9999999995,2837483.9999999995,2837483.9999999995,2837483.9999999995,2837483.9999999995,2837483.9999999995,2837483.9999999995,2837483.9999999995,2837483.9999999995,2837483.9999999995
1686,"Kalamazoo-Portage, MI Metro Area-Bus",2010,0,33,2545622.0,-1919.9163139629372,0.0,-250305.17702063645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2545622.0,2545622.0,2545622.0,2545622.0,2545622.0,2545622.0,2545622.0,2545622.0,2545622.0,2545622.0,2545622.0,2545622.0,2545622.0
1687,"Kalamazoo-Portage, MI Metro Area-Bus",2011,0,33,2643540.9999999986,-28605.4556427862,0.0,-27447.23159748464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2643540.9999999986,2643540.9999999986,2643540.9999999986,2643540.9999999986,2643540.9999999986,2643540.9999999986,2643540.9999999986,2643540.9999999986,2643540.9999999986,2643540.9999999986,2643540.9999999986,2643540.9999999986,2643540.9999999986
