,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_cumsum
1857,"Las Vegas-Paradise, NV Metro Area-Bus",2002,0,21,45.783823999999946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.783823999999946,45.783823999999946,45.783823999999946,45.783823999999946,45.783823999999946,45.783823999999946,45.783823999999946,45.783823999999946,45.783823999999946,45.783823999999946,45.783823999999946,45.783823999999946
1858,"Las Vegas-Paradise, NV Metro Area-Bus",2003,0,21,48.72674499999994,-2156015.489167346,0.0,1332599.5478518545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.72674499999994,48.72674499999994,48.72674499999994,48.72674499999994,48.72674499999994,48.72674499999994,48.72674499999994,48.72674499999994,48.72674499999994,48.72674499999994,48.72674499999994,48.72674499999994
1859,"Las Vegas-Paradise, NV Metro Area-Bus",2004,0,21,51.94602999999999,1320609.6223052812,0.0,-173873.60321930016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.94602999999999,51.94602999999999,51.94602999999999,51.94602999999999,51.94602999999999,51.94602999999999,51.94602999999999,51.94602999999999,51.94602999999999,51.94602999999999,51.94602999999999,51.94602999999999
1860,"Las Vegas-Paradise, NV Metro Area-Bus",2005,0,21,55.78692500000003,1490611.9125414551,0.0,858820.1707808234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.78692500000003,55.78692500000003,55.78692500000003,55.78692500000003,55.78692500000003,55.78692500000003,55.78692500000003,55.78692500000003,55.78692500000003,55.78692500000003,55.78692500000003,55.78692500000003
1861,"Las Vegas-Paradise, NV Metro Area-Bus",2006,0,21,61.515552999999976,1413870.0495422208,0.0,-147848.16440514554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.515552999999976,61.515552999999976,61.515552999999976,61.515552999999976,61.515552999999976,61.515552999999976,61.515552999999976,61.515552999999976,61.515552999999976,61.515552999999976,61.515552999999976,61.515552999999976
1862,"Las Vegas-Paradise, NV Metro Area-Bus",2007,0,21,64.280105,-1163766.1333676612,0.0,360870.30718809454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.280105,64.280105,64.280105,64.280105,64.280105,64.280105,64.280105,64.280105,64.280105,64.280105,64.280105,64.280105
1863,"Las Vegas-Paradise, NV Metro Area-Bus",2008,0,21,67.33954200000008,1058615.2479246138,0.0,102380.97561378256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.33954200000008,67.33954200000008,67.33954200000008,67.33954200000008,67.33954200000008,67.33954200000008,67.33954200000008,67.33954200000008,67.33954200000008,67.33954200000008,67.33954200000008,67.33954200000008
1864,"Las Vegas-Paradise, NV Metro Area-Bus",2009,0,21,58.08999699999992,-705267.6997616362,0.0,-4258777.134728247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.08999699999992,58.08999699999992,58.08999699999992,58.08999699999992,58.08999699999992,58.08999699999992,58.08999699999992,58.08999699999992,58.08999699999992,58.08999699999992,58.08999699999992,58.08999699999992
1865,"Las Vegas-Paradise, NV Metro Area-Bus",2010,0,21,55.190259999999945,-618119.7968390952,0.0,-2619816.0557270544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.190259999999945,55.190259999999945,55.190259999999945,55.190259999999945,55.190259999999945,55.190259999999945,55.190259999999945,55.190259999999945,55.190259999999945,55.190259999999945,55.190259999999945,55.190259999999945
1866,"Las Vegas-Paradise, NV Metro Area-Bus",2011,0,21,57.77692600000006,-1327008.7515492097,0.0,812630.4951411053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.77692600000006,57.77692600000006,57.77692600000006,57.77692600000006,57.77692600000006,57.77692600000006,57.77692600000006,57.77692600000006,57.77692600000006,57.77692600000006,57.77692600000006,57.77692600000006
