,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
1886,"Lexington-Fayette, KY Metro Area-Bus",2002,0,31,3626070.000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3626070.000000002,3626070.000000002,3626070.000000002,3626070.000000002,3626070.000000002,3626070.000000002,3626070.000000002,3626070.000000002,3626070.000000002,3626070.000000002,3626070.000000002,3626070.000000002,3626070.000000002
1887,"Lexington-Fayette, KY Metro Area-Bus",2003,0,31,3240300.0000000005,-124373.67882636286,0.0,48414.48247726816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3240300.0000000005,3240300.0000000005,3240300.0000000005,3240300.0000000005,3240300.0000000005,3240300.0000000005,3240300.0000000005,3240300.0000000005,3240300.0000000005,3240300.0000000005,3240300.0000000005,3240300.0000000005,3240300.0000000005
1888,"Lexington-Fayette, KY Metro Area-Bus",2004,0,31,2832948.0,-292441.4556667654,0.0,-1701.2344815494505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2832948.0,2832948.0,2832948.0,2832948.0,2832948.0,2832948.0,2832948.0,2832948.0,2832948.0,2832948.0,2832948.0,2832948.0,2832948.0
1889,"Lexington-Fayette, KY Metro Area-Bus",2005,0,31,2946238.0,-26010.762388968276,0.0,101488.22860508188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2946238.0,2946238.0,2946238.0,2946238.0,2946238.0,2946238.0,2946238.0,2946238.0,2946238.0,2946238.0,2946238.0,2946238.0,2946238.0
1890,"Lexington-Fayette, KY Metro Area-Bus",2006,0,31,4681839.999999996,537448.4165592046,0.0,100194.77709051316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4681839.999999996,4681839.999999996,4681839.999999996,4681839.999999996,4681839.999999996,4681839.999999996,4681839.999999996,4681839.999999996,4681839.999999996,4681839.999999996,4681839.999999996,4681839.999999996,4681839.999999996
1891,"Lexington-Fayette, KY Metro Area-Bus",2007,0,31,5388592.999999998,299548.7814992261,0.0,27490.579842630566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5388592.999999998,5388592.999999998,5388592.999999998,5388592.999999998,5388592.999999998,5388592.999999998,5388592.999999998,5388592.999999998,5388592.999999998,5388592.999999998,5388592.999999998,5388592.999999998,5388592.999999998
1892,"Lexington-Fayette, KY Metro Area-Bus",2008,0,31,5540400.999999995,168617.1069460828,0.0,-62007.31194463704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5540400.999999995,5540400.999999995,5540400.999999995,5540400.999999995,5540400.999999995,5540400.999999995,5540400.999999995,5540400.999999995,5540400.999999995,5540400.999999995,5540400.999999995,5540400.999999995,5540400.999999995
1893,"Lexington-Fayette, KY Metro Area-Bus",2009,0,31,5626045.999999999,53478.54410788955,0.0,-59946.64305846646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5626045.999999999,5626045.999999999,5626045.999999999,5626045.999999999,5626045.999999999,5626045.999999999,5626045.999999999,5626045.999999999,5626045.999999999,5626045.999999999,5626045.999999999,5626045.999999999,5626045.999999999
1894,"Lexington-Fayette, KY Metro Area-Bus",2010,0,31,6361527.999999996,86273.7678048913,0.0,130620.1314829649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6361527.999999996,6361527.999999996,6361527.999999996,6361527.999999996,6361527.999999996,6361527.999999996,6361527.999999996,6361527.999999996,6361527.999999996,6361527.999999996,6361527.999999996,6361527.999999996,6361527.999999996
1895,"Lexington-Fayette, KY Metro Area-Bus",2011,0,31,5276889.000000003,-112141.71328006143,0.0,-370136.7968717514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5276889.000000003,5276889.000000003,5276889.000000003,5276889.000000003,5276889.000000003,5276889.000000003,5276889.000000003,5276889.000000003,5276889.000000003,5276889.000000003,5276889.000000003,5276889.000000003,5276889.000000003
