,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
2056,"Memphis, TN-MS-AR Metro Area-Bus",2002,0,24,10965199.999999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10965199.999999983,10965199.999999983,10965199.999999983,10965199.999999983,10965199.999999983,10965199.999999983,10965199.999999983,10965199.999999983,10965199.999999983,10965199.999999983,10965199.999999983,10965199.999999983,10965199.999999983
2057,"Memphis, TN-MS-AR Metro Area-Bus",2003,0,24,11110159.999999996,-13702.8266114669,0.0,333370.06001976493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11110159.999999996,11110159.999999996,11110159.999999996,11110159.999999996,11110159.999999996,11110159.999999996,11110159.999999996,11110159.999999996,11110159.999999996,11110159.999999996,11110159.999999996,11110159.999999996,11110159.999999996
2058,"Memphis, TN-MS-AR Metro Area-Bus",2004,0,24,11448969.999999989,13236.76387015148,0.0,249679.3855112292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11448969.999999989,11448969.999999989,11448969.999999989,11448969.999999989,11448969.999999989,11448969.999999989,11448969.999999989,11448969.999999989,11448969.999999989,11448969.999999989,11448969.999999989,11448969.999999989,11448969.999999989
2059,"Memphis, TN-MS-AR Metro Area-Bus",2005,0,24,10396138.00000001,-1220521.9627987903,0.0,263998.269490317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10396138.00000001,10396138.00000001,10396138.00000001,10396138.00000001,10396138.00000001,10396138.00000001,10396138.00000001,10396138.00000001,10396138.00000001,10396138.00000001,10396138.00000001,10396138.00000001,10396138.00000001
2060,"Memphis, TN-MS-AR Metro Area-Bus",2006,0,24,10426047.99999999,-167675.38494407845,0.0,-116919.25545477038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10426047.99999999,10426047.99999999,10426047.99999999,10426047.99999999,10426047.99999999,10426047.99999999,10426047.99999999,10426047.99999999,10426047.99999999,10426047.99999999,10426047.99999999,10426047.99999999,10426047.99999999
2061,"Memphis, TN-MS-AR Metro Area-Bus",2007,0,24,10393161.000000007,5849.354528177894,0.0,91832.75741198564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10393161.000000007,10393161.000000007,10393161.000000007,10393161.000000007,10393161.000000007,10393161.000000007,10393161.000000007,10393161.000000007,10393161.000000007,10393161.000000007,10393161.000000007,10393161.000000007,10393161.000000007
2062,"Memphis, TN-MS-AR Metro Area-Bus",2008,0,24,10414631.000000011,-2495.248705923309,0.0,-17639.66273963189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10414631.000000011,10414631.000000011,10414631.000000011,10414631.000000011,10414631.000000011,10414631.000000011,10414631.000000011,10414631.000000011,10414631.000000011,10414631.000000011,10414631.000000011,10414631.000000011,10414631.000000011
2063,"Memphis, TN-MS-AR Metro Area-Bus",2009,0,24,10202003.000000011,-89966.24744616696,0.0,-113479.75589282998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10202003.000000011,10202003.000000011,10202003.000000011,10202003.000000011,10202003.000000011,10202003.000000011,10202003.000000011,10202003.000000011,10202003.000000011,10202003.000000011,10202003.000000011,10202003.000000011,10202003.000000011
2064,"Memphis, TN-MS-AR Metro Area-Bus",2010,0,24,9894125.000000006,-87561.94020081576,0.0,109815.97729603796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9894125.000000006,9894125.000000006,9894125.000000006,9894125.000000006,9894125.000000006,9894125.000000006,9894125.000000006,9894125.000000006,9894125.000000006,9894125.000000006,9894125.000000006,9894125.000000006,9894125.000000006
2065,"Memphis, TN-MS-AR Metro Area-Bus",2011,0,24,8625368.999999993,-168211.9772915136,0.0,-511607.496960698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8625368.999999993,8625368.999999993,8625368.999999993,8625368.999999993,8625368.999999993,8625368.999999993,8625368.999999993,8625368.999999993,8625368.999999993,8625368.999999993,8625368.999999993,8625368.999999993,8625368.999999993
2066,"Memphis, TN-MS-AR Metro Area-Bus",2012,0,24,8523158.000000006,-82608.6113213759,0.0,-86302.37025701615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8523158.000000006,8523158.000000006,8523158.000000006,8523158.000000006,8523158.000000006,8523158.000000006,8523158.000000006,8523158.000000006,8523158.000000006,8523158.000000006,8523158.000000006,8523158.000000006,8523158.000000006
2067,"Memphis, TN-MS-AR Metro Area-Bus",2013,0,24,8565711.999999998,-174040.23331686648,0.0,-10136.956990257548,0.0,-571.612042846363,-2760.440800933653,-42463.551372989496,-11557.989151038502,-9893.665180202115,39202.374369768,0.0,0.0,0.0,0.0,0.0,0.0,254123.52780362772,-174040.23331686648,-10136.956990257548,0.0,0.0,-571.612042846363,-2760.440800933653,-42463.551372989496,-11557.989151038502,-9893.665180202115,39202.374369768,0.0,0.0,254123.52780362772,-174040.23331686648,-10136.956990257548,0.0,0.0,8566283.612042844,8568472.440800931,8608175.551372988,8577269.989151036,8575605.6651802,8526509.62563023,8565711.999999998,8565711.999999998,8311588.47219637,8739752.233316865,8575848.956990255,8565711.999999998,8565711.999999998
2068,"Memphis, TN-MS-AR Metro Area-Bus",2014,0,24,7894629.000000004,-236364.04285369327,0.0,145243.0509086057,0.0,-4413.890516903398,-8427.87240295998,-61210.144010520526,23200.688005964643,1715.488518364799,-13092.574838819868,0.0,0.0,0.0,0.0,0.0,0.0,-514378.1830722472,-236364.04285369327,145243.0509086057,0.0,0.0,-4985.502559749761,-11188.313203893633,-103673.69538351003,11642.69885492614,-8178.176661837317,26109.799530948127,0.0,0.0,-260254.65526861948,-410404.27617055975,135106.09391834817,0.0,0.0,7899614.502559753,7905817.313203897,7998302.695383513,7882986.301145078,7902807.176661841,7868519.200469055,7894629.000000004,7894629.000000004,8154883.6552686235,8305033.276170564,7759522.906081656,7894629.000000004,7894629.000000004
