,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
2073,"Merced, CA Metro Area-Bus",2002,0,32,443629.0000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443629.0000000002,443629.0000000002,443629.0000000002,443629.0000000002,443629.0000000002,443629.0000000002,443629.0000000002,443629.0000000002,443629.0000000002,443629.0000000002,443629.0000000002,443629.0000000002,443629.0000000002
2074,"Merced, CA Metro Area-Bus",2003,0,32,518878.00000000006,27257.16420695492,0.0,24305.285967738608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518878.00000000006,518878.00000000006,518878.00000000006,518878.00000000006,518878.00000000006,518878.00000000006,518878.00000000006,518878.00000000006,518878.00000000006,518878.00000000006,518878.00000000006,518878.00000000006,518878.00000000006
2075,"Merced, CA Metro Area-Bus",2004,0,32,584483.9999999998,78260.4069145603,0.0,57888.45845731975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584483.9999999998,584483.9999999998,584483.9999999998,584483.9999999998,584483.9999999998,584483.9999999998,584483.9999999998,584483.9999999998,584483.9999999998,584483.9999999998,584483.9999999998,584483.9999999998,584483.9999999998
2076,"Merced, CA Metro Area-Bus",2005,0,32,772397.9999999995,37828.66758326696,0.0,18183.57193931596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772397.9999999995,772397.9999999995,772397.9999999995,772397.9999999995,772397.9999999995,772397.9999999995,772397.9999999995,772397.9999999995,772397.9999999995,772397.9999999995,772397.9999999995,772397.9999999995,772397.9999999995
2077,"Merced, CA Metro Area-Bus",2006,0,32,920340.0000000003,59307.77546309586,0.0,17131.473099824427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,920340.0000000003,920340.0000000003,920340.0000000003,920340.0000000003,920340.0000000003,920340.0000000003,920340.0000000003,920340.0000000003,920340.0000000003,920340.0000000003,920340.0000000003,920340.0000000003,920340.0000000003
2078,"Merced, CA Metro Area-Bus",2007,0,32,1017552.0000000008,51242.84337733648,0.0,54933.979177084046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017552.0000000008,1017552.0000000008,1017552.0000000008,1017552.0000000008,1017552.0000000008,1017552.0000000008,1017552.0000000008,1017552.0000000008,1017552.0000000008,1017552.0000000008,1017552.0000000008,1017552.0000000008,1017552.0000000008
2079,"Merced, CA Metro Area-Bus",2008,0,32,899761.0000000003,-57740.0222044464,0.0,-54747.27634022037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,899761.0000000003,899761.0000000003,899761.0000000003,899761.0000000003,899761.0000000003,899761.0000000003,899761.0000000003,899761.0000000003,899761.0000000003,899761.0000000003,899761.0000000003,899761.0000000003,899761.0000000003
2080,"Merced, CA Metro Area-Bus",2009,0,32,863136.0000000001,26138.45290423729,0.0,-37924.74127940264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,863136.0000000001,863136.0000000001,863136.0000000001,863136.0000000001,863136.0000000001,863136.0000000001,863136.0000000001,863136.0000000001,863136.0000000001,863136.0000000001,863136.0000000001,863136.0000000001,863136.0000000001
2081,"Merced, CA Metro Area-Bus",2010,0,32,810817.0000000002,-33631.32901733106,0.0,-36834.24439669655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810817.0000000002,810817.0000000002,810817.0000000002,810817.0000000002,810817.0000000002,810817.0000000002,810817.0000000002,810817.0000000002,810817.0000000002,810817.0000000002,810817.0000000002,810817.0000000002,810817.0000000002
2082,"Merced, CA Metro Area-Bus",2011,0,32,849617.9999999995,-16537.524911418324,0.0,52416.74884737028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,849617.9999999995,849617.9999999995,849617.9999999995,849617.9999999995,849617.9999999995,849617.9999999995,849617.9999999995,849617.9999999995,849617.9999999995,849617.9999999995,849617.9999999995,849617.9999999995,849617.9999999995
