,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
2107,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area-Rail",2002,1,10,21759395.00000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21759395.00000004,21759395.00000004,21759395.00000004,21759395.00000004,21759395.00000004,21759395.00000004,21759395.00000004,21759395.00000004,21759395.00000004,21759395.00000004,21759395.00000004,21759395.00000004,21759395.00000004
2108,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area-Rail",2003,1,10,23817085.000000037,0.0,-739889.9428162841,0.0,503615.9696187936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23817085.000000037,23817085.000000037,23817085.000000037,23817085.000000037,23817085.000000037,23817085.000000037,23817085.000000037,23817085.000000037,23817085.000000037,23817085.000000037,23817085.000000037,23817085.000000037,23817085.000000037
2109,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area-Rail",2004,1,10,27933076.0,0.0,4154867.8197227074,0.0,626454.76761689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27933076.0,27933076.0,27933076.0,27933076.0,27933076.0,27933076.0,27933076.0,27933076.0,27933076.0,27933076.0,27933076.0,27933076.0,27933076.0
2110,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area-Rail",2005,1,10,28204373.000000004,0.0,-259778.41551543903,0.0,-101759.9382221593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28204373.000000004,28204373.000000004,28204373.000000004,28204373.000000004,28204373.000000004,28204373.000000004,28204373.000000004,28204373.000000004,28204373.000000004,28204373.000000004,28204373.000000004,28204373.000000004,28204373.000000004
2111,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area-Rail",2006,1,10,29197446.000000007,0.0,1757274.846579216,0.0,-1432493.761783115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29197446.000000007,29197446.000000007,29197446.000000007,29197446.000000007,29197446.000000007,29197446.000000007,29197446.000000007,29197446.000000007,29197446.000000007,29197446.000000007,29197446.000000007,29197446.000000007,29197446.000000007
2112,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area-Rail",2007,1,10,29319173.99999997,0.0,-2621684.389616103,0.0,1256335.086338987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29319173.99999997,29319173.99999997,29319173.99999997,29319173.99999997,29319173.99999997,29319173.99999997,29319173.99999997,29319173.99999997,29319173.99999997,29319173.99999997,29319173.99999997,29319173.99999997,29319173.99999997
2113,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area-Rail",2008,1,10,32026400.000000056,0.0,-2372367.313438241,0.0,292674.4864444858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32026400.000000056,32026400.000000056,32026400.000000056,32026400.000000056,32026400.000000056,32026400.000000056,32026400.000000056,32026400.000000056,32026400.000000056,32026400.000000056,32026400.000000056,32026400.000000056,32026400.000000056
2114,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area-Rail",2009,1,10,29541370.000000022,0.0,-418941.5945968535,0.0,-1182423.4331079577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29541370.000000022,29541370.000000022,29541370.000000022,29541370.000000022,29541370.000000022,29541370.000000022,29541370.000000022,29541370.000000022,29541370.000000022,29541370.000000022,29541370.000000022,29541370.000000022,29541370.000000022
2115,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area-Rail",2010,1,10,29327857.999999978,0.0,4052810.614679617,0.0,-463523.6359086497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29327857.999999978,29327857.999999978,29327857.999999978,29327857.999999978,29327857.999999978,29327857.999999978,29327857.999999978,29327857.999999978,29327857.999999978,29327857.999999978,29327857.999999978,29327857.999999978,29327857.999999978
2116,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area-Rail",2011,1,10,31396251.99999999,0.0,205776.73212783763,0.0,230574.7299652779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31396251.99999999,31396251.99999999,31396251.99999999,31396251.99999999,31396251.99999999,31396251.99999999,31396251.99999999,31396251.99999999,31396251.99999999,31396251.99999999,31396251.99999999,31396251.99999999,31396251.99999999
